epoch 0:	pdl:1.19e-01 	 Rec:3.07e-03 	 Color:7.14e-02 	Time: 0.02
epoch 50:	pdl:1.17e-01 	 Rec:2.98e-03 	 Color:8.11e-02 	Time: 2.22
epoch 100:	pdl:1.19e-01 	 Rec:2.77e-03 	 Color:7.86e-02 	Time: 2.19
epoch 150:	pdl:1.22e-01 	 Rec:2.55e-03 	 Color:8.23e-02 	Time: 2.21
epoch 200:	pdl:1.06e-01 	 Rec:2.52e-03 	 Color:7.33e-02 	Time: 2.20
epoch 250:	pdl:1.16e-01 	 Rec:2.48e-03 	 Color:7.13e-02 	Time: 2.20
epoch 300:	pdl:1.09e-01 	 Rec:2.40e-03 	 Color:7.04e-02 	Time: 2.21
epoch 350:	pdl:1.05e-01 	 Rec:2.48e-03 	 Color:6.75e-02 	Time: 2.21
epoch 400:	pdl:1.17e-01 	 Rec:2.35e-03 	 Color:7.37e-02 	Time: 2.21
epoch 450:	pdl:1.01e-01 	 Rec:2.35e-03 	 Color:6.63e-02 	Time: 2.23
epoch 500:	pdl:1.03e-01 	 Rec:2.41e-03 	 Color:7.24e-02 	Time: 2.23
epoch 550:	pdl:1.09e-01 	 Rec:2.36e-03 	 Color:7.03e-02 	Time: 2.23
epoch 600:	pdl:1.08e-01 	 Rec:2.32e-03 	 Color:7.12e-02 	Time: 2.24
epoch 650:	pdl:1.32e-01 	 Rec:2.33e-03 	 Color:6.91e-02 	Time: 2.23
epoch 700:	pdl:1.22e-01 	 Rec:2.34e-03 	 Color:7.59e-02 	Time: 2.25
epoch 750:	pdl:1.07e-01 	 Rec:2.26e-03 	 Color:6.87e-02 	Time: 2.25
epoch 800:	pdl:1.05e-01 	 Rec:2.16e-03 	 Color:7.12e-02 	Time: 2.25
epoch 850:	pdl:1.00e-01 	 Rec:2.16e-03 	 Color:6.80e-02 	Time: 2.27
epoch 900:	pdl:1.06e-01 	 Rec:2.16e-03 	 Color:6.82e-02 	Time: 2.26
epoch 950:	pdl:1.05e-01 	 Rec:2.18e-03 	 Color:7.41e-02 	Time: 2.27
epoch 1000:	pdl:9.85e-02 	 Rec:2.12e-03 	 Color:6.65e-02 	Time: 2.26
epoch 1050:	pdl:1.01e-01 	 Rec:2.17e-03 	 Color:6.83e-02 	Time: 2.28
epoch 1100:	pdl:1.04e-01 	 Rec:2.17e-03 	 Color:7.02e-02 	Time: 2.26
epoch 1150:	pdl:1.09e-01 	 Rec:2.08e-03 	 Color:6.67e-02 	Time: 2.28
epoch 1200:	pdl:1.07e-01 	 Rec:2.06e-03 	 Color:6.89e-02 	Time: 2.27
epoch 1250:	pdl:1.09e-01 	 Rec:2.36e-03 	 Color:7.03e-02 	Time: 2.27
epoch 1300:	pdl:1.15e-01 	 Rec:2.05e-03 	 Color:7.27e-02 	Time: 2.28
epoch 1350:	pdl:1.06e-01 	 Rec:2.31e-03 	 Color:6.79e-02 	Time: 2.28
epoch 1400:	pdl:9.97e-02 	 Rec:1.94e-03 	 Color:6.92e-02 	Time: 2.28
epoch 1450:	pdl:1.16e-01 	 Rec:2.00e-03 	 Color:7.95e-02 	Time: 2.27
epoch 1500:	pdl:1.19e-01 	 Rec:1.96e-03 	 Color:8.45e-02 	Time: 2.28
epoch 1550:	pdl:1.10e-01 	 Rec:2.00e-03 	 Color:7.51e-02 	Time: 2.28
epoch 1600:	pdl:1.02e-01 	 Rec:2.13e-03 	 Color:7.28e-02 	Time: 2.27
epoch 1650:	pdl:1.11e-01 	 Rec:2.04e-03 	 Color:7.75e-02 	Time: 2.28
