epoch 0:	pdl:1.48e-01 	 Rec:1.88e-03 	 Color:1.25e-01 	Time: 0.06
epoch 50:	pdl:1.36e-01 	 Rec:1.22e-03 	 Color:1.28e-01 	Time: 8.12
epoch 100:	pdl:1.51e-01 	 Rec:9.93e-04 	 Color:1.29e-01 	Time: 8.07
epoch 150:	pdl:1.46e-01 	 Rec:8.92e-04 	 Color:1.32e-01 	Time: 8.07
epoch 200:	pdl:1.29e-01 	 Rec:8.28e-04 	 Color:1.18e-01 	Time: 8.07
epoch 250:	pdl:1.31e-01 	 Rec:7.91e-04 	 Color:1.23e-01 	Time: 8.10
epoch 300:	pdl:1.27e-01 	 Rec:7.59e-04 	 Color:1.20e-01 	Time: 8.07
epoch 350:	pdl:1.35e-01 	 Rec:7.19e-04 	 Color:1.22e-01 	Time: 8.06
epoch 400:	pdl:1.36e-01 	 Rec:7.15e-04 	 Color:1.23e-01 	Time: 8.08
epoch 450:	pdl:1.27e-01 	 Rec:6.19e-04 	 Color:1.19e-01 	Time: 8.12
epoch 500:	pdl:1.37e-01 	 Rec:6.58e-04 	 Color:1.30e-01 	Time: 8.13
epoch 550:	pdl:1.37e-01 	 Rec:6.20e-04 	 Color:1.21e-01 	Time: 8.11
epoch 600:	pdl:1.34e-01 	 Rec:6.33e-04 	 Color:1.21e-01 	Time: 7.99
epoch 650:	pdl:1.33e-01 	 Rec:6.16e-04 	 Color:1.26e-01 	Time: 8.13
epoch 700:	pdl:1.38e-01 	 Rec:5.81e-04 	 Color:1.24e-01 	Time: 8.12
epoch 750:	pdl:1.30e-01 	 Rec:5.52e-04 	 Color:1.24e-01 	Time: 8.12
epoch 800:	pdl:1.30e-01 	 Rec:5.55e-04 	 Color:1.25e-01 	Time: 8.09
epoch 850:	pdl:1.28e-01 	 Rec:5.91e-04 	 Color:1.20e-01 	Time: 8.08
epoch 900:	pdl:1.40e-01 	 Rec:5.35e-04 	 Color:1.28e-01 	Time: 8.09
epoch 950:	pdl:1.47e-01 	 Rec:5.37e-04 	 Color:1.31e-01 	Time: 8.11
epoch 1000:	pdl:1.35e-01 	 Rec:5.62e-04 	 Color:1.31e-01 	Time: 8.08
epoch 1050:	pdl:1.29e-01 	 Rec:5.12e-04 	 Color:1.28e-01 	Time: 8.18
epoch 1100:	pdl:1.41e-01 	 Rec:5.04e-04 	 Color:1.23e-01 	Time: 8.08
epoch 1150:	pdl:1.37e-01 	 Rec:5.02e-04 	 Color:1.28e-01 	Time: 8.09
epoch 1200:	pdl:1.29e-01 	 Rec:4.62e-04 	 Color:1.30e-01 	Time: 8.07
epoch 1250:	pdl:1.37e-01 	 Rec:4.91e-04 	 Color:1.31e-01 	Time: 8.04
epoch 1300:	pdl:1.42e-01 	 Rec:4.60e-04 	 Color:1.25e-01 	Time: 6.69
epoch 1350:	pdl:1.32e-01 	 Rec:5.53e-04 	 Color:1.25e-01 	Time: 8.79
epoch 1400:	pdl:1.30e-01 	 Rec:5.08e-04 	 Color:1.26e-01 	Time: 8.81
epoch 1450:	pdl:1.40e-01 	 Rec:4.53e-04 	 Color:1.29e-01 	Time: 8.81
epoch 1500:	pdl:1.36e-01 	 Rec:4.67e-04 	 Color:1.30e-01 	Time: 8.81
epoch 1550:	pdl:1.43e-01 	 Rec:4.97e-04 	 Color:1.29e-01 	Time: 8.82
epoch 1600:	pdl:1.37e-01 	 Rec:4.91e-04 	 Color:1.21e-01 	Time: 8.82
epoch 1650:	pdl:1.35e-01 	 Rec:5.27e-04 	 Color:1.25e-01 	Time: 8.83
epoch 1700:	pdl:1.36e-01 	 Rec:5.01e-04 	 Color:1.19e-01 	Time: 8.82
epoch 1750:	pdl:1.41e-01 	 Rec:4.67e-04 	 Color:1.28e-01 	Time: 8.82
epoch 1800:	pdl:1.42e-01 	 Rec:5.29e-04 	 Color:1.30e-01 	Time: 8.79
epoch 1850:	pdl:1.51e-01 	 Rec:4.51e-04 	 Color:1.47e-01 	Time: 8.81
epoch 1900:	pdl:1.28e-01 	 Rec:5.14e-04 	 Color:1.23e-01 	Time: 8.75
epoch 1950:	pdl:1.26e-01 	 Rec:4.16e-04 	 Color:1.17e-01 	Time: 8.77
epoch 2000:	pdl:1.54e-01 	 Rec:4.42e-04 	 Color:1.42e-01 	Time: 8.80
epoch 2050:	pdl:1.25e-01 	 Rec:4.76e-04 	 Color:1.20e-01 	Time: 8.43
epoch 2100:	pdl:1.30e-01 	 Rec:4.44e-04 	 Color:1.29e-01 	Time: 8.33
epoch 2150:	pdl:1.26e-01 	 Rec:4.31e-04 	 Color:1.15e-01 	Time: 8.31
epoch 2200:	pdl:1.46e-01 	 Rec:4.21e-04 	 Color:1.35e-01 	Time: 8.34
epoch 2250:	pdl:1.37e-01 	 Rec:4.12e-04 	 Color:1.30e-01 	Time: 8.36
epoch 2300:	pdl:1.33e-01 	 Rec:4.02e-04 	 Color:1.33e-01 	Time: 8.46
epoch 2350:	pdl:1.52e-01 	 Rec:4.02e-04 	 Color:1.41e-01 	Time: 8.86
epoch 2400:	pdl:1.23e-01 	 Rec:3.73e-04 	 Color:1.18e-01 	Time: 8.85
