epoch 0:	pdl:1.67e+00 	 Rec:7.39e-02 	 Color:6.63e-02 	Time: 0.02
epoch 50:	pdl:5.11e-01 	 Rec:6.43e-03 	 Color:3.45e-02 	Time: 0.92
epoch 100:	pdl:6.14e-01 	 Rec:4.47e-03 	 Color:3.77e-02 	Time: 0.83
epoch 150:	pdl:4.91e-01 	 Rec:3.91e-03 	 Color:3.42e-02 	Time: 0.82
epoch 200:	pdl:5.34e-01 	 Rec:4.05e-03 	 Color:3.49e-02 	Time: 0.82
epoch 250:	pdl:5.23e-01 	 Rec:3.45e-03 	 Color:3.78e-02 	Time: 0.84
epoch 300:	pdl:8.03e-01 	 Rec:3.46e-03 	 Color:3.45e-02 	Time: 0.82
epoch 350:	pdl:4.48e-01 	 Rec:2.95e-03 	 Color:3.14e-02 	Time: 0.79
epoch 400:	pdl:4.98e-01 	 Rec:2.75e-03 	 Color:3.56e-02 	Time: 0.83
epoch 450:	pdl:4.77e-01 	 Rec:2.92e-03 	 Color:3.03e-02 	Time: 0.84
epoch 500:	pdl:4.83e-01 	 Rec:3.02e-03 	 Color:3.99e-02 	Time: 0.80
epoch 550:	pdl:5.16e-01 	 Rec:2.88e-03 	 Color:3.80e-02 	Time: 0.82
epoch 600:	pdl:4.69e-01 	 Rec:2.36e-03 	 Color:3.98e-02 	Time: 0.82
epoch 650:	pdl:5.65e-01 	 Rec:2.32e-03 	 Color:4.11e-02 	Time: 0.79
epoch 700:	pdl:5.08e-01 	 Rec:2.19e-03 	 Color:3.78e-02 	Time: 0.81
epoch 750:	pdl:4.88e-01 	 Rec:2.02e-03 	 Color:3.89e-02 	Time: 0.87
epoch 800:	pdl:5.25e-01 	 Rec:2.13e-03 	 Color:4.13e-02 	Time: 0.79
epoch 850:	pdl:5.24e-01 	 Rec:2.18e-03 	 Color:3.64e-02 	Time: 0.84
epoch 900:	pdl:5.77e-01 	 Rec:1.94e-03 	 Color:3.76e-02 	Time: 0.82
epoch 950:	pdl:5.53e-01 	 Rec:2.35e-03 	 Color:4.04e-02 	Time: 0.79
epoch 1000:	pdl:5.24e-01 	 Rec:2.35e-03 	 Color:3.39e-02 	Time: 0.84
epoch 1050:	pdl:4.85e-01 	 Rec:2.07e-03 	 Color:4.04e-02 	Time: 0.82
epoch 1100:	pdl:7.08e-01 	 Rec:1.78e-03 	 Color:3.60e-02 	Time: 0.80
epoch 1150:	pdl:5.12e-01 	 Rec:1.67e-03 	 Color:3.64e-02 	Time: 0.79
epoch 1200:	pdl:4.84e-01 	 Rec:1.70e-03 	 Color:3.65e-02 	Time: 0.79
epoch 1250:	pdl:5.49e-01 	 Rec:1.90e-03 	 Color:3.57e-02 	Time: 0.82
epoch 1300:	pdl:4.87e-01 	 Rec:1.83e-03 	 Color:3.40e-02 	Time: 0.82
epoch 1350:	pdl:4.94e-01 	 Rec:1.79e-03 	 Color:3.59e-02 	Time: 0.83
epoch 1400:	pdl:5.48e-01 	 Rec:1.66e-03 	 Color:3.53e-02 	Time: 0.78
epoch 1450:	pdl:5.08e-01 	 Rec:1.50e-03 	 Color:3.46e-02 	Time: 0.80
epoch 1500:	pdl:4.62e-01 	 Rec:1.54e-03 	 Color:3.96e-02 	Time: 0.82
epoch 1550:	pdl:4.52e-01 	 Rec:1.52e-03 	 Color:3.93e-02 	Time: 0.79
epoch 1600:	pdl:5.05e-01 	 Rec:1.61e-03 	 Color:2.53e-02 	Time: 0.79
epoch 1650:	pdl:4.21e-01 	 Rec:1.43e-03 	 Color:2.96e-02 	Time: 0.81
epoch 1700:	pdl:4.51e-01 	 Rec:1.47e-03 	 Color:3.83e-02 	Time: 0.79
epoch 1750:	pdl:5.07e-01 	 Rec:1.56e-03 	 Color:3.36e-02 	Time: 0.85
epoch 1800:	pdl:4.96e-01 	 Rec:1.65e-03 	 Color:3.22e-02 	Time: 0.83
epoch 1850:	pdl:4.91e-01 	 Rec:1.55e-03 	 Color:3.15e-02 	Time: 0.82
epoch 1900:	pdl:4.59e-01 	 Rec:1.37e-03 	 Color:3.21e-02 	Time: 0.84
epoch 1950:	pdl:5.14e-01 	 Rec:1.55e-03 	 Color:4.00e-02 	Time: 0.80
epoch 2000:	pdl:4.88e-01 	 Rec:1.30e-03 	 Color:4.35e-02 	Time: 0.84
epoch 2050:	pdl:5.06e-01 	 Rec:1.42e-03 	 Color:3.25e-02 	Time: 0.88
epoch 2100:	pdl:4.88e-01 	 Rec:1.73e-03 	 Color:2.88e-02 	Time: 0.83
epoch 2150:	pdl:4.46e-01 	 Rec:1.41e-03 	 Color:2.97e-02 	Time: 0.79
epoch 2200:	pdl:4.95e-01 	 Rec:1.42e-03 	 Color:3.42e-02 	Time: 0.82
epoch 2250:	pdl:5.60e-01 	 Rec:1.39e-03 	 Color:3.67e-02 	Time: 0.78
epoch 2300:	pdl:5.85e-01 	 Rec:1.48e-03 	 Color:3.89e-02 	Time: 0.82
epoch 2350:	pdl:4.49e-01 	 Rec:1.39e-03 	 Color:3.59e-02 	Time: 0.83
epoch 2400:	pdl:4.49e-01 	 Rec:1.30e-03 	 Color:4.05e-02 	Time: 0.78
epoch 2450:	pdl:5.57e-01 	 Rec:1.29e-03 	 Color:3.69e-02 	Time: 0.82
epoch 2500:	pdl:4.66e-01 	 Rec:1.33e-03 	 Color:4.02e-02 	Time: 0.80
epoch 2550:	pdl:5.81e-01 	 Rec:1.73e-03 	 Color:4.02e-02 	Time: 0.75
epoch 2600:	pdl:4.96e-01 	 Rec:1.36e-03 	 Color:2.76e-02 	Time: 0.84
epoch 2650:	pdl:4.35e-01 	 Rec:1.33e-03 	 Color:3.57e-02 	Time: 0.82
epoch 2700:	pdl:4.83e-01 	 Rec:1.08e-03 	 Color:3.21e-02 	Time: 0.78
epoch 2750:	pdl:5.25e-01 	 Rec:1.10e-03 	 Color:3.76e-02 	Time: 0.84
epoch 2800:	pdl:4.82e-01 	 Rec:1.30e-03 	 Color:2.95e-02 	Time: 0.81
epoch 2850:	pdl:5.40e-01 	 Rec:1.19e-03 	 Color:3.99e-02 	Time: 0.84
epoch 2900:	pdl:4.84e-01 	 Rec:1.30e-03 	 Color:3.82e-02 	Time: 0.82
epoch 2950:	pdl:4.84e-01 	 Rec:1.44e-03 	 Color:3.03e-02 	Time: 0.83
epoch 3000:	pdl:4.93e-01 	 Rec:1.11e-03 	 Color:4.28e-02 	Time: 0.83
epoch 3050:	pdl:4.94e-01 	 Rec:1.02e-03 	 Color:3.19e-02 	Time: 0.83
epoch 3100:	pdl:5.44e-01 	 Rec:1.06e-03 	 Color:3.92e-02 	Time: 0.82
epoch 3150:	pdl:5.32e-01 	 Rec:1.03e-03 	 Color:3.78e-02 	Time: 0.80
epoch 3200:	pdl:5.43e-01 	 Rec:1.28e-03 	 Color:3.40e-02 	Time: 0.81
epoch 3250:	pdl:6.58e-01 	 Rec:1.03e-03 	 Color:3.46e-02 	Time: 0.82
epoch 3300:	pdl:4.98e-01 	 Rec:1.21e-03 	 Color:3.88e-02 	Time: 0.83
epoch 3350:	pdl:5.08e-01 	 Rec:1.49e-03 	 Color:4.44e-02 	Time: 0.83
