epoch 0:	pdl:5.02e-01 	 Rec:5.91e-03 	 Color:4.52e-02 	Time: 0.02
epoch 50:	pdl:4.32e-01 	 Rec:2.39e-03 	 Color:4.58e-02 	Time: 1.30
epoch 100:	pdl:4.95e-01 	 Rec:1.95e-03 	 Color:4.46e-02 	Time: 1.06
epoch 150:	pdl:5.05e-01 	 Rec:1.79e-03 	 Color:4.70e-02 	Time: 1.06
epoch 200:	pdl:4.59e-01 	 Rec:1.49e-03 	 Color:4.15e-02 	Time: 1.06
epoch 250:	pdl:4.66e-01 	 Rec:1.39e-03 	 Color:4.50e-02 	Time: 1.08
epoch 300:	pdl:5.74e-01 	 Rec:1.22e-03 	 Color:4.14e-02 	Time: 1.06
epoch 350:	pdl:4.70e-01 	 Rec:1.27e-03 	 Color:4.00e-02 	Time: 1.06
epoch 400:	pdl:4.86e-01 	 Rec:1.13e-03 	 Color:4.51e-02 	Time: 1.06
epoch 450:	pdl:4.76e-01 	 Rec:1.01e-03 	 Color:4.97e-02 	Time: 1.08
epoch 500:	pdl:4.17e-01 	 Rec:9.24e-04 	 Color:4.18e-02 	Time: 1.09
epoch 550:	pdl:4.74e-01 	 Rec:9.94e-04 	 Color:4.15e-02 	Time: 1.06
epoch 600:	pdl:4.81e-01 	 Rec:9.90e-04 	 Color:3.66e-02 	Time: 1.06
epoch 650:	pdl:4.49e-01 	 Rec:7.95e-04 	 Color:4.51e-02 	Time: 1.06
epoch 700:	pdl:4.73e-01 	 Rec:8.98e-04 	 Color:4.94e-02 	Time: 1.06
epoch 750:	pdl:4.40e-01 	 Rec:7.42e-04 	 Color:4.18e-02 	Time: 1.11
epoch 800:	pdl:4.45e-01 	 Rec:8.69e-04 	 Color:4.42e-02 	Time: 1.09
epoch 850:	pdl:4.62e-01 	 Rec:7.50e-04 	 Color:4.83e-02 	Time: 1.09
epoch 900:	pdl:4.71e-01 	 Rec:7.19e-04 	 Color:4.86e-02 	Time: 1.08
epoch 950:	pdl:4.95e-01 	 Rec:9.88e-04 	 Color:4.19e-02 	Time: 1.10
epoch 1000:	pdl:4.47e-01 	 Rec:8.80e-04 	 Color:4.58e-02 	Time: 1.08
epoch 1050:	pdl:4.72e-01 	 Rec:7.91e-04 	 Color:4.74e-02 	Time: 1.09
epoch 1100:	pdl:4.89e-01 	 Rec:7.11e-04 	 Color:4.39e-02 	Time: 1.08
epoch 1150:	pdl:5.08e-01 	 Rec:6.65e-04 	 Color:4.45e-02 	Time: 1.08
epoch 1200:	pdl:4.58e-01 	 Rec:7.42e-04 	 Color:4.50e-02 	Time: 1.12
epoch 1250:	pdl:4.32e-01 	 Rec:6.22e-04 	 Color:4.24e-02 	Time: 1.08
epoch 1300:	pdl:5.08e-01 	 Rec:7.32e-04 	 Color:4.44e-02 	Time: 1.11
