epoch 0:	pdl:1.74e+00 	 Rec:1.06e-01 	 Color:0.00e+00 	Time: 0.01
epoch 50:	pdl:1.03e+00 	 Rec:5.08e-03 	 Color:0.00e+00 	Time: 0.60
epoch 100:	pdl:9.02e-01 	 Rec:3.42e-03 	 Color:0.00e+00 	Time: 0.51
epoch 150:	pdl:7.07e-01 	 Rec:2.71e-03 	 Color:0.00e+00 	Time: 0.47
epoch 200:	pdl:1.10e+00 	 Rec:2.38e-03 	 Color:0.00e+00 	Time: 0.47
epoch 250:	pdl:7.45e-01 	 Rec:2.37e-03 	 Color:0.00e+00 	Time: 0.47
epoch 300:	pdl:7.38e-01 	 Rec:2.07e-03 	 Color:0.00e+00 	Time: 0.45
epoch 350:	pdl:7.16e-01 	 Rec:1.88e-03 	 Color:0.00e+00 	Time: 0.49
epoch 400:	pdl:8.12e-01 	 Rec:1.79e-03 	 Color:0.00e+00 	Time: 0.47
epoch 450:	pdl:7.00e-01 	 Rec:1.96e-03 	 Color:0.00e+00 	Time: 0.48
epoch 500:	pdl:8.37e-01 	 Rec:1.61e-03 	 Color:0.00e+00 	Time: 0.41
epoch 550:	pdl:6.18e-01 	 Rec:1.57e-03 	 Color:0.00e+00 	Time: 0.44
epoch 600:	pdl:7.06e-01 	 Rec:1.39e-03 	 Color:0.00e+00 	Time: 0.46
epoch 650:	pdl:5.90e-01 	 Rec:1.45e-03 	 Color:0.00e+00 	Time: 0.46
epoch 700:	pdl:7.99e-01 	 Rec:1.55e-03 	 Color:0.00e+00 	Time: 0.41
epoch 750:	pdl:6.03e-01 	 Rec:1.24e-03 	 Color:0.00e+00 	Time: 0.44
epoch 800:	pdl:6.83e-01 	 Rec:1.25e-03 	 Color:0.00e+00 	Time: 0.44
epoch 850:	pdl:6.74e-01 	 Rec:1.23e-03 	 Color:0.00e+00 	Time: 0.44
epoch 900:	pdl:6.85e-01 	 Rec:1.26e-03 	 Color:0.00e+00 	Time: 0.46
epoch 950:	pdl:6.05e-01 	 Rec:1.06e-03 	 Color:0.00e+00 	Time: 0.44
epoch 1000:	pdl:6.29e-01 	 Rec:1.06e-03 	 Color:0.00e+00 	Time: 0.42
epoch 1050:	pdl:6.40e-01 	 Rec:1.07e-03 	 Color:0.00e+00 	Time: 0.47
epoch 1100:	pdl:6.72e-01 	 Rec:1.12e-03 	 Color:0.00e+00 	Time: 0.48
epoch 1150:	pdl:6.02e-01 	 Rec:9.30e-04 	 Color:0.00e+00 	Time: 0.48
epoch 1200:	pdl:6.53e-01 	 Rec:9.52e-04 	 Color:0.00e+00 	Time: 0.45
epoch 1250:	pdl:6.38e-01 	 Rec:9.66e-04 	 Color:0.00e+00 	Time: 0.50
epoch 1300:	pdl:5.94e-01 	 Rec:8.51e-04 	 Color:0.00e+00 	Time: 0.47
epoch 1350:	pdl:6.96e-01 	 Rec:1.02e-03 	 Color:0.00e+00 	Time: 0.44
epoch 1400:	pdl:7.02e-01 	 Rec:9.74e-04 	 Color:0.00e+00 	Time: 0.45
epoch 1450:	pdl:6.35e-01 	 Rec:8.70e-04 	 Color:0.00e+00 	Time: 0.44
epoch 1500:	pdl:6.24e-01 	 Rec:9.82e-04 	 Color:0.00e+00 	Time: 0.44
epoch 1550:	pdl:6.65e-01 	 Rec:8.50e-04 	 Color:0.00e+00 	Time: 0.47
epoch 1600:	pdl:6.40e-01 	 Rec:7.67e-04 	 Color:0.00e+00 	Time: 0.43
epoch 1650:	pdl:5.86e-01 	 Rec:7.55e-04 	 Color:0.00e+00 	Time: 0.46
epoch 1700:	pdl:5.90e-01 	 Rec:8.13e-04 	 Color:0.00e+00 	Time: 0.49
epoch 1750:	pdl:6.33e-01 	 Rec:7.58e-04 	 Color:0.00e+00 	Time: 0.47
epoch 1800:	pdl:7.11e-01 	 Rec:7.36e-04 	 Color:0.00e+00 	Time: 0.48
epoch 1850:	pdl:7.98e-01 	 Rec:6.66e-04 	 Color:0.00e+00 	Time: 0.48
epoch 1900:	pdl:6.11e-01 	 Rec:7.10e-04 	 Color:0.00e+00 	Time: 0.43
epoch 1950:	pdl:7.25e-01 	 Rec:7.20e-04 	 Color:0.00e+00 	Time: 0.46
epoch 2000:	pdl:6.48e-01 	 Rec:6.56e-04 	 Color:0.00e+00 	Time: 0.44
epoch 2050:	pdl:5.85e-01 	 Rec:6.03e-04 	 Color:0.00e+00 	Time: 0.48
epoch 2100:	pdl:5.94e-01 	 Rec:5.57e-04 	 Color:0.00e+00 	Time: 0.46
epoch 2150:	pdl:5.83e-01 	 Rec:5.59e-04 	 Color:0.00e+00 	Time: 0.44
epoch 2200:	pdl:6.16e-01 	 Rec:6.66e-04 	 Color:0.00e+00 	Time: 0.46
epoch 2250:	pdl:6.75e-01 	 Rec:6.08e-04 	 Color:0.00e+00 	Time: 0.45
epoch 2300:	pdl:6.35e-01 	 Rec:6.00e-04 	 Color:0.00e+00 	Time: 0.45
epoch 2350:	pdl:6.53e-01 	 Rec:6.13e-04 	 Color:0.00e+00 	Time: 0.43
epoch 2400:	pdl:5.96e-01 	 Rec:5.22e-04 	 Color:0.00e+00 	Time: 0.45
epoch 2450:	pdl:6.27e-01 	 Rec:5.87e-04 	 Color:0.00e+00 	Time: 0.45
epoch 2500:	pdl:6.81e-01 	 Rec:5.69e-04 	 Color:0.00e+00 	Time: 0.45
epoch 2550:	pdl:6.48e-01 	 Rec:6.55e-04 	 Color:0.00e+00 	Time: 0.50
epoch 2600:	pdl:6.02e-01 	 Rec:5.27e-04 	 Color:0.00e+00 	Time: 0.48
epoch 2650:	pdl:6.81e-01 	 Rec:5.10e-04 	 Color:0.00e+00 	Time: 0.48
epoch 2700:	pdl:6.36e-01 	 Rec:5.55e-04 	 Color:0.00e+00 	Time: 0.45
epoch 2750:	pdl:6.87e-01 	 Rec:5.17e-04 	 Color:0.00e+00 	Time: 0.48
epoch 2800:	pdl:5.74e-01 	 Rec:4.55e-04 	 Color:0.00e+00 	Time: 0.45
epoch 2850:	pdl:6.92e-01 	 Rec:1.03e-03 	 Color:0.00e+00 	Time: 0.47
epoch 2900:	pdl:6.77e-01 	 Rec:4.89e-04 	 Color:0.00e+00 	Time: 0.44
epoch 2950:	pdl:6.08e-01 	 Rec:6.05e-04 	 Color:0.00e+00 	Time: 0.46
epoch 3000:	pdl:5.73e-01 	 Rec:4.20e-04 	 Color:0.00e+00 	Time: 0.44
epoch 3050:	pdl:6.56e-01 	 Rec:6.56e-04 	 Color:0.00e+00 	Time: 0.50
epoch 3100:	pdl:6.06e-01 	 Rec:4.61e-04 	 Color:0.00e+00 	Time: 0.45
