epoch 0:	pdl:3.06e-01 	 Rec:4.55e-03 	 Color:4.44e-02 	Time: 0.02
epoch 50:	pdl:3.85e-01 	 Rec:2.36e-03 	 Color:4.25e-02 	Time: 2.55
epoch 100:	pdl:3.16e-01 	 Rec:2.16e-03 	 Color:3.98e-02 	Time: 2.52
epoch 150:	pdl:2.88e-01 	 Rec:1.81e-03 	 Color:4.66e-02 	Time: 2.50
epoch 200:	pdl:3.61e-01 	 Rec:1.65e-03 	 Color:4.70e-02 	Time: 2.50
epoch 250:	pdl:3.08e-01 	 Rec:1.42e-03 	 Color:4.73e-02 	Time: 2.52
epoch 300:	pdl:2.70e-01 	 Rec:1.37e-03 	 Color:4.75e-02 	Time: 2.50
epoch 350:	pdl:2.95e-01 	 Rec:1.34e-03 	 Color:4.10e-02 	Time: 2.53
epoch 400:	pdl:3.02e-01 	 Rec:1.12e-03 	 Color:4.58e-02 	Time: 2.52
epoch 450:	pdl:3.04e-01 	 Rec:1.05e-03 	 Color:4.69e-02 	Time: 2.54
epoch 500:	pdl:2.77e-01 	 Rec:1.07e-03 	 Color:4.71e-02 	Time: 2.54
epoch 550:	pdl:3.81e-01 	 Rec:1.13e-03 	 Color:4.49e-02 	Time: 2.54
epoch 600:	pdl:3.11e-01 	 Rec:1.14e-03 	 Color:4.88e-02 	Time: 2.52
epoch 650:	pdl:2.90e-01 	 Rec:1.02e-03 	 Color:4.56e-02 	Time: 2.54
epoch 700:	pdl:2.96e-01 	 Rec:9.53e-04 	 Color:4.85e-02 	Time: 2.54
epoch 750:	pdl:2.61e-01 	 Rec:9.42e-04 	 Color:3.81e-02 	Time: 2.53
epoch 800:	pdl:2.89e-01 	 Rec:1.16e-03 	 Color:4.31e-02 	Time: 2.54
epoch 850:	pdl:2.56e-01 	 Rec:9.03e-04 	 Color:3.77e-02 	Time: 2.55
epoch 900:	pdl:3.07e-01 	 Rec:8.93e-04 	 Color:5.11e-02 	Time: 2.54
epoch 950:	pdl:3.78e-01 	 Rec:8.69e-04 	 Color:4.73e-02 	Time: 2.51
epoch 1000:	pdl:2.61e-01 	 Rec:8.52e-04 	 Color:3.89e-02 	Time: 2.53
epoch 1050:	pdl:3.16e-01 	 Rec:7.64e-04 	 Color:4.50e-02 	Time: 2.55
epoch 1100:	pdl:3.07e-01 	 Rec:8.59e-04 	 Color:4.02e-02 	Time: 2.54
epoch 1150:	pdl:2.76e-01 	 Rec:8.53e-04 	 Color:4.46e-02 	Time: 2.54
epoch 1200:	pdl:3.71e-01 	 Rec:7.85e-04 	 Color:4.66e-02 	Time: 2.52
epoch 1250:	pdl:2.75e-01 	 Rec:8.37e-04 	 Color:5.02e-02 	Time: 2.52
epoch 1300:	pdl:2.97e-01 	 Rec:9.45e-04 	 Color:4.23e-02 	Time: 2.54
