epoch 0:	pdl:1.69e+00 	 Rec:8.62e-02 	 Color:7.15e-02 	Time: 0.02
epoch 50:	pdl:4.97e-01 	 Rec:5.28e-03 	 Color:3.03e-02 	Time: 0.90
epoch 100:	pdl:4.14e-01 	 Rec:3.30e-03 	 Color:3.32e-02 	Time: 0.88
epoch 150:	pdl:4.01e-01 	 Rec:3.07e-03 	 Color:2.91e-02 	Time: 0.88
epoch 200:	pdl:3.78e-01 	 Rec:2.67e-03 	 Color:3.26e-02 	Time: 0.84
epoch 250:	pdl:4.66e-01 	 Rec:2.42e-03 	 Color:3.02e-02 	Time: 0.85
epoch 300:	pdl:3.78e-01 	 Rec:2.31e-03 	 Color:2.53e-02 	Time: 0.82
epoch 350:	pdl:4.21e-01 	 Rec:2.29e-03 	 Color:2.97e-02 	Time: 0.86
epoch 400:	pdl:3.97e-01 	 Rec:2.00e-03 	 Color:2.72e-02 	Time: 0.82
epoch 450:	pdl:3.88e-01 	 Rec:1.97e-03 	 Color:3.40e-02 	Time: 0.84
epoch 500:	pdl:4.06e-01 	 Rec:1.95e-03 	 Color:3.03e-02 	Time: 0.81
epoch 550:	pdl:3.77e-01 	 Rec:1.89e-03 	 Color:2.88e-02 	Time: 0.79
epoch 600:	pdl:4.37e-01 	 Rec:1.86e-03 	 Color:2.87e-02 	Time: 0.86
epoch 650:	pdl:3.84e-01 	 Rec:1.79e-03 	 Color:2.89e-02 	Time: 0.80
epoch 700:	pdl:3.56e-01 	 Rec:1.68e-03 	 Color:2.97e-02 	Time: 0.82
epoch 750:	pdl:4.96e-01 	 Rec:1.63e-03 	 Color:3.12e-02 	Time: 0.86
epoch 800:	pdl:3.82e-01 	 Rec:1.79e-03 	 Color:3.09e-02 	Time: 0.86
epoch 850:	pdl:3.84e-01 	 Rec:1.55e-03 	 Color:3.24e-02 	Time: 0.82
epoch 900:	pdl:3.65e-01 	 Rec:1.63e-03 	 Color:2.84e-02 	Time: 0.82
epoch 950:	pdl:4.01e-01 	 Rec:1.50e-03 	 Color:3.10e-02 	Time: 0.86
epoch 1000:	pdl:3.63e-01 	 Rec:1.65e-03 	 Color:2.91e-02 	Time: 0.84
epoch 1050:	pdl:4.18e-01 	 Rec:1.56e-03 	 Color:3.34e-02 	Time: 0.87
epoch 1100:	pdl:4.14e-01 	 Rec:1.73e-03 	 Color:2.94e-02 	Time: 0.85
epoch 1150:	pdl:4.43e-01 	 Rec:1.41e-03 	 Color:2.34e-02 	Time: 0.86
