epoch 0:	pdl:2.50e-01 	 Rec:1.13e-03 	 Color:3.93e-02 	Time: 0.03
epoch 50:	pdl:2.21e-01 	 Rec:9.68e-04 	 Color:4.02e-02 	Time: 2.80
epoch 100:	pdl:1.98e-01 	 Rec:8.78e-04 	 Color:3.88e-02 	Time: 2.73
epoch 150:	pdl:2.12e-01 	 Rec:8.13e-04 	 Color:3.61e-02 	Time: 2.73
epoch 200:	pdl:2.01e-01 	 Rec:8.16e-04 	 Color:3.77e-02 	Time: 2.72
epoch 250:	pdl:2.34e-01 	 Rec:9.50e-04 	 Color:3.82e-02 	Time: 2.73
epoch 300:	pdl:2.40e-01 	 Rec:7.94e-04 	 Color:3.95e-02 	Time: 2.72
epoch 350:	pdl:2.14e-01 	 Rec:9.39e-04 	 Color:3.58e-02 	Time: 2.73
epoch 400:	pdl:2.07e-01 	 Rec:9.78e-04 	 Color:3.74e-02 	Time: 2.73
epoch 450:	pdl:2.05e-01 	 Rec:8.07e-04 	 Color:3.54e-02 	Time: 2.73
epoch 500:	pdl:2.03e-01 	 Rec:7.66e-04 	 Color:3.94e-02 	Time: 2.75
epoch 550:	pdl:2.10e-01 	 Rec:7.53e-04 	 Color:3.52e-02 	Time: 2.73
epoch 600:	pdl:2.17e-01 	 Rec:8.36e-04 	 Color:3.37e-02 	Time: 2.74
epoch 650:	pdl:2.21e-01 	 Rec:7.45e-04 	 Color:3.28e-02 	Time: 2.74
epoch 700:	pdl:2.00e-01 	 Rec:7.68e-04 	 Color:3.67e-02 	Time: 2.73
epoch 750:	pdl:2.19e-01 	 Rec:7.42e-04 	 Color:3.93e-02 	Time: 2.74
epoch 800:	pdl:1.94e-01 	 Rec:7.75e-04 	 Color:3.67e-02 	Time: 2.74
epoch 850:	pdl:2.06e-01 	 Rec:8.37e-04 	 Color:3.91e-02 	Time: 2.74
epoch 900:	pdl:1.94e-01 	 Rec:7.59e-04 	 Color:3.37e-02 	Time: 2.73
epoch 950:	pdl:2.51e-01 	 Rec:1.24e-03 	 Color:3.60e-02 	Time: 2.73
epoch 1000:	pdl:2.27e-01 	 Rec:7.61e-04 	 Color:3.87e-02 	Time: 2.74
epoch 1050:	pdl:1.88e-01 	 Rec:8.24e-04 	 Color:3.84e-02 	Time: 2.78
epoch 1100:	pdl:2.25e-01 	 Rec:8.40e-04 	 Color:3.90e-02 	Time: 2.75
epoch 1150:	pdl:1.91e-01 	 Rec:6.68e-04 	 Color:3.76e-02 	Time: 2.77
epoch 1200:	pdl:2.49e-01 	 Rec:7.80e-04 	 Color:3.75e-02 	Time: 2.75
epoch 1250:	pdl:2.25e-01 	 Rec:7.35e-04 	 Color:3.80e-02 	Time: 2.75
epoch 1300:	pdl:1.89e-01 	 Rec:6.76e-04 	 Color:3.72e-02 	Time: 2.75
epoch 1350:	pdl:2.22e-01 	 Rec:7.95e-04 	 Color:4.05e-02 	Time: 2.75
epoch 1400:	pdl:2.53e-01 	 Rec:6.86e-04 	 Color:4.45e-02 	Time: 2.73
epoch 1450:	pdl:2.24e-01 	 Rec:8.28e-04 	 Color:3.86e-02 	Time: 2.73
epoch 1500:	pdl:2.14e-01 	 Rec:8.07e-04 	 Color:3.47e-02 	Time: 2.73
epoch 1550:	pdl:2.13e-01 	 Rec:7.01e-04 	 Color:3.70e-02 	Time: 2.72
epoch 1600:	pdl:2.17e-01 	 Rec:8.22e-04 	 Color:3.57e-02 	Time: 2.72
epoch 1650:	pdl:2.02e-01 	 Rec:6.64e-04 	 Color:3.71e-02 	Time: 2.73
epoch 1700:	pdl:2.13e-01 	 Rec:7.67e-04 	 Color:3.80e-02 	Time: 2.75
epoch 1750:	pdl:2.32e-01 	 Rec:7.79e-04 	 Color:3.98e-02 	Time: 2.75
epoch 1800:	pdl:2.04e-01 	 Rec:7.03e-04 	 Color:3.43e-02 	Time: 2.75
epoch 1850:	pdl:2.13e-01 	 Rec:6.98e-04 	 Color:3.92e-02 	Time: 2.76
epoch 1900:	pdl:2.24e-01 	 Rec:7.03e-04 	 Color:3.61e-02 	Time: 2.74
epoch 1950:	pdl:1.99e-01 	 Rec:7.58e-04 	 Color:3.55e-02 	Time: 2.75
epoch 2000:	pdl:2.07e-01 	 Rec:7.08e-04 	 Color:4.00e-02 	Time: 2.74
