epoch 0:	pdl:2.34e+00 	 Rec:3.66e-01 	 Color:0.00e+00 	Time: 0.01
epoch 50:	pdl:1.22e+00 	 Rec:5.41e-02 	 Color:0.00e+00 	Time: 0.36
epoch 100:	pdl:1.09e+00 	 Rec:1.81e-02 	 Color:0.00e+00 	Time: 0.38
epoch 150:	pdl:1.00e+00 	 Rec:9.31e-03 	 Color:0.00e+00 	Time: 0.35
epoch 200:	pdl:9.30e-01 	 Rec:5.67e-03 	 Color:0.00e+00 	Time: 0.41
epoch 250:	pdl:8.13e-01 	 Rec:3.99e-03 	 Color:0.00e+00 	Time: 0.35
epoch 300:	pdl:8.45e-01 	 Rec:3.24e-03 	 Color:0.00e+00 	Time: 0.41
epoch 350:	pdl:8.93e-01 	 Rec:2.30e-03 	 Color:0.00e+00 	Time: 0.41
epoch 400:	pdl:7.79e-01 	 Rec:3.09e-03 	 Color:0.00e+00 	Time: 0.38
epoch 450:	pdl:7.15e-01 	 Rec:1.80e-03 	 Color:0.00e+00 	Time: 0.37
epoch 500:	pdl:7.35e-01 	 Rec:1.52e-03 	 Color:0.00e+00 	Time: 0.32
epoch 550:	pdl:7.56e-01 	 Rec:1.42e-03 	 Color:0.00e+00 	Time: 0.36
epoch 600:	pdl:7.46e-01 	 Rec:1.38e-03 	 Color:0.00e+00 	Time: 0.36
epoch 650:	pdl:7.63e-01 	 Rec:1.01e-03 	 Color:0.00e+00 	Time: 0.38
epoch 700:	pdl:6.67e-01 	 Rec:1.19e-03 	 Color:0.00e+00 	Time: 0.37
epoch 750:	pdl:7.69e-01 	 Rec:1.07e-03 	 Color:0.00e+00 	Time: 0.37
epoch 800:	pdl:6.50e-01 	 Rec:1.73e-03 	 Color:0.00e+00 	Time: 0.37
epoch 850:	pdl:7.65e-01 	 Rec:8.53e-04 	 Color:0.00e+00 	Time: 0.38
epoch 900:	pdl:6.64e-01 	 Rec:1.69e-03 	 Color:0.00e+00 	Time: 0.38
epoch 950:	pdl:6.92e-01 	 Rec:1.19e-03 	 Color:0.00e+00 	Time: 0.38
epoch 1000:	pdl:7.71e-01 	 Rec:1.20e-03 	 Color:0.00e+00 	Time: 0.40
epoch 1050:	pdl:6.00e-01 	 Rec:7.06e-04 	 Color:0.00e+00 	Time: 0.36
epoch 1100:	pdl:6.50e-01 	 Rec:8.15e-04 	 Color:0.00e+00 	Time: 0.38
epoch 1150:	pdl:6.74e-01 	 Rec:8.01e-04 	 Color:0.00e+00 	Time: 0.39
epoch 1200:	pdl:7.10e-01 	 Rec:1.11e-03 	 Color:0.00e+00 	Time: 0.39
epoch 1250:	pdl:6.53e-01 	 Rec:6.75e-04 	 Color:0.00e+00 	Time: 0.40
epoch 1300:	pdl:6.24e-01 	 Rec:8.81e-04 	 Color:0.00e+00 	Time: 0.35
epoch 1350:	pdl:6.62e-01 	 Rec:5.86e-04 	 Color:0.00e+00 	Time: 0.37
epoch 1400:	pdl:5.87e-01 	 Rec:6.52e-04 	 Color:0.00e+00 	Time: 0.37
epoch 1450:	pdl:5.76e-01 	 Rec:6.34e-04 	 Color:0.00e+00 	Time: 0.35
epoch 1500:	pdl:6.60e-01 	 Rec:6.12e-04 	 Color:0.00e+00 	Time: 0.39
epoch 1550:	pdl:6.60e-01 	 Rec:6.60e-04 	 Color:0.00e+00 	Time: 0.37
epoch 1600:	pdl:5.66e-01 	 Rec:5.82e-04 	 Color:0.00e+00 	Time: 0.36
epoch 1650:	pdl:6.00e-01 	 Rec:6.58e-04 	 Color:0.00e+00 	Time: 0.39
epoch 1700:	pdl:6.02e-01 	 Rec:6.88e-04 	 Color:0.00e+00 	Time: 0.35
epoch 1750:	pdl:5.47e-01 	 Rec:6.77e-04 	 Color:0.00e+00 	Time: 0.33
epoch 1800:	pdl:6.27e-01 	 Rec:6.84e-04 	 Color:0.00e+00 	Time: 0.39
epoch 1850:	pdl:6.16e-01 	 Rec:7.79e-04 	 Color:0.00e+00 	Time: 0.34
