epoch 0:	pdl:6.31e-01 	 Rec:9.53e-03 	 Color:0.00e+00 	Time: 0.01
epoch 50:	pdl:6.07e-01 	 Rec:5.22e-03 	 Color:0.00e+00 	Time: 0.64
epoch 100:	pdl:5.71e-01 	 Rec:4.66e-03 	 Color:0.00e+00 	Time: 0.53
epoch 150:	pdl:5.53e-01 	 Rec:4.10e-03 	 Color:0.00e+00 	Time: 0.53
epoch 200:	pdl:5.51e-01 	 Rec:3.77e-03 	 Color:0.00e+00 	Time: 0.50
epoch 250:	pdl:5.57e-01 	 Rec:3.51e-03 	 Color:0.00e+00 	Time: 0.51
epoch 300:	pdl:5.31e-01 	 Rec:3.29e-03 	 Color:0.00e+00 	Time: 0.51
epoch 350:	pdl:5.64e-01 	 Rec:3.26e-03 	 Color:0.00e+00 	Time: 0.54
epoch 400:	pdl:5.35e-01 	 Rec:3.00e-03 	 Color:0.00e+00 	Time: 0.52
epoch 450:	pdl:5.48e-01 	 Rec:2.84e-03 	 Color:0.00e+00 	Time: 0.51
epoch 500:	pdl:5.63e-01 	 Rec:2.81e-03 	 Color:0.00e+00 	Time: 0.49
epoch 550:	pdl:5.85e-01 	 Rec:2.68e-03 	 Color:0.00e+00 	Time: 0.49
epoch 600:	pdl:5.36e-01 	 Rec:2.72e-03 	 Color:0.00e+00 	Time: 0.51
epoch 650:	pdl:5.35e-01 	 Rec:2.58e-03 	 Color:0.00e+00 	Time: 0.51
epoch 700:	pdl:5.36e-01 	 Rec:2.52e-03 	 Color:0.00e+00 	Time: 0.49
epoch 750:	pdl:5.32e-01 	 Rec:2.45e-03 	 Color:0.00e+00 	Time: 0.53
epoch 800:	pdl:5.25e-01 	 Rec:2.37e-03 	 Color:0.00e+00 	Time: 0.48
epoch 850:	pdl:5.22e-01 	 Rec:2.42e-03 	 Color:0.00e+00 	Time: 0.51
epoch 900:	pdl:5.38e-01 	 Rec:2.35e-03 	 Color:0.00e+00 	Time: 0.53
epoch 950:	pdl:5.76e-01 	 Rec:2.21e-03 	 Color:0.00e+00 	Time: 0.51
epoch 1000:	pdl:5.60e-01 	 Rec:2.20e-03 	 Color:0.00e+00 	Time: 0.51
epoch 1050:	pdl:5.60e-01 	 Rec:2.13e-03 	 Color:0.00e+00 	Time: 0.51
epoch 1100:	pdl:5.30e-01 	 Rec:1.98e-03 	 Color:0.00e+00 	Time: 0.53
epoch 1150:	pdl:5.73e-01 	 Rec:2.23e-03 	 Color:0.00e+00 	Time: 0.51
epoch 1200:	pdl:5.49e-01 	 Rec:2.06e-03 	 Color:0.00e+00 	Time: 0.51
epoch 1250:	pdl:5.72e-01 	 Rec:2.06e-03 	 Color:0.00e+00 	Time: 0.51
epoch 1300:	pdl:5.39e-01 	 Rec:1.99e-03 	 Color:0.00e+00 	Time: 0.51
epoch 1350:	pdl:5.58e-01 	 Rec:2.09e-03 	 Color:0.00e+00 	Time: 0.51
epoch 1400:	pdl:5.50e-01 	 Rec:1.86e-03 	 Color:0.00e+00 	Time: 0.52
epoch 1450:	pdl:5.39e-01 	 Rec:1.77e-03 	 Color:0.00e+00 	Time: 0.50
epoch 1500:	pdl:5.17e-01 	 Rec:1.73e-03 	 Color:0.00e+00 	Time: 0.49
epoch 1550:	pdl:5.35e-01 	 Rec:1.72e-03 	 Color:0.00e+00 	Time: 0.50
epoch 1600:	pdl:5.38e-01 	 Rec:1.76e-03 	 Color:0.00e+00 	Time: 0.57
epoch 1650:	pdl:5.37e-01 	 Rec:1.69e-03 	 Color:0.00e+00 	Time: 0.52
epoch 1700:	pdl:5.09e-01 	 Rec:1.69e-03 	 Color:0.00e+00 	Time: 0.55
epoch 1750:	pdl:5.24e-01 	 Rec:1.71e-03 	 Color:0.00e+00 	Time: 0.51
epoch 1800:	pdl:5.31e-01 	 Rec:1.67e-03 	 Color:0.00e+00 	Time: 0.53
epoch 1850:	pdl:5.79e-01 	 Rec:1.71e-03 	 Color:0.00e+00 	Time: 0.52
epoch 1900:	pdl:5.54e-01 	 Rec:1.70e-03 	 Color:0.00e+00 	Time: 0.54
epoch 1950:	pdl:4.85e-01 	 Rec:1.51e-03 	 Color:0.00e+00 	Time: 0.52
epoch 2000:	pdl:5.34e-01 	 Rec:1.60e-03 	 Color:0.00e+00 	Time: 0.52
epoch 2050:	pdl:5.46e-01 	 Rec:1.56e-03 	 Color:0.00e+00 	Time: 0.52
epoch 2100:	pdl:5.48e-01 	 Rec:1.59e-03 	 Color:0.00e+00 	Time: 0.51
epoch 2150:	pdl:5.10e-01 	 Rec:1.61e-03 	 Color:0.00e+00 	Time: 0.51
epoch 2200:	pdl:5.34e-01 	 Rec:1.45e-03 	 Color:0.00e+00 	Time: 0.52
epoch 2250:	pdl:5.35e-01 	 Rec:1.35e-03 	 Color:0.00e+00 	Time: 0.51
epoch 2300:	pdl:5.02e-01 	 Rec:1.49e-03 	 Color:0.00e+00 	Time: 0.52
epoch 2350:	pdl:5.23e-01 	 Rec:1.49e-03 	 Color:0.00e+00 	Time: 0.53
epoch 2400:	pdl:5.87e-01 	 Rec:1.52e-03 	 Color:0.00e+00 	Time: 0.52
epoch 2450:	pdl:4.98e-01 	 Rec:1.37e-03 	 Color:0.00e+00 	Time: 0.51
epoch 2500:	pdl:4.84e-01 	 Rec:1.45e-03 	 Color:0.00e+00 	Time: 0.51
epoch 2550:	pdl:5.51e-01 	 Rec:1.34e-03 	 Color:0.00e+00 	Time: 0.49
epoch 2600:	pdl:5.47e-01 	 Rec:1.48e-03 	 Color:0.00e+00 	Time: 0.51
epoch 2650:	pdl:5.17e-01 	 Rec:1.40e-03 	 Color:0.00e+00 	Time: 0.49
epoch 2700:	pdl:5.11e-01 	 Rec:1.47e-03 	 Color:0.00e+00 	Time: 0.49
epoch 2750:	pdl:5.09e-01 	 Rec:1.30e-03 	 Color:0.00e+00 	Time: 0.49
epoch 2800:	pdl:5.25e-01 	 Rec:1.52e-03 	 Color:0.00e+00 	Time: 0.52
epoch 2850:	pdl:5.14e-01 	 Rec:1.38e-03 	 Color:0.00e+00 	Time: 0.51
epoch 2900:	pdl:5.59e-01 	 Rec:1.33e-03 	 Color:0.00e+00 	Time: 0.49
epoch 2950:	pdl:5.33e-01 	 Rec:1.28e-03 	 Color:0.00e+00 	Time: 0.51
epoch 3000:	pdl:5.38e-01 	 Rec:1.25e-03 	 Color:0.00e+00 	Time: 0.54
epoch 3050:	pdl:5.31e-01 	 Rec:1.31e-03 	 Color:0.00e+00 	Time: 0.54
epoch 3100:	pdl:5.23e-01 	 Rec:1.33e-03 	 Color:0.00e+00 	Time: 0.54
epoch 3150:	pdl:5.36e-01 	 Rec:1.18e-03 	 Color:0.00e+00 	Time: 0.50
epoch 3200:	pdl:5.17e-01 	 Rec:1.34e-03 	 Color:0.00e+00 	Time: 0.53
epoch 3250:	pdl:5.44e-01 	 Rec:1.24e-03 	 Color:0.00e+00 	Time: 0.49
epoch 3300:	pdl:6.17e-01 	 Rec:1.26e-03 	 Color:0.00e+00 	Time: 0.49
epoch 3350:	pdl:5.65e-01 	 Rec:1.29e-03 	 Color:0.00e+00 	Time: 0.54
epoch 3400:	pdl:5.44e-01 	 Rec:1.23e-03 	 Color:0.00e+00 	Time: 0.51
epoch 3450:	pdl:5.01e-01 	 Rec:1.10e-03 	 Color:0.00e+00 	Time: 0.49
epoch 3500:	pdl:4.73e-01 	 Rec:1.29e-03 	 Color:0.00e+00 	Time: 0.54
epoch 3550:	pdl:5.46e-01 	 Rec:1.19e-03 	 Color:0.00e+00 	Time: 0.53
epoch 3600:	pdl:5.36e-01 	 Rec:1.23e-03 	 Color:0.00e+00 	Time: 0.54
epoch 3650:	pdl:5.03e-01 	 Rec:1.27e-03 	 Color:0.00e+00 	Time: 0.52
epoch 3700:	pdl:5.37e-01 	 Rec:1.18e-03 	 Color:0.00e+00 	Time: 0.52
epoch 3750:	pdl:5.38e-01 	 Rec:1.31e-03 	 Color:0.00e+00 	Time: 0.49
epoch 3800:	pdl:5.10e-01 	 Rec:1.10e-03 	 Color:0.00e+00 	Time: 0.54
epoch 3850:	pdl:5.16e-01 	 Rec:1.16e-03 	 Color:0.00e+00 	Time: 0.54
epoch 3900:	pdl:5.73e-01 	 Rec:1.31e-03 	 Color:0.00e+00 	Time: 0.50
epoch 3950:	pdl:5.27e-01 	 Rec:1.22e-03 	 Color:0.00e+00 	Time: 0.54
epoch 4000:	pdl:5.38e-01 	 Rec:1.17e-03 	 Color:0.00e+00 	Time: 0.52
epoch 4050:	pdl:4.98e-01 	 Rec:1.16e-03 	 Color:0.00e+00 	Time: 0.54
epoch 4100:	pdl:5.61e-01 	 Rec:1.21e-03 	 Color:0.00e+00 	Time: 0.50
epoch 4150:	pdl:5.04e-01 	 Rec:1.05e-03 	 Color:0.00e+00 	Time: 0.52
epoch 4200:	pdl:5.18e-01 	 Rec:1.08e-03 	 Color:0.00e+00 	Time: 0.52
epoch 4250:	pdl:5.17e-01 	 Rec:1.13e-03 	 Color:0.00e+00 	Time: 0.58
epoch 4300:	pdl:5.15e-01 	 Rec:1.24e-03 	 Color:0.00e+00 	Time: 0.53
epoch 4350:	pdl:4.94e-01 	 Rec:1.05e-03 	 Color:0.00e+00 	Time: 0.53
epoch 4400:	pdl:5.11e-01 	 Rec:1.11e-03 	 Color:0.00e+00 	Time: 0.49
epoch 4450:	pdl:5.06e-01 	 Rec:1.17e-03 	 Color:0.00e+00 	Time: 0.49
epoch 4500:	pdl:5.28e-01 	 Rec:1.13e-03 	 Color:0.00e+00 	Time: 0.54
