epoch 0:	pdl:2.19e+00 	 Rec:9.02e-02 	 Color:0.00e+00 	Time: 0.02
epoch 50:	pdl:8.61e-01 	 Rec:8.87e-03 	 Color:0.00e+00 	Time: 0.88
epoch 100:	pdl:8.81e-01 	 Rec:6.57e-03 	 Color:0.00e+00 	Time: 0.82
epoch 150:	pdl:7.97e-01 	 Rec:5.68e-03 	 Color:0.00e+00 	Time: 0.81
epoch 200:	pdl:8.17e-01 	 Rec:4.96e-03 	 Color:0.00e+00 	Time: 0.81
epoch 250:	pdl:8.36e-01 	 Rec:4.85e-03 	 Color:0.00e+00 	Time: 0.83
epoch 300:	pdl:7.85e-01 	 Rec:4.64e-03 	 Color:0.00e+00 	Time: 0.86
epoch 350:	pdl:7.72e-01 	 Rec:4.05e-03 	 Color:0.00e+00 	Time: 0.86
epoch 400:	pdl:7.30e-01 	 Rec:4.17e-03 	 Color:0.00e+00 	Time: 0.84
epoch 450:	pdl:7.92e-01 	 Rec:4.14e-03 	 Color:0.00e+00 	Time: 0.82
epoch 500:	pdl:7.87e-01 	 Rec:3.87e-03 	 Color:0.00e+00 	Time: 0.84
epoch 550:	pdl:7.75e-01 	 Rec:3.77e-03 	 Color:0.00e+00 	Time: 0.82
epoch 600:	pdl:8.02e-01 	 Rec:3.83e-03 	 Color:0.00e+00 	Time: 0.82
epoch 650:	pdl:7.67e-01 	 Rec:3.47e-03 	 Color:0.00e+00 	Time: 0.81
epoch 700:	pdl:7.64e-01 	 Rec:3.51e-03 	 Color:0.00e+00 	Time: 0.85
epoch 750:	pdl:8.24e-01 	 Rec:3.48e-03 	 Color:0.00e+00 	Time: 0.83
epoch 800:	pdl:7.44e-01 	 Rec:3.26e-03 	 Color:0.00e+00 	Time: 0.82
epoch 850:	pdl:7.73e-01 	 Rec:3.29e-03 	 Color:0.00e+00 	Time: 0.80
epoch 900:	pdl:7.69e-01 	 Rec:3.58e-03 	 Color:0.00e+00 	Time: 0.81
epoch 950:	pdl:7.92e-01 	 Rec:3.46e-03 	 Color:0.00e+00 	Time: 0.83
epoch 1000:	pdl:9.03e-01 	 Rec:3.14e-03 	 Color:0.00e+00 	Time: 0.81
epoch 1050:	pdl:7.89e-01 	 Rec:3.26e-03 	 Color:0.00e+00 	Time: 0.84
epoch 1100:	pdl:8.15e-01 	 Rec:3.19e-03 	 Color:0.00e+00 	Time: 0.84
epoch 1150:	pdl:7.39e-01 	 Rec:3.04e-03 	 Color:0.00e+00 	Time: 0.82
epoch 1200:	pdl:7.45e-01 	 Rec:3.13e-03 	 Color:0.00e+00 	Time: 0.83
epoch 1250:	pdl:8.36e-01 	 Rec:2.96e-03 	 Color:0.00e+00 	Time: 0.80
epoch 1300:	pdl:8.16e-01 	 Rec:2.93e-03 	 Color:0.00e+00 	Time: 0.85
epoch 1350:	pdl:7.98e-01 	 Rec:2.78e-03 	 Color:0.00e+00 	Time: 0.84
