epoch 0:	pdl:3.54e-01 	 Rec:6.55e-03 	 Color:4.31e-02 	Time: 0.02
epoch 50:	pdl:3.52e-01 	 Rec:4.16e-03 	 Color:4.23e-02 	Time: 1.99
epoch 100:	pdl:3.26e-01 	 Rec:3.56e-03 	 Color:4.07e-02 	Time: 1.96
epoch 150:	pdl:3.68e-01 	 Rec:3.55e-03 	 Color:4.03e-02 	Time: 1.96
epoch 200:	pdl:4.04e-01 	 Rec:3.65e-03 	 Color:4.77e-02 	Time: 1.95
epoch 250:	pdl:3.24e-01 	 Rec:3.38e-03 	 Color:4.17e-02 	Time: 1.95
epoch 300:	pdl:3.40e-01 	 Rec:3.25e-03 	 Color:4.08e-02 	Time: 1.96
epoch 350:	pdl:3.31e-01 	 Rec:3.20e-03 	 Color:4.43e-02 	Time: 1.98
epoch 400:	pdl:3.22e-01 	 Rec:2.92e-03 	 Color:4.07e-02 	Time: 1.99
epoch 450:	pdl:3.52e-01 	 Rec:2.99e-03 	 Color:4.57e-02 	Time: 1.98
epoch 500:	pdl:3.89e-01 	 Rec:3.03e-03 	 Color:4.45e-02 	Time: 1.98
epoch 550:	pdl:3.77e-01 	 Rec:2.94e-03 	 Color:4.63e-02 	Time: 1.98
epoch 600:	pdl:3.25e-01 	 Rec:2.80e-03 	 Color:4.04e-02 	Time: 1.98
epoch 650:	pdl:3.15e-01 	 Rec:2.82e-03 	 Color:3.86e-02 	Time: 1.98
epoch 700:	pdl:3.20e-01 	 Rec:3.04e-03 	 Color:4.10e-02 	Time: 1.98
epoch 750:	pdl:3.54e-01 	 Rec:2.66e-03 	 Color:4.48e-02 	Time: 1.96
epoch 800:	pdl:3.15e-01 	 Rec:2.87e-03 	 Color:3.95e-02 	Time: 1.95
epoch 850:	pdl:3.23e-01 	 Rec:2.82e-03 	 Color:4.36e-02 	Time: 1.95
epoch 900:	pdl:3.49e-01 	 Rec:2.67e-03 	 Color:5.42e-02 	Time: 1.94
epoch 950:	pdl:3.60e-01 	 Rec:2.79e-03 	 Color:4.54e-02 	Time: 1.96
epoch 1000:	pdl:3.49e-01 	 Rec:2.78e-03 	 Color:4.37e-02 	Time: 1.96
epoch 1050:	pdl:4.42e-01 	 Rec:2.63e-03 	 Color:5.01e-02 	Time: 2.03
epoch 1100:	pdl:3.42e-01 	 Rec:2.57e-03 	 Color:4.07e-02 	Time: 1.98
epoch 1150:	pdl:3.27e-01 	 Rec:2.56e-03 	 Color:4.04e-02 	Time: 1.98
epoch 1200:	pdl:3.62e-01 	 Rec:2.48e-03 	 Color:4.61e-02 	Time: 1.98
epoch 1250:	pdl:3.42e-01 	 Rec:2.47e-03 	 Color:4.44e-02 	Time: 1.99
epoch 1300:	pdl:3.24e-01 	 Rec:2.51e-03 	 Color:3.90e-02 	Time: 1.99
epoch 1350:	pdl:3.51e-01 	 Rec:2.37e-03 	 Color:4.39e-02 	Time: 1.98
epoch 1400:	pdl:3.15e-01 	 Rec:2.31e-03 	 Color:4.19e-02 	Time: 1.98
epoch 1450:	pdl:3.17e-01 	 Rec:2.45e-03 	 Color:4.26e-02 	Time: 1.99
epoch 1500:	pdl:3.14e-01 	 Rec:2.33e-03 	 Color:4.20e-02 	Time: 1.98
epoch 1550:	pdl:3.66e-01 	 Rec:2.26e-03 	 Color:4.58e-02 	Time: 1.98
epoch 1600:	pdl:3.12e-01 	 Rec:2.24e-03 	 Color:4.55e-02 	Time: 1.98
epoch 1650:	pdl:3.31e-01 	 Rec:2.56e-03 	 Color:4.06e-02 	Time: 1.98
epoch 1700:	pdl:2.89e-01 	 Rec:2.18e-03 	 Color:4.07e-02 	Time: 1.99
epoch 1750:	pdl:3.14e-01 	 Rec:2.36e-03 	 Color:4.24e-02 	Time: 1.99
epoch 1800:	pdl:3.23e-01 	 Rec:2.30e-03 	 Color:4.22e-02 	Time: 1.98
epoch 1850:	pdl:3.69e-01 	 Rec:2.53e-03 	 Color:4.79e-02 	Time: 1.95
epoch 1900:	pdl:3.26e-01 	 Rec:2.32e-03 	 Color:4.07e-02 	Time: 1.96
epoch 1950:	pdl:3.45e-01 	 Rec:2.57e-03 	 Color:4.50e-02 	Time: 1.96
epoch 2000:	pdl:3.33e-01 	 Rec:2.12e-03 	 Color:4.42e-02 	Time: 1.98
epoch 2050:	pdl:3.26e-01 	 Rec:2.27e-03 	 Color:4.73e-02 	Time: 1.98
epoch 2100:	pdl:3.55e-01 	 Rec:2.22e-03 	 Color:4.83e-02 	Time: 1.95
epoch 2150:	pdl:3.07e-01 	 Rec:2.07e-03 	 Color:4.16e-02 	Time: 1.96
