epoch 0:	pdl:2.35e-01 	 Rec:6.41e-03 	 Color:8.02e-02 	Time: 0.02
epoch 50:	pdl:2.10e-01 	 Rec:1.82e-03 	 Color:7.03e-02 	Time: 1.12
epoch 100:	pdl:2.13e-01 	 Rec:1.37e-03 	 Color:7.13e-02 	Time: 0.97
epoch 150:	pdl:2.44e-01 	 Rec:1.04e-03 	 Color:8.48e-02 	Time: 0.99
epoch 200:	pdl:2.10e-01 	 Rec:9.26e-04 	 Color:6.93e-02 	Time: 0.97
epoch 250:	pdl:2.41e-01 	 Rec:8.84e-04 	 Color:6.79e-02 	Time: 1.02
epoch 300:	pdl:2.31e-01 	 Rec:8.14e-04 	 Color:6.81e-02 	Time: 0.96
epoch 350:	pdl:2.10e-01 	 Rec:7.07e-04 	 Color:6.80e-02 	Time: 1.00
epoch 400:	pdl:2.26e-01 	 Rec:6.45e-04 	 Color:8.13e-02 	Time: 1.07
epoch 450:	pdl:2.29e-01 	 Rec:5.77e-04 	 Color:7.76e-02 	Time: 1.02
epoch 500:	pdl:2.15e-01 	 Rec:5.99e-04 	 Color:7.02e-02 	Time: 1.02
epoch 550:	pdl:2.23e-01 	 Rec:6.08e-04 	 Color:8.21e-02 	Time: 0.98
epoch 600:	pdl:2.15e-01 	 Rec:4.95e-04 	 Color:7.71e-02 	Time: 0.98
epoch 650:	pdl:2.09e-01 	 Rec:5.06e-04 	 Color:7.24e-02 	Time: 1.02
epoch 700:	pdl:2.22e-01 	 Rec:4.55e-04 	 Color:7.90e-02 	Time: 0.99
epoch 750:	pdl:2.23e-01 	 Rec:4.75e-04 	 Color:8.19e-02 	Time: 1.02
epoch 800:	pdl:2.20e-01 	 Rec:5.00e-04 	 Color:7.23e-02 	Time: 0.97
epoch 850:	pdl:2.08e-01 	 Rec:4.88e-04 	 Color:6.88e-02 	Time: 0.99
epoch 900:	pdl:2.18e-01 	 Rec:4.36e-04 	 Color:7.37e-02 	Time: 0.97
epoch 950:	pdl:2.32e-01 	 Rec:5.06e-04 	 Color:7.29e-02 	Time: 0.97
epoch 1000:	pdl:2.37e-01 	 Rec:3.97e-04 	 Color:7.55e-02 	Time: 0.97
epoch 1050:	pdl:2.12e-01 	 Rec:4.36e-04 	 Color:7.50e-02 	Time: 1.02
epoch 1100:	pdl:2.06e-01 	 Rec:3.74e-04 	 Color:6.78e-02 	Time: 0.99
epoch 1150:	pdl:1.94e-01 	 Rec:3.72e-04 	 Color:6.62e-02 	Time: 0.99
epoch 1200:	pdl:2.16e-01 	 Rec:3.92e-04 	 Color:6.90e-02 	Time: 0.99
epoch 1250:	pdl:2.02e-01 	 Rec:4.65e-04 	 Color:7.08e-02 	Time: 0.99
epoch 1300:	pdl:2.32e-01 	 Rec:3.53e-04 	 Color:7.94e-02 	Time: 0.97
epoch 1350:	pdl:1.92e-01 	 Rec:4.84e-04 	 Color:6.71e-02 	Time: 1.00
epoch 1400:	pdl:2.19e-01 	 Rec:3.44e-04 	 Color:7.67e-02 	Time: 0.99
epoch 1450:	pdl:2.07e-01 	 Rec:3.41e-04 	 Color:7.07e-02 	Time: 0.99
epoch 1500:	pdl:2.15e-01 	 Rec:3.24e-04 	 Color:7.46e-02 	Time: 0.96
epoch 1550:	pdl:2.17e-01 	 Rec:3.41e-04 	 Color:7.34e-02 	Time: 0.99
epoch 1600:	pdl:2.20e-01 	 Rec:3.54e-04 	 Color:6.52e-02 	Time: 0.97
epoch 1650:	pdl:2.06e-01 	 Rec:3.41e-04 	 Color:7.45e-02 	Time: 1.01
epoch 1700:	pdl:2.17e-01 	 Rec:4.67e-04 	 Color:7.02e-02 	Time: 0.96
epoch 1750:	pdl:2.19e-01 	 Rec:3.11e-04 	 Color:7.42e-02 	Time: 0.96
epoch 1800:	pdl:2.12e-01 	 Rec:3.10e-04 	 Color:7.29e-02 	Time: 0.96
epoch 1850:	pdl:1.96e-01 	 Rec:3.00e-04 	 Color:6.74e-02 	Time: 0.97
epoch 1900:	pdl:2.20e-01 	 Rec:3.22e-04 	 Color:7.75e-02 	Time: 0.97
epoch 1950:	pdl:2.06e-01 	 Rec:3.27e-04 	 Color:7.05e-02 	Time: 0.97
epoch 2000:	pdl:2.06e-01 	 Rec:3.22e-04 	 Color:7.21e-02 	Time: 0.99
epoch 2050:	pdl:2.23e-01 	 Rec:3.19e-04 	 Color:7.21e-02 	Time: 1.02
epoch 2100:	pdl:2.22e-01 	 Rec:3.77e-04 	 Color:7.32e-02 	Time: 0.97
epoch 2150:	pdl:1.99e-01 	 Rec:2.67e-04 	 Color:6.41e-02 	Time: 0.97
epoch 2200:	pdl:2.05e-01 	 Rec:2.73e-04 	 Color:7.22e-02 	Time: 0.96
epoch 2250:	pdl:2.22e-01 	 Rec:3.00e-04 	 Color:7.21e-02 	Time: 0.96
epoch 2300:	pdl:2.05e-01 	 Rec:2.98e-04 	 Color:6.55e-02 	Time: 0.97
epoch 2350:	pdl:2.19e-01 	 Rec:2.58e-04 	 Color:7.03e-02 	Time: 1.02
epoch 2400:	pdl:1.98e-01 	 Rec:2.99e-04 	 Color:6.97e-02 	Time: 0.99
epoch 2450:	pdl:2.13e-01 	 Rec:2.52e-04 	 Color:7.03e-02 	Time: 0.97
epoch 2500:	pdl:1.99e-01 	 Rec:3.12e-04 	 Color:6.89e-02 	Time: 0.96
epoch 2550:	pdl:2.02e-01 	 Rec:2.68e-04 	 Color:6.55e-02 	Time: 0.98
epoch 2600:	pdl:2.09e-01 	 Rec:2.86e-04 	 Color:7.30e-02 	Time: 0.98
epoch 2650:	pdl:2.13e-01 	 Rec:2.43e-04 	 Color:7.07e-02 	Time: 0.97
epoch 2700:	pdl:2.33e-01 	 Rec:2.80e-04 	 Color:7.91e-02 	Time: 0.97
epoch 2750:	pdl:1.95e-01 	 Rec:2.26e-04 	 Color:6.25e-02 	Time: 0.95
epoch 2800:	pdl:2.14e-01 	 Rec:2.93e-04 	 Color:7.79e-02 	Time: 0.96
epoch 2850:	pdl:2.06e-01 	 Rec:2.46e-04 	 Color:7.91e-02 	Time: 0.98
epoch 2900:	pdl:2.01e-01 	 Rec:3.10e-04 	 Color:6.84e-02 	Time: 0.98
epoch 2950:	pdl:2.01e-01 	 Rec:2.62e-04 	 Color:6.98e-02 	Time: 0.95
epoch 3000:	pdl:2.02e-01 	 Rec:2.83e-04 	 Color:7.30e-02 	Time: 0.95
epoch 3050:	pdl:2.09e-01 	 Rec:2.50e-04 	 Color:7.30e-02 	Time: 0.98
epoch 3100:	pdl:2.00e-01 	 Rec:3.25e-04 	 Color:6.77e-02 	Time: 1.00
epoch 3150:	pdl:2.00e-01 	 Rec:2.56e-04 	 Color:7.04e-02 	Time: 0.96
epoch 3200:	pdl:2.22e-01 	 Rec:3.01e-04 	 Color:6.54e-02 	Time: 0.99
epoch 3250:	pdl:1.93e-01 	 Rec:2.55e-04 	 Color:6.82e-02 	Time: 0.95
epoch 3300:	pdl:2.13e-01 	 Rec:2.74e-04 	 Color:7.50e-02 	Time: 1.00
epoch 3350:	pdl:2.05e-01 	 Rec:3.57e-04 	 Color:6.79e-02 	Time: 0.98
epoch 3400:	pdl:2.11e-01 	 Rec:2.44e-04 	 Color:6.93e-02 	Time: 0.99
epoch 3450:	pdl:2.06e-01 	 Rec:2.43e-04 	 Color:7.43e-02 	Time: 0.98
epoch 3500:	pdl:2.05e-01 	 Rec:2.53e-04 	 Color:6.88e-02 	Time: 0.98
epoch 3550:	pdl:2.07e-01 	 Rec:2.99e-04 	 Color:7.26e-02 	Time: 0.98
epoch 3600:	pdl:2.09e-01 	 Rec:2.28e-04 	 Color:7.31e-02 	Time: 1.00
epoch 3650:	pdl:2.26e-01 	 Rec:2.28e-04 	 Color:7.36e-02 	Time: 0.98
epoch 3700:	pdl:2.23e-01 	 Rec:1.94e-04 	 Color:7.74e-02 	Time: 0.99
epoch 3750:	pdl:1.99e-01 	 Rec:2.52e-04 	 Color:6.81e-02 	Time: 0.98
epoch 3800:	pdl:2.09e-01 	 Rec:2.41e-04 	 Color:6.80e-02 	Time: 0.96
epoch 3850:	pdl:2.09e-01 	 Rec:2.83e-04 	 Color:7.60e-02 	Time: 1.01
epoch 3900:	pdl:2.23e-01 	 Rec:2.51e-04 	 Color:7.37e-02 	Time: 1.00
epoch 3950:	pdl:2.14e-01 	 Rec:2.99e-04 	 Color:7.15e-02 	Time: 0.98
epoch 4000:	pdl:1.90e-01 	 Rec:2.38e-04 	 Color:6.47e-02 	Time: 0.98
epoch 4050:	pdl:2.16e-01 	 Rec:3.14e-04 	 Color:6.85e-02 	Time: 0.99
epoch 4100:	pdl:2.16e-01 	 Rec:2.47e-04 	 Color:7.13e-02 	Time: 0.96
epoch 4150:	pdl:2.06e-01 	 Rec:2.84e-04 	 Color:6.92e-02 	Time: 0.96
