epoch 0:	pdl:1.42e+00 	 Rec:1.63e-01 	 Color:2.56e-01 	Time: 0.02
epoch 50:	pdl:3.32e-01 	 Rec:7.57e-03 	 Color:1.04e-01 	Time: 1.50
epoch 100:	pdl:2.87e-01 	 Rec:5.03e-03 	 Color:1.09e-01 	Time: 1.44
epoch 150:	pdl:2.76e-01 	 Rec:3.80e-03 	 Color:9.38e-02 	Time: 1.44
epoch 200:	pdl:2.66e-01 	 Rec:3.77e-03 	 Color:9.51e-02 	Time: 1.44
epoch 250:	pdl:2.62e-01 	 Rec:3.64e-03 	 Color:9.27e-02 	Time: 1.45
epoch 300:	pdl:3.09e-01 	 Rec:3.36e-03 	 Color:1.10e-01 	Time: 1.43
epoch 350:	pdl:2.50e-01 	 Rec:3.18e-03 	 Color:9.26e-02 	Time: 1.47
epoch 400:	pdl:2.45e-01 	 Rec:2.75e-03 	 Color:9.12e-02 	Time: 1.43
epoch 450:	pdl:2.68e-01 	 Rec:2.60e-03 	 Color:1.00e-01 	Time: 1.47
epoch 500:	pdl:2.55e-01 	 Rec:2.42e-03 	 Color:9.86e-02 	Time: 1.44
epoch 550:	pdl:2.41e-01 	 Rec:2.32e-03 	 Color:9.50e-02 	Time: 1.47
epoch 600:	pdl:2.58e-01 	 Rec:2.12e-03 	 Color:1.06e-01 	Time: 1.45
epoch 650:	pdl:2.61e-01 	 Rec:2.32e-03 	 Color:9.56e-02 	Time: 1.47
epoch 700:	pdl:2.68e-01 	 Rec:2.09e-03 	 Color:1.12e-01 	Time: 1.46
epoch 750:	pdl:2.44e-01 	 Rec:2.16e-03 	 Color:9.03e-02 	Time: 1.47
epoch 800:	pdl:2.59e-01 	 Rec:2.05e-03 	 Color:9.72e-02 	Time: 1.45
epoch 850:	pdl:2.30e-01 	 Rec:1.81e-03 	 Color:8.79e-02 	Time: 1.45
epoch 900:	pdl:2.49e-01 	 Rec:1.91e-03 	 Color:9.56e-02 	Time: 1.44
epoch 950:	pdl:2.50e-01 	 Rec:1.75e-03 	 Color:9.58e-02 	Time: 1.45
