epoch 0:	pdl:2.99e-01 	 Rec:7.38e-03 	 Color:2.85e-02 	Time: 0.01
epoch 50:	pdl:2.70e-01 	 Rec:4.27e-03 	 Color:3.04e-02 	Time: 0.61
epoch 100:	pdl:2.58e-01 	 Rec:3.47e-03 	 Color:2.77e-02 	Time: 0.51
epoch 150:	pdl:3.04e-01 	 Rec:3.31e-03 	 Color:2.77e-02 	Time: 0.54
epoch 200:	pdl:2.72e-01 	 Rec:2.79e-03 	 Color:2.66e-02 	Time: 0.56
epoch 250:	pdl:2.59e-01 	 Rec:2.61e-03 	 Color:3.03e-02 	Time: 0.56
epoch 300:	pdl:2.49e-01 	 Rec:2.39e-03 	 Color:2.81e-02 	Time: 0.53
epoch 350:	pdl:2.73e-01 	 Rec:2.23e-03 	 Color:2.92e-02 	Time: 0.52
epoch 400:	pdl:2.75e-01 	 Rec:2.14e-03 	 Color:3.03e-02 	Time: 0.57
epoch 450:	pdl:2.57e-01 	 Rec:2.04e-03 	 Color:2.83e-02 	Time: 0.55
epoch 500:	pdl:2.58e-01 	 Rec:1.95e-03 	 Color:2.84e-02 	Time: 0.51
epoch 550:	pdl:3.19e-01 	 Rec:1.90e-03 	 Color:2.84e-02 	Time: 0.53
epoch 600:	pdl:2.76e-01 	 Rec:1.74e-03 	 Color:2.87e-02 	Time: 0.53
epoch 650:	pdl:2.79e-01 	 Rec:1.74e-03 	 Color:3.04e-02 	Time: 0.51
epoch 700:	pdl:2.80e-01 	 Rec:1.73e-03 	 Color:3.19e-02 	Time: 0.56
epoch 750:	pdl:2.64e-01 	 Rec:1.64e-03 	 Color:2.97e-02 	Time: 0.52
epoch 800:	pdl:2.61e-01 	 Rec:1.52e-03 	 Color:3.22e-02 	Time: 0.55
epoch 850:	pdl:2.69e-01 	 Rec:1.50e-03 	 Color:2.98e-02 	Time: 0.54
epoch 900:	pdl:2.78e-01 	 Rec:1.47e-03 	 Color:3.08e-02 	Time: 0.56
epoch 950:	pdl:2.77e-01 	 Rec:1.48e-03 	 Color:3.10e-02 	Time: 0.55
epoch 1000:	pdl:2.77e-01 	 Rec:1.37e-03 	 Color:2.71e-02 	Time: 0.53
epoch 1050:	pdl:2.73e-01 	 Rec:1.37e-03 	 Color:2.94e-02 	Time: 0.54
epoch 1100:	pdl:2.78e-01 	 Rec:1.36e-03 	 Color:2.99e-02 	Time: 0.53
epoch 1150:	pdl:2.65e-01 	 Rec:1.37e-03 	 Color:2.72e-02 	Time: 0.51
epoch 1200:	pdl:2.49e-01 	 Rec:1.29e-03 	 Color:2.97e-02 	Time: 0.56
epoch 1250:	pdl:2.63e-01 	 Rec:1.23e-03 	 Color:2.98e-02 	Time: 0.50
epoch 1300:	pdl:2.67e-01 	 Rec:1.25e-03 	 Color:2.86e-02 	Time: 0.55
epoch 1350:	pdl:2.78e-01 	 Rec:1.24e-03 	 Color:2.85e-02 	Time: 0.52
epoch 1400:	pdl:2.73e-01 	 Rec:1.17e-03 	 Color:2.82e-02 	Time: 0.51
epoch 1450:	pdl:2.82e-01 	 Rec:1.19e-03 	 Color:2.93e-02 	Time: 0.51
epoch 1500:	pdl:2.57e-01 	 Rec:1.10e-03 	 Color:2.58e-02 	Time: 0.53
epoch 1550:	pdl:2.69e-01 	 Rec:1.10e-03 	 Color:2.93e-02 	Time: 0.53
epoch 1600:	pdl:2.69e-01 	 Rec:1.08e-03 	 Color:2.94e-02 	Time: 0.51
epoch 1650:	pdl:2.74e-01 	 Rec:1.09e-03 	 Color:2.91e-02 	Time: 0.53
epoch 1700:	pdl:2.80e-01 	 Rec:1.06e-03 	 Color:3.20e-02 	Time: 0.52
epoch 1750:	pdl:2.62e-01 	 Rec:9.97e-04 	 Color:3.26e-02 	Time: 0.52
epoch 1800:	pdl:2.65e-01 	 Rec:1.03e-03 	 Color:3.22e-02 	Time: 0.54
epoch 1850:	pdl:2.51e-01 	 Rec:9.76e-04 	 Color:2.93e-02 	Time: 0.54
epoch 1900:	pdl:2.69e-01 	 Rec:9.34e-04 	 Color:3.19e-02 	Time: 0.55
epoch 1950:	pdl:2.85e-01 	 Rec:9.60e-04 	 Color:3.01e-02 	Time: 0.57
epoch 2000:	pdl:2.64e-01 	 Rec:9.53e-04 	 Color:3.19e-02 	Time: 0.52
epoch 2050:	pdl:2.80e-01 	 Rec:9.06e-04 	 Color:3.17e-02 	Time: 0.58
epoch 2100:	pdl:2.76e-01 	 Rec:9.35e-04 	 Color:3.29e-02 	Time: 0.57
epoch 2150:	pdl:2.64e-01 	 Rec:9.15e-04 	 Color:3.16e-02 	Time: 0.60
