epoch 0:	pdl:1.48e+00 	 Rec:8.07e-02 	 Color:5.98e-02 	Time: 0.02
epoch 50:	pdl:4.33e-01 	 Rec:7.76e-03 	 Color:4.24e-02 	Time: 0.92
epoch 100:	pdl:3.55e-01 	 Rec:5.15e-03 	 Color:3.92e-02 	Time: 0.82
epoch 150:	pdl:3.74e-01 	 Rec:4.03e-03 	 Color:4.26e-02 	Time: 0.84
epoch 200:	pdl:3.64e-01 	 Rec:3.48e-03 	 Color:4.10e-02 	Time: 0.87
epoch 250:	pdl:3.58e-01 	 Rec:3.26e-03 	 Color:4.04e-02 	Time: 0.84
epoch 300:	pdl:3.70e-01 	 Rec:2.83e-03 	 Color:3.90e-02 	Time: 0.83
epoch 350:	pdl:3.62e-01 	 Rec:2.75e-03 	 Color:3.97e-02 	Time: 0.80
epoch 400:	pdl:4.00e-01 	 Rec:2.47e-03 	 Color:3.70e-02 	Time: 0.85
epoch 450:	pdl:3.68e-01 	 Rec:2.23e-03 	 Color:3.97e-02 	Time: 0.78
epoch 500:	pdl:4.01e-01 	 Rec:2.22e-03 	 Color:4.04e-02 	Time: 0.83
epoch 550:	pdl:3.86e-01 	 Rec:1.90e-03 	 Color:3.62e-02 	Time: 0.83
epoch 600:	pdl:3.74e-01 	 Rec:1.77e-03 	 Color:4.20e-02 	Time: 0.83
epoch 650:	pdl:3.84e-01 	 Rec:1.75e-03 	 Color:3.62e-02 	Time: 0.84
epoch 700:	pdl:3.82e-01 	 Rec:1.71e-03 	 Color:3.74e-02 	Time: 0.84
epoch 750:	pdl:3.97e-01 	 Rec:1.57e-03 	 Color:3.90e-02 	Time: 0.84
epoch 800:	pdl:3.64e-01 	 Rec:1.61e-03 	 Color:3.96e-02 	Time: 0.84
epoch 850:	pdl:3.53e-01 	 Rec:1.49e-03 	 Color:3.65e-02 	Time: 0.90
epoch 900:	pdl:3.49e-01 	 Rec:1.47e-03 	 Color:4.01e-02 	Time: 0.84
epoch 950:	pdl:3.41e-01 	 Rec:1.36e-03 	 Color:3.62e-02 	Time: 0.82
epoch 1000:	pdl:3.79e-01 	 Rec:1.31e-03 	 Color:3.94e-02 	Time: 0.86
epoch 1050:	pdl:3.50e-01 	 Rec:1.19e-03 	 Color:3.95e-02 	Time: 0.91
epoch 1100:	pdl:4.06e-01 	 Rec:1.40e-03 	 Color:4.03e-02 	Time: 0.83
epoch 1150:	pdl:3.57e-01 	 Rec:1.07e-03 	 Color:3.91e-02 	Time: 0.86
epoch 1200:	pdl:3.67e-01 	 Rec:1.16e-03 	 Color:4.25e-02 	Time: 0.82
epoch 1250:	pdl:4.28e-01 	 Rec:1.26e-03 	 Color:4.22e-02 	Time: 0.83
epoch 1300:	pdl:3.44e-01 	 Rec:1.03e-03 	 Color:3.80e-02 	Time: 0.81
epoch 1350:	pdl:3.60e-01 	 Rec:1.11e-03 	 Color:3.92e-02 	Time: 0.81
epoch 1400:	pdl:3.78e-01 	 Rec:1.10e-03 	 Color:3.81e-02 	Time: 0.83
epoch 1450:	pdl:3.66e-01 	 Rec:1.09e-03 	 Color:3.88e-02 	Time: 0.81
epoch 1500:	pdl:3.32e-01 	 Rec:9.64e-04 	 Color:3.71e-02 	Time: 0.78
epoch 1550:	pdl:4.37e-01 	 Rec:8.66e-04 	 Color:3.94e-02 	Time: 0.79
epoch 1600:	pdl:3.47e-01 	 Rec:8.50e-04 	 Color:3.93e-02 	Time: 0.81
epoch 1650:	pdl:3.61e-01 	 Rec:8.86e-04 	 Color:3.87e-02 	Time: 0.79
epoch 1700:	pdl:4.27e-01 	 Rec:9.01e-04 	 Color:3.80e-02 	Time: 0.81
epoch 1750:	pdl:3.93e-01 	 Rec:8.63e-04 	 Color:3.88e-02 	Time: 0.81
epoch 1800:	pdl:3.57e-01 	 Rec:8.43e-04 	 Color:3.90e-02 	Time: 0.81
epoch 1850:	pdl:3.86e-01 	 Rec:9.29e-04 	 Color:3.90e-02 	Time: 0.86
epoch 1900:	pdl:3.74e-01 	 Rec:7.48e-04 	 Color:3.89e-02 	Time: 0.83
epoch 1950:	pdl:3.38e-01 	 Rec:6.88e-04 	 Color:3.59e-02 	Time: 0.82
epoch 2000:	pdl:3.40e-01 	 Rec:7.51e-04 	 Color:3.71e-02 	Time: 0.81
epoch 2050:	pdl:3.24e-01 	 Rec:7.43e-04 	 Color:3.91e-02 	Time: 0.87
epoch 2100:	pdl:3.37e-01 	 Rec:7.59e-04 	 Color:3.74e-02 	Time: 0.87
epoch 2150:	pdl:3.80e-01 	 Rec:8.61e-04 	 Color:3.69e-02 	Time: 0.86
epoch 2200:	pdl:3.70e-01 	 Rec:8.56e-04 	 Color:3.77e-02 	Time: 0.83
epoch 2250:	pdl:3.78e-01 	 Rec:7.49e-04 	 Color:3.87e-02 	Time: 0.87
epoch 2300:	pdl:3.63e-01 	 Rec:5.87e-04 	 Color:3.90e-02 	Time: 0.83
epoch 2350:	pdl:3.62e-01 	 Rec:6.23e-04 	 Color:3.84e-02 	Time: 0.83
epoch 2400:	pdl:3.37e-01 	 Rec:6.23e-04 	 Color:3.56e-02 	Time: 0.88
epoch 2450:	pdl:3.91e-01 	 Rec:6.11e-04 	 Color:4.04e-02 	Time: 0.80
epoch 2500:	pdl:3.39e-01 	 Rec:6.78e-04 	 Color:3.73e-02 	Time: 0.84
epoch 2550:	pdl:3.27e-01 	 Rec:6.86e-04 	 Color:3.70e-02 	Time: 0.81
epoch 2600:	pdl:3.33e-01 	 Rec:6.68e-04 	 Color:3.71e-02 	Time: 0.85
epoch 2650:	pdl:3.69e-01 	 Rec:9.00e-04 	 Color:3.98e-02 	Time: 0.83
epoch 2700:	pdl:3.59e-01 	 Rec:5.94e-04 	 Color:4.00e-02 	Time: 0.81
epoch 2750:	pdl:3.63e-01 	 Rec:6.72e-04 	 Color:3.97e-02 	Time: 0.81
