epoch 0:	pdl:7.56e-01 	 Rec:6.40e-02 	 Color:4.00e-02 	Time: 0.04
epoch 50:	pdl:3.26e-01 	 Rec:1.28e-02 	 Color:2.79e-02 	Time: 0.87
epoch 100:	pdl:3.54e-01 	 Rec:8.27e-03 	 Color:2.99e-02 	Time: 0.85
epoch 150:	pdl:3.30e-01 	 Rec:6.33e-03 	 Color:2.28e-02 	Time: 0.85
epoch 200:	pdl:2.82e-01 	 Rec:4.94e-03 	 Color:2.74e-02 	Time: 0.84
epoch 250:	pdl:2.94e-01 	 Rec:4.13e-03 	 Color:2.48e-02 	Time: 0.87
epoch 300:	pdl:3.13e-01 	 Rec:3.25e-03 	 Color:2.79e-02 	Time: 0.84
epoch 350:	pdl:3.10e-01 	 Rec:2.60e-03 	 Color:2.77e-02 	Time: 0.86
epoch 400:	pdl:3.29e-01 	 Rec:2.40e-03 	 Color:2.69e-02 	Time: 0.89
epoch 450:	pdl:3.20e-01 	 Rec:1.99e-03 	 Color:2.60e-02 	Time: 0.86
epoch 500:	pdl:3.17e-01 	 Rec:1.73e-03 	 Color:2.38e-02 	Time: 0.87
epoch 550:	pdl:2.97e-01 	 Rec:1.49e-03 	 Color:2.68e-02 	Time: 0.87
epoch 600:	pdl:3.55e-01 	 Rec:1.43e-03 	 Color:2.92e-02 	Time: 0.90
epoch 650:	pdl:3.04e-01 	 Rec:1.13e-03 	 Color:2.60e-02 	Time: 0.86
epoch 700:	pdl:3.09e-01 	 Rec:1.14e-03 	 Color:2.49e-02 	Time: 0.88
epoch 750:	pdl:2.83e-01 	 Rec:9.40e-04 	 Color:2.85e-02 	Time: 0.86
epoch 800:	pdl:3.30e-01 	 Rec:9.15e-04 	 Color:2.93e-02 	Time: 0.88
epoch 850:	pdl:2.99e-01 	 Rec:9.51e-04 	 Color:2.52e-02 	Time: 0.88
epoch 900:	pdl:2.82e-01 	 Rec:7.40e-04 	 Color:2.20e-02 	Time: 0.84
epoch 950:	pdl:3.00e-01 	 Rec:8.02e-04 	 Color:2.70e-02 	Time: 0.85
epoch 1000:	pdl:2.87e-01 	 Rec:6.65e-04 	 Color:2.68e-02 	Time: 0.86
epoch 1050:	pdl:2.88e-01 	 Rec:6.48e-04 	 Color:2.63e-02 	Time: 0.85
epoch 1100:	pdl:3.01e-01 	 Rec:7.14e-04 	 Color:2.85e-02 	Time: 0.86
