epoch 0:	pdl:2.28e+00 	 Rec:3.97e-01 	 Color:2.23e-01 	Time: 0.01
epoch 50:	pdl:9.29e-01 	 Rec:6.15e-02 	 Color:1.32e-01 	Time: 0.60
epoch 100:	pdl:6.99e-01 	 Rec:2.04e-02 	 Color:1.38e-01 	Time: 0.54
epoch 150:	pdl:6.28e-01 	 Rec:1.80e-02 	 Color:1.24e-01 	Time: 0.48
epoch 200:	pdl:5.81e-01 	 Rec:5.25e-03 	 Color:1.20e-01 	Time: 0.48
epoch 250:	pdl:6.05e-01 	 Rec:4.37e-03 	 Color:1.23e-01 	Time: 0.47
epoch 300:	pdl:7.06e-01 	 Rec:3.92e-03 	 Color:1.71e-01 	Time: 0.46
epoch 350:	pdl:6.05e-01 	 Rec:3.78e-03 	 Color:1.18e-01 	Time: 0.49
epoch 400:	pdl:5.39e-01 	 Rec:3.39e-03 	 Color:1.09e-01 	Time: 0.44
epoch 450:	pdl:5.91e-01 	 Rec:3.39e-03 	 Color:1.33e-01 	Time: 0.49
epoch 500:	pdl:5.40e-01 	 Rec:3.27e-03 	 Color:1.16e-01 	Time: 0.48
epoch 550:	pdl:5.86e-01 	 Rec:2.95e-03 	 Color:1.15e-01 	Time: 0.51
epoch 600:	pdl:5.64e-01 	 Rec:4.73e-03 	 Color:1.10e-01 	Time: 0.46
epoch 650:	pdl:5.76e-01 	 Rec:2.86e-03 	 Color:1.14e-01 	Time: 0.47
epoch 700:	pdl:5.75e-01 	 Rec:2.95e-03 	 Color:1.33e-01 	Time: 0.48
epoch 750:	pdl:5.62e-01 	 Rec:2.91e-03 	 Color:1.19e-01 	Time: 0.49
epoch 800:	pdl:5.65e-01 	 Rec:2.48e-03 	 Color:1.24e-01 	Time: 0.48
epoch 850:	pdl:5.91e-01 	 Rec:2.53e-03 	 Color:1.52e-01 	Time: 0.49
epoch 900:	pdl:5.50e-01 	 Rec:2.54e-03 	 Color:1.23e-01 	Time: 0.46
epoch 950:	pdl:5.28e-01 	 Rec:2.49e-03 	 Color:1.07e-01 	Time: 0.50
epoch 1000:	pdl:5.45e-01 	 Rec:2.46e-03 	 Color:1.07e-01 	Time: 0.46
epoch 1050:	pdl:5.56e-01 	 Rec:2.20e-03 	 Color:1.08e-01 	Time: 0.49
epoch 1100:	pdl:5.37e-01 	 Rec:2.01e-03 	 Color:1.07e-01 	Time: 0.49
epoch 1150:	pdl:5.83e-01 	 Rec:2.32e-03 	 Color:1.17e-01 	Time: 0.47
