epoch 0:	pdl:3.26e+00 	 Rec:4.02e-01 	 Color:0.00e+00 	Time: 0.01
epoch 50:	pdl:8.94e-01 	 Rec:2.37e-02 	 Color:0.00e+00 	Time: 0.53
epoch 100:	pdl:9.04e-01 	 Rec:8.27e-03 	 Color:0.00e+00 	Time: 0.53
epoch 150:	pdl:6.30e-01 	 Rec:6.50e-03 	 Color:0.00e+00 	Time: 0.44
epoch 200:	pdl:7.62e-01 	 Rec:7.64e-03 	 Color:0.00e+00 	Time: 0.44
epoch 250:	pdl:8.12e-01 	 Rec:5.69e-03 	 Color:0.00e+00 	Time: 0.46
epoch 300:	pdl:8.57e-01 	 Rec:4.71e-03 	 Color:0.00e+00 	Time: 0.46
epoch 350:	pdl:8.72e-01 	 Rec:4.74e-03 	 Color:0.00e+00 	Time: 0.44
epoch 400:	pdl:6.97e-01 	 Rec:4.24e-03 	 Color:0.00e+00 	Time: 0.47
epoch 450:	pdl:7.98e-01 	 Rec:4.51e-03 	 Color:0.00e+00 	Time: 0.48
epoch 500:	pdl:7.36e-01 	 Rec:3.91e-03 	 Color:0.00e+00 	Time: 0.44
epoch 550:	pdl:7.53e-01 	 Rec:4.45e-03 	 Color:0.00e+00 	Time: 0.44
epoch 600:	pdl:7.80e-01 	 Rec:4.17e-03 	 Color:0.00e+00 	Time: 0.46
epoch 650:	pdl:7.53e-01 	 Rec:3.70e-03 	 Color:0.00e+00 	Time: 0.46
epoch 700:	pdl:8.63e-01 	 Rec:3.60e-03 	 Color:0.00e+00 	Time: 0.47
epoch 750:	pdl:7.74e-01 	 Rec:3.72e-03 	 Color:0.00e+00 	Time: 0.45
epoch 800:	pdl:7.84e-01 	 Rec:3.30e-03 	 Color:0.00e+00 	Time: 0.45
epoch 850:	pdl:7.70e-01 	 Rec:3.12e-03 	 Color:0.00e+00 	Time: 0.42
epoch 900:	pdl:7.00e-01 	 Rec:3.31e-03 	 Color:0.00e+00 	Time: 0.46
epoch 950:	pdl:6.88e-01 	 Rec:2.92e-03 	 Color:0.00e+00 	Time: 0.49
epoch 1000:	pdl:7.54e-01 	 Rec:3.51e-03 	 Color:0.00e+00 	Time: 0.49
epoch 1050:	pdl:7.13e-01 	 Rec:3.17e-03 	 Color:0.00e+00 	Time: 0.49
epoch 1100:	pdl:7.30e-01 	 Rec:3.07e-03 	 Color:0.00e+00 	Time: 0.50
epoch 1150:	pdl:7.58e-01 	 Rec:3.44e-03 	 Color:0.00e+00 	Time: 0.47
epoch 1200:	pdl:6.28e-01 	 Rec:3.81e-03 	 Color:0.00e+00 	Time: 0.45
epoch 1250:	pdl:6.79e-01 	 Rec:2.55e-03 	 Color:0.00e+00 	Time: 0.51
epoch 1300:	pdl:7.00e-01 	 Rec:2.57e-03 	 Color:0.00e+00 	Time: 0.48
epoch 1350:	pdl:6.53e-01 	 Rec:3.26e-03 	 Color:0.00e+00 	Time: 0.45
epoch 1400:	pdl:7.26e-01 	 Rec:2.42e-03 	 Color:0.00e+00 	Time: 0.47
epoch 1450:	pdl:7.09e-01 	 Rec:2.46e-03 	 Color:0.00e+00 	Time: 0.47
epoch 1500:	pdl:7.63e-01 	 Rec:3.17e-03 	 Color:0.00e+00 	Time: 0.46
epoch 1550:	pdl:7.18e-01 	 Rec:2.41e-03 	 Color:0.00e+00 	Time: 0.48
epoch 1600:	pdl:7.20e-01 	 Rec:2.93e-03 	 Color:0.00e+00 	Time: 0.47
epoch 1650:	pdl:6.67e-01 	 Rec:2.51e-03 	 Color:0.00e+00 	Time: 0.41
epoch 1700:	pdl:6.95e-01 	 Rec:2.62e-03 	 Color:0.00e+00 	Time: 0.45
epoch 1750:	pdl:7.19e-01 	 Rec:2.34e-03 	 Color:0.00e+00 	Time: 0.45
epoch 1800:	pdl:7.15e-01 	 Rec:2.27e-03 	 Color:0.00e+00 	Time: 0.47
epoch 1850:	pdl:7.01e-01 	 Rec:2.81e-03 	 Color:0.00e+00 	Time: 0.49
epoch 1900:	pdl:7.06e-01 	 Rec:2.21e-03 	 Color:0.00e+00 	Time: 0.49
epoch 1950:	pdl:7.74e-01 	 Rec:3.32e-03 	 Color:0.00e+00 	Time: 0.49
epoch 2000:	pdl:6.41e-01 	 Rec:2.42e-03 	 Color:0.00e+00 	Time: 0.49
epoch 2050:	pdl:6.83e-01 	 Rec:2.75e-03 	 Color:0.00e+00 	Time: 0.49
epoch 2100:	pdl:6.48e-01 	 Rec:2.25e-03 	 Color:0.00e+00 	Time: 0.46
epoch 2150:	pdl:6.78e-01 	 Rec:2.57e-03 	 Color:0.00e+00 	Time: 0.47
epoch 2200:	pdl:6.49e-01 	 Rec:2.45e-03 	 Color:0.00e+00 	Time: 0.47
epoch 2250:	pdl:6.18e-01 	 Rec:2.09e-03 	 Color:0.00e+00 	Time: 0.47
epoch 2300:	pdl:6.39e-01 	 Rec:2.23e-03 	 Color:0.00e+00 	Time: 0.48
epoch 2350:	pdl:6.30e-01 	 Rec:2.70e-03 	 Color:0.00e+00 	Time: 0.48
epoch 2400:	pdl:6.38e-01 	 Rec:2.28e-03 	 Color:0.00e+00 	Time: 0.47
epoch 2450:	pdl:6.41e-01 	 Rec:2.16e-03 	 Color:0.00e+00 	Time: 0.47
epoch 2500:	pdl:6.86e-01 	 Rec:1.89e-03 	 Color:0.00e+00 	Time: 0.45
epoch 2550:	pdl:6.77e-01 	 Rec:1.90e-03 	 Color:0.00e+00 	Time: 0.51
epoch 2600:	pdl:6.35e-01 	 Rec:1.97e-03 	 Color:0.00e+00 	Time: 0.46
epoch 2650:	pdl:7.34e-01 	 Rec:2.15e-03 	 Color:0.00e+00 	Time: 0.46
epoch 2700:	pdl:6.52e-01 	 Rec:1.78e-03 	 Color:0.00e+00 	Time: 0.43
epoch 2750:	pdl:6.53e-01 	 Rec:2.25e-03 	 Color:0.00e+00 	Time: 0.52
epoch 2800:	pdl:7.14e-01 	 Rec:2.01e-03 	 Color:0.00e+00 	Time: 0.46
epoch 2850:	pdl:7.38e-01 	 Rec:1.90e-03 	 Color:0.00e+00 	Time: 0.49
epoch 2900:	pdl:6.23e-01 	 Rec:1.99e-03 	 Color:0.00e+00 	Time: 0.47
epoch 2950:	pdl:6.31e-01 	 Rec:2.34e-03 	 Color:0.00e+00 	Time: 0.46
epoch 3000:	pdl:6.80e-01 	 Rec:2.07e-03 	 Color:0.00e+00 	Time: 0.49
epoch 3050:	pdl:7.28e-01 	 Rec:2.12e-03 	 Color:0.00e+00 	Time: 0.50
epoch 3100:	pdl:6.05e-01 	 Rec:2.55e-03 	 Color:0.00e+00 	Time: 0.48
epoch 3150:	pdl:6.67e-01 	 Rec:3.26e-03 	 Color:0.00e+00 	Time: 0.47
epoch 3200:	pdl:6.38e-01 	 Rec:1.63e-03 	 Color:0.00e+00 	Time: 0.47
epoch 3250:	pdl:7.55e-01 	 Rec:2.30e-03 	 Color:0.00e+00 	Time: 0.45
epoch 3300:	pdl:6.48e-01 	 Rec:2.78e-03 	 Color:0.00e+00 	Time: 0.48
epoch 3350:	pdl:6.83e-01 	 Rec:2.30e-03 	 Color:0.00e+00 	Time: 0.48
epoch 3400:	pdl:6.79e-01 	 Rec:1.61e-03 	 Color:0.00e+00 	Time: 0.44
epoch 3450:	pdl:6.63e-01 	 Rec:2.09e-03 	 Color:0.00e+00 	Time: 0.46
epoch 3500:	pdl:5.90e-01 	 Rec:1.48e-03 	 Color:0.00e+00 	Time: 0.44
epoch 3550:	pdl:7.64e-01 	 Rec:1.73e-03 	 Color:0.00e+00 	Time: 0.44
epoch 3600:	pdl:6.06e-01 	 Rec:1.58e-03 	 Color:0.00e+00 	Time: 0.45
epoch 3650:	pdl:6.17e-01 	 Rec:1.82e-03 	 Color:0.00e+00 	Time: 0.45
