epoch 0:	pdl:5.55e-01 	 Rec:1.27e-02 	 Color:0.00e+00 	Time: 0.01
epoch 50:	pdl:5.58e-01 	 Rec:3.60e-03 	 Color:0.00e+00 	Time: 0.58
epoch 100:	pdl:5.19e-01 	 Rec:2.89e-03 	 Color:0.00e+00 	Time: 0.53
epoch 150:	pdl:5.40e-01 	 Rec:2.24e-03 	 Color:0.00e+00 	Time: 0.52
epoch 200:	pdl:5.31e-01 	 Rec:2.38e-03 	 Color:0.00e+00 	Time: 0.54
epoch 250:	pdl:5.97e-01 	 Rec:1.86e-03 	 Color:0.00e+00 	Time: 0.53
epoch 300:	pdl:5.44e-01 	 Rec:1.61e-03 	 Color:0.00e+00 	Time: 0.53
epoch 350:	pdl:6.07e-01 	 Rec:1.60e-03 	 Color:0.00e+00 	Time: 0.52
epoch 400:	pdl:5.63e-01 	 Rec:1.54e-03 	 Color:0.00e+00 	Time: 0.50
epoch 450:	pdl:5.34e-01 	 Rec:1.42e-03 	 Color:0.00e+00 	Time: 0.53
epoch 500:	pdl:5.87e-01 	 Rec:1.41e-03 	 Color:0.00e+00 	Time: 0.55
epoch 550:	pdl:5.77e-01 	 Rec:1.28e-03 	 Color:0.00e+00 	Time: 0.52
epoch 600:	pdl:6.01e-01 	 Rec:1.21e-03 	 Color:0.00e+00 	Time: 0.52
epoch 650:	pdl:5.22e-01 	 Rec:1.39e-03 	 Color:0.00e+00 	Time: 0.53
epoch 700:	pdl:5.82e-01 	 Rec:1.32e-03 	 Color:0.00e+00 	Time: 0.55
epoch 750:	pdl:5.58e-01 	 Rec:1.24e-03 	 Color:0.00e+00 	Time: 0.54
epoch 800:	pdl:5.11e-01 	 Rec:1.30e-03 	 Color:0.00e+00 	Time: 0.52
epoch 850:	pdl:5.16e-01 	 Rec:1.14e-03 	 Color:0.00e+00 	Time: 0.52
epoch 900:	pdl:5.15e-01 	 Rec:1.15e-03 	 Color:0.00e+00 	Time: 0.51
epoch 950:	pdl:4.85e-01 	 Rec:1.21e-03 	 Color:0.00e+00 	Time: 0.51
epoch 1000:	pdl:5.22e-01 	 Rec:1.30e-03 	 Color:0.00e+00 	Time: 0.49
epoch 1050:	pdl:4.85e-01 	 Rec:1.04e-03 	 Color:0.00e+00 	Time: 0.58
epoch 1100:	pdl:5.39e-01 	 Rec:1.12e-03 	 Color:0.00e+00 	Time: 0.52
epoch 1150:	pdl:5.10e-01 	 Rec:1.16e-03 	 Color:0.00e+00 	Time: 0.52
epoch 1200:	pdl:5.43e-01 	 Rec:1.10e-03 	 Color:0.00e+00 	Time: 0.49
epoch 1250:	pdl:5.81e-01 	 Rec:1.16e-03 	 Color:0.00e+00 	Time: 0.52
epoch 1300:	pdl:5.48e-01 	 Rec:1.47e-03 	 Color:0.00e+00 	Time: 0.52
epoch 1350:	pdl:5.14e-01 	 Rec:9.91e-04 	 Color:0.00e+00 	Time: 0.53
epoch 1400:	pdl:5.08e-01 	 Rec:8.77e-04 	 Color:0.00e+00 	Time: 0.55
epoch 1450:	pdl:5.64e-01 	 Rec:8.73e-04 	 Color:0.00e+00 	Time: 0.54
epoch 1500:	pdl:5.51e-01 	 Rec:9.25e-04 	 Color:0.00e+00 	Time: 0.50
epoch 1550:	pdl:4.88e-01 	 Rec:8.25e-04 	 Color:0.00e+00 	Time: 0.49
epoch 1600:	pdl:5.26e-01 	 Rec:9.66e-04 	 Color:0.00e+00 	Time: 0.50
epoch 1650:	pdl:5.35e-01 	 Rec:9.51e-04 	 Color:0.00e+00 	Time: 0.50
epoch 1700:	pdl:5.04e-01 	 Rec:8.81e-04 	 Color:0.00e+00 	Time: 0.55
epoch 1750:	pdl:5.07e-01 	 Rec:1.08e-03 	 Color:0.00e+00 	Time: 0.49
