epoch 0:	pdl:5.45e-01 	 Rec:1.13e-02 	 Color:6.41e-02 	Time: 0.01
epoch 50:	pdl:5.12e-01 	 Rec:3.29e-03 	 Color:7.25e-02 	Time: 0.77
epoch 100:	pdl:5.21e-01 	 Rec:2.65e-03 	 Color:6.45e-02 	Time: 0.67
epoch 150:	pdl:5.14e-01 	 Rec:2.26e-03 	 Color:6.16e-02 	Time: 0.64
epoch 200:	pdl:4.92e-01 	 Rec:1.95e-03 	 Color:5.86e-02 	Time: 0.65
epoch 250:	pdl:5.21e-01 	 Rec:1.84e-03 	 Color:6.34e-02 	Time: 0.67
epoch 300:	pdl:5.39e-01 	 Rec:1.55e-03 	 Color:7.02e-02 	Time: 0.69
epoch 350:	pdl:4.65e-01 	 Rec:1.55e-03 	 Color:6.65e-02 	Time: 0.65
epoch 400:	pdl:5.16e-01 	 Rec:1.58e-03 	 Color:6.12e-02 	Time: 0.65
epoch 450:	pdl:4.96e-01 	 Rec:1.44e-03 	 Color:6.52e-02 	Time: 0.65
epoch 500:	pdl:5.09e-01 	 Rec:1.48e-03 	 Color:6.86e-02 	Time: 0.64
epoch 550:	pdl:4.84e-01 	 Rec:1.19e-03 	 Color:5.75e-02 	Time: 0.69
epoch 600:	pdl:4.75e-01 	 Rec:1.30e-03 	 Color:5.94e-02 	Time: 0.69
epoch 650:	pdl:5.01e-01 	 Rec:1.12e-03 	 Color:6.32e-02 	Time: 0.67
epoch 700:	pdl:5.00e-01 	 Rec:1.07e-03 	 Color:8.12e-02 	Time: 0.65
epoch 750:	pdl:4.90e-01 	 Rec:1.18e-03 	 Color:7.29e-02 	Time: 0.68
epoch 800:	pdl:5.26e-01 	 Rec:1.50e-03 	 Color:6.24e-02 	Time: 0.69
epoch 850:	pdl:5.14e-01 	 Rec:1.08e-03 	 Color:6.92e-02 	Time: 0.67
epoch 900:	pdl:5.01e-01 	 Rec:9.14e-04 	 Color:6.58e-02 	Time: 0.65
epoch 950:	pdl:4.69e-01 	 Rec:1.10e-03 	 Color:6.82e-02 	Time: 0.67
epoch 1000:	pdl:5.27e-01 	 Rec:9.41e-04 	 Color:6.26e-02 	Time: 0.66
epoch 1050:	pdl:4.94e-01 	 Rec:1.01e-03 	 Color:6.63e-02 	Time: 0.67
epoch 1100:	pdl:5.14e-01 	 Rec:1.12e-03 	 Color:7.40e-02 	Time: 0.64
epoch 1150:	pdl:5.01e-01 	 Rec:1.00e-03 	 Color:6.33e-02 	Time: 0.69
epoch 1200:	pdl:4.73e-01 	 Rec:8.91e-04 	 Color:6.97e-02 	Time: 0.65
epoch 1250:	pdl:4.93e-01 	 Rec:8.92e-04 	 Color:6.56e-02 	Time: 0.64
epoch 1300:	pdl:5.10e-01 	 Rec:9.87e-04 	 Color:5.48e-02 	Time: 0.69
epoch 1350:	pdl:5.09e-01 	 Rec:9.73e-04 	 Color:6.91e-02 	Time: 0.64
epoch 1400:	pdl:5.34e-01 	 Rec:9.68e-04 	 Color:6.57e-02 	Time: 0.67
epoch 1450:	pdl:4.65e-01 	 Rec:7.95e-04 	 Color:6.16e-02 	Time: 0.64
epoch 1500:	pdl:5.59e-01 	 Rec:8.70e-04 	 Color:6.88e-02 	Time: 0.67
epoch 1550:	pdl:4.93e-01 	 Rec:9.29e-04 	 Color:6.71e-02 	Time: 0.68
epoch 1600:	pdl:4.59e-01 	 Rec:7.64e-04 	 Color:6.20e-02 	Time: 0.68
epoch 1650:	pdl:4.90e-01 	 Rec:8.28e-04 	 Color:6.86e-02 	Time: 0.70
epoch 1700:	pdl:5.63e-01 	 Rec:1.00e-03 	 Color:8.07e-02 	Time: 0.66
epoch 1750:	pdl:5.42e-01 	 Rec:7.89e-04 	 Color:6.40e-02 	Time: 0.65
epoch 1800:	pdl:5.08e-01 	 Rec:8.65e-04 	 Color:5.99e-02 	Time: 0.68
epoch 1850:	pdl:4.90e-01 	 Rec:6.74e-04 	 Color:6.85e-02 	Time: 0.65
epoch 1900:	pdl:4.88e-01 	 Rec:6.71e-04 	 Color:5.99e-02 	Time: 0.72
epoch 1950:	pdl:4.73e-01 	 Rec:8.56e-04 	 Color:5.93e-02 	Time: 0.65
epoch 2000:	pdl:5.00e-01 	 Rec:7.68e-04 	 Color:6.94e-02 	Time: 0.67
epoch 2050:	pdl:4.82e-01 	 Rec:6.85e-04 	 Color:6.80e-02 	Time: 0.70
epoch 2100:	pdl:5.15e-01 	 Rec:9.03e-04 	 Color:6.43e-02 	Time: 0.68
epoch 2150:	pdl:4.78e-01 	 Rec:6.84e-04 	 Color:5.95e-02 	Time: 0.66
epoch 2200:	pdl:4.59e-01 	 Rec:7.27e-04 	 Color:6.47e-02 	Time: 0.67
epoch 2250:	pdl:4.66e-01 	 Rec:7.27e-04 	 Color:6.42e-02 	Time: 0.66
epoch 2300:	pdl:4.84e-01 	 Rec:6.98e-04 	 Color:7.01e-02 	Time: 0.65
epoch 2350:	pdl:4.93e-01 	 Rec:7.25e-04 	 Color:6.87e-02 	Time: 0.65
epoch 2400:	pdl:4.75e-01 	 Rec:6.83e-04 	 Color:5.85e-02 	Time: 0.66
epoch 2450:	pdl:4.98e-01 	 Rec:6.48e-04 	 Color:7.39e-02 	Time: 0.63
epoch 2500:	pdl:4.71e-01 	 Rec:6.79e-04 	 Color:5.94e-02 	Time: 0.64
epoch 2550:	pdl:4.87e-01 	 Rec:6.85e-04 	 Color:6.05e-02 	Time: 0.69
epoch 2600:	pdl:5.00e-01 	 Rec:7.37e-04 	 Color:6.18e-02 	Time: 0.66
epoch 2650:	pdl:4.68e-01 	 Rec:6.14e-04 	 Color:5.73e-02 	Time: 0.63
epoch 2700:	pdl:4.49e-01 	 Rec:7.55e-04 	 Color:6.13e-02 	Time: 0.63
epoch 2750:	pdl:4.67e-01 	 Rec:6.03e-04 	 Color:5.45e-02 	Time: 0.64
epoch 2800:	pdl:4.71e-01 	 Rec:7.66e-04 	 Color:6.83e-02 	Time: 0.64
epoch 2850:	pdl:4.76e-01 	 Rec:7.46e-04 	 Color:6.42e-02 	Time: 0.64
epoch 2900:	pdl:5.11e-01 	 Rec:6.79e-04 	 Color:5.92e-02 	Time: 0.64
epoch 2950:	pdl:4.47e-01 	 Rec:6.52e-04 	 Color:6.39e-02 	Time: 0.63
epoch 3000:	pdl:4.72e-01 	 Rec:6.74e-04 	 Color:5.53e-02 	Time: 0.63
epoch 3050:	pdl:4.57e-01 	 Rec:5.98e-04 	 Color:5.58e-02 	Time: 0.64
epoch 3100:	pdl:5.26e-01 	 Rec:6.54e-04 	 Color:6.80e-02 	Time: 0.64
epoch 3150:	pdl:4.42e-01 	 Rec:6.26e-04 	 Color:5.64e-02 	Time: 0.64
epoch 3200:	pdl:4.66e-01 	 Rec:7.02e-04 	 Color:6.17e-02 	Time: 0.64
epoch 3250:	pdl:4.68e-01 	 Rec:7.08e-04 	 Color:5.63e-02 	Time: 0.66
epoch 3300:	pdl:4.68e-01 	 Rec:6.92e-04 	 Color:6.26e-02 	Time: 0.63
epoch 3350:	pdl:4.69e-01 	 Rec:6.24e-04 	 Color:6.03e-02 	Time: 0.64
epoch 3400:	pdl:4.41e-01 	 Rec:7.02e-04 	 Color:5.07e-02 	Time: 0.63
epoch 3450:	pdl:4.87e-01 	 Rec:7.43e-04 	 Color:6.56e-02 	Time: 0.64
epoch 3500:	pdl:4.60e-01 	 Rec:6.26e-04 	 Color:6.47e-02 	Time: 0.67
epoch 3550:	pdl:4.87e-01 	 Rec:7.78e-04 	 Color:6.45e-02 	Time: 0.65
epoch 3600:	pdl:4.76e-01 	 Rec:6.39e-04 	 Color:6.68e-02 	Time: 0.66
epoch 3650:	pdl:4.79e-01 	 Rec:6.90e-04 	 Color:6.48e-02 	Time: 0.65
epoch 3700:	pdl:4.85e-01 	 Rec:5.96e-04 	 Color:6.48e-02 	Time: 0.63
epoch 3750:	pdl:4.67e-01 	 Rec:5.72e-04 	 Color:6.53e-02 	Time: 0.63
epoch 3800:	pdl:4.63e-01 	 Rec:7.73e-04 	 Color:6.31e-02 	Time: 0.63
epoch 3850:	pdl:4.59e-01 	 Rec:7.10e-04 	 Color:5.97e-02 	Time: 0.63
epoch 3900:	pdl:5.02e-01 	 Rec:5.61e-04 	 Color:5.73e-02 	Time: 0.63
epoch 3950:	pdl:4.60e-01 	 Rec:9.73e-04 	 Color:5.88e-02 	Time: 0.65
epoch 4000:	pdl:4.88e-01 	 Rec:6.72e-04 	 Color:4.86e-02 	Time: 0.66
epoch 4050:	pdl:4.65e-01 	 Rec:5.65e-04 	 Color:5.92e-02 	Time: 0.70
epoch 4100:	pdl:4.84e-01 	 Rec:6.23e-04 	 Color:7.22e-02 	Time: 0.67
epoch 4150:	pdl:4.70e-01 	 Rec:6.79e-04 	 Color:6.30e-02 	Time: 0.67
epoch 4200:	pdl:5.15e-01 	 Rec:6.32e-04 	 Color:6.56e-02 	Time: 0.65
epoch 4250:	pdl:4.94e-01 	 Rec:7.52e-04 	 Color:6.41e-02 	Time: 0.65
epoch 4300:	pdl:4.59e-01 	 Rec:7.22e-04 	 Color:5.82e-02 	Time: 0.64
epoch 4350:	pdl:5.00e-01 	 Rec:6.69e-04 	 Color:6.33e-02 	Time: 0.65
epoch 4400:	pdl:4.83e-01 	 Rec:7.66e-04 	 Color:6.22e-02 	Time: 0.63
epoch 4450:	pdl:4.80e-01 	 Rec:7.13e-04 	 Color:6.89e-02 	Time: 0.66
epoch 4500:	pdl:4.70e-01 	 Rec:5.21e-04 	 Color:5.29e-02 	Time: 0.63
epoch 4550:	pdl:4.54e-01 	 Rec:5.33e-04 	 Color:5.29e-02 	Time: 0.63
epoch 4600:	pdl:4.91e-01 	 Rec:6.03e-04 	 Color:6.54e-02 	Time: 0.65
epoch 4650:	pdl:4.63e-01 	 Rec:7.00e-04 	 Color:6.14e-02 	Time: 0.65
epoch 4700:	pdl:4.58e-01 	 Rec:5.89e-04 	 Color:6.82e-02 	Time: 0.63
epoch 4750:	pdl:4.31e-01 	 Rec:6.57e-04 	 Color:5.08e-02 	Time: 0.63
epoch 4800:	pdl:4.65e-01 	 Rec:6.77e-04 	 Color:6.48e-02 	Time: 0.65
epoch 4850:	pdl:4.92e-01 	 Rec:6.17e-04 	 Color:6.33e-02 	Time: 0.65
epoch 4900:	pdl:4.68e-01 	 Rec:5.07e-04 	 Color:6.33e-02 	Time: 0.66
epoch 4950:	pdl:4.61e-01 	 Rec:5.18e-04 	 Color:6.48e-02 	Time: 0.68
epoch 5000:	pdl:4.84e-01 	 Rec:5.15e-04 	 Color:6.48e-02 	Time: 0.63
epoch 5050:	pdl:4.64e-01 	 Rec:6.04e-04 	 Color:5.47e-02 	Time: 0.66
epoch 5100:	pdl:4.33e-01 	 Rec:5.59e-04 	 Color:5.50e-02 	Time: 0.67
epoch 5150:	pdl:5.18e-01 	 Rec:5.99e-04 	 Color:6.60e-02 	Time: 0.68
epoch 5200:	pdl:4.93e-01 	 Rec:5.59e-04 	 Color:5.69e-02 	Time: 0.63
epoch 5250:	pdl:4.58e-01 	 Rec:6.69e-04 	 Color:5.62e-02 	Time: 0.64
epoch 5300:	pdl:4.99e-01 	 Rec:6.17e-04 	 Color:6.85e-02 	Time: 0.63
epoch 5350:	pdl:4.78e-01 	 Rec:4.80e-04 	 Color:6.27e-02 	Time: 0.63
epoch 5400:	pdl:4.46e-01 	 Rec:7.29e-04 	 Color:5.20e-02 	Time: 0.63
epoch 5450:	pdl:4.90e-01 	 Rec:7.46e-04 	 Color:6.81e-02 	Time: 0.64
epoch 5500:	pdl:4.80e-01 	 Rec:7.20e-04 	 Color:6.33e-02 	Time: 0.65
epoch 5550:	pdl:4.78e-01 	 Rec:5.59e-04 	 Color:6.94e-02 	Time: 0.63
epoch 5600:	pdl:4.59e-01 	 Rec:6.46e-04 	 Color:6.63e-02 	Time: 0.63
epoch 5650:	pdl:4.50e-01 	 Rec:5.51e-04 	 Color:5.47e-02 	Time: 0.66
epoch 5700:	pdl:4.75e-01 	 Rec:7.29e-04 	 Color:6.10e-02 	Time: 0.66
epoch 5750:	pdl:5.02e-01 	 Rec:5.95e-04 	 Color:5.97e-02 	Time: 0.63
epoch 5800:	pdl:4.80e-01 	 Rec:5.59e-04 	 Color:6.48e-02 	Time: 0.65
epoch 5850:	pdl:5.00e-01 	 Rec:5.34e-04 	 Color:7.01e-02 	Time: 0.63
epoch 5900:	pdl:4.75e-01 	 Rec:4.80e-04 	 Color:6.51e-02 	Time: 0.63
epoch 5950:	pdl:5.08e-01 	 Rec:5.78e-04 	 Color:7.48e-02 	Time: 0.66
epoch 6000:	pdl:4.69e-01 	 Rec:5.25e-04 	 Color:5.97e-02 	Time: 0.64
epoch 6050:	pdl:4.90e-01 	 Rec:5.37e-04 	 Color:6.17e-02 	Time: 0.66
epoch 6100:	pdl:4.73e-01 	 Rec:5.13e-04 	 Color:5.71e-02 	Time: 0.64
epoch 6150:	pdl:4.93e-01 	 Rec:7.79e-04 	 Color:6.13e-02 	Time: 0.64
epoch 6200:	pdl:5.38e-01 	 Rec:5.03e-04 	 Color:6.62e-02 	Time: 0.63
epoch 6250:	pdl:4.70e-01 	 Rec:6.48e-04 	 Color:6.66e-02 	Time: 0.64
epoch 6300:	pdl:5.07e-01 	 Rec:5.30e-04 	 Color:5.91e-02 	Time: 0.66
epoch 6350:	pdl:4.60e-01 	 Rec:5.12e-04 	 Color:5.87e-02 	Time: 0.67
epoch 6400:	pdl:4.53e-01 	 Rec:5.41e-04 	 Color:6.50e-02 	Time: 0.65
epoch 6450:	pdl:4.34e-01 	 Rec:3.19e-04 	 Color:5.31e-02 	Time: 0.64
epoch 6500:	pdl:4.52e-01 	 Rec:3.24e-04 	 Color:5.61e-02 	Time: 0.69
epoch 6550:	pdl:4.50e-01 	 Rec:3.13e-04 	 Color:6.24e-02 	Time: 0.68
epoch 6600:	pdl:4.77e-01 	 Rec:3.08e-04 	 Color:6.92e-02 	Time: 0.70
epoch 6650:	pdl:4.49e-01 	 Rec:3.15e-04 	 Color:5.98e-02 	Time: 0.65
epoch 6700:	pdl:4.89e-01 	 Rec:3.08e-04 	 Color:5.76e-02 	Time: 0.65
epoch 6750:	pdl:4.66e-01 	 Rec:3.00e-04 	 Color:6.15e-02 	Time: 0.67
epoch 6800:	pdl:4.78e-01 	 Rec:3.06e-04 	 Color:6.98e-02 	Time: 0.65
epoch 6850:	pdl:4.67e-01 	 Rec:3.18e-04 	 Color:5.60e-02 	Time: 0.69
epoch 6900:	pdl:4.74e-01 	 Rec:3.05e-04 	 Color:5.48e-02 	Time: 0.67
epoch 6950:	pdl:4.46e-01 	 Rec:3.08e-04 	 Color:6.37e-02 	Time: 0.67
epoch 7000:	pdl:4.91e-01 	 Rec:3.19e-04 	 Color:5.83e-02 	Time: 0.69
epoch 7050:	pdl:4.62e-01 	 Rec:3.09e-04 	 Color:6.07e-02 	Time: 0.67
epoch 7100:	pdl:4.60e-01 	 Rec:3.27e-04 	 Color:6.43e-02 	Time: 0.64
epoch 7150:	pdl:4.59e-01 	 Rec:3.04e-04 	 Color:6.21e-02 	Time: 0.69
epoch 7200:	pdl:4.64e-01 	 Rec:3.07e-04 	 Color:5.77e-02 	Time: 0.69
epoch 7250:	pdl:4.72e-01 	 Rec:3.04e-04 	 Color:6.33e-02 	Time: 0.64
epoch 7300:	pdl:4.55e-01 	 Rec:3.03e-04 	 Color:5.91e-02 	Time: 0.65
epoch 7350:	pdl:4.66e-01 	 Rec:2.99e-04 	 Color:6.67e-02 	Time: 0.68
epoch 7400:	pdl:4.48e-01 	 Rec:2.97e-04 	 Color:5.83e-02 	Time: 0.70
epoch 7450:	pdl:4.95e-01 	 Rec:3.00e-04 	 Color:5.41e-02 	Time: 0.67
epoch 7500:	pdl:4.77e-01 	 Rec:3.02e-04 	 Color:7.12e-02 	Time: 0.67
epoch 7550:	pdl:4.69e-01 	 Rec:2.96e-04 	 Color:6.45e-02 	Time: 0.69
epoch 7600:	pdl:4.62e-01 	 Rec:3.05e-04 	 Color:4.68e-02 	Time: 0.67
epoch 7650:	pdl:4.73e-01 	 Rec:2.98e-04 	 Color:6.05e-02 	Time: 0.70
epoch 7700:	pdl:4.23e-01 	 Rec:3.01e-04 	 Color:5.78e-02 	Time: 0.63
epoch 7750:	pdl:4.42e-01 	 Rec:3.07e-04 	 Color:5.47e-02 	Time: 0.65
epoch 7800:	pdl:4.67e-01 	 Rec:2.93e-04 	 Color:5.96e-02 	Time: 0.66
epoch 7850:	pdl:4.22e-01 	 Rec:3.04e-04 	 Color:4.91e-02 	Time: 0.65
epoch 7900:	pdl:4.31e-01 	 Rec:3.04e-04 	 Color:6.28e-02 	Time: 0.65
epoch 7950:	pdl:4.82e-01 	 Rec:3.18e-04 	 Color:6.72e-02 	Time: 0.64
