epoch 0:	pdl:1.64e+00 	 Rec:2.51e-01 	 Color:1.18e-01 	Time: 0.01
epoch 50:	pdl:7.29e-01 	 Rec:6.40e-02 	 Color:8.10e-02 	Time: 0.44
epoch 100:	pdl:6.78e-01 	 Rec:2.11e-02 	 Color:8.26e-02 	Time: 0.43
epoch 150:	pdl:6.89e-01 	 Rec:1.29e-02 	 Color:8.79e-02 	Time: 0.44
epoch 200:	pdl:6.62e-01 	 Rec:9.33e-03 	 Color:9.20e-02 	Time: 0.39
epoch 250:	pdl:6.51e-01 	 Rec:6.81e-03 	 Color:7.81e-02 	Time: 0.44
epoch 300:	pdl:6.67e-01 	 Rec:5.73e-03 	 Color:8.05e-02 	Time: 0.42
epoch 350:	pdl:6.25e-01 	 Rec:4.67e-03 	 Color:8.23e-02 	Time: 0.43
epoch 400:	pdl:6.05e-01 	 Rec:5.08e-03 	 Color:6.56e-02 	Time: 0.41
epoch 450:	pdl:5.93e-01 	 Rec:3.76e-03 	 Color:6.87e-02 	Time: 0.40
epoch 500:	pdl:6.16e-01 	 Rec:3.00e-03 	 Color:7.94e-02 	Time: 0.42
epoch 550:	pdl:5.77e-01 	 Rec:2.79e-03 	 Color:6.53e-02 	Time: 0.40
epoch 600:	pdl:5.70e-01 	 Rec:2.95e-03 	 Color:6.52e-02 	Time: 0.42
epoch 650:	pdl:6.00e-01 	 Rec:3.29e-03 	 Color:7.48e-02 	Time: 0.40
epoch 700:	pdl:5.49e-01 	 Rec:3.60e-03 	 Color:8.09e-02 	Time: 0.42
epoch 750:	pdl:5.84e-01 	 Rec:3.75e-03 	 Color:9.06e-02 	Time: 0.43
epoch 800:	pdl:5.57e-01 	 Rec:1.98e-03 	 Color:6.18e-02 	Time: 0.44
epoch 850:	pdl:5.61e-01 	 Rec:2.34e-03 	 Color:8.59e-02 	Time: 0.42
epoch 900:	pdl:5.52e-01 	 Rec:1.87e-03 	 Color:6.94e-02 	Time: 0.43
epoch 950:	pdl:5.94e-01 	 Rec:3.60e-03 	 Color:6.24e-02 	Time: 0.43
epoch 1000:	pdl:5.77e-01 	 Rec:2.41e-03 	 Color:7.78e-02 	Time: 0.45
epoch 1050:	pdl:5.75e-01 	 Rec:1.92e-03 	 Color:7.73e-02 	Time: 0.42
epoch 1100:	pdl:5.32e-01 	 Rec:2.43e-03 	 Color:6.39e-02 	Time: 0.43
epoch 1150:	pdl:5.75e-01 	 Rec:2.29e-03 	 Color:7.16e-02 	Time: 0.39
epoch 1200:	pdl:5.59e-01 	 Rec:1.98e-03 	 Color:7.09e-02 	Time: 0.42
epoch 1250:	pdl:5.58e-01 	 Rec:1.50e-03 	 Color:5.96e-02 	Time: 0.44
epoch 1300:	pdl:5.89e-01 	 Rec:1.75e-03 	 Color:8.90e-02 	Time: 0.43
epoch 1350:	pdl:5.50e-01 	 Rec:2.70e-03 	 Color:6.46e-02 	Time: 0.44
epoch 1400:	pdl:5.62e-01 	 Rec:1.46e-03 	 Color:7.09e-02 	Time: 0.40
epoch 1450:	pdl:5.55e-01 	 Rec:1.82e-03 	 Color:6.67e-02 	Time: 0.45
epoch 1500:	pdl:5.98e-01 	 Rec:2.56e-03 	 Color:8.47e-02 	Time: 0.43
epoch 1550:	pdl:5.60e-01 	 Rec:1.46e-03 	 Color:5.95e-02 	Time: 0.40
epoch 1600:	pdl:5.61e-01 	 Rec:1.49e-03 	 Color:7.11e-02 	Time: 0.43
epoch 1650:	pdl:5.01e-01 	 Rec:1.28e-03 	 Color:6.79e-02 	Time: 0.43
epoch 1700:	pdl:5.39e-01 	 Rec:1.31e-03 	 Color:7.63e-02 	Time: 0.44
epoch 1750:	pdl:5.21e-01 	 Rec:1.60e-03 	 Color:7.80e-02 	Time: 0.43
epoch 1800:	pdl:5.13e-01 	 Rec:1.19e-03 	 Color:7.70e-02 	Time: 0.40
epoch 1850:	pdl:5.52e-01 	 Rec:1.47e-03 	 Color:6.80e-02 	Time: 0.42
epoch 1900:	pdl:5.35e-01 	 Rec:1.31e-03 	 Color:6.75e-02 	Time: 0.45
epoch 1950:	pdl:5.55e-01 	 Rec:1.25e-03 	 Color:6.53e-02 	Time: 0.40
epoch 2000:	pdl:4.96e-01 	 Rec:1.43e-03 	 Color:6.44e-02 	Time: 0.43
epoch 2050:	pdl:5.33e-01 	 Rec:1.09e-03 	 Color:7.49e-02 	Time: 0.41
epoch 2100:	pdl:5.38e-01 	 Rec:3.80e-03 	 Color:7.26e-02 	Time: 0.40
epoch 2150:	pdl:5.44e-01 	 Rec:1.44e-03 	 Color:6.23e-02 	Time: 0.43
epoch 2200:	pdl:5.98e-01 	 Rec:1.89e-03 	 Color:8.06e-02 	Time: 0.41
epoch 2250:	pdl:5.34e-01 	 Rec:1.48e-03 	 Color:7.47e-02 	Time: 0.39
epoch 2300:	pdl:5.26e-01 	 Rec:1.96e-03 	 Color:6.17e-02 	Time: 0.41
epoch 2350:	pdl:5.24e-01 	 Rec:1.60e-03 	 Color:7.64e-02 	Time: 0.38
epoch 2400:	pdl:5.50e-01 	 Rec:2.35e-03 	 Color:8.17e-02 	Time: 0.43
epoch 2450:	pdl:5.41e-01 	 Rec:1.59e-03 	 Color:9.15e-02 	Time: 0.41
epoch 2500:	pdl:5.17e-01 	 Rec:1.18e-03 	 Color:7.14e-02 	Time: 0.42
epoch 2550:	pdl:5.96e-01 	 Rec:2.44e-03 	 Color:6.46e-02 	Time: 0.42
epoch 2600:	pdl:5.60e-01 	 Rec:1.23e-03 	 Color:7.02e-02 	Time: 0.41
epoch 2650:	pdl:5.10e-01 	 Rec:9.90e-04 	 Color:6.27e-02 	Time: 0.42
epoch 2700:	pdl:5.16e-01 	 Rec:1.41e-03 	 Color:7.80e-02 	Time: 0.42
epoch 2750:	pdl:5.50e-01 	 Rec:3.45e-03 	 Color:6.96e-02 	Time: 0.42
epoch 2800:	pdl:5.22e-01 	 Rec:1.63e-03 	 Color:5.34e-02 	Time: 0.39
epoch 2850:	pdl:5.28e-01 	 Rec:1.26e-03 	 Color:6.84e-02 	Time: 0.39
epoch 2900:	pdl:5.33e-01 	 Rec:1.38e-03 	 Color:6.07e-02 	Time: 0.42
epoch 2950:	pdl:5.39e-01 	 Rec:1.29e-03 	 Color:8.22e-02 	Time: 0.38
epoch 3000:	pdl:4.76e-01 	 Rec:1.39e-03 	 Color:5.41e-02 	Time: 0.39
epoch 3050:	pdl:5.52e-01 	 Rec:1.28e-03 	 Color:6.30e-02 	Time: 0.44
epoch 3100:	pdl:5.74e-01 	 Rec:1.03e-03 	 Color:8.02e-02 	Time: 0.39
epoch 3150:	pdl:5.30e-01 	 Rec:1.25e-03 	 Color:6.69e-02 	Time: 0.42
epoch 3200:	pdl:5.60e-01 	 Rec:1.06e-03 	 Color:8.08e-02 	Time: 0.44
epoch 3250:	pdl:5.20e-01 	 Rec:1.08e-03 	 Color:6.83e-02 	Time: 0.42
epoch 3300:	pdl:4.94e-01 	 Rec:1.00e-03 	 Color:5.87e-02 	Time: 0.39
epoch 3350:	pdl:5.26e-01 	 Rec:1.26e-03 	 Color:6.94e-02 	Time: 0.39
epoch 3400:	pdl:4.88e-01 	 Rec:9.23e-04 	 Color:6.84e-02 	Time: 0.39
epoch 3450:	pdl:4.96e-01 	 Rec:1.11e-03 	 Color:6.49e-02 	Time: 0.44
epoch 3500:	pdl:5.52e-01 	 Rec:1.24e-03 	 Color:6.66e-02 	Time: 0.38
epoch 3550:	pdl:5.11e-01 	 Rec:1.11e-03 	 Color:5.41e-02 	Time: 0.43
epoch 3600:	pdl:5.35e-01 	 Rec:1.07e-03 	 Color:6.56e-02 	Time: 0.43
epoch 3650:	pdl:5.09e-01 	 Rec:1.07e-03 	 Color:7.11e-02 	Time: 0.44
epoch 3700:	pdl:4.81e-01 	 Rec:1.52e-03 	 Color:6.27e-02 	Time: 0.44
epoch 3750:	pdl:5.00e-01 	 Rec:1.19e-03 	 Color:5.34e-02 	Time: 0.42
epoch 3800:	pdl:5.15e-01 	 Rec:1.26e-03 	 Color:6.24e-02 	Time: 0.42
epoch 3850:	pdl:5.13e-01 	 Rec:1.10e-03 	 Color:6.02e-02 	Time: 0.43
epoch 3900:	pdl:5.25e-01 	 Rec:1.13e-03 	 Color:7.03e-02 	Time: 0.44
epoch 3950:	pdl:5.10e-01 	 Rec:1.08e-03 	 Color:7.49e-02 	Time: 0.46
epoch 4000:	pdl:5.07e-01 	 Rec:1.17e-03 	 Color:8.17e-02 	Time: 0.38
epoch 4050:	pdl:5.18e-01 	 Rec:9.22e-04 	 Color:7.44e-02 	Time: 0.40
epoch 4100:	pdl:5.12e-01 	 Rec:1.44e-03 	 Color:6.82e-02 	Time: 0.42
epoch 4150:	pdl:5.39e-01 	 Rec:9.40e-04 	 Color:7.48e-02 	Time: 0.42
epoch 4200:	pdl:5.27e-01 	 Rec:9.31e-04 	 Color:6.67e-02 	Time: 0.42
epoch 4250:	pdl:4.97e-01 	 Rec:1.14e-03 	 Color:6.13e-02 	Time: 0.40
epoch 4300:	pdl:5.16e-01 	 Rec:9.80e-04 	 Color:6.90e-02 	Time: 0.39
epoch 4350:	pdl:4.86e-01 	 Rec:9.19e-04 	 Color:6.58e-02 	Time: 0.42
epoch 4400:	pdl:4.98e-01 	 Rec:8.82e-04 	 Color:6.42e-02 	Time: 0.40
epoch 4450:	pdl:4.85e-01 	 Rec:8.12e-04 	 Color:6.17e-02 	Time: 0.42
epoch 4500:	pdl:4.75e-01 	 Rec:8.22e-04 	 Color:6.28e-02 	Time: 0.41
epoch 4550:	pdl:4.96e-01 	 Rec:9.49e-04 	 Color:5.94e-02 	Time: 0.41
epoch 4600:	pdl:5.64e-01 	 Rec:1.79e-03 	 Color:7.15e-02 	Time: 0.44
epoch 4650:	pdl:4.99e-01 	 Rec:1.21e-03 	 Color:6.03e-02 	Time: 0.44
epoch 4700:	pdl:5.37e-01 	 Rec:1.22e-03 	 Color:6.12e-02 	Time: 0.44
epoch 4750:	pdl:5.21e-01 	 Rec:1.43e-03 	 Color:5.64e-02 	Time: 0.39
epoch 4800:	pdl:5.42e-01 	 Rec:8.65e-04 	 Color:8.52e-02 	Time: 0.42
epoch 4850:	pdl:4.93e-01 	 Rec:1.11e-03 	 Color:6.77e-02 	Time: 0.40
epoch 4900:	pdl:5.04e-01 	 Rec:1.27e-03 	 Color:6.63e-02 	Time: 0.43
epoch 4950:	pdl:5.01e-01 	 Rec:9.11e-04 	 Color:7.00e-02 	Time: 0.42
epoch 5000:	pdl:5.56e-01 	 Rec:1.35e-03 	 Color:6.98e-02 	Time: 0.43
epoch 5050:	pdl:4.88e-01 	 Rec:7.72e-04 	 Color:6.72e-02 	Time: 0.42
