epoch 0:	pdl:1.09e+00 	 Rec:8.10e-02 	 Color:9.38e-02 	Time: 0.04
epoch 50:	pdl:6.16e-01 	 Rec:2.06e-02 	 Color:6.98e-02 	Time: 1.36
epoch 100:	pdl:5.72e-01 	 Rec:1.69e-02 	 Color:7.31e-02 	Time: 1.33
epoch 150:	pdl:5.21e-01 	 Rec:1.54e-02 	 Color:6.71e-02 	Time: 1.30
epoch 200:	pdl:4.93e-01 	 Rec:1.46e-02 	 Color:6.29e-02 	Time: 1.31
epoch 250:	pdl:5.50e-01 	 Rec:1.35e-02 	 Color:6.98e-02 	Time: 1.37
epoch 300:	pdl:4.95e-01 	 Rec:1.25e-02 	 Color:5.47e-02 	Time: 1.31
epoch 350:	pdl:5.02e-01 	 Rec:1.20e-02 	 Color:6.22e-02 	Time: 1.33
epoch 400:	pdl:4.84e-01 	 Rec:1.11e-02 	 Color:6.19e-02 	Time: 1.32
epoch 450:	pdl:5.16e-01 	 Rec:1.04e-02 	 Color:7.10e-02 	Time: 1.32
epoch 500:	pdl:5.10e-01 	 Rec:1.01e-02 	 Color:6.91e-02 	Time: 1.36
epoch 550:	pdl:4.74e-01 	 Rec:9.66e-03 	 Color:6.78e-02 	Time: 1.34
epoch 600:	pdl:5.12e-01 	 Rec:9.05e-03 	 Color:6.12e-02 	Time: 1.32
epoch 650:	pdl:4.36e-01 	 Rec:8.53e-03 	 Color:5.39e-02 	Time: 1.33
epoch 700:	pdl:4.89e-01 	 Rec:8.44e-03 	 Color:6.38e-02 	Time: 1.31
epoch 750:	pdl:4.76e-01 	 Rec:8.08e-03 	 Color:6.26e-02 	Time: 1.33
epoch 800:	pdl:4.68e-01 	 Rec:7.86e-03 	 Color:5.70e-02 	Time: 1.32
epoch 850:	pdl:4.67e-01 	 Rec:7.60e-03 	 Color:6.71e-02 	Time: 1.36
epoch 900:	pdl:4.92e-01 	 Rec:7.39e-03 	 Color:6.71e-02 	Time: 1.38
epoch 950:	pdl:4.47e-01 	 Rec:7.10e-03 	 Color:5.43e-02 	Time: 1.32
epoch 1000:	pdl:5.22e-01 	 Rec:6.95e-03 	 Color:6.27e-02 	Time: 1.34
epoch 1050:	pdl:5.54e-01 	 Rec:6.70e-03 	 Color:7.14e-02 	Time: 1.33
epoch 1100:	pdl:5.46e-01 	 Rec:6.43e-03 	 Color:6.19e-02 	Time: 1.34
epoch 1150:	pdl:4.69e-01 	 Rec:6.19e-03 	 Color:5.76e-02 	Time: 1.35
epoch 1200:	pdl:4.60e-01 	 Rec:6.23e-03 	 Color:6.57e-02 	Time: 1.33
epoch 1250:	pdl:4.62e-01 	 Rec:5.87e-03 	 Color:5.84e-02 	Time: 1.34
epoch 1300:	pdl:4.71e-01 	 Rec:5.86e-03 	 Color:5.56e-02 	Time: 1.33
epoch 1350:	pdl:4.46e-01 	 Rec:5.66e-03 	 Color:5.65e-02 	Time: 1.35
