epoch 0:	pdl:2.26e+00 	 Rec:2.22e-01 	 Color:0.00e+00 	Time: 0.06
epoch 50:	pdl:7.15e-01 	 Rec:1.16e-02 	 Color:0.00e+00 	Time: 0.52
epoch 100:	pdl:6.41e-01 	 Rec:7.47e-03 	 Color:0.00e+00 	Time: 0.45
epoch 150:	pdl:6.41e-01 	 Rec:5.46e-03 	 Color:0.00e+00 	Time: 0.48
epoch 200:	pdl:6.60e-01 	 Rec:5.01e-03 	 Color:0.00e+00 	Time: 0.48
epoch 250:	pdl:6.18e-01 	 Rec:4.56e-03 	 Color:0.00e+00 	Time: 0.45
epoch 300:	pdl:6.01e-01 	 Rec:4.21e-03 	 Color:0.00e+00 	Time: 0.46
epoch 350:	pdl:5.93e-01 	 Rec:4.05e-03 	 Color:0.00e+00 	Time: 0.47
epoch 400:	pdl:6.73e-01 	 Rec:4.03e-03 	 Color:0.00e+00 	Time: 0.46
epoch 450:	pdl:5.68e-01 	 Rec:3.63e-03 	 Color:0.00e+00 	Time: 0.42
epoch 500:	pdl:5.81e-01 	 Rec:3.38e-03 	 Color:0.00e+00 	Time: 0.48
epoch 550:	pdl:5.95e-01 	 Rec:3.36e-03 	 Color:0.00e+00 	Time: 0.50
epoch 600:	pdl:6.34e-01 	 Rec:3.49e-03 	 Color:0.00e+00 	Time: 0.46
epoch 650:	pdl:5.62e-01 	 Rec:2.98e-03 	 Color:0.00e+00 	Time: 0.43
epoch 700:	pdl:5.54e-01 	 Rec:2.84e-03 	 Color:0.00e+00 	Time: 0.46
epoch 750:	pdl:6.24e-01 	 Rec:2.74e-03 	 Color:0.00e+00 	Time: 0.49
epoch 800:	pdl:5.75e-01 	 Rec:2.91e-03 	 Color:0.00e+00 	Time: 0.47
epoch 850:	pdl:5.91e-01 	 Rec:2.93e-03 	 Color:0.00e+00 	Time: 0.44
epoch 900:	pdl:5.84e-01 	 Rec:2.79e-03 	 Color:0.00e+00 	Time: 0.45
epoch 950:	pdl:6.06e-01 	 Rec:2.82e-03 	 Color:0.00e+00 	Time: 0.46
epoch 1000:	pdl:5.85e-01 	 Rec:2.86e-03 	 Color:0.00e+00 	Time: 0.47
epoch 1050:	pdl:5.50e-01 	 Rec:3.30e-03 	 Color:0.00e+00 	Time: 0.48
epoch 1100:	pdl:6.43e-01 	 Rec:2.69e-03 	 Color:0.00e+00 	Time: 0.47
epoch 1150:	pdl:6.68e-01 	 Rec:2.90e-03 	 Color:0.00e+00 	Time: 0.46
epoch 1200:	pdl:6.27e-01 	 Rec:2.52e-03 	 Color:0.00e+00 	Time: 0.45
epoch 1250:	pdl:6.52e-01 	 Rec:2.44e-03 	 Color:0.00e+00 	Time: 0.46
epoch 1300:	pdl:6.05e-01 	 Rec:2.38e-03 	 Color:0.00e+00 	Time: 0.45
epoch 1350:	pdl:5.73e-01 	 Rec:2.69e-03 	 Color:0.00e+00 	Time: 0.46
epoch 1400:	pdl:5.53e-01 	 Rec:2.61e-03 	 Color:0.00e+00 	Time: 0.45
epoch 1450:	pdl:5.42e-01 	 Rec:2.14e-03 	 Color:0.00e+00 	Time: 0.47
epoch 1500:	pdl:5.67e-01 	 Rec:2.39e-03 	 Color:0.00e+00 	Time: 0.43
epoch 1550:	pdl:6.07e-01 	 Rec:2.63e-03 	 Color:0.00e+00 	Time: 0.46
epoch 1600:	pdl:5.66e-01 	 Rec:2.07e-03 	 Color:0.00e+00 	Time: 0.42
epoch 1650:	pdl:5.42e-01 	 Rec:2.28e-03 	 Color:0.00e+00 	Time: 0.46
epoch 1700:	pdl:6.67e-01 	 Rec:2.30e-03 	 Color:0.00e+00 	Time: 0.42
epoch 1750:	pdl:5.55e-01 	 Rec:2.13e-03 	 Color:0.00e+00 	Time: 0.43
epoch 1800:	pdl:6.17e-01 	 Rec:2.19e-03 	 Color:0.00e+00 	Time: 0.40
epoch 1850:	pdl:5.80e-01 	 Rec:2.10e-03 	 Color:0.00e+00 	Time: 0.44
epoch 1900:	pdl:5.49e-01 	 Rec:1.97e-03 	 Color:0.00e+00 	Time: 0.47
epoch 1950:	pdl:5.45e-01 	 Rec:1.94e-03 	 Color:0.00e+00 	Time: 0.48
epoch 2000:	pdl:5.36e-01 	 Rec:2.00e-03 	 Color:0.00e+00 	Time: 0.45
epoch 2050:	pdl:5.20e-01 	 Rec:1.94e-03 	 Color:0.00e+00 	Time: 0.45
epoch 2100:	pdl:5.73e-01 	 Rec:2.13e-03 	 Color:0.00e+00 	Time: 0.46
epoch 2150:	pdl:5.88e-01 	 Rec:1.90e-03 	 Color:0.00e+00 	Time: 0.45
epoch 2200:	pdl:6.21e-01 	 Rec:1.99e-03 	 Color:0.00e+00 	Time: 0.47
epoch 2250:	pdl:5.80e-01 	 Rec:1.79e-03 	 Color:0.00e+00 	Time: 0.44
epoch 2300:	pdl:5.90e-01 	 Rec:2.15e-03 	 Color:0.00e+00 	Time: 0.44
epoch 2350:	pdl:5.37e-01 	 Rec:1.81e-03 	 Color:0.00e+00 	Time: 0.42
epoch 2400:	pdl:6.04e-01 	 Rec:1.98e-03 	 Color:0.00e+00 	Time: 0.44
epoch 2450:	pdl:5.75e-01 	 Rec:1.79e-03 	 Color:0.00e+00 	Time: 0.44
epoch 2500:	pdl:5.44e-01 	 Rec:2.26e-03 	 Color:0.00e+00 	Time: 0.46
epoch 2550:	pdl:5.35e-01 	 Rec:1.87e-03 	 Color:0.00e+00 	Time: 0.48
epoch 2600:	pdl:6.21e-01 	 Rec:1.95e-03 	 Color:0.00e+00 	Time: 0.44
epoch 2650:	pdl:5.59e-01 	 Rec:2.19e-03 	 Color:0.00e+00 	Time: 0.46
epoch 2700:	pdl:5.61e-01 	 Rec:1.68e-03 	 Color:0.00e+00 	Time: 0.46
epoch 2750:	pdl:5.11e-01 	 Rec:1.73e-03 	 Color:0.00e+00 	Time: 0.47
epoch 2800:	pdl:5.52e-01 	 Rec:1.83e-03 	 Color:0.00e+00 	Time: 0.48
epoch 2850:	pdl:5.62e-01 	 Rec:1.60e-03 	 Color:0.00e+00 	Time: 0.42
epoch 2900:	pdl:5.86e-01 	 Rec:1.69e-03 	 Color:0.00e+00 	Time: 0.46
epoch 2950:	pdl:6.00e-01 	 Rec:1.68e-03 	 Color:0.00e+00 	Time: 0.44
epoch 3000:	pdl:5.47e-01 	 Rec:1.85e-03 	 Color:0.00e+00 	Time: 0.48
epoch 3050:	pdl:6.09e-01 	 Rec:1.84e-03 	 Color:0.00e+00 	Time: 0.45
epoch 3100:	pdl:5.12e-01 	 Rec:1.61e-03 	 Color:0.00e+00 	Time: 0.45
epoch 3150:	pdl:5.51e-01 	 Rec:1.67e-03 	 Color:0.00e+00 	Time: 0.46
epoch 3200:	pdl:5.77e-01 	 Rec:1.55e-03 	 Color:0.00e+00 	Time: 0.41
epoch 3250:	pdl:5.59e-01 	 Rec:1.67e-03 	 Color:0.00e+00 	Time: 0.44
