epoch 0:	pdl:3.18e-01 	 Rec:5.02e-03 	 Color:7.69e-02 	Time: 0.03
epoch 50:	pdl:3.25e-01 	 Rec:3.63e-03 	 Color:9.40e-02 	Time: 3.53
epoch 100:	pdl:2.56e-01 	 Rec:3.37e-03 	 Color:8.69e-02 	Time: 3.50
epoch 150:	pdl:2.72e-01 	 Rec:3.20e-03 	 Color:7.74e-02 	Time: 3.50
epoch 200:	pdl:2.57e-01 	 Rec:3.01e-03 	 Color:7.12e-02 	Time: 3.50
epoch 250:	pdl:2.75e-01 	 Rec:2.76e-03 	 Color:8.37e-02 	Time: 3.51
epoch 300:	pdl:2.63e-01 	 Rec:2.67e-03 	 Color:8.25e-02 	Time: 3.51
epoch 350:	pdl:2.59e-01 	 Rec:2.64e-03 	 Color:8.11e-02 	Time: 3.51
epoch 400:	pdl:2.48e-01 	 Rec:2.64e-03 	 Color:7.40e-02 	Time: 3.52
epoch 450:	pdl:2.40e-01 	 Rec:2.49e-03 	 Color:7.75e-02 	Time: 3.52
epoch 500:	pdl:2.57e-01 	 Rec:2.57e-03 	 Color:7.28e-02 	Time: 3.54
epoch 550:	pdl:2.41e-01 	 Rec:2.37e-03 	 Color:7.59e-02 	Time: 3.53
epoch 600:	pdl:2.51e-01 	 Rec:2.38e-03 	 Color:9.08e-02 	Time: 3.52
epoch 650:	pdl:2.52e-01 	 Rec:2.33e-03 	 Color:8.24e-02 	Time: 3.52
epoch 700:	pdl:3.02e-01 	 Rec:2.45e-03 	 Color:7.87e-02 	Time: 3.52
epoch 750:	pdl:2.93e-01 	 Rec:2.19e-03 	 Color:8.56e-02 	Time: 3.54
epoch 800:	pdl:2.59e-01 	 Rec:2.21e-03 	 Color:7.97e-02 	Time: 3.53
epoch 850:	pdl:2.91e-01 	 Rec:2.55e-03 	 Color:9.16e-02 	Time: 3.53
epoch 900:	pdl:2.85e-01 	 Rec:2.19e-03 	 Color:8.83e-02 	Time: 3.53
epoch 950:	pdl:2.68e-01 	 Rec:2.15e-03 	 Color:8.13e-02 	Time: 3.53
epoch 1000:	pdl:2.50e-01 	 Rec:1.98e-03 	 Color:8.01e-02 	Time: 3.54
epoch 1050:	pdl:2.62e-01 	 Rec:2.10e-03 	 Color:8.66e-02 	Time: 3.56
epoch 1100:	pdl:2.44e-01 	 Rec:1.92e-03 	 Color:7.79e-02 	Time: 3.53
epoch 1150:	pdl:2.51e-01 	 Rec:2.04e-03 	 Color:8.33e-02 	Time: 3.51
epoch 1200:	pdl:2.75e-01 	 Rec:1.89e-03 	 Color:8.78e-02 	Time: 3.53
epoch 1250:	pdl:2.85e-01 	 Rec:1.90e-03 	 Color:9.16e-02 	Time: 3.53
epoch 1300:	pdl:2.71e-01 	 Rec:1.90e-03 	 Color:8.46e-02 	Time: 3.52
epoch 1350:	pdl:2.86e-01 	 Rec:1.92e-03 	 Color:8.77e-02 	Time: 3.51
epoch 1400:	pdl:2.66e-01 	 Rec:1.87e-03 	 Color:7.88e-02 	Time: 3.51
epoch 1450:	pdl:2.46e-01 	 Rec:1.85e-03 	 Color:8.45e-02 	Time: 3.51
epoch 1500:	pdl:2.53e-01 	 Rec:1.90e-03 	 Color:8.25e-02 	Time: 3.50
epoch 1550:	pdl:2.51e-01 	 Rec:1.90e-03 	 Color:8.04e-02 	Time: 3.51
epoch 1600:	pdl:2.36e-01 	 Rec:1.83e-03 	 Color:7.85e-02 	Time: 3.51
epoch 1650:	pdl:2.75e-01 	 Rec:1.83e-03 	 Color:8.70e-02 	Time: 3.51
epoch 1700:	pdl:2.65e-01 	 Rec:1.85e-03 	 Color:8.68e-02 	Time: 3.51
epoch 1750:	pdl:2.56e-01 	 Rec:1.65e-03 	 Color:8.44e-02 	Time: 3.51
epoch 1800:	pdl:2.47e-01 	 Rec:1.67e-03 	 Color:7.79e-02 	Time: 3.53
epoch 1850:	pdl:2.55e-01 	 Rec:1.72e-03 	 Color:7.89e-02 	Time: 3.51
epoch 1900:	pdl:2.70e-01 	 Rec:1.72e-03 	 Color:8.46e-02 	Time: 3.53
epoch 1950:	pdl:2.63e-01 	 Rec:1.60e-03 	 Color:9.10e-02 	Time: 3.53
epoch 2000:	pdl:2.62e-01 	 Rec:1.73e-03 	 Color:8.66e-02 	Time: 3.53
epoch 2050:	pdl:2.64e-01 	 Rec:1.76e-03 	 Color:7.79e-02 	Time: 3.58
epoch 2100:	pdl:2.71e-01 	 Rec:1.62e-03 	 Color:9.10e-02 	Time: 3.53
epoch 2150:	pdl:2.55e-01 	 Rec:1.53e-03 	 Color:8.01e-02 	Time: 3.52
epoch 2200:	pdl:2.60e-01 	 Rec:1.60e-03 	 Color:7.20e-02 	Time: 3.52
epoch 2250:	pdl:2.61e-01 	 Rec:1.62e-03 	 Color:8.23e-02 	Time: 3.52
epoch 2300:	pdl:2.53e-01 	 Rec:1.59e-03 	 Color:8.56e-02 	Time: 3.52
epoch 2350:	pdl:2.90e-01 	 Rec:1.64e-03 	 Color:8.28e-02 	Time: 3.53
epoch 2400:	pdl:2.45e-01 	 Rec:1.69e-03 	 Color:7.80e-02 	Time: 3.52
epoch 2450:	pdl:2.70e-01 	 Rec:1.53e-03 	 Color:7.53e-02 	Time: 3.51
epoch 2500:	pdl:2.82e-01 	 Rec:1.48e-03 	 Color:8.64e-02 	Time: 3.50
epoch 2550:	pdl:2.48e-01 	 Rec:1.48e-03 	 Color:8.69e-02 	Time: 3.49
epoch 2600:	pdl:2.48e-01 	 Rec:1.49e-03 	 Color:7.75e-02 	Time: 3.50
epoch 2650:	pdl:2.47e-01 	 Rec:1.52e-03 	 Color:8.53e-02 	Time: 3.51
epoch 2700:	pdl:2.39e-01 	 Rec:1.48e-03 	 Color:8.49e-02 	Time: 3.49
epoch 2750:	pdl:2.65e-01 	 Rec:1.50e-03 	 Color:8.87e-02 	Time: 3.51
epoch 2800:	pdl:2.55e-01 	 Rec:1.53e-03 	 Color:8.77e-02 	Time: 3.50
epoch 2850:	pdl:2.49e-01 	 Rec:1.46e-03 	 Color:7.64e-02 	Time: 3.50
epoch 2900:	pdl:2.78e-01 	 Rec:1.54e-03 	 Color:9.02e-02 	Time: 3.50
epoch 2950:	pdl:2.69e-01 	 Rec:1.41e-03 	 Color:8.59e-02 	Time: 3.49
epoch 3000:	pdl:2.50e-01 	 Rec:1.39e-03 	 Color:7.69e-02 	Time: 3.50
epoch 3050:	pdl:2.57e-01 	 Rec:1.62e-03 	 Color:7.65e-02 	Time: 3.52
epoch 3100:	pdl:2.68e-01 	 Rec:1.49e-03 	 Color:8.26e-02 	Time: 3.50
epoch 3150:	pdl:3.10e-01 	 Rec:1.42e-03 	 Color:9.27e-02 	Time: 3.50
epoch 3200:	pdl:2.39e-01 	 Rec:1.43e-03 	 Color:7.69e-02 	Time: 3.49
epoch 3250:	pdl:2.59e-01 	 Rec:1.44e-03 	 Color:8.26e-02 	Time: 3.49
epoch 3300:	pdl:2.35e-01 	 Rec:1.35e-03 	 Color:8.12e-02 	Time: 3.49
epoch 3350:	pdl:2.47e-01 	 Rec:1.49e-03 	 Color:7.75e-02 	Time: 3.50
epoch 3400:	pdl:2.45e-01 	 Rec:1.43e-03 	 Color:7.15e-02 	Time: 3.51
epoch 3450:	pdl:2.45e-01 	 Rec:1.43e-03 	 Color:8.56e-02 	Time: 3.48
epoch 3500:	pdl:2.36e-01 	 Rec:1.36e-03 	 Color:7.94e-02 	Time: 3.50
epoch 3550:	pdl:2.37e-01 	 Rec:1.44e-03 	 Color:7.62e-02 	Time: 3.49
epoch 3600:	pdl:2.64e-01 	 Rec:1.38e-03 	 Color:7.25e-02 	Time: 3.49
epoch 3650:	pdl:2.65e-01 	 Rec:1.43e-03 	 Color:8.89e-02 	Time: 3.50
epoch 3700:	pdl:2.64e-01 	 Rec:1.69e-03 	 Color:7.93e-02 	Time: 3.48
epoch 3750:	pdl:2.50e-01 	 Rec:1.37e-03 	 Color:8.07e-02 	Time: 3.48
epoch 3800:	pdl:2.68e-01 	 Rec:1.35e-03 	 Color:8.61e-02 	Time: 3.50
epoch 3850:	pdl:2.66e-01 	 Rec:1.31e-03 	 Color:8.57e-02 	Time: 3.49
epoch 3900:	pdl:2.59e-01 	 Rec:1.31e-03 	 Color:7.84e-02 	Time: 3.48
epoch 3950:	pdl:2.80e-01 	 Rec:1.23e-03 	 Color:7.77e-02 	Time: 3.50
epoch 4000:	pdl:2.75e-01 	 Rec:1.52e-03 	 Color:8.59e-02 	Time: 3.49
epoch 4050:	pdl:2.46e-01 	 Rec:1.35e-03 	 Color:8.06e-02 	Time: 3.52
epoch 4100:	pdl:3.00e-01 	 Rec:1.32e-03 	 Color:8.82e-02 	Time: 3.49
epoch 4150:	pdl:2.65e-01 	 Rec:1.35e-03 	 Color:8.31e-02 	Time: 3.49
epoch 4200:	pdl:2.31e-01 	 Rec:1.35e-03 	 Color:7.35e-02 	Time: 3.51
epoch 4250:	pdl:2.65e-01 	 Rec:1.44e-03 	 Color:8.69e-02 	Time: 3.49
epoch 4300:	pdl:2.65e-01 	 Rec:1.29e-03 	 Color:8.70e-02 	Time: 3.49
epoch 4350:	pdl:2.71e-01 	 Rec:1.21e-03 	 Color:8.69e-02 	Time: 3.49
epoch 4400:	pdl:2.75e-01 	 Rec:1.35e-03 	 Color:8.44e-02 	Time: 3.49
epoch 4450:	pdl:2.76e-01 	 Rec:1.29e-03 	 Color:8.54e-02 	Time: 3.49
epoch 4500:	pdl:2.39e-01 	 Rec:1.23e-03 	 Color:7.85e-02 	Time: 3.50
epoch 4550:	pdl:2.81e-01 	 Rec:1.46e-03 	 Color:8.00e-02 	Time: 3.49
epoch 4600:	pdl:2.70e-01 	 Rec:1.40e-03 	 Color:8.24e-02 	Time: 3.49
epoch 4650:	pdl:2.69e-01 	 Rec:1.31e-03 	 Color:7.59e-02 	Time: 3.48
epoch 4700:	pdl:2.72e-01 	 Rec:1.19e-03 	 Color:7.76e-02 	Time: 3.48
epoch 4750:	pdl:2.49e-01 	 Rec:1.41e-03 	 Color:7.48e-02 	Time: 3.49
epoch 4800:	pdl:2.61e-01 	 Rec:1.24e-03 	 Color:7.94e-02 	Time: 3.49
epoch 4850:	pdl:2.61e-01 	 Rec:1.13e-03 	 Color:7.80e-02 	Time: 3.48
epoch 4900:	pdl:2.65e-01 	 Rec:1.23e-03 	 Color:9.33e-02 	Time: 3.48
epoch 4950:	pdl:2.41e-01 	 Rec:1.27e-03 	 Color:7.56e-02 	Time: 3.49
epoch 5000:	pdl:2.52e-01 	 Rec:1.21e-03 	 Color:8.07e-02 	Time: 3.49
epoch 5050:	pdl:2.47e-01 	 Rec:1.27e-03 	 Color:8.41e-02 	Time: 3.53
