epoch 0:	pdl:1.40e+00 	 Rec:6.20e-02 	 Color:0.00e+00 	Time: 0.04
epoch 50:	pdl:7.02e-01 	 Rec:1.35e-02 	 Color:0.00e+00 	Time: 0.97
epoch 100:	pdl:6.87e-01 	 Rec:9.26e-03 	 Color:0.00e+00 	Time: 0.96
epoch 150:	pdl:6.01e-01 	 Rec:6.84e-03 	 Color:0.00e+00 	Time: 0.95
epoch 200:	pdl:6.59e-01 	 Rec:5.34e-03 	 Color:0.00e+00 	Time: 0.94
epoch 250:	pdl:5.91e-01 	 Rec:4.32e-03 	 Color:0.00e+00 	Time: 0.96
epoch 300:	pdl:6.77e-01 	 Rec:3.50e-03 	 Color:0.00e+00 	Time: 0.98
epoch 350:	pdl:5.77e-01 	 Rec:2.90e-03 	 Color:0.00e+00 	Time: 0.98
epoch 400:	pdl:6.04e-01 	 Rec:2.52e-03 	 Color:0.00e+00 	Time: 1.00
epoch 450:	pdl:7.00e-01 	 Rec:2.61e-03 	 Color:0.00e+00 	Time: 0.95
epoch 500:	pdl:6.49e-01 	 Rec:2.16e-03 	 Color:0.00e+00 	Time: 0.97
epoch 550:	pdl:5.85e-01 	 Rec:1.83e-03 	 Color:0.00e+00 	Time: 0.98
epoch 600:	pdl:5.82e-01 	 Rec:1.74e-03 	 Color:0.00e+00 	Time: 1.03
epoch 650:	pdl:5.99e-01 	 Rec:1.81e-03 	 Color:0.00e+00 	Time: 0.99
epoch 700:	pdl:6.70e-01 	 Rec:1.51e-03 	 Color:0.00e+00 	Time: 0.96
epoch 750:	pdl:7.07e-01 	 Rec:1.49e-03 	 Color:0.00e+00 	Time: 0.98
epoch 800:	pdl:7.03e-01 	 Rec:1.98e-03 	 Color:0.00e+00 	Time: 0.98
epoch 850:	pdl:6.12e-01 	 Rec:1.19e-03 	 Color:0.00e+00 	Time: 0.98
epoch 900:	pdl:5.76e-01 	 Rec:1.15e-03 	 Color:0.00e+00 	Time: 0.97
epoch 950:	pdl:7.81e-01 	 Rec:1.87e-03 	 Color:0.00e+00 	Time: 0.97
epoch 1000:	pdl:7.02e-01 	 Rec:1.11e-03 	 Color:0.00e+00 	Time: 0.96
epoch 1050:	pdl:5.81e-01 	 Rec:1.08e-03 	 Color:0.00e+00 	Time: 0.99
epoch 1100:	pdl:5.30e-01 	 Rec:9.19e-04 	 Color:0.00e+00 	Time: 0.95
epoch 1150:	pdl:5.89e-01 	 Rec:8.48e-04 	 Color:0.00e+00 	Time: 0.95
epoch 1200:	pdl:5.90e-01 	 Rec:1.02e-03 	 Color:0.00e+00 	Time: 0.97
epoch 1250:	pdl:5.53e-01 	 Rec:1.06e-03 	 Color:0.00e+00 	Time: 0.96
epoch 1300:	pdl:5.45e-01 	 Rec:8.67e-04 	 Color:0.00e+00 	Time: 0.93
epoch 1350:	pdl:6.09e-01 	 Rec:8.01e-04 	 Color:0.00e+00 	Time: 1.00
epoch 1400:	pdl:5.82e-01 	 Rec:1.21e-03 	 Color:0.00e+00 	Time: 0.96
epoch 1450:	pdl:6.18e-01 	 Rec:9.26e-04 	 Color:0.00e+00 	Time: 0.96
