epoch 0:	pdl:2.68e-01 	 Rec:3.51e-03 	 Color:7.52e-02 	Time: 0.03
epoch 50:	pdl:2.54e-01 	 Rec:2.12e-03 	 Color:7.68e-02 	Time: 2.69
epoch 100:	pdl:2.60e-01 	 Rec:2.05e-03 	 Color:7.24e-02 	Time: 2.64
epoch 150:	pdl:2.53e-01 	 Rec:1.87e-03 	 Color:6.40e-02 	Time: 2.64
epoch 200:	pdl:2.47e-01 	 Rec:1.69e-03 	 Color:6.96e-02 	Time: 2.64
epoch 250:	pdl:2.58e-01 	 Rec:1.72e-03 	 Color:7.68e-02 	Time: 2.64
epoch 300:	pdl:2.43e-01 	 Rec:1.56e-03 	 Color:7.15e-02 	Time: 2.64
epoch 350:	pdl:2.38e-01 	 Rec:1.46e-03 	 Color:6.98e-02 	Time: 2.63
epoch 400:	pdl:2.75e-01 	 Rec:1.59e-03 	 Color:7.61e-02 	Time: 2.64
epoch 450:	pdl:2.47e-01 	 Rec:1.46e-03 	 Color:7.63e-02 	Time: 2.65
epoch 500:	pdl:2.41e-01 	 Rec:1.34e-03 	 Color:6.45e-02 	Time: 2.65
epoch 550:	pdl:2.59e-01 	 Rec:1.33e-03 	 Color:8.09e-02 	Time: 2.65
epoch 600:	pdl:2.77e-01 	 Rec:1.34e-03 	 Color:7.63e-02 	Time: 2.64
epoch 650:	pdl:2.30e-01 	 Rec:1.22e-03 	 Color:6.80e-02 	Time: 2.64
epoch 700:	pdl:2.47e-01 	 Rec:1.19e-03 	 Color:6.64e-02 	Time: 2.65
epoch 750:	pdl:2.37e-01 	 Rec:1.23e-03 	 Color:6.36e-02 	Time: 2.62
epoch 800:	pdl:2.65e-01 	 Rec:1.20e-03 	 Color:7.92e-02 	Time: 2.63
epoch 850:	pdl:2.62e-01 	 Rec:1.15e-03 	 Color:7.01e-02 	Time: 2.64
epoch 900:	pdl:2.60e-01 	 Rec:1.28e-03 	 Color:7.25e-02 	Time: 2.62
epoch 950:	pdl:2.42e-01 	 Rec:1.15e-03 	 Color:6.95e-02 	Time: 2.63
epoch 1000:	pdl:2.67e-01 	 Rec:1.22e-03 	 Color:7.23e-02 	Time: 2.62
epoch 1050:	pdl:2.57e-01 	 Rec:1.03e-03 	 Color:7.29e-02 	Time: 2.64
epoch 1100:	pdl:2.39e-01 	 Rec:1.05e-03 	 Color:7.20e-02 	Time: 2.62
epoch 1150:	pdl:2.69e-01 	 Rec:1.05e-03 	 Color:7.75e-02 	Time: 2.62
epoch 1200:	pdl:2.74e-01 	 Rec:1.06e-03 	 Color:6.99e-02 	Time: 2.64
epoch 1250:	pdl:2.81e-01 	 Rec:1.10e-03 	 Color:7.50e-02 	Time: 2.63
epoch 1300:	pdl:2.42e-01 	 Rec:1.10e-03 	 Color:7.57e-02 	Time: 2.63
epoch 1350:	pdl:2.64e-01 	 Rec:1.00e-03 	 Color:7.40e-02 	Time: 2.62
epoch 1400:	pdl:2.59e-01 	 Rec:9.52e-04 	 Color:7.52e-02 	Time: 2.64
epoch 1450:	pdl:2.53e-01 	 Rec:1.10e-03 	 Color:7.75e-02 	Time: 2.63
epoch 1500:	pdl:2.65e-01 	 Rec:9.52e-04 	 Color:7.57e-02 	Time: 2.63
epoch 1550:	pdl:2.39e-01 	 Rec:1.19e-03 	 Color:7.15e-02 	Time: 2.64
epoch 1600:	pdl:2.46e-01 	 Rec:1.01e-03 	 Color:6.90e-02 	Time: 2.62
epoch 1650:	pdl:2.47e-01 	 Rec:9.51e-04 	 Color:7.61e-02 	Time: 2.64
epoch 1700:	pdl:2.82e-01 	 Rec:1.12e-03 	 Color:6.38e-02 	Time: 2.63
epoch 1750:	pdl:2.70e-01 	 Rec:1.02e-03 	 Color:6.73e-02 	Time: 2.62
epoch 1800:	pdl:2.58e-01 	 Rec:9.01e-04 	 Color:8.22e-02 	Time: 2.63
epoch 1850:	pdl:2.51e-01 	 Rec:9.86e-04 	 Color:6.85e-02 	Time: 2.63
epoch 1900:	pdl:2.39e-01 	 Rec:8.45e-04 	 Color:6.91e-02 	Time: 2.64
epoch 1950:	pdl:2.59e-01 	 Rec:9.28e-04 	 Color:7.31e-02 	Time: 2.64
epoch 2000:	pdl:2.38e-01 	 Rec:8.45e-04 	 Color:7.10e-02 	Time: 2.64
epoch 2050:	pdl:2.50e-01 	 Rec:9.95e-04 	 Color:7.01e-02 	Time: 2.67
epoch 2100:	pdl:2.24e-01 	 Rec:9.28e-04 	 Color:6.02e-02 	Time: 2.65
epoch 2150:	pdl:2.47e-01 	 Rec:1.04e-03 	 Color:7.13e-02 	Time: 2.64
epoch 2200:	pdl:3.03e-01 	 Rec:1.01e-03 	 Color:7.67e-02 	Time: 2.64
epoch 2250:	pdl:2.56e-01 	 Rec:9.76e-04 	 Color:7.25e-02 	Time: 2.64
epoch 2300:	pdl:2.68e-01 	 Rec:8.30e-04 	 Color:7.53e-02 	Time: 2.64
epoch 2350:	pdl:2.63e-01 	 Rec:8.22e-04 	 Color:7.02e-02 	Time: 2.64
epoch 2400:	pdl:2.41e-01 	 Rec:9.53e-04 	 Color:7.09e-02 	Time: 2.65
epoch 2450:	pdl:2.46e-01 	 Rec:9.35e-04 	 Color:7.37e-02 	Time: 2.65
epoch 2500:	pdl:2.47e-01 	 Rec:9.11e-04 	 Color:7.17e-02 	Time: 2.63
epoch 2550:	pdl:2.57e-01 	 Rec:8.98e-04 	 Color:6.95e-02 	Time: 2.66
epoch 2600:	pdl:2.44e-01 	 Rec:7.86e-04 	 Color:6.58e-02 	Time: 2.66
epoch 2650:	pdl:2.51e-01 	 Rec:9.17e-04 	 Color:6.73e-02 	Time: 2.65
epoch 2700:	pdl:2.44e-01 	 Rec:7.80e-04 	 Color:6.81e-02 	Time: 2.64
epoch 2750:	pdl:2.70e-01 	 Rec:9.51e-04 	 Color:7.15e-02 	Time: 2.64
epoch 2800:	pdl:2.64e-01 	 Rec:8.03e-04 	 Color:7.49e-02 	Time: 2.64
epoch 2850:	pdl:2.57e-01 	 Rec:8.93e-04 	 Color:7.45e-02 	Time: 2.65
epoch 2900:	pdl:2.46e-01 	 Rec:8.40e-04 	 Color:7.42e-02 	Time: 2.65
epoch 2950:	pdl:2.57e-01 	 Rec:8.67e-04 	 Color:7.52e-02 	Time: 2.66
epoch 3000:	pdl:2.36e-01 	 Rec:8.34e-04 	 Color:7.17e-02 	Time: 2.64
epoch 3050:	pdl:2.76e-01 	 Rec:8.21e-04 	 Color:6.55e-02 	Time: 2.67
epoch 3100:	pdl:2.56e-01 	 Rec:8.01e-04 	 Color:7.25e-02 	Time: 2.65
epoch 3150:	pdl:2.69e-01 	 Rec:8.98e-04 	 Color:6.96e-02 	Time: 2.64
epoch 3200:	pdl:2.53e-01 	 Rec:7.86e-04 	 Color:6.98e-02 	Time: 2.65
epoch 3250:	pdl:2.46e-01 	 Rec:6.82e-04 	 Color:7.92e-02 	Time: 2.64
epoch 3300:	pdl:2.46e-01 	 Rec:7.57e-04 	 Color:6.51e-02 	Time: 2.66
epoch 3350:	pdl:2.48e-01 	 Rec:7.23e-04 	 Color:6.59e-02 	Time: 2.65
epoch 3400:	pdl:2.48e-01 	 Rec:8.66e-04 	 Color:6.03e-02 	Time: 2.65
epoch 3450:	pdl:2.44e-01 	 Rec:7.09e-04 	 Color:7.33e-02 	Time: 2.65
epoch 3500:	pdl:2.60e-01 	 Rec:7.52e-04 	 Color:6.86e-02 	Time: 2.65
