epoch 0:	pdl:1.54e-01 	 Rec:5.62e-03 	 Color:2.44e-02 	Time: 0.04
epoch 50:	pdl:1.18e-01 	 Rec:5.55e-03 	 Color:3.12e-02 	Time: 5.28
epoch 100:	pdl:1.01e-01 	 Rec:5.48e-03 	 Color:2.38e-02 	Time: 5.19
epoch 150:	pdl:9.22e-02 	 Rec:5.44e-03 	 Color:2.27e-02 	Time: 5.19
epoch 200:	pdl:8.83e-02 	 Rec:5.44e-03 	 Color:2.41e-02 	Time: 5.35
epoch 250:	pdl:9.79e-02 	 Rec:5.41e-03 	 Color:2.49e-02 	Time: 5.33
epoch 300:	pdl:1.03e-01 	 Rec:5.35e-03 	 Color:2.73e-02 	Time: 5.32
epoch 350:	pdl:1.02e-01 	 Rec:5.33e-03 	 Color:2.73e-02 	Time: 5.26
epoch 400:	pdl:9.63e-02 	 Rec:5.38e-03 	 Color:2.42e-02 	Time: 5.31
epoch 450:	pdl:9.73e-02 	 Rec:5.31e-03 	 Color:2.61e-02 	Time: 5.33
epoch 500:	pdl:9.26e-02 	 Rec:5.30e-03 	 Color:2.46e-02 	Time: 5.31
epoch 550:	pdl:9.52e-02 	 Rec:5.26e-03 	 Color:2.38e-02 	Time: 5.26
epoch 600:	pdl:8.89e-02 	 Rec:5.41e-03 	 Color:2.26e-02 	Time: 5.30
epoch 650:	pdl:9.55e-02 	 Rec:5.30e-03 	 Color:2.53e-02 	Time: 5.25
epoch 700:	pdl:1.07e-01 	 Rec:5.27e-03 	 Color:3.00e-02 	Time: 5.31
epoch 750:	pdl:9.18e-02 	 Rec:5.23e-03 	 Color:2.52e-02 	Time: 5.26
epoch 800:	pdl:8.35e-02 	 Rec:5.21e-03 	 Color:2.39e-02 	Time: 5.25
epoch 850:	pdl:1.03e-01 	 Rec:5.22e-03 	 Color:2.66e-02 	Time: 5.24
epoch 900:	pdl:8.60e-02 	 Rec:5.25e-03 	 Color:2.13e-02 	Time: 5.43
epoch 950:	pdl:8.88e-02 	 Rec:5.19e-03 	 Color:2.48e-02 	Time: 5.30
epoch 1000:	pdl:1.08e-01 	 Rec:5.27e-03 	 Color:2.63e-02 	Time: 5.27
epoch 1050:	pdl:9.71e-02 	 Rec:5.22e-03 	 Color:2.39e-02 	Time: 5.41
epoch 1100:	pdl:9.27e-02 	 Rec:5.16e-03 	 Color:2.58e-02 	Time: 5.22
epoch 1150:	pdl:9.47e-02 	 Rec:5.23e-03 	 Color:2.60e-02 	Time: 5.35
epoch 1200:	pdl:1.06e-01 	 Rec:5.17e-03 	 Color:2.86e-02 	Time: 5.34
epoch 1250:	pdl:9.48e-02 	 Rec:5.16e-03 	 Color:2.27e-02 	Time: 5.22
epoch 1300:	pdl:1.04e-01 	 Rec:5.15e-03 	 Color:3.12e-02 	Time: 5.34
epoch 1350:	pdl:1.33e-01 	 Rec:5.18e-03 	 Color:3.44e-02 	Time: 5.29
epoch 1400:	pdl:9.02e-02 	 Rec:5.16e-03 	 Color:2.28e-02 	Time: 5.20
epoch 1450:	pdl:1.02e-01 	 Rec:5.14e-03 	 Color:2.45e-02 	Time: 5.31
epoch 1500:	pdl:1.09e-01 	 Rec:5.21e-03 	 Color:2.89e-02 	Time: 5.29
epoch 1550:	pdl:1.02e-01 	 Rec:5.14e-03 	 Color:2.56e-02 	Time: 5.27
epoch 1600:	pdl:9.49e-02 	 Rec:5.09e-03 	 Color:2.46e-02 	Time: 5.29
epoch 1650:	pdl:9.47e-02 	 Rec:5.13e-03 	 Color:2.45e-02 	Time: 5.28
epoch 1700:	pdl:9.92e-02 	 Rec:5.05e-03 	 Color:2.87e-02 	Time: 5.30
epoch 1750:	pdl:8.95e-02 	 Rec:5.08e-03 	 Color:2.34e-02 	Time: 5.27
epoch 1800:	pdl:1.01e-01 	 Rec:5.10e-03 	 Color:2.84e-02 	Time: 5.09
epoch 1850:	pdl:9.76e-02 	 Rec:5.13e-03 	 Color:2.74e-02 	Time: 5.32
epoch 1900:	pdl:8.81e-02 	 Rec:5.05e-03 	 Color:2.44e-02 	Time: 5.21
epoch 1950:	pdl:1.01e-01 	 Rec:5.06e-03 	 Color:2.89e-02 	Time: 5.32
epoch 2000:	pdl:9.93e-02 	 Rec:5.05e-03 	 Color:2.48e-02 	Time: 5.30
