epoch 0:	pdl:1.40e+00 	 Rec:7.48e-02 	 Color:5.67e-02 	Time: 0.02
epoch 50:	pdl:2.63e-01 	 Rec:3.36e-03 	 Color:1.75e-02 	Time: 0.92
epoch 100:	pdl:2.73e-01 	 Rec:2.10e-03 	 Color:1.94e-02 	Time: 0.82
epoch 150:	pdl:2.45e-01 	 Rec:1.84e-03 	 Color:1.95e-02 	Time: 0.81
epoch 200:	pdl:2.59e-01 	 Rec:1.40e-03 	 Color:1.93e-02 	Time: 0.82
epoch 250:	pdl:2.84e-01 	 Rec:1.55e-03 	 Color:1.93e-02 	Time: 0.81
epoch 300:	pdl:2.55e-01 	 Rec:1.17e-03 	 Color:1.95e-02 	Time: 0.81
epoch 350:	pdl:2.45e-01 	 Rec:1.14e-03 	 Color:1.61e-02 	Time: 0.81
epoch 400:	pdl:2.87e-01 	 Rec:1.15e-03 	 Color:2.37e-02 	Time: 0.79
epoch 450:	pdl:3.05e-01 	 Rec:9.89e-04 	 Color:2.36e-02 	Time: 0.86
epoch 500:	pdl:2.65e-01 	 Rec:1.01e-03 	 Color:1.78e-02 	Time: 0.81
epoch 550:	pdl:2.49e-01 	 Rec:8.90e-04 	 Color:1.62e-02 	Time: 0.85
epoch 600:	pdl:2.55e-01 	 Rec:9.45e-04 	 Color:2.01e-02 	Time: 0.76
epoch 650:	pdl:2.47e-01 	 Rec:9.82e-04 	 Color:1.59e-02 	Time: 0.78
epoch 700:	pdl:2.35e-01 	 Rec:8.93e-04 	 Color:1.61e-02 	Time: 0.78
epoch 750:	pdl:2.42e-01 	 Rec:7.97e-04 	 Color:1.86e-02 	Time: 0.85
epoch 800:	pdl:2.55e-01 	 Rec:8.46e-04 	 Color:1.78e-02 	Time: 0.84
epoch 850:	pdl:2.45e-01 	 Rec:8.02e-04 	 Color:1.84e-02 	Time: 0.80
epoch 900:	pdl:2.44e-01 	 Rec:7.69e-04 	 Color:1.66e-02 	Time: 0.79
epoch 950:	pdl:2.34e-01 	 Rec:8.29e-04 	 Color:1.45e-02 	Time: 0.84
epoch 1000:	pdl:2.44e-01 	 Rec:7.50e-04 	 Color:1.79e-02 	Time: 0.80
epoch 1050:	pdl:2.36e-01 	 Rec:7.84e-04 	 Color:1.56e-02 	Time: 0.82
epoch 1100:	pdl:2.28e-01 	 Rec:7.23e-04 	 Color:1.48e-02 	Time: 0.76
epoch 1150:	pdl:2.35e-01 	 Rec:7.60e-04 	 Color:1.59e-02 	Time: 0.82
epoch 1200:	pdl:2.53e-01 	 Rec:7.68e-04 	 Color:1.84e-02 	Time: 0.80
epoch 1250:	pdl:2.83e-01 	 Rec:8.06e-04 	 Color:1.91e-02 	Time: 0.78
epoch 1300:	pdl:2.56e-01 	 Rec:6.67e-04 	 Color:1.85e-02 	Time: 0.83
epoch 1350:	pdl:2.31e-01 	 Rec:6.97e-04 	 Color:1.35e-02 	Time: 0.82
epoch 1400:	pdl:2.70e-01 	 Rec:6.81e-04 	 Color:2.11e-02 	Time: 0.76
epoch 1450:	pdl:2.34e-01 	 Rec:6.58e-04 	 Color:1.46e-02 	Time: 0.80
epoch 1500:	pdl:2.23e-01 	 Rec:6.10e-04 	 Color:1.84e-02 	Time: 0.79
epoch 1550:	pdl:2.29e-01 	 Rec:7.23e-04 	 Color:1.90e-02 	Time: 0.79
epoch 1600:	pdl:2.56e-01 	 Rec:6.14e-04 	 Color:2.14e-02 	Time: 0.78
epoch 1650:	pdl:2.31e-01 	 Rec:6.19e-04 	 Color:1.51e-02 	Time: 0.77
epoch 1700:	pdl:2.52e-01 	 Rec:5.96e-04 	 Color:1.68e-02 	Time: 0.82
epoch 1750:	pdl:2.50e-01 	 Rec:6.01e-04 	 Color:2.00e-02 	Time: 0.83
epoch 1800:	pdl:2.47e-01 	 Rec:5.86e-04 	 Color:2.08e-02 	Time: 0.79
epoch 1850:	pdl:2.39e-01 	 Rec:6.22e-04 	 Color:1.59e-02 	Time: 0.77
epoch 1900:	pdl:2.20e-01 	 Rec:6.27e-04 	 Color:1.40e-02 	Time: 0.80
epoch 1950:	pdl:2.44e-01 	 Rec:5.99e-04 	 Color:1.64e-02 	Time: 0.83
epoch 2000:	pdl:2.82e-01 	 Rec:6.86e-04 	 Color:2.03e-02 	Time: 0.76
epoch 2050:	pdl:2.55e-01 	 Rec:5.74e-04 	 Color:1.81e-02 	Time: 0.84
epoch 2100:	pdl:2.37e-01 	 Rec:6.32e-04 	 Color:1.57e-02 	Time: 0.79
epoch 2150:	pdl:2.34e-01 	 Rec:5.68e-04 	 Color:1.66e-02 	Time: 0.75
epoch 2200:	pdl:2.29e-01 	 Rec:6.33e-04 	 Color:1.44e-02 	Time: 0.79
epoch 2250:	pdl:2.34e-01 	 Rec:5.33e-04 	 Color:1.67e-02 	Time: 0.78
