epoch 0:	pdl:1.38e+00 	 Rec:1.00e-01 	 Color:0.00e+00 	Time: 0.01
epoch 50:	pdl:5.99e-01 	 Rec:3.74e-03 	 Color:0.00e+00 	Time: 0.56
epoch 100:	pdl:6.14e-01 	 Rec:2.57e-03 	 Color:0.00e+00 	Time: 0.53
epoch 150:	pdl:5.46e-01 	 Rec:2.29e-03 	 Color:0.00e+00 	Time: 0.47
epoch 200:	pdl:5.81e-01 	 Rec:2.06e-03 	 Color:0.00e+00 	Time: 0.48
epoch 250:	pdl:5.78e-01 	 Rec:1.75e-03 	 Color:0.00e+00 	Time: 0.52
epoch 300:	pdl:5.85e-01 	 Rec:1.44e-03 	 Color:0.00e+00 	Time: 0.49
epoch 350:	pdl:5.02e-01 	 Rec:1.42e-03 	 Color:0.00e+00 	Time: 0.45
epoch 400:	pdl:5.76e-01 	 Rec:1.55e-03 	 Color:0.00e+00 	Time: 0.46
epoch 450:	pdl:5.75e-01 	 Rec:1.37e-03 	 Color:0.00e+00 	Time: 0.49
epoch 500:	pdl:5.41e-01 	 Rec:1.21e-03 	 Color:0.00e+00 	Time: 0.47
epoch 550:	pdl:5.19e-01 	 Rec:1.19e-03 	 Color:0.00e+00 	Time: 0.43
epoch 600:	pdl:5.13e-01 	 Rec:1.29e-03 	 Color:0.00e+00 	Time: 0.45
epoch 650:	pdl:5.05e-01 	 Rec:1.14e-03 	 Color:0.00e+00 	Time: 0.48
epoch 700:	pdl:5.04e-01 	 Rec:1.02e-03 	 Color:0.00e+00 	Time: 0.48
epoch 750:	pdl:6.08e-01 	 Rec:1.11e-03 	 Color:0.00e+00 	Time: 0.44
epoch 800:	pdl:5.52e-01 	 Rec:9.97e-04 	 Color:0.00e+00 	Time: 0.42
epoch 850:	pdl:5.27e-01 	 Rec:9.80e-04 	 Color:0.00e+00 	Time: 0.44
epoch 900:	pdl:5.48e-01 	 Rec:9.67e-04 	 Color:0.00e+00 	Time: 0.44
epoch 950:	pdl:4.81e-01 	 Rec:1.03e-03 	 Color:0.00e+00 	Time: 0.42
epoch 1000:	pdl:4.57e-01 	 Rec:9.27e-04 	 Color:0.00e+00 	Time: 0.46
epoch 1050:	pdl:5.10e-01 	 Rec:8.81e-04 	 Color:0.00e+00 	Time: 0.47
epoch 1100:	pdl:5.19e-01 	 Rec:9.04e-04 	 Color:0.00e+00 	Time: 0.49
epoch 1150:	pdl:5.47e-01 	 Rec:1.09e-03 	 Color:0.00e+00 	Time: 0.51
epoch 1200:	pdl:5.19e-01 	 Rec:8.83e-04 	 Color:0.00e+00 	Time: 0.44
epoch 1250:	pdl:4.66e-01 	 Rec:8.28e-04 	 Color:0.00e+00 	Time: 0.48
epoch 1300:	pdl:5.63e-01 	 Rec:9.42e-04 	 Color:0.00e+00 	Time: 0.44
epoch 1350:	pdl:4.38e-01 	 Rec:8.10e-04 	 Color:0.00e+00 	Time: 0.47
epoch 1400:	pdl:4.81e-01 	 Rec:8.64e-04 	 Color:0.00e+00 	Time: 0.43
epoch 1450:	pdl:4.85e-01 	 Rec:8.15e-04 	 Color:0.00e+00 	Time: 0.44
epoch 1500:	pdl:4.46e-01 	 Rec:8.09e-04 	 Color:0.00e+00 	Time: 0.45
epoch 1550:	pdl:5.37e-01 	 Rec:7.15e-04 	 Color:0.00e+00 	Time: 0.48
epoch 1600:	pdl:4.79e-01 	 Rec:7.21e-04 	 Color:0.00e+00 	Time: 0.48
epoch 1650:	pdl:5.11e-01 	 Rec:6.71e-04 	 Color:0.00e+00 	Time: 0.45
epoch 1700:	pdl:4.35e-01 	 Rec:7.11e-04 	 Color:0.00e+00 	Time: 0.48
epoch 1750:	pdl:5.11e-01 	 Rec:6.53e-04 	 Color:0.00e+00 	Time: 0.50
epoch 1800:	pdl:4.79e-01 	 Rec:8.05e-04 	 Color:0.00e+00 	Time: 0.46
epoch 1850:	pdl:4.80e-01 	 Rec:7.42e-04 	 Color:0.00e+00 	Time: 0.46
epoch 1900:	pdl:4.92e-01 	 Rec:6.81e-04 	 Color:0.00e+00 	Time: 0.47
epoch 1950:	pdl:4.93e-01 	 Rec:7.62e-04 	 Color:0.00e+00 	Time: 0.45
epoch 2000:	pdl:5.23e-01 	 Rec:7.35e-04 	 Color:0.00e+00 	Time: 0.46
epoch 2050:	pdl:4.91e-01 	 Rec:6.54e-04 	 Color:0.00e+00 	Time: 0.48
epoch 2100:	pdl:4.41e-01 	 Rec:6.10e-04 	 Color:0.00e+00 	Time: 0.47
epoch 2150:	pdl:4.77e-01 	 Rec:6.08e-04 	 Color:0.00e+00 	Time: 0.47
epoch 2200:	pdl:4.63e-01 	 Rec:5.88e-04 	 Color:0.00e+00 	Time: 0.49
epoch 2250:	pdl:4.67e-01 	 Rec:5.98e-04 	 Color:0.00e+00 	Time: 0.48
epoch 2300:	pdl:5.28e-01 	 Rec:5.89e-04 	 Color:0.00e+00 	Time: 0.47
epoch 2350:	pdl:4.92e-01 	 Rec:5.95e-04 	 Color:0.00e+00 	Time: 0.46
epoch 2400:	pdl:4.75e-01 	 Rec:6.27e-04 	 Color:0.00e+00 	Time: 0.43
epoch 2450:	pdl:4.86e-01 	 Rec:6.59e-04 	 Color:0.00e+00 	Time: 0.47
epoch 2500:	pdl:5.00e-01 	 Rec:5.51e-04 	 Color:0.00e+00 	Time: 0.45
epoch 2550:	pdl:5.06e-01 	 Rec:5.51e-04 	 Color:0.00e+00 	Time: 0.47
epoch 2600:	pdl:4.23e-01 	 Rec:5.92e-04 	 Color:0.00e+00 	Time: 0.46
epoch 2650:	pdl:4.67e-01 	 Rec:6.39e-04 	 Color:0.00e+00 	Time: 0.52
epoch 2700:	pdl:4.82e-01 	 Rec:5.74e-04 	 Color:0.00e+00 	Time: 0.45
epoch 2750:	pdl:5.05e-01 	 Rec:6.78e-04 	 Color:0.00e+00 	Time: 0.43
epoch 2800:	pdl:4.39e-01 	 Rec:5.02e-04 	 Color:0.00e+00 	Time: 0.46
epoch 2850:	pdl:4.28e-01 	 Rec:5.53e-04 	 Color:0.00e+00 	Time: 0.45
epoch 2900:	pdl:4.71e-01 	 Rec:5.68e-04 	 Color:0.00e+00 	Time: 0.48
epoch 2950:	pdl:4.37e-01 	 Rec:4.65e-04 	 Color:0.00e+00 	Time: 0.45
epoch 3000:	pdl:4.33e-01 	 Rec:6.35e-04 	 Color:0.00e+00 	Time: 0.46
epoch 3050:	pdl:4.21e-01 	 Rec:5.10e-04 	 Color:0.00e+00 	Time: 0.53
epoch 3100:	pdl:4.37e-01 	 Rec:6.25e-04 	 Color:0.00e+00 	Time: 0.48
epoch 3150:	pdl:4.31e-01 	 Rec:4.79e-04 	 Color:0.00e+00 	Time: 0.46
