epoch 0:	pdl:1.30e+00 	 Rec:2.33e-01 	 Color:1.07e-01 	Time: 0.01
epoch 50:	pdl:5.08e-01 	 Rec:3.32e-02 	 Color:7.81e-02 	Time: 0.41
epoch 100:	pdl:4.34e-01 	 Rec:1.14e-02 	 Color:6.68e-02 	Time: 0.40
epoch 150:	pdl:4.35e-01 	 Rec:6.54e-03 	 Color:8.96e-02 	Time: 0.38
epoch 200:	pdl:4.40e-01 	 Rec:3.97e-03 	 Color:8.19e-02 	Time: 0.36
epoch 250:	pdl:4.24e-01 	 Rec:2.85e-03 	 Color:6.84e-02 	Time: 0.38
epoch 300:	pdl:4.41e-01 	 Rec:2.95e-03 	 Color:8.17e-02 	Time: 0.38
epoch 350:	pdl:4.19e-01 	 Rec:2.19e-03 	 Color:7.68e-02 	Time: 0.39
epoch 400:	pdl:4.63e-01 	 Rec:2.24e-03 	 Color:8.46e-02 	Time: 0.37
epoch 450:	pdl:4.30e-01 	 Rec:1.25e-03 	 Color:7.94e-02 	Time: 0.38
epoch 500:	pdl:4.47e-01 	 Rec:1.43e-03 	 Color:7.65e-02 	Time: 0.40
epoch 550:	pdl:4.25e-01 	 Rec:1.51e-03 	 Color:6.95e-02 	Time: 0.38
epoch 600:	pdl:3.84e-01 	 Rec:1.06e-03 	 Color:6.46e-02 	Time: 0.41
epoch 650:	pdl:3.96e-01 	 Rec:1.24e-03 	 Color:6.57e-02 	Time: 0.39
epoch 700:	pdl:4.28e-01 	 Rec:1.86e-03 	 Color:7.02e-02 	Time: 0.40
epoch 750:	pdl:3.95e-01 	 Rec:1.20e-03 	 Color:6.66e-02 	Time: 0.36
epoch 800:	pdl:3.76e-01 	 Rec:1.23e-03 	 Color:7.11e-02 	Time: 0.41
epoch 850:	pdl:4.14e-01 	 Rec:9.69e-04 	 Color:7.83e-02 	Time: 0.43
epoch 900:	pdl:4.20e-01 	 Rec:1.46e-03 	 Color:6.12e-02 	Time: 0.41
epoch 950:	pdl:3.92e-01 	 Rec:1.50e-03 	 Color:7.34e-02 	Time: 0.40
epoch 1000:	pdl:4.06e-01 	 Rec:1.14e-03 	 Color:6.61e-02 	Time: 0.37
epoch 1050:	pdl:3.80e-01 	 Rec:9.68e-04 	 Color:6.28e-02 	Time: 0.39
epoch 1100:	pdl:3.79e-01 	 Rec:1.27e-03 	 Color:6.90e-02 	Time: 0.38
epoch 1150:	pdl:3.46e-01 	 Rec:9.14e-04 	 Color:5.83e-02 	Time: 0.38
epoch 1200:	pdl:4.01e-01 	 Rec:9.74e-04 	 Color:7.43e-02 	Time: 0.41
epoch 1250:	pdl:3.75e-01 	 Rec:1.04e-03 	 Color:6.18e-02 	Time: 0.38
epoch 1300:	pdl:4.25e-01 	 Rec:1.22e-03 	 Color:7.39e-02 	Time: 0.42
epoch 1350:	pdl:3.70e-01 	 Rec:8.67e-04 	 Color:5.55e-02 	Time: 0.44
epoch 1400:	pdl:3.91e-01 	 Rec:1.48e-03 	 Color:7.43e-02 	Time: 0.42
epoch 1450:	pdl:4.14e-01 	 Rec:8.15e-04 	 Color:6.56e-02 	Time: 0.40
epoch 1500:	pdl:3.71e-01 	 Rec:7.80e-04 	 Color:6.62e-02 	Time: 0.35
epoch 1550:	pdl:4.04e-01 	 Rec:8.92e-04 	 Color:7.41e-02 	Time: 0.41
epoch 1600:	pdl:3.75e-01 	 Rec:9.43e-04 	 Color:5.98e-02 	Time: 0.41
epoch 1650:	pdl:4.11e-01 	 Rec:9.36e-04 	 Color:6.64e-02 	Time: 0.35
epoch 1700:	pdl:4.03e-01 	 Rec:9.45e-04 	 Color:5.25e-02 	Time: 0.42
epoch 1750:	pdl:3.67e-01 	 Rec:7.81e-04 	 Color:6.95e-02 	Time: 0.39
epoch 1800:	pdl:3.57e-01 	 Rec:1.47e-03 	 Color:5.30e-02 	Time: 0.42
epoch 1850:	pdl:3.58e-01 	 Rec:7.30e-04 	 Color:6.31e-02 	Time: 0.42
epoch 1900:	pdl:3.56e-01 	 Rec:6.32e-04 	 Color:6.20e-02 	Time: 0.39
epoch 1950:	pdl:3.93e-01 	 Rec:9.09e-04 	 Color:6.81e-02 	Time: 0.38
epoch 2000:	pdl:3.53e-01 	 Rec:9.85e-04 	 Color:5.26e-02 	Time: 0.37
epoch 2050:	pdl:3.62e-01 	 Rec:7.75e-04 	 Color:5.48e-02 	Time: 0.41
epoch 2100:	pdl:3.68e-01 	 Rec:7.51e-04 	 Color:5.74e-02 	Time: 0.40
epoch 2150:	pdl:3.55e-01 	 Rec:7.74e-04 	 Color:5.79e-02 	Time: 0.36
epoch 2200:	pdl:3.74e-01 	 Rec:6.41e-04 	 Color:6.42e-02 	Time: 0.38
epoch 2250:	pdl:3.68e-01 	 Rec:8.69e-04 	 Color:6.22e-02 	Time: 0.34
epoch 2300:	pdl:3.60e-01 	 Rec:6.66e-04 	 Color:6.60e-02 	Time: 0.38
epoch 2350:	pdl:3.63e-01 	 Rec:1.01e-03 	 Color:5.87e-02 	Time: 0.38
