epoch 0:	pdl:5.10e-01 	 Rec:3.78e-03 	 Color:0.00e+00 	Time: 0.02
epoch 50:	pdl:4.14e-01 	 Rec:2.88e-03 	 Color:0.00e+00 	Time: 1.26
epoch 100:	pdl:4.16e-01 	 Rec:2.65e-03 	 Color:0.00e+00 	Time: 1.16
epoch 150:	pdl:4.94e-01 	 Rec:2.53e-03 	 Color:0.00e+00 	Time: 1.18
epoch 200:	pdl:4.29e-01 	 Rec:2.41e-03 	 Color:0.00e+00 	Time: 1.17
epoch 250:	pdl:4.49e-01 	 Rec:2.31e-03 	 Color:0.00e+00 	Time: 1.16
epoch 300:	pdl:4.65e-01 	 Rec:2.38e-03 	 Color:0.00e+00 	Time: 1.18
epoch 350:	pdl:4.59e-01 	 Rec:2.18e-03 	 Color:0.00e+00 	Time: 1.18
epoch 400:	pdl:4.51e-01 	 Rec:2.14e-03 	 Color:0.00e+00 	Time: 1.21
epoch 450:	pdl:4.28e-01 	 Rec:2.12e-03 	 Color:0.00e+00 	Time: 1.19
epoch 500:	pdl:4.33e-01 	 Rec:2.17e-03 	 Color:0.00e+00 	Time: 1.18
epoch 550:	pdl:4.77e-01 	 Rec:2.10e-03 	 Color:0.00e+00 	Time: 1.18
epoch 600:	pdl:4.54e-01 	 Rec:2.09e-03 	 Color:0.00e+00 	Time: 1.18
epoch 650:	pdl:4.31e-01 	 Rec:2.20e-03 	 Color:0.00e+00 	Time: 1.19
epoch 700:	pdl:4.30e-01 	 Rec:1.99e-03 	 Color:0.00e+00 	Time: 1.21
epoch 750:	pdl:4.19e-01 	 Rec:1.92e-03 	 Color:0.00e+00 	Time: 1.19
epoch 800:	pdl:4.51e-01 	 Rec:1.97e-03 	 Color:0.00e+00 	Time: 1.19
epoch 850:	pdl:4.38e-01 	 Rec:1.84e-03 	 Color:0.00e+00 	Time: 1.18
epoch 900:	pdl:4.36e-01 	 Rec:1.84e-03 	 Color:0.00e+00 	Time: 1.22
