epoch 0:	pdl:2.24e-01 	 Rec:3.25e-03 	 Color:1.21e-01 	Time: 0.02
epoch 50:	pdl:2.07e-01 	 Rec:1.91e-03 	 Color:1.00e-01 	Time: 1.40
epoch 100:	pdl:2.23e-01 	 Rec:1.79e-03 	 Color:1.15e-01 	Time: 1.26
epoch 150:	pdl:2.14e-01 	 Rec:1.54e-03 	 Color:1.10e-01 	Time: 1.25
epoch 200:	pdl:2.12e-01 	 Rec:1.41e-03 	 Color:1.10e-01 	Time: 1.25
epoch 250:	pdl:2.10e-01 	 Rec:1.36e-03 	 Color:1.11e-01 	Time: 1.26
epoch 300:	pdl:2.35e-01 	 Rec:1.30e-03 	 Color:1.21e-01 	Time: 1.23
epoch 350:	pdl:2.08e-01 	 Rec:1.20e-03 	 Color:1.11e-01 	Time: 1.22
epoch 400:	pdl:2.25e-01 	 Rec:1.20e-03 	 Color:1.13e-01 	Time: 1.25
epoch 450:	pdl:2.24e-01 	 Rec:1.17e-03 	 Color:1.03e-01 	Time: 1.25
epoch 500:	pdl:2.33e-01 	 Rec:1.10e-03 	 Color:1.29e-01 	Time: 1.26
epoch 550:	pdl:2.05e-01 	 Rec:1.14e-03 	 Color:1.10e-01 	Time: 1.23
epoch 600:	pdl:2.25e-01 	 Rec:1.02e-03 	 Color:1.21e-01 	Time: 1.25
epoch 650:	pdl:2.08e-01 	 Rec:1.02e-03 	 Color:1.10e-01 	Time: 1.26
epoch 700:	pdl:2.15e-01 	 Rec:9.66e-04 	 Color:1.10e-01 	Time: 1.28
epoch 750:	pdl:2.32e-01 	 Rec:9.54e-04 	 Color:1.19e-01 	Time: 1.26
epoch 800:	pdl:2.52e-01 	 Rec:8.93e-04 	 Color:1.28e-01 	Time: 1.27
epoch 850:	pdl:2.08e-01 	 Rec:8.93e-04 	 Color:1.07e-01 	Time: 1.28
epoch 900:	pdl:2.13e-01 	 Rec:8.84e-04 	 Color:1.13e-01 	Time: 1.26
epoch 950:	pdl:2.27e-01 	 Rec:8.77e-04 	 Color:1.19e-01 	Time: 1.26
epoch 1000:	pdl:2.10e-01 	 Rec:8.35e-04 	 Color:1.08e-01 	Time: 1.27
epoch 1050:	pdl:2.17e-01 	 Rec:8.22e-04 	 Color:1.13e-01 	Time: 1.29
epoch 1100:	pdl:2.10e-01 	 Rec:8.11e-04 	 Color:1.10e-01 	Time: 1.26
epoch 1150:	pdl:2.41e-01 	 Rec:9.55e-04 	 Color:1.14e-01 	Time: 1.26
epoch 1200:	pdl:2.09e-01 	 Rec:7.79e-04 	 Color:1.13e-01 	Time: 1.29
epoch 1250:	pdl:2.32e-01 	 Rec:7.60e-04 	 Color:1.18e-01 	Time: 1.34
epoch 1300:	pdl:2.22e-01 	 Rec:8.48e-04 	 Color:1.17e-01 	Time: 1.26
epoch 1350:	pdl:2.13e-01 	 Rec:7.67e-04 	 Color:1.14e-01 	Time: 1.26
epoch 1400:	pdl:2.32e-01 	 Rec:7.58e-04 	 Color:1.24e-01 	Time: 1.28
epoch 1450:	pdl:2.05e-01 	 Rec:7.28e-04 	 Color:1.07e-01 	Time: 1.29
epoch 1500:	pdl:2.10e-01 	 Rec:7.63e-04 	 Color:1.09e-01 	Time: 1.26
epoch 1550:	pdl:2.22e-01 	 Rec:7.02e-04 	 Color:1.15e-01 	Time: 1.26
epoch 1600:	pdl:2.34e-01 	 Rec:7.17e-04 	 Color:1.12e-01 	Time: 1.27
epoch 1650:	pdl:2.16e-01 	 Rec:6.83e-04 	 Color:1.15e-01 	Time: 1.27
epoch 1700:	pdl:2.22e-01 	 Rec:6.78e-04 	 Color:1.18e-01 	Time: 1.28
epoch 1750:	pdl:2.17e-01 	 Rec:7.54e-04 	 Color:1.19e-01 	Time: 1.27
epoch 1800:	pdl:2.12e-01 	 Rec:6.44e-04 	 Color:1.13e-01 	Time: 1.27
epoch 1850:	pdl:2.31e-01 	 Rec:6.39e-04 	 Color:1.18e-01 	Time: 1.26
epoch 1900:	pdl:2.06e-01 	 Rec:6.71e-04 	 Color:1.07e-01 	Time: 1.26
epoch 1950:	pdl:2.15e-01 	 Rec:7.50e-04 	 Color:1.07e-01 	Time: 1.28
epoch 2000:	pdl:2.17e-01 	 Rec:6.30e-04 	 Color:1.15e-01 	Time: 1.27
epoch 2050:	pdl:2.31e-01 	 Rec:6.49e-04 	 Color:1.23e-01 	Time: 1.30
epoch 2100:	pdl:2.19e-01 	 Rec:6.02e-04 	 Color:1.22e-01 	Time: 1.23
epoch 2150:	pdl:2.15e-01 	 Rec:6.84e-04 	 Color:1.09e-01 	Time: 1.22
epoch 2200:	pdl:2.15e-01 	 Rec:5.87e-04 	 Color:1.12e-01 	Time: 1.23
epoch 2250:	pdl:2.37e-01 	 Rec:6.11e-04 	 Color:1.10e-01 	Time: 1.23
epoch 2300:	pdl:2.17e-01 	 Rec:6.57e-04 	 Color:1.20e-01 	Time: 1.23
epoch 2350:	pdl:2.17e-01 	 Rec:6.15e-04 	 Color:1.20e-01 	Time: 1.23
epoch 2400:	pdl:2.08e-01 	 Rec:6.36e-04 	 Color:1.05e-01 	Time: 1.26
epoch 2450:	pdl:2.19e-01 	 Rec:5.91e-04 	 Color:1.14e-01 	Time: 1.23
epoch 2500:	pdl:2.17e-01 	 Rec:5.65e-04 	 Color:1.04e-01 	Time: 1.23
epoch 2550:	pdl:2.11e-01 	 Rec:5.89e-04 	 Color:1.16e-01 	Time: 1.25
epoch 2600:	pdl:2.26e-01 	 Rec:5.72e-04 	 Color:1.20e-01 	Time: 1.23
epoch 2650:	pdl:2.05e-01 	 Rec:5.75e-04 	 Color:1.10e-01 	Time: 1.25
epoch 2700:	pdl:2.50e-01 	 Rec:6.16e-04 	 Color:1.38e-01 	Time: 1.25
epoch 2750:	pdl:2.06e-01 	 Rec:5.78e-04 	 Color:1.04e-01 	Time: 1.24
epoch 2800:	pdl:2.04e-01 	 Rec:5.92e-04 	 Color:1.04e-01 	Time: 1.22
epoch 2850:	pdl:2.17e-01 	 Rec:5.52e-04 	 Color:1.03e-01 	Time: 1.25
epoch 2900:	pdl:2.23e-01 	 Rec:6.30e-04 	 Color:1.13e-01 	Time: 1.24
epoch 2950:	pdl:2.13e-01 	 Rec:5.58e-04 	 Color:1.11e-01 	Time: 1.23
epoch 3000:	pdl:2.21e-01 	 Rec:5.26e-04 	 Color:1.14e-01 	Time: 1.24
epoch 3050:	pdl:2.07e-01 	 Rec:5.34e-04 	 Color:1.07e-01 	Time: 1.26
epoch 3100:	pdl:2.18e-01 	 Rec:5.40e-04 	 Color:1.06e-01 	Time: 1.23
epoch 3150:	pdl:2.21e-01 	 Rec:5.20e-04 	 Color:1.23e-01 	Time: 1.22
epoch 3200:	pdl:2.16e-01 	 Rec:5.55e-04 	 Color:1.07e-01 	Time: 1.23
epoch 3250:	pdl:2.31e-01 	 Rec:5.00e-04 	 Color:1.18e-01 	Time: 1.22
epoch 3300:	pdl:2.25e-01 	 Rec:5.18e-04 	 Color:1.10e-01 	Time: 1.24
epoch 3350:	pdl:2.18e-01 	 Rec:5.28e-04 	 Color:1.17e-01 	Time: 1.32
epoch 3400:	pdl:2.19e-01 	 Rec:5.09e-04 	 Color:1.12e-01 	Time: 1.24
epoch 3450:	pdl:2.27e-01 	 Rec:5.36e-04 	 Color:1.11e-01 	Time: 1.25
epoch 3500:	pdl:2.04e-01 	 Rec:5.10e-04 	 Color:1.01e-01 	Time: 1.26
epoch 3550:	pdl:2.06e-01 	 Rec:5.16e-04 	 Color:1.07e-01 	Time: 1.23
epoch 3600:	pdl:2.16e-01 	 Rec:5.78e-04 	 Color:1.05e-01 	Time: 1.24
epoch 3650:	pdl:2.17e-01 	 Rec:4.72e-04 	 Color:1.12e-01 	Time: 1.27
