epoch 0:	pdl:1.59e+00 	 Rec:1.92e-01 	 Color:0.00e+00 	Time: 0.01
epoch 50:	pdl:4.67e-01 	 Rec:6.76e-03 	 Color:0.00e+00 	Time: 0.47
epoch 100:	pdl:4.89e-01 	 Rec:3.55e-03 	 Color:0.00e+00 	Time: 0.48
epoch 150:	pdl:4.36e-01 	 Rec:2.76e-03 	 Color:0.00e+00 	Time: 0.53
epoch 200:	pdl:4.40e-01 	 Rec:2.31e-03 	 Color:0.00e+00 	Time: 0.45
epoch 250:	pdl:3.92e-01 	 Rec:2.12e-03 	 Color:0.00e+00 	Time: 0.43
epoch 300:	pdl:4.14e-01 	 Rec:1.74e-03 	 Color:0.00e+00 	Time: 0.42
epoch 350:	pdl:4.55e-01 	 Rec:1.82e-03 	 Color:0.00e+00 	Time: 0.45
epoch 400:	pdl:4.58e-01 	 Rec:1.46e-03 	 Color:0.00e+00 	Time: 0.42
epoch 450:	pdl:3.83e-01 	 Rec:1.50e-03 	 Color:0.00e+00 	Time: 0.44
epoch 500:	pdl:4.35e-01 	 Rec:1.22e-03 	 Color:0.00e+00 	Time: 0.42
epoch 550:	pdl:4.04e-01 	 Rec:1.18e-03 	 Color:0.00e+00 	Time: 0.45
epoch 600:	pdl:4.51e-01 	 Rec:1.03e-03 	 Color:0.00e+00 	Time: 0.44
epoch 650:	pdl:4.07e-01 	 Rec:9.87e-04 	 Color:0.00e+00 	Time: 0.42
epoch 700:	pdl:5.31e-01 	 Rec:1.01e-03 	 Color:0.00e+00 	Time: 0.42
epoch 750:	pdl:4.21e-01 	 Rec:9.17e-04 	 Color:0.00e+00 	Time: 0.44
epoch 800:	pdl:4.02e-01 	 Rec:8.26e-04 	 Color:0.00e+00 	Time: 0.46
epoch 850:	pdl:3.94e-01 	 Rec:9.26e-04 	 Color:0.00e+00 	Time: 0.41
epoch 900:	pdl:4.36e-01 	 Rec:9.19e-04 	 Color:0.00e+00 	Time: 0.46
epoch 950:	pdl:4.36e-01 	 Rec:8.05e-04 	 Color:0.00e+00 	Time: 0.44
epoch 1000:	pdl:3.61e-01 	 Rec:7.11e-04 	 Color:0.00e+00 	Time: 0.45
epoch 1050:	pdl:4.36e-01 	 Rec:7.44e-04 	 Color:0.00e+00 	Time: 0.44
epoch 1100:	pdl:4.23e-01 	 Rec:1.10e-03 	 Color:0.00e+00 	Time: 0.45
epoch 1150:	pdl:4.11e-01 	 Rec:6.61e-04 	 Color:0.00e+00 	Time: 0.45
epoch 1200:	pdl:3.91e-01 	 Rec:8.87e-04 	 Color:0.00e+00 	Time: 0.44
epoch 1250:	pdl:4.04e-01 	 Rec:6.37e-04 	 Color:0.00e+00 	Time: 0.45
epoch 1300:	pdl:4.17e-01 	 Rec:6.57e-04 	 Color:0.00e+00 	Time: 0.42
epoch 1350:	pdl:4.08e-01 	 Rec:7.35e-04 	 Color:0.00e+00 	Time: 0.48
epoch 1400:	pdl:4.32e-01 	 Rec:8.12e-04 	 Color:0.00e+00 	Time: 0.45
epoch 1450:	pdl:4.25e-01 	 Rec:5.37e-04 	 Color:0.00e+00 	Time: 0.48
epoch 1500:	pdl:3.94e-01 	 Rec:5.63e-04 	 Color:0.00e+00 	Time: 0.44
epoch 1550:	pdl:4.07e-01 	 Rec:6.42e-04 	 Color:0.00e+00 	Time: 0.42
epoch 1600:	pdl:4.34e-01 	 Rec:5.40e-04 	 Color:0.00e+00 	Time: 0.44
epoch 1650:	pdl:3.81e-01 	 Rec:5.09e-04 	 Color:0.00e+00 	Time: 0.42
epoch 1700:	pdl:3.88e-01 	 Rec:7.41e-04 	 Color:0.00e+00 	Time: 0.44
epoch 1750:	pdl:4.38e-01 	 Rec:4.39e-04 	 Color:0.00e+00 	Time: 0.41
epoch 1800:	pdl:3.77e-01 	 Rec:4.84e-04 	 Color:0.00e+00 	Time: 0.47
epoch 1850:	pdl:4.15e-01 	 Rec:6.39e-04 	 Color:0.00e+00 	Time: 0.42
epoch 1900:	pdl:4.02e-01 	 Rec:4.19e-04 	 Color:0.00e+00 	Time: 0.42
epoch 1950:	pdl:4.16e-01 	 Rec:5.25e-04 	 Color:0.00e+00 	Time: 0.42
epoch 2000:	pdl:4.43e-01 	 Rec:5.48e-04 	 Color:0.00e+00 	Time: 0.39
epoch 2050:	pdl:3.95e-01 	 Rec:4.35e-04 	 Color:0.00e+00 	Time: 0.45
epoch 2100:	pdl:4.26e-01 	 Rec:3.95e-04 	 Color:0.00e+00 	Time: 0.45
epoch 2150:	pdl:3.67e-01 	 Rec:5.96e-04 	 Color:0.00e+00 	Time: 0.48
epoch 2200:	pdl:4.23e-01 	 Rec:4.70e-04 	 Color:0.00e+00 	Time: 0.45
epoch 2250:	pdl:3.97e-01 	 Rec:3.62e-04 	 Color:0.00e+00 	Time: 0.48
epoch 2300:	pdl:3.84e-01 	 Rec:4.34e-04 	 Color:0.00e+00 	Time: 0.47
epoch 2350:	pdl:4.08e-01 	 Rec:4.47e-04 	 Color:0.00e+00 	Time: 0.45
epoch 2400:	pdl:4.03e-01 	 Rec:3.96e-04 	 Color:0.00e+00 	Time: 0.44
epoch 2450:	pdl:4.63e-01 	 Rec:4.16e-04 	 Color:0.00e+00 	Time: 0.44
epoch 2500:	pdl:3.91e-01 	 Rec:4.67e-04 	 Color:0.00e+00 	Time: 0.42
epoch 2550:	pdl:3.96e-01 	 Rec:4.77e-04 	 Color:0.00e+00 	Time: 0.39
epoch 2600:	pdl:4.14e-01 	 Rec:3.69e-04 	 Color:0.00e+00 	Time: 0.44
epoch 2650:	pdl:4.50e-01 	 Rec:5.63e-04 	 Color:0.00e+00 	Time: 0.47
epoch 2700:	pdl:4.00e-01 	 Rec:3.20e-04 	 Color:0.00e+00 	Time: 0.46
epoch 2750:	pdl:4.02e-01 	 Rec:3.89e-04 	 Color:0.00e+00 	Time: 0.45
epoch 2800:	pdl:3.84e-01 	 Rec:3.21e-04 	 Color:0.00e+00 	Time: 0.42
epoch 2850:	pdl:4.18e-01 	 Rec:4.18e-04 	 Color:0.00e+00 	Time: 0.41
epoch 2900:	pdl:4.27e-01 	 Rec:3.64e-04 	 Color:0.00e+00 	Time: 0.41
epoch 2950:	pdl:4.58e-01 	 Rec:2.73e-04 	 Color:0.00e+00 	Time: 0.45
epoch 3000:	pdl:3.85e-01 	 Rec:3.28e-04 	 Color:0.00e+00 	Time: 0.41
epoch 3050:	pdl:3.89e-01 	 Rec:2.88e-04 	 Color:0.00e+00 	Time: 0.45
epoch 3100:	pdl:3.99e-01 	 Rec:3.54e-04 	 Color:0.00e+00 	Time: 0.43
epoch 3150:	pdl:3.76e-01 	 Rec:3.59e-04 	 Color:0.00e+00 	Time: 0.43
epoch 3200:	pdl:3.90e-01 	 Rec:3.09e-04 	 Color:0.00e+00 	Time: 0.44
epoch 3250:	pdl:4.12e-01 	 Rec:3.22e-04 	 Color:0.00e+00 	Time: 0.46
epoch 3300:	pdl:4.00e-01 	 Rec:3.37e-04 	 Color:0.00e+00 	Time: 0.45
epoch 3350:	pdl:3.68e-01 	 Rec:3.56e-04 	 Color:0.00e+00 	Time: 0.44
epoch 3400:	pdl:4.55e-01 	 Rec:4.54e-04 	 Color:0.00e+00 	Time: 0.44
epoch 3450:	pdl:3.44e-01 	 Rec:2.96e-04 	 Color:0.00e+00 	Time: 0.46
epoch 3500:	pdl:3.97e-01 	 Rec:5.04e-04 	 Color:0.00e+00 	Time: 0.41
epoch 3550:	pdl:3.77e-01 	 Rec:3.24e-04 	 Color:0.00e+00 	Time: 0.43
epoch 3600:	pdl:3.92e-01 	 Rec:3.55e-04 	 Color:0.00e+00 	Time: 0.41
epoch 3650:	pdl:3.89e-01 	 Rec:3.53e-04 	 Color:0.00e+00 	Time: 0.46
epoch 3700:	pdl:4.06e-01 	 Rec:3.00e-04 	 Color:0.00e+00 	Time: 0.41
epoch 3750:	pdl:3.87e-01 	 Rec:2.73e-04 	 Color:0.00e+00 	Time: 0.43
epoch 3800:	pdl:3.88e-01 	 Rec:3.44e-04 	 Color:0.00e+00 	Time: 0.44
epoch 3850:	pdl:4.09e-01 	 Rec:3.18e-04 	 Color:0.00e+00 	Time: 0.44
epoch 3900:	pdl:3.81e-01 	 Rec:3.02e-04 	 Color:0.00e+00 	Time: 0.45
epoch 3950:	pdl:3.95e-01 	 Rec:3.01e-04 	 Color:0.00e+00 	Time: 0.41
epoch 4000:	pdl:3.47e-01 	 Rec:3.80e-04 	 Color:0.00e+00 	Time: 0.43
epoch 4050:	pdl:3.91e-01 	 Rec:4.68e-04 	 Color:0.00e+00 	Time: 0.44
epoch 4100:	pdl:3.75e-01 	 Rec:2.51e-04 	 Color:0.00e+00 	Time: 0.43
epoch 4150:	pdl:3.76e-01 	 Rec:2.86e-04 	 Color:0.00e+00 	Time: 0.41
epoch 4200:	pdl:3.67e-01 	 Rec:2.92e-04 	 Color:0.00e+00 	Time: 0.45
epoch 4250:	pdl:3.66e-01 	 Rec:2.95e-04 	 Color:0.00e+00 	Time: 0.46
epoch 4300:	pdl:3.74e-01 	 Rec:3.48e-04 	 Color:0.00e+00 	Time: 0.41
epoch 4350:	pdl:3.69e-01 	 Rec:3.85e-04 	 Color:0.00e+00 	Time: 0.41
epoch 4400:	pdl:3.92e-01 	 Rec:2.60e-04 	 Color:0.00e+00 	Time: 0.44
epoch 4450:	pdl:3.58e-01 	 Rec:2.88e-04 	 Color:0.00e+00 	Time: 0.43
epoch 4500:	pdl:3.94e-01 	 Rec:2.69e-04 	 Color:0.00e+00 	Time: 0.44
epoch 4550:	pdl:4.67e-01 	 Rec:5.54e-04 	 Color:0.00e+00 	Time: 0.45
epoch 4600:	pdl:4.01e-01 	 Rec:2.85e-04 	 Color:0.00e+00 	Time: 0.43
epoch 4650:	pdl:3.77e-01 	 Rec:2.75e-04 	 Color:0.00e+00 	Time: 0.42
epoch 4700:	pdl:3.58e-01 	 Rec:3.47e-04 	 Color:0.00e+00 	Time: 0.46
epoch 4750:	pdl:3.70e-01 	 Rec:3.50e-04 	 Color:0.00e+00 	Time: 0.43
epoch 4800:	pdl:3.85e-01 	 Rec:3.99e-04 	 Color:0.00e+00 	Time: 0.43
epoch 4850:	pdl:3.83e-01 	 Rec:2.55e-04 	 Color:0.00e+00 	Time: 0.43
epoch 4900:	pdl:3.86e-01 	 Rec:3.40e-04 	 Color:0.00e+00 	Time: 0.43
epoch 4950:	pdl:4.24e-01 	 Rec:2.41e-04 	 Color:0.00e+00 	Time: 0.41
epoch 5000:	pdl:3.96e-01 	 Rec:2.48e-04 	 Color:0.00e+00 	Time: 0.42
epoch 5050:	pdl:3.58e-01 	 Rec:2.22e-04 	 Color:0.00e+00 	Time: 0.41
epoch 5100:	pdl:3.59e-01 	 Rec:2.49e-04 	 Color:0.00e+00 	Time: 0.40
epoch 5150:	pdl:3.67e-01 	 Rec:2.82e-04 	 Color:0.00e+00 	Time: 0.42
epoch 5200:	pdl:4.03e-01 	 Rec:3.19e-04 	 Color:0.00e+00 	Time: 0.38
epoch 5250:	pdl:3.52e-01 	 Rec:2.49e-04 	 Color:0.00e+00 	Time: 0.40
epoch 5300:	pdl:3.62e-01 	 Rec:2.47e-04 	 Color:0.00e+00 	Time: 0.40
epoch 5350:	pdl:3.93e-01 	 Rec:2.74e-04 	 Color:0.00e+00 	Time: 0.40
epoch 5400:	pdl:3.87e-01 	 Rec:2.84e-04 	 Color:0.00e+00 	Time: 0.44
epoch 5450:	pdl:3.57e-01 	 Rec:3.32e-04 	 Color:0.00e+00 	Time: 0.43
epoch 5500:	pdl:4.05e-01 	 Rec:2.53e-04 	 Color:0.00e+00 	Time: 0.43
epoch 5550:	pdl:3.77e-01 	 Rec:2.91e-04 	 Color:0.00e+00 	Time: 0.43
epoch 5600:	pdl:3.53e-01 	 Rec:3.71e-04 	 Color:0.00e+00 	Time: 0.41
epoch 5650:	pdl:3.97e-01 	 Rec:2.41e-04 	 Color:0.00e+00 	Time: 0.44
epoch 5700:	pdl:4.04e-01 	 Rec:2.68e-04 	 Color:0.00e+00 	Time: 0.44
epoch 5750:	pdl:3.70e-01 	 Rec:2.44e-04 	 Color:0.00e+00 	Time: 0.46
epoch 5800:	pdl:3.58e-01 	 Rec:2.36e-04 	 Color:0.00e+00 	Time: 0.44
epoch 5850:	pdl:3.67e-01 	 Rec:2.51e-04 	 Color:0.00e+00 	Time: 0.45
epoch 5900:	pdl:4.17e-01 	 Rec:4.25e-04 	 Color:0.00e+00 	Time: 0.45
epoch 5950:	pdl:3.65e-01 	 Rec:2.80e-04 	 Color:0.00e+00 	Time: 0.41
epoch 6000:	pdl:3.79e-01 	 Rec:3.74e-04 	 Color:0.00e+00 	Time: 0.45
epoch 6050:	pdl:4.06e-01 	 Rec:2.10e-04 	 Color:0.00e+00 	Time: 0.47
epoch 6100:	pdl:3.97e-01 	 Rec:2.83e-04 	 Color:0.00e+00 	Time: 0.45
epoch 6150:	pdl:3.70e-01 	 Rec:3.07e-04 	 Color:0.00e+00 	Time: 0.43
epoch 6200:	pdl:3.58e-01 	 Rec:4.04e-04 	 Color:0.00e+00 	Time: 0.45
epoch 6250:	pdl:3.55e-01 	 Rec:2.54e-04 	 Color:0.00e+00 	Time: 0.45
epoch 6300:	pdl:3.52e-01 	 Rec:2.37e-04 	 Color:0.00e+00 	Time: 0.43
epoch 6350:	pdl:3.76e-01 	 Rec:1.91e-04 	 Color:0.00e+00 	Time: 0.38
epoch 6400:	pdl:3.64e-01 	 Rec:2.64e-04 	 Color:0.00e+00 	Time: 0.38
