epoch 0:	pdl:9.82e-01 	 Rec:4.97e-03 	 Color:0.00e+00 	Time: 0.02
epoch 50:	pdl:8.23e-01 	 Rec:4.19e-03 	 Color:0.00e+00 	Time: 1.23
epoch 100:	pdl:9.24e-01 	 Rec:3.92e-03 	 Color:0.00e+00 	Time: 1.02
epoch 150:	pdl:9.15e-01 	 Rec:3.81e-03 	 Color:0.00e+00 	Time: 1.06
epoch 200:	pdl:9.11e-01 	 Rec:3.71e-03 	 Color:0.00e+00 	Time: 1.04
epoch 250:	pdl:8.94e-01 	 Rec:3.62e-03 	 Color:0.00e+00 	Time: 1.02
epoch 300:	pdl:9.26e-01 	 Rec:3.68e-03 	 Color:0.00e+00 	Time: 1.03
epoch 350:	pdl:8.33e-01 	 Rec:3.59e-03 	 Color:0.00e+00 	Time: 1.02
epoch 400:	pdl:9.39e-01 	 Rec:3.38e-03 	 Color:0.00e+00 	Time: 1.03
epoch 450:	pdl:9.24e-01 	 Rec:3.41e-03 	 Color:0.00e+00 	Time: 1.06
epoch 500:	pdl:8.93e-01 	 Rec:3.36e-03 	 Color:0.00e+00 	Time: 1.01
epoch 550:	pdl:8.90e-01 	 Rec:3.37e-03 	 Color:0.00e+00 	Time: 1.03
epoch 600:	pdl:8.28e-01 	 Rec:3.13e-03 	 Color:0.00e+00 	Time: 1.00
epoch 650:	pdl:8.03e-01 	 Rec:3.14e-03 	 Color:0.00e+00 	Time: 1.00
epoch 700:	pdl:8.60e-01 	 Rec:3.00e-03 	 Color:0.00e+00 	Time: 1.00
epoch 750:	pdl:8.57e-01 	 Rec:3.10e-03 	 Color:0.00e+00 	Time: 1.01
epoch 800:	pdl:8.61e-01 	 Rec:3.05e-03 	 Color:0.00e+00 	Time: 1.00
epoch 850:	pdl:8.96e-01 	 Rec:2.98e-03 	 Color:0.00e+00 	Time: 1.03
epoch 900:	pdl:8.59e-01 	 Rec:2.92e-03 	 Color:0.00e+00 	Time: 1.00
epoch 950:	pdl:7.96e-01 	 Rec:3.01e-03 	 Color:0.00e+00 	Time: 1.03
epoch 1000:	pdl:9.07e-01 	 Rec:3.03e-03 	 Color:0.00e+00 	Time: 1.01
epoch 1050:	pdl:7.59e-01 	 Rec:2.84e-03 	 Color:0.00e+00 	Time: 1.08
epoch 1100:	pdl:8.23e-01 	 Rec:3.28e-03 	 Color:0.00e+00 	Time: 1.08
epoch 1150:	pdl:7.91e-01 	 Rec:2.73e-03 	 Color:0.00e+00 	Time: 1.01
epoch 1200:	pdl:8.12e-01 	 Rec:2.81e-03 	 Color:0.00e+00 	Time: 1.03
epoch 1250:	pdl:9.01e-01 	 Rec:3.03e-03 	 Color:0.00e+00 	Time: 1.01
epoch 1300:	pdl:8.85e-01 	 Rec:2.72e-03 	 Color:0.00e+00 	Time: 1.01
epoch 1350:	pdl:9.30e-01 	 Rec:2.98e-03 	 Color:0.00e+00 	Time: 1.03
epoch 1400:	pdl:8.79e-01 	 Rec:2.76e-03 	 Color:0.00e+00 	Time: 1.03
epoch 1450:	pdl:8.43e-01 	 Rec:2.73e-03 	 Color:0.00e+00 	Time: 1.00
epoch 1500:	pdl:9.04e-01 	 Rec:3.22e-03 	 Color:0.00e+00 	Time: 1.05
epoch 1550:	pdl:8.51e-01 	 Rec:3.22e-03 	 Color:0.00e+00 	Time: 1.00
epoch 1600:	pdl:7.83e-01 	 Rec:2.68e-03 	 Color:0.00e+00 	Time: 1.00
epoch 1650:	pdl:8.26e-01 	 Rec:2.72e-03 	 Color:0.00e+00 	Time: 1.00
epoch 1700:	pdl:8.39e-01 	 Rec:2.76e-03 	 Color:0.00e+00 	Time: 1.01
epoch 1750:	pdl:8.60e-01 	 Rec:2.77e-03 	 Color:0.00e+00 	Time: 1.02
epoch 1800:	pdl:9.89e-01 	 Rec:3.03e-03 	 Color:0.00e+00 	Time: 1.04
epoch 1850:	pdl:9.14e-01 	 Rec:2.83e-03 	 Color:0.00e+00 	Time: 1.06
epoch 1900:	pdl:8.64e-01 	 Rec:2.70e-03 	 Color:0.00e+00 	Time: 1.04
epoch 1950:	pdl:8.15e-01 	 Rec:2.67e-03 	 Color:0.00e+00 	Time: 1.06
epoch 2000:	pdl:7.95e-01 	 Rec:2.60e-03 	 Color:0.00e+00 	Time: 1.08
epoch 2050:	pdl:8.57e-01 	 Rec:2.61e-03 	 Color:0.00e+00 	Time: 1.08
epoch 2100:	pdl:7.78e-01 	 Rec:2.74e-03 	 Color:0.00e+00 	Time: 1.05
epoch 2150:	pdl:7.38e-01 	 Rec:2.63e-03 	 Color:0.00e+00 	Time: 1.04
epoch 2200:	pdl:8.21e-01 	 Rec:2.65e-03 	 Color:0.00e+00 	Time: 1.07
epoch 2250:	pdl:8.69e-01 	 Rec:2.52e-03 	 Color:0.00e+00 	Time: 1.04
epoch 2300:	pdl:7.91e-01 	 Rec:2.44e-03 	 Color:0.00e+00 	Time: 1.03
epoch 2350:	pdl:8.70e-01 	 Rec:2.53e-03 	 Color:0.00e+00 	Time: 1.01
