epoch 0:	pdl:4.55e-01 	 Rec:6.55e-03 	 Color:1.33e-01 	Time: 0.01
epoch 50:	pdl:4.16e-01 	 Rec:4.21e-03 	 Color:1.04e-01 	Time: 0.71
epoch 100:	pdl:4.34e-01 	 Rec:3.48e-03 	 Color:1.17e-01 	Time: 0.64
epoch 150:	pdl:4.28e-01 	 Rec:3.13e-03 	 Color:1.28e-01 	Time: 0.58
epoch 200:	pdl:4.86e-01 	 Rec:3.10e-03 	 Color:1.16e-01 	Time: 0.59
epoch 250:	pdl:4.26e-01 	 Rec:2.67e-03 	 Color:1.22e-01 	Time: 0.61
epoch 300:	pdl:4.24e-01 	 Rec:2.48e-03 	 Color:1.26e-01 	Time: 0.60
epoch 350:	pdl:4.57e-01 	 Rec:2.41e-03 	 Color:1.22e-01 	Time: 0.60
epoch 400:	pdl:4.42e-01 	 Rec:2.34e-03 	 Color:1.03e-01 	Time: 0.59
epoch 450:	pdl:4.68e-01 	 Rec:2.27e-03 	 Color:1.23e-01 	Time: 0.60
epoch 500:	pdl:4.73e-01 	 Rec:2.27e-03 	 Color:1.09e-01 	Time: 0.62
epoch 550:	pdl:4.56e-01 	 Rec:2.24e-03 	 Color:1.03e-01 	Time: 0.60
epoch 600:	pdl:4.50e-01 	 Rec:2.03e-03 	 Color:1.20e-01 	Time: 0.60
epoch 650:	pdl:4.64e-01 	 Rec:2.02e-03 	 Color:1.37e-01 	Time: 0.62
epoch 700:	pdl:4.15e-01 	 Rec:1.95e-03 	 Color:9.42e-02 	Time: 0.62
epoch 750:	pdl:4.37e-01 	 Rec:1.90e-03 	 Color:1.05e-01 	Time: 0.60
epoch 800:	pdl:4.33e-01 	 Rec:1.88e-03 	 Color:1.07e-01 	Time: 0.60
epoch 850:	pdl:4.40e-01 	 Rec:1.73e-03 	 Color:1.18e-01 	Time: 0.60
epoch 900:	pdl:4.64e-01 	 Rec:1.81e-03 	 Color:1.32e-01 	Time: 0.63
epoch 950:	pdl:4.44e-01 	 Rec:1.86e-03 	 Color:9.73e-02 	Time: 0.61
epoch 1000:	pdl:4.14e-01 	 Rec:1.70e-03 	 Color:1.06e-01 	Time: 0.62
epoch 1050:	pdl:4.62e-01 	 Rec:1.69e-03 	 Color:1.06e-01 	Time: 0.66
epoch 1100:	pdl:4.36e-01 	 Rec:1.66e-03 	 Color:1.13e-01 	Time: 0.60
epoch 1150:	pdl:4.20e-01 	 Rec:1.90e-03 	 Color:9.79e-02 	Time: 0.61
epoch 1200:	pdl:4.35e-01 	 Rec:1.71e-03 	 Color:1.19e-01 	Time: 0.65
epoch 1250:	pdl:4.60e-01 	 Rec:1.61e-03 	 Color:1.28e-01 	Time: 0.60
epoch 1300:	pdl:4.82e-01 	 Rec:1.56e-03 	 Color:1.39e-01 	Time: 0.63
epoch 1350:	pdl:4.35e-01 	 Rec:1.62e-03 	 Color:1.14e-01 	Time: 0.63
epoch 1400:	pdl:5.12e-01 	 Rec:1.71e-03 	 Color:1.10e-01 	Time: 0.60
epoch 1450:	pdl:4.78e-01 	 Rec:1.48e-03 	 Color:1.41e-01 	Time: 0.60
epoch 1500:	pdl:5.14e-01 	 Rec:1.61e-03 	 Color:1.20e-01 	Time: 0.60
