epoch 0:	pdl:1.34e+00 	 Rec:1.72e-01 	 Color:1.20e-01 	Time: 0.01
epoch 50:	pdl:8.16e-01 	 Rec:7.90e-03 	 Color:1.06e-01 	Time: 0.59
epoch 100:	pdl:9.03e-01 	 Rec:6.96e-03 	 Color:8.56e-02 	Time: 0.50
epoch 150:	pdl:7.57e-01 	 Rec:4.69e-03 	 Color:1.17e-01 	Time: 0.43
epoch 200:	pdl:7.22e-01 	 Rec:4.15e-03 	 Color:1.13e-01 	Time: 0.46
epoch 250:	pdl:7.12e-01 	 Rec:4.20e-03 	 Color:1.07e-01 	Time: 0.46
epoch 300:	pdl:7.48e-01 	 Rec:3.54e-03 	 Color:1.22e-01 	Time: 0.47
epoch 350:	pdl:7.16e-01 	 Rec:3.11e-03 	 Color:1.07e-01 	Time: 0.46
epoch 400:	pdl:7.17e-01 	 Rec:2.95e-03 	 Color:1.16e-01 	Time: 0.47
epoch 450:	pdl:7.33e-01 	 Rec:2.77e-03 	 Color:1.09e-01 	Time: 0.48
epoch 500:	pdl:8.90e-01 	 Rec:2.88e-03 	 Color:1.26e-01 	Time: 0.48
epoch 550:	pdl:6.85e-01 	 Rec:2.42e-03 	 Color:1.28e-01 	Time: 0.49
epoch 600:	pdl:6.91e-01 	 Rec:2.23e-03 	 Color:1.11e-01 	Time: 0.52
epoch 650:	pdl:7.21e-01 	 Rec:2.18e-03 	 Color:1.12e-01 	Time: 0.48
epoch 700:	pdl:7.77e-01 	 Rec:2.05e-03 	 Color:1.11e-01 	Time: 0.46
epoch 750:	pdl:6.72e-01 	 Rec:1.92e-03 	 Color:1.03e-01 	Time: 0.48
epoch 800:	pdl:6.99e-01 	 Rec:1.90e-03 	 Color:8.89e-02 	Time: 0.51
epoch 850:	pdl:6.66e-01 	 Rec:1.80e-03 	 Color:9.23e-02 	Time: 0.50
epoch 900:	pdl:7.75e-01 	 Rec:1.64e-03 	 Color:1.21e-01 	Time: 0.49
epoch 950:	pdl:6.88e-01 	 Rec:1.53e-03 	 Color:9.84e-02 	Time: 0.46
epoch 1000:	pdl:6.55e-01 	 Rec:1.45e-03 	 Color:1.11e-01 	Time: 0.46
epoch 1050:	pdl:6.79e-01 	 Rec:1.51e-03 	 Color:9.17e-02 	Time: 0.51
epoch 1100:	pdl:6.80e-01 	 Rec:1.43e-03 	 Color:1.26e-01 	Time: 0.48
epoch 1150:	pdl:7.02e-01 	 Rec:1.37e-03 	 Color:1.06e-01 	Time: 0.45
epoch 1200:	pdl:7.11e-01 	 Rec:1.34e-03 	 Color:1.18e-01 	Time: 0.43
epoch 1250:	pdl:7.07e-01 	 Rec:1.20e-03 	 Color:9.39e-02 	Time: 0.48
epoch 1300:	pdl:6.61e-01 	 Rec:1.12e-03 	 Color:1.22e-01 	Time: 0.45
epoch 1350:	pdl:7.78e-01 	 Rec:1.25e-03 	 Color:1.13e-01 	Time: 0.43
epoch 1400:	pdl:6.25e-01 	 Rec:1.29e-03 	 Color:9.07e-02 	Time: 0.43
epoch 1450:	pdl:6.55e-01 	 Rec:1.07e-03 	 Color:1.13e-01 	Time: 0.44
epoch 1500:	pdl:7.18e-01 	 Rec:1.95e-03 	 Color:1.09e-01 	Time: 0.45
epoch 1550:	pdl:7.96e-01 	 Rec:1.21e-03 	 Color:1.21e-01 	Time: 0.48
epoch 1600:	pdl:6.43e-01 	 Rec:1.05e-03 	 Color:1.02e-01 	Time: 0.43
epoch 1650:	pdl:6.91e-01 	 Rec:1.01e-03 	 Color:1.00e-01 	Time: 0.45
epoch 1700:	pdl:6.81e-01 	 Rec:1.06e-03 	 Color:1.13e-01 	Time: 0.45
epoch 1750:	pdl:6.53e-01 	 Rec:8.97e-04 	 Color:1.11e-01 	Time: 0.45
epoch 1800:	pdl:6.94e-01 	 Rec:9.46e-04 	 Color:1.10e-01 	Time: 0.48
epoch 1850:	pdl:6.49e-01 	 Rec:8.73e-04 	 Color:9.58e-02 	Time: 0.45
epoch 1900:	pdl:7.10e-01 	 Rec:1.07e-03 	 Color:1.20e-01 	Time: 0.46
epoch 1950:	pdl:7.17e-01 	 Rec:1.10e-03 	 Color:1.09e-01 	Time: 0.44
epoch 2000:	pdl:6.66e-01 	 Rec:8.00e-04 	 Color:1.22e-01 	Time: 0.49
epoch 2050:	pdl:6.61e-01 	 Rec:8.55e-04 	 Color:1.36e-01 	Time: 0.49
epoch 2100:	pdl:6.65e-01 	 Rec:9.22e-04 	 Color:1.03e-01 	Time: 0.48
epoch 2150:	pdl:6.34e-01 	 Rec:1.20e-03 	 Color:7.86e-02 	Time: 0.46
epoch 2200:	pdl:6.41e-01 	 Rec:7.32e-04 	 Color:1.05e-01 	Time: 0.48
epoch 2250:	pdl:6.69e-01 	 Rec:1.29e-03 	 Color:9.13e-02 	Time: 0.49
epoch 2300:	pdl:6.40e-01 	 Rec:6.60e-04 	 Color:1.00e-01 	Time: 0.46
epoch 2350:	pdl:6.66e-01 	 Rec:8.04e-04 	 Color:1.19e-01 	Time: 0.46
epoch 2400:	pdl:6.54e-01 	 Rec:6.51e-04 	 Color:9.51e-02 	Time: 0.50
epoch 2450:	pdl:6.14e-01 	 Rec:1.06e-03 	 Color:9.62e-02 	Time: 0.43
epoch 2500:	pdl:6.69e-01 	 Rec:6.01e-04 	 Color:1.10e-01 	Time: 0.46
epoch 2550:	pdl:7.15e-01 	 Rec:7.37e-04 	 Color:1.13e-01 	Time: 0.50
epoch 2600:	pdl:6.88e-01 	 Rec:8.37e-04 	 Color:1.09e-01 	Time: 0.49
epoch 2650:	pdl:6.56e-01 	 Rec:6.08e-04 	 Color:1.03e-01 	Time: 0.49
epoch 2700:	pdl:6.62e-01 	 Rec:6.44e-04 	 Color:9.69e-02 	Time: 0.48
epoch 2750:	pdl:7.15e-01 	 Rec:6.33e-04 	 Color:1.17e-01 	Time: 0.49
epoch 2800:	pdl:6.84e-01 	 Rec:8.22e-04 	 Color:1.32e-01 	Time: 0.47
epoch 2850:	pdl:6.31e-01 	 Rec:6.64e-04 	 Color:1.18e-01 	Time: 0.49
epoch 2900:	pdl:6.85e-01 	 Rec:7.46e-04 	 Color:1.08e-01 	Time: 0.49
epoch 2950:	pdl:6.82e-01 	 Rec:6.98e-04 	 Color:1.15e-01 	Time: 0.49
epoch 3000:	pdl:6.75e-01 	 Rec:7.93e-04 	 Color:1.08e-01 	Time: 0.48
epoch 3050:	pdl:6.39e-01 	 Rec:5.25e-04 	 Color:1.02e-01 	Time: 0.48
epoch 3100:	pdl:6.14e-01 	 Rec:6.68e-04 	 Color:1.11e-01 	Time: 0.46
epoch 3150:	pdl:6.86e-01 	 Rec:9.70e-04 	 Color:9.76e-02 	Time: 0.46
epoch 3200:	pdl:6.69e-01 	 Rec:6.00e-04 	 Color:1.22e-01 	Time: 0.50
epoch 3250:	pdl:7.13e-01 	 Rec:8.60e-04 	 Color:1.18e-01 	Time: 0.49
epoch 3300:	pdl:6.66e-01 	 Rec:7.58e-04 	 Color:9.73e-02 	Time: 0.45
epoch 3350:	pdl:6.45e-01 	 Rec:7.15e-04 	 Color:9.43e-02 	Time: 0.48
epoch 3400:	pdl:6.75e-01 	 Rec:4.63e-04 	 Color:1.20e-01 	Time: 0.48
epoch 3450:	pdl:6.24e-01 	 Rec:8.92e-04 	 Color:9.24e-02 	Time: 0.48
epoch 3500:	pdl:6.07e-01 	 Rec:9.64e-04 	 Color:1.05e-01 	Time: 0.43
epoch 3550:	pdl:6.36e-01 	 Rec:4.35e-04 	 Color:1.13e-01 	Time: 0.44
epoch 3600:	pdl:6.81e-01 	 Rec:5.95e-04 	 Color:1.09e-01 	Time: 0.47
epoch 3650:	pdl:6.57e-01 	 Rec:4.52e-04 	 Color:1.16e-01 	Time: 0.45
epoch 3700:	pdl:6.17e-01 	 Rec:5.13e-04 	 Color:9.73e-02 	Time: 0.43
epoch 3750:	pdl:6.72e-01 	 Rec:7.56e-04 	 Color:1.14e-01 	Time: 0.45
epoch 3800:	pdl:7.10e-01 	 Rec:6.24e-04 	 Color:1.17e-01 	Time: 0.45
epoch 3850:	pdl:6.13e-01 	 Rec:5.37e-04 	 Color:1.18e-01 	Time: 0.48
epoch 3900:	pdl:6.41e-01 	 Rec:6.03e-04 	 Color:9.82e-02 	Time: 0.50
epoch 3950:	pdl:6.63e-01 	 Rec:6.90e-04 	 Color:1.04e-01 	Time: 0.49
epoch 4000:	pdl:6.31e-01 	 Rec:4.07e-04 	 Color:1.03e-01 	Time: 0.46
epoch 4050:	pdl:6.32e-01 	 Rec:4.76e-04 	 Color:1.19e-01 	Time: 0.50
epoch 4100:	pdl:6.25e-01 	 Rec:6.20e-04 	 Color:1.28e-01 	Time: 0.50
epoch 4150:	pdl:6.81e-01 	 Rec:4.82e-04 	 Color:1.14e-01 	Time: 0.46
epoch 4200:	pdl:6.31e-01 	 Rec:5.21e-04 	 Color:9.62e-02 	Time: 0.49
epoch 4250:	pdl:6.30e-01 	 Rec:6.14e-04 	 Color:1.04e-01 	Time: 0.49
