epoch 0:	pdl:1.01e+00 	 Rec:1.09e-02 	 Color:0.00e+00 	Time: 0.01
epoch 50:	pdl:6.31e-01 	 Rec:3.52e-03 	 Color:0.00e+00 	Time: 0.62
epoch 100:	pdl:6.61e-01 	 Rec:2.93e-03 	 Color:0.00e+00 	Time: 0.52
epoch 150:	pdl:6.76e-01 	 Rec:2.56e-03 	 Color:0.00e+00 	Time: 0.56
epoch 200:	pdl:6.87e-01 	 Rec:2.53e-03 	 Color:0.00e+00 	Time: 0.52
epoch 250:	pdl:6.51e-01 	 Rec:2.28e-03 	 Color:0.00e+00 	Time: 0.52
epoch 300:	pdl:6.77e-01 	 Rec:1.96e-03 	 Color:0.00e+00 	Time: 0.54
epoch 350:	pdl:6.20e-01 	 Rec:1.88e-03 	 Color:0.00e+00 	Time: 0.54
epoch 400:	pdl:6.86e-01 	 Rec:1.89e-03 	 Color:0.00e+00 	Time: 0.50
epoch 450:	pdl:6.24e-01 	 Rec:1.71e-03 	 Color:0.00e+00 	Time: 0.49
epoch 500:	pdl:7.01e-01 	 Rec:1.55e-03 	 Color:0.00e+00 	Time: 0.52
epoch 550:	pdl:6.87e-01 	 Rec:1.73e-03 	 Color:0.00e+00 	Time: 0.55
epoch 600:	pdl:6.63e-01 	 Rec:1.88e-03 	 Color:0.00e+00 	Time: 0.50
epoch 650:	pdl:6.97e-01 	 Rec:1.47e-03 	 Color:0.00e+00 	Time: 0.51
epoch 700:	pdl:6.98e-01 	 Rec:1.31e-03 	 Color:0.00e+00 	Time: 0.51
epoch 750:	pdl:7.80e-01 	 Rec:1.37e-03 	 Color:0.00e+00 	Time: 0.49
epoch 800:	pdl:7.00e-01 	 Rec:1.40e-03 	 Color:0.00e+00 	Time: 0.54
epoch 850:	pdl:6.50e-01 	 Rec:1.46e-03 	 Color:0.00e+00 	Time: 0.53
epoch 900:	pdl:6.92e-01 	 Rec:1.17e-03 	 Color:0.00e+00 	Time: 0.55
epoch 950:	pdl:7.16e-01 	 Rec:1.24e-03 	 Color:0.00e+00 	Time: 0.56
epoch 1000:	pdl:6.45e-01 	 Rec:1.38e-03 	 Color:0.00e+00 	Time: 0.50
epoch 1050:	pdl:6.41e-01 	 Rec:1.35e-03 	 Color:0.00e+00 	Time: 0.53
epoch 1100:	pdl:6.07e-01 	 Rec:1.11e-03 	 Color:0.00e+00 	Time: 0.56
epoch 1150:	pdl:6.70e-01 	 Rec:1.10e-03 	 Color:0.00e+00 	Time: 0.52
epoch 1200:	pdl:6.67e-01 	 Rec:1.07e-03 	 Color:0.00e+00 	Time: 0.52
epoch 1250:	pdl:6.40e-01 	 Rec:9.67e-04 	 Color:0.00e+00 	Time: 0.52
epoch 1300:	pdl:6.98e-01 	 Rec:1.22e-03 	 Color:0.00e+00 	Time: 0.50
epoch 1350:	pdl:6.32e-01 	 Rec:1.29e-03 	 Color:0.00e+00 	Time: 0.50
epoch 1400:	pdl:6.45e-01 	 Rec:1.01e-03 	 Color:0.00e+00 	Time: 0.51
epoch 1450:	pdl:7.23e-01 	 Rec:8.75e-04 	 Color:0.00e+00 	Time: 0.55
epoch 1500:	pdl:6.51e-01 	 Rec:1.03e-03 	 Color:0.00e+00 	Time: 0.53
epoch 1550:	pdl:6.80e-01 	 Rec:1.11e-03 	 Color:0.00e+00 	Time: 0.50
epoch 1600:	pdl:6.67e-01 	 Rec:9.01e-04 	 Color:0.00e+00 	Time: 0.53
epoch 1650:	pdl:6.62e-01 	 Rec:1.05e-03 	 Color:0.00e+00 	Time: 0.52
epoch 1700:	pdl:5.71e-01 	 Rec:1.05e-03 	 Color:0.00e+00 	Time: 0.50
epoch 1750:	pdl:6.50e-01 	 Rec:1.29e-03 	 Color:0.00e+00 	Time: 0.52
epoch 1800:	pdl:6.23e-01 	 Rec:8.44e-04 	 Color:0.00e+00 	Time: 0.50
