epoch 0:	pdl:3.55e-01 	 Rec:3.81e-03 	 Color:0.00e+00 	Time: 0.01
epoch 50:	pdl:2.97e-01 	 Rec:2.07e-03 	 Color:0.00e+00 	Time: 1.06
epoch 100:	pdl:3.24e-01 	 Rec:1.71e-03 	 Color:0.00e+00 	Time: 0.93
epoch 150:	pdl:3.42e-01 	 Rec:1.53e-03 	 Color:0.00e+00 	Time: 0.93
epoch 200:	pdl:3.06e-01 	 Rec:1.46e-03 	 Color:0.00e+00 	Time: 0.93
epoch 250:	pdl:3.85e-01 	 Rec:1.29e-03 	 Color:0.00e+00 	Time: 0.90
epoch 300:	pdl:3.12e-01 	 Rec:1.29e-03 	 Color:0.00e+00 	Time: 0.90
epoch 350:	pdl:3.24e-01 	 Rec:1.24e-03 	 Color:0.00e+00 	Time: 0.90
epoch 400:	pdl:3.06e-01 	 Rec:1.13e-03 	 Color:0.00e+00 	Time: 0.93
epoch 450:	pdl:3.45e-01 	 Rec:1.13e-03 	 Color:0.00e+00 	Time: 0.96
epoch 500:	pdl:3.15e-01 	 Rec:1.09e-03 	 Color:0.00e+00 	Time: 0.93
epoch 550:	pdl:3.28e-01 	 Rec:9.97e-04 	 Color:0.00e+00 	Time: 0.94
epoch 600:	pdl:3.17e-01 	 Rec:9.84e-04 	 Color:0.00e+00 	Time: 0.93
epoch 650:	pdl:3.32e-01 	 Rec:1.08e-03 	 Color:0.00e+00 	Time: 0.93
epoch 700:	pdl:2.97e-01 	 Rec:9.76e-04 	 Color:0.00e+00 	Time: 0.94
epoch 750:	pdl:3.22e-01 	 Rec:9.13e-04 	 Color:0.00e+00 	Time: 0.92
epoch 800:	pdl:3.27e-01 	 Rec:9.11e-04 	 Color:0.00e+00 	Time: 0.94
epoch 850:	pdl:3.44e-01 	 Rec:8.23e-04 	 Color:0.00e+00 	Time: 0.96
epoch 900:	pdl:3.65e-01 	 Rec:9.88e-04 	 Color:0.00e+00 	Time: 0.91
epoch 950:	pdl:2.97e-01 	 Rec:7.86e-04 	 Color:0.00e+00 	Time: 0.92
epoch 1000:	pdl:3.23e-01 	 Rec:7.58e-04 	 Color:0.00e+00 	Time: 0.92
epoch 1050:	pdl:4.18e-01 	 Rec:8.19e-04 	 Color:0.00e+00 	Time: 0.92
epoch 1100:	pdl:3.17e-01 	 Rec:7.36e-04 	 Color:0.00e+00 	Time: 0.94
epoch 1150:	pdl:3.73e-01 	 Rec:7.24e-04 	 Color:0.00e+00 	Time: 0.92
epoch 1200:	pdl:3.50e-01 	 Rec:7.83e-04 	 Color:0.00e+00 	Time: 0.94
epoch 1250:	pdl:3.53e-01 	 Rec:7.91e-04 	 Color:0.00e+00 	Time: 0.92
epoch 1300:	pdl:3.26e-01 	 Rec:7.80e-04 	 Color:0.00e+00 	Time: 0.92
epoch 1350:	pdl:3.30e-01 	 Rec:7.00e-04 	 Color:0.00e+00 	Time: 0.90
epoch 1400:	pdl:3.66e-01 	 Rec:7.76e-04 	 Color:0.00e+00 	Time: 0.92
epoch 1450:	pdl:3.44e-01 	 Rec:6.87e-04 	 Color:0.00e+00 	Time: 0.93
epoch 1500:	pdl:3.47e-01 	 Rec:7.99e-04 	 Color:0.00e+00 	Time: 0.92
epoch 1550:	pdl:4.05e-01 	 Rec:7.81e-04 	 Color:0.00e+00 	Time: 0.94
epoch 1600:	pdl:3.20e-01 	 Rec:6.68e-04 	 Color:0.00e+00 	Time: 0.92
epoch 1650:	pdl:3.31e-01 	 Rec:7.23e-04 	 Color:0.00e+00 	Time: 0.94
epoch 1700:	pdl:3.11e-01 	 Rec:7.19e-04 	 Color:0.00e+00 	Time: 0.91
epoch 1750:	pdl:3.12e-01 	 Rec:6.06e-04 	 Color:0.00e+00 	Time: 0.92
epoch 1800:	pdl:3.49e-01 	 Rec:5.98e-04 	 Color:0.00e+00 	Time: 0.91
epoch 1850:	pdl:2.78e-01 	 Rec:7.18e-04 	 Color:0.00e+00 	Time: 0.91
epoch 1900:	pdl:2.96e-01 	 Rec:6.27e-04 	 Color:0.00e+00 	Time: 0.94
epoch 1950:	pdl:3.38e-01 	 Rec:5.65e-04 	 Color:0.00e+00 	Time: 0.91
epoch 2000:	pdl:3.02e-01 	 Rec:5.98e-04 	 Color:0.00e+00 	Time: 0.90
epoch 2050:	pdl:4.27e-01 	 Rec:6.38e-04 	 Color:0.00e+00 	Time: 0.94
epoch 2100:	pdl:3.00e-01 	 Rec:6.30e-04 	 Color:0.00e+00 	Time: 0.91
epoch 2150:	pdl:3.63e-01 	 Rec:6.07e-04 	 Color:0.00e+00 	Time: 0.90
epoch 2200:	pdl:3.49e-01 	 Rec:7.51e-04 	 Color:0.00e+00 	Time: 0.90
epoch 2250:	pdl:3.24e-01 	 Rec:6.13e-04 	 Color:0.00e+00 	Time: 0.89
epoch 2300:	pdl:3.83e-01 	 Rec:5.52e-04 	 Color:0.00e+00 	Time: 0.95
epoch 2350:	pdl:2.74e-01 	 Rec:5.44e-04 	 Color:0.00e+00 	Time: 0.90
epoch 2400:	pdl:3.18e-01 	 Rec:7.16e-04 	 Color:0.00e+00 	Time: 0.96
epoch 2450:	pdl:3.00e-01 	 Rec:5.82e-04 	 Color:0.00e+00 	Time: 0.94
epoch 2500:	pdl:3.89e-01 	 Rec:8.30e-04 	 Color:0.00e+00 	Time: 0.93
epoch 2550:	pdl:2.85e-01 	 Rec:7.08e-04 	 Color:0.00e+00 	Time: 0.96
epoch 2600:	pdl:3.17e-01 	 Rec:6.10e-04 	 Color:0.00e+00 	Time: 0.95
epoch 2650:	pdl:2.92e-01 	 Rec:5.92e-04 	 Color:0.00e+00 	Time: 0.92
epoch 2700:	pdl:3.12e-01 	 Rec:5.32e-04 	 Color:0.00e+00 	Time: 0.92
epoch 2750:	pdl:2.91e-01 	 Rec:6.23e-04 	 Color:0.00e+00 	Time: 0.92
epoch 2800:	pdl:2.86e-01 	 Rec:5.55e-04 	 Color:0.00e+00 	Time: 0.91
epoch 2850:	pdl:3.22e-01 	 Rec:5.63e-04 	 Color:0.00e+00 	Time: 0.94
epoch 2900:	pdl:2.87e-01 	 Rec:5.84e-04 	 Color:0.00e+00 	Time: 0.91
epoch 2950:	pdl:3.32e-01 	 Rec:5.42e-04 	 Color:0.00e+00 	Time: 0.92
epoch 3000:	pdl:3.16e-01 	 Rec:6.07e-04 	 Color:0.00e+00 	Time: 0.91
epoch 3050:	pdl:2.78e-01 	 Rec:5.33e-04 	 Color:0.00e+00 	Time: 0.95
epoch 3100:	pdl:2.88e-01 	 Rec:5.26e-04 	 Color:0.00e+00 	Time: 0.93
epoch 3150:	pdl:2.91e-01 	 Rec:4.87e-04 	 Color:0.00e+00 	Time: 0.91
epoch 3200:	pdl:3.31e-01 	 Rec:4.95e-04 	 Color:0.00e+00 	Time: 0.91
epoch 3250:	pdl:2.78e-01 	 Rec:4.90e-04 	 Color:0.00e+00 	Time: 0.92
epoch 3300:	pdl:3.29e-01 	 Rec:4.96e-04 	 Color:0.00e+00 	Time: 0.94
epoch 3350:	pdl:3.02e-01 	 Rec:6.93e-04 	 Color:0.00e+00 	Time: 0.94
