epoch 0:	pdl:1.43e-01 	 Rec:6.53e-03 	 Color:3.59e-02 	Time: 0.01
epoch 50:	pdl:1.24e-01 	 Rec:1.55e-03 	 Color:3.56e-02 	Time: 0.66
epoch 100:	pdl:1.36e-01 	 Rec:1.17e-03 	 Color:3.57e-02 	Time: 0.62
epoch 150:	pdl:1.22e-01 	 Rec:1.00e-03 	 Color:3.44e-02 	Time: 0.57
epoch 200:	pdl:1.17e-01 	 Rec:9.06e-04 	 Color:2.95e-02 	Time: 0.59
epoch 250:	pdl:1.24e-01 	 Rec:8.49e-04 	 Color:3.65e-02 	Time: 0.60
epoch 300:	pdl:1.17e-01 	 Rec:7.27e-04 	 Color:3.13e-02 	Time: 0.60
epoch 350:	pdl:1.06e-01 	 Rec:6.85e-04 	 Color:2.43e-02 	Time: 0.61
epoch 400:	pdl:1.28e-01 	 Rec:6.93e-04 	 Color:4.15e-02 	Time: 0.61
epoch 450:	pdl:1.12e-01 	 Rec:7.44e-04 	 Color:2.88e-02 	Time: 0.58
epoch 500:	pdl:1.21e-01 	 Rec:5.50e-04 	 Color:3.61e-02 	Time: 0.62
epoch 550:	pdl:1.09e-01 	 Rec:5.63e-04 	 Color:2.62e-02 	Time: 0.57
epoch 600:	pdl:1.13e-01 	 Rec:5.63e-04 	 Color:3.20e-02 	Time: 0.57
epoch 650:	pdl:1.14e-01 	 Rec:4.92e-04 	 Color:3.04e-02 	Time: 0.57
epoch 700:	pdl:1.27e-01 	 Rec:4.58e-04 	 Color:4.05e-02 	Time: 0.58
epoch 750:	pdl:1.38e-01 	 Rec:4.70e-04 	 Color:4.07e-02 	Time: 0.57
epoch 800:	pdl:1.27e-01 	 Rec:5.05e-04 	 Color:3.97e-02 	Time: 0.60
epoch 850:	pdl:1.11e-01 	 Rec:4.25e-04 	 Color:3.28e-02 	Time: 0.62
epoch 900:	pdl:1.10e-01 	 Rec:3.97e-04 	 Color:2.66e-02 	Time: 0.58
epoch 950:	pdl:1.10e-01 	 Rec:4.85e-04 	 Color:2.90e-02 	Time: 0.61
epoch 1000:	pdl:1.06e-01 	 Rec:3.71e-04 	 Color:2.81e-02 	Time: 0.64
epoch 1050:	pdl:1.19e-01 	 Rec:4.19e-04 	 Color:3.36e-02 	Time: 0.62
epoch 1100:	pdl:1.10e-01 	 Rec:3.57e-04 	 Color:3.01e-02 	Time: 0.59
