epoch 0:	pdl:1.23e+00 	 Rec:8.87e-02 	 Color:1.85e-01 	Time: 0.01
epoch 50:	pdl:1.99e-01 	 Rec:3.29e-03 	 Color:3.66e-02 	Time: 0.83
epoch 100:	pdl:2.00e-01 	 Rec:2.11e-03 	 Color:4.34e-02 	Time: 0.73
epoch 150:	pdl:1.64e-01 	 Rec:1.71e-03 	 Color:3.02e-02 	Time: 0.71
epoch 200:	pdl:1.54e-01 	 Rec:1.45e-03 	 Color:2.87e-02 	Time: 0.77
epoch 250:	pdl:2.21e-01 	 Rec:1.27e-03 	 Color:4.62e-02 	Time: 0.76
epoch 300:	pdl:1.73e-01 	 Rec:1.17e-03 	 Color:2.61e-02 	Time: 0.76
epoch 350:	pdl:1.60e-01 	 Rec:1.11e-03 	 Color:3.29e-02 	Time: 0.79
epoch 400:	pdl:1.67e-01 	 Rec:1.16e-03 	 Color:2.92e-02 	Time: 0.75
epoch 450:	pdl:1.54e-01 	 Rec:9.13e-04 	 Color:3.12e-02 	Time: 0.74
epoch 500:	pdl:1.48e-01 	 Rec:9.59e-04 	 Color:2.66e-02 	Time: 0.75
epoch 550:	pdl:1.70e-01 	 Rec:1.04e-03 	 Color:3.47e-02 	Time: 0.73
epoch 600:	pdl:1.60e-01 	 Rec:8.59e-04 	 Color:3.18e-02 	Time: 0.71
epoch 650:	pdl:1.67e-01 	 Rec:8.56e-04 	 Color:3.43e-02 	Time: 0.73
epoch 700:	pdl:1.49e-01 	 Rec:8.51e-04 	 Color:3.02e-02 	Time: 0.73
epoch 750:	pdl:1.56e-01 	 Rec:8.36e-04 	 Color:2.70e-02 	Time: 0.72
epoch 800:	pdl:1.57e-01 	 Rec:7.46e-04 	 Color:3.02e-02 	Time: 0.75
epoch 850:	pdl:1.59e-01 	 Rec:8.11e-04 	 Color:2.99e-02 	Time: 0.72
epoch 900:	pdl:1.47e-01 	 Rec:7.81e-04 	 Color:2.52e-02 	Time: 0.73
epoch 950:	pdl:1.40e-01 	 Rec:6.48e-04 	 Color:2.44e-02 	Time: 0.73
epoch 1000:	pdl:1.46e-01 	 Rec:6.44e-04 	 Color:2.98e-02 	Time: 0.74
epoch 1050:	pdl:1.56e-01 	 Rec:6.40e-04 	 Color:3.19e-02 	Time: 0.76
epoch 1100:	pdl:1.39e-01 	 Rec:5.97e-04 	 Color:2.40e-02 	Time: 0.86
