epoch 0:	pdl:2.84e+00 	 Rec:9.41e-02 	 Color:0.00e+00 	Time: 0.01
epoch 50:	pdl:9.50e-01 	 Rec:4.69e-03 	 Color:0.00e+00 	Time: 0.83
epoch 100:	pdl:9.62e-01 	 Rec:3.24e-03 	 Color:0.00e+00 	Time: 0.79
epoch 150:	pdl:6.25e-01 	 Rec:2.69e-03 	 Color:0.00e+00 	Time: 0.77
epoch 200:	pdl:7.54e-01 	 Rec:2.39e-03 	 Color:0.00e+00 	Time: 0.73
epoch 250:	pdl:8.46e-01 	 Rec:2.10e-03 	 Color:0.00e+00 	Time: 0.82
epoch 300:	pdl:7.79e-01 	 Rec:2.02e-03 	 Color:0.00e+00 	Time: 0.77
epoch 350:	pdl:7.24e-01 	 Rec:1.68e-03 	 Color:0.00e+00 	Time: 0.76
epoch 400:	pdl:8.74e-01 	 Rec:1.57e-03 	 Color:0.00e+00 	Time: 0.78
epoch 450:	pdl:8.75e-01 	 Rec:1.60e-03 	 Color:0.00e+00 	Time: 0.75
epoch 500:	pdl:7.29e-01 	 Rec:1.66e-03 	 Color:0.00e+00 	Time: 0.77
epoch 550:	pdl:7.69e-01 	 Rec:1.78e-03 	 Color:0.00e+00 	Time: 0.76
epoch 600:	pdl:8.61e-01 	 Rec:1.46e-03 	 Color:0.00e+00 	Time: 0.75
epoch 650:	pdl:6.24e-01 	 Rec:1.24e-03 	 Color:0.00e+00 	Time: 0.74
epoch 700:	pdl:8.91e-01 	 Rec:1.53e-03 	 Color:0.00e+00 	Time: 0.74
epoch 750:	pdl:7.62e-01 	 Rec:1.29e-03 	 Color:0.00e+00 	Time: 0.71
epoch 800:	pdl:8.47e-01 	 Rec:1.49e-03 	 Color:0.00e+00 	Time: 0.74
epoch 850:	pdl:7.06e-01 	 Rec:1.40e-03 	 Color:0.00e+00 	Time: 0.74
epoch 900:	pdl:8.77e-01 	 Rec:1.10e-03 	 Color:0.00e+00 	Time: 0.72
epoch 950:	pdl:7.98e-01 	 Rec:1.42e-03 	 Color:0.00e+00 	Time: 0.73
epoch 1000:	pdl:6.52e-01 	 Rec:1.53e-03 	 Color:0.00e+00 	Time: 0.71
epoch 1050:	pdl:1.02e+00 	 Rec:1.26e-03 	 Color:0.00e+00 	Time: 0.83
epoch 1100:	pdl:8.71e-01 	 Rec:1.19e-03 	 Color:0.00e+00 	Time: 0.74
epoch 1150:	pdl:6.26e-01 	 Rec:9.80e-04 	 Color:0.00e+00 	Time: 0.77
epoch 1200:	pdl:9.91e-01 	 Rec:1.13e-03 	 Color:0.00e+00 	Time: 0.75
epoch 1250:	pdl:1.03e+00 	 Rec:1.17e-03 	 Color:0.00e+00 	Time: 0.76
epoch 1300:	pdl:1.00e+00 	 Rec:1.83e-03 	 Color:0.00e+00 	Time: 0.78
epoch 1350:	pdl:6.96e-01 	 Rec:9.87e-04 	 Color:0.00e+00 	Time: 0.73
epoch 1400:	pdl:7.30e-01 	 Rec:1.01e-03 	 Color:0.00e+00 	Time: 0.75
epoch 1450:	pdl:7.72e-01 	 Rec:1.10e-03 	 Color:0.00e+00 	Time: 0.77
epoch 1500:	pdl:6.53e-01 	 Rec:9.17e-04 	 Color:0.00e+00 	Time: 0.75
epoch 1550:	pdl:6.68e-01 	 Rec:9.51e-04 	 Color:0.00e+00 	Time: 0.77
epoch 1600:	pdl:9.80e-01 	 Rec:9.13e-04 	 Color:0.00e+00 	Time: 0.78
epoch 1650:	pdl:6.95e-01 	 Rec:1.03e-03 	 Color:0.00e+00 	Time: 0.76
epoch 1700:	pdl:1.14e+00 	 Rec:8.81e-04 	 Color:0.00e+00 	Time: 0.75
epoch 1750:	pdl:6.90e-01 	 Rec:8.44e-04 	 Color:0.00e+00 	Time: 0.75
epoch 1800:	pdl:6.85e-01 	 Rec:8.61e-04 	 Color:0.00e+00 	Time: 0.74
epoch 1850:	pdl:9.13e-01 	 Rec:8.52e-04 	 Color:0.00e+00 	Time: 0.75
epoch 1900:	pdl:9.49e-01 	 Rec:9.25e-04 	 Color:0.00e+00 	Time: 0.76
epoch 1950:	pdl:7.72e-01 	 Rec:1.02e-03 	 Color:0.00e+00 	Time: 0.76
epoch 2000:	pdl:8.16e-01 	 Rec:8.70e-04 	 Color:0.00e+00 	Time: 0.74
epoch 2050:	pdl:8.57e-01 	 Rec:9.46e-04 	 Color:0.00e+00 	Time: 0.78
epoch 2100:	pdl:1.10e+00 	 Rec:8.72e-04 	 Color:0.00e+00 	Time: 0.74
epoch 2150:	pdl:7.07e-01 	 Rec:8.10e-04 	 Color:0.00e+00 	Time: 0.74
epoch 2200:	pdl:6.01e-01 	 Rec:7.59e-04 	 Color:0.00e+00 	Time: 0.75
epoch 2250:	pdl:7.31e-01 	 Rec:7.88e-04 	 Color:0.00e+00 	Time: 0.76
epoch 2300:	pdl:8.82e-01 	 Rec:7.82e-04 	 Color:0.00e+00 	Time: 0.75
epoch 2350:	pdl:8.56e-01 	 Rec:1.14e-03 	 Color:0.00e+00 	Time: 0.76
epoch 2400:	pdl:7.02e-01 	 Rec:7.37e-04 	 Color:0.00e+00 	Time: 0.74
epoch 2450:	pdl:8.59e-01 	 Rec:6.91e-04 	 Color:0.00e+00 	Time: 0.71
epoch 2500:	pdl:7.19e-01 	 Rec:7.95e-04 	 Color:0.00e+00 	Time: 0.75
epoch 2550:	pdl:7.42e-01 	 Rec:7.63e-04 	 Color:0.00e+00 	Time: 0.71
epoch 2600:	pdl:7.98e-01 	 Rec:7.59e-04 	 Color:0.00e+00 	Time: 0.70
epoch 2650:	pdl:7.58e-01 	 Rec:6.95e-04 	 Color:0.00e+00 	Time: 0.75
epoch 2700:	pdl:9.19e-01 	 Rec:1.25e-03 	 Color:0.00e+00 	Time: 0.72
epoch 2750:	pdl:7.18e-01 	 Rec:6.79e-04 	 Color:0.00e+00 	Time: 0.76
epoch 2800:	pdl:6.33e-01 	 Rec:9.08e-04 	 Color:0.00e+00 	Time: 0.73
epoch 2850:	pdl:5.65e-01 	 Rec:7.34e-04 	 Color:0.00e+00 	Time: 0.74
epoch 2900:	pdl:7.19e-01 	 Rec:8.53e-04 	 Color:0.00e+00 	Time: 0.75
epoch 2950:	pdl:7.57e-01 	 Rec:9.69e-04 	 Color:0.00e+00 	Time: 0.72
epoch 3000:	pdl:9.78e-01 	 Rec:7.31e-04 	 Color:0.00e+00 	Time: 0.73
epoch 3050:	pdl:7.03e-01 	 Rec:6.60e-04 	 Color:0.00e+00 	Time: 0.73
epoch 3100:	pdl:6.72e-01 	 Rec:6.40e-04 	 Color:0.00e+00 	Time: 0.76
epoch 3150:	pdl:6.51e-01 	 Rec:7.25e-04 	 Color:0.00e+00 	Time: 0.74
epoch 3200:	pdl:7.23e-01 	 Rec:7.52e-04 	 Color:0.00e+00 	Time: 0.76
epoch 3250:	pdl:1.12e+00 	 Rec:1.08e-03 	 Color:0.00e+00 	Time: 0.73
epoch 3300:	pdl:5.56e-01 	 Rec:7.19e-04 	 Color:0.00e+00 	Time: 0.73
epoch 3350:	pdl:7.95e-01 	 Rec:6.92e-04 	 Color:0.00e+00 	Time: 0.72
epoch 3400:	pdl:7.10e-01 	 Rec:6.36e-04 	 Color:0.00e+00 	Time: 0.77
epoch 3450:	pdl:6.15e-01 	 Rec:6.99e-04 	 Color:0.00e+00 	Time: 0.79
epoch 3500:	pdl:6.35e-01 	 Rec:6.07e-04 	 Color:0.00e+00 	Time: 0.76
