epoch 0:	pdl:1.45e-01 	 Rec:2.70e-03 	 Color:1.32e-02 	Time: 0.02
epoch 50:	pdl:1.58e-01 	 Rec:1.66e-03 	 Color:1.31e-02 	Time: 1.80
epoch 100:	pdl:1.67e-01 	 Rec:1.37e-03 	 Color:1.35e-02 	Time: 1.74
epoch 150:	pdl:1.45e-01 	 Rec:1.44e-03 	 Color:1.44e-02 	Time: 1.77
epoch 200:	pdl:1.41e-01 	 Rec:1.30e-03 	 Color:1.33e-02 	Time: 1.77
epoch 250:	pdl:1.62e-01 	 Rec:1.19e-03 	 Color:1.42e-02 	Time: 1.77
epoch 300:	pdl:1.68e-01 	 Rec:1.25e-03 	 Color:1.57e-02 	Time: 1.76
epoch 350:	pdl:1.42e-01 	 Rec:1.05e-03 	 Color:1.40e-02 	Time: 1.74
epoch 400:	pdl:1.50e-01 	 Rec:1.03e-03 	 Color:1.51e-02 	Time: 1.76
epoch 450:	pdl:1.60e-01 	 Rec:9.38e-04 	 Color:1.59e-02 	Time: 1.74
epoch 500:	pdl:1.51e-01 	 Rec:1.03e-03 	 Color:1.34e-02 	Time: 1.73
epoch 550:	pdl:1.45e-01 	 Rec:9.68e-04 	 Color:1.32e-02 	Time: 1.72
epoch 600:	pdl:1.54e-01 	 Rec:8.75e-04 	 Color:1.45e-02 	Time: 1.77
epoch 650:	pdl:1.54e-01 	 Rec:9.80e-04 	 Color:1.60e-02 	Time: 1.72
epoch 700:	pdl:1.36e-01 	 Rec:8.23e-04 	 Color:1.20e-02 	Time: 1.73
epoch 750:	pdl:1.35e-01 	 Rec:8.26e-04 	 Color:1.16e-02 	Time: 1.75
epoch 800:	pdl:1.59e-01 	 Rec:8.89e-04 	 Color:1.70e-02 	Time: 1.77
epoch 850:	pdl:1.37e-01 	 Rec:8.09e-04 	 Color:1.23e-02 	Time: 1.72
epoch 900:	pdl:1.44e-01 	 Rec:8.05e-04 	 Color:1.27e-02 	Time: 1.75
epoch 950:	pdl:1.52e-01 	 Rec:7.83e-04 	 Color:1.60e-02 	Time: 1.74
epoch 1000:	pdl:1.52e-01 	 Rec:7.46e-04 	 Color:1.39e-02 	Time: 1.74
epoch 1050:	pdl:1.32e-01 	 Rec:7.47e-04 	 Color:1.25e-02 	Time: 1.75
epoch 1100:	pdl:1.61e-01 	 Rec:8.91e-04 	 Color:1.46e-02 	Time: 1.72
epoch 1150:	pdl:1.63e-01 	 Rec:8.08e-04 	 Color:1.90e-02 	Time: 1.74
epoch 1200:	pdl:1.54e-01 	 Rec:7.07e-04 	 Color:1.89e-02 	Time: 1.71
epoch 1250:	pdl:1.61e-01 	 Rec:7.22e-04 	 Color:1.46e-02 	Time: 1.75
epoch 1300:	pdl:1.35e-01 	 Rec:6.59e-04 	 Color:1.28e-02 	Time: 1.73
epoch 1350:	pdl:1.58e-01 	 Rec:6.76e-04 	 Color:1.67e-02 	Time: 1.76
epoch 1400:	pdl:1.62e-01 	 Rec:6.81e-04 	 Color:1.64e-02 	Time: 1.72
epoch 1450:	pdl:1.67e-01 	 Rec:7.42e-04 	 Color:1.63e-02 	Time: 1.74
epoch 1500:	pdl:1.83e-01 	 Rec:7.06e-04 	 Color:2.14e-02 	Time: 1.75
epoch 1550:	pdl:1.47e-01 	 Rec:6.54e-04 	 Color:1.28e-02 	Time: 1.71
