epoch 0:	pdl:5.43e-01 	 Rec:6.75e-03 	 Color:0.00e+00 	Time: 0.02
epoch 50:	pdl:5.09e-01 	 Rec:5.89e-03 	 Color:0.00e+00 	Time: 1.19
epoch 100:	pdl:4.89e-01 	 Rec:5.50e-03 	 Color:0.00e+00 	Time: 1.03
epoch 150:	pdl:5.04e-01 	 Rec:5.30e-03 	 Color:0.00e+00 	Time: 1.03
epoch 200:	pdl:5.10e-01 	 Rec:5.09e-03 	 Color:0.00e+00 	Time: 1.05
epoch 250:	pdl:4.78e-01 	 Rec:4.98e-03 	 Color:0.00e+00 	Time: 1.03
epoch 300:	pdl:4.55e-01 	 Rec:4.73e-03 	 Color:0.00e+00 	Time: 1.05
epoch 350:	pdl:4.64e-01 	 Rec:4.77e-03 	 Color:0.00e+00 	Time: 1.03
epoch 400:	pdl:4.88e-01 	 Rec:4.78e-03 	 Color:0.00e+00 	Time: 1.05
epoch 450:	pdl:5.25e-01 	 Rec:4.58e-03 	 Color:0.00e+00 	Time: 1.04
epoch 500:	pdl:5.16e-01 	 Rec:4.81e-03 	 Color:0.00e+00 	Time: 1.05
epoch 550:	pdl:4.77e-01 	 Rec:4.48e-03 	 Color:0.00e+00 	Time: 1.01
epoch 600:	pdl:4.80e-01 	 Rec:4.43e-03 	 Color:0.00e+00 	Time: 1.06
epoch 650:	pdl:4.54e-01 	 Rec:4.47e-03 	 Color:0.00e+00 	Time: 1.01
epoch 700:	pdl:5.15e-01 	 Rec:4.33e-03 	 Color:0.00e+00 	Time: 1.00
epoch 750:	pdl:4.85e-01 	 Rec:4.37e-03 	 Color:0.00e+00 	Time: 1.03
epoch 800:	pdl:5.05e-01 	 Rec:4.25e-03 	 Color:0.00e+00 	Time: 1.05
epoch 850:	pdl:4.67e-01 	 Rec:4.40e-03 	 Color:0.00e+00 	Time: 1.01
epoch 900:	pdl:4.90e-01 	 Rec:4.22e-03 	 Color:0.00e+00 	Time: 1.07
epoch 950:	pdl:4.96e-01 	 Rec:4.24e-03 	 Color:0.00e+00 	Time: 1.02
epoch 1000:	pdl:4.89e-01 	 Rec:4.19e-03 	 Color:0.00e+00 	Time: 1.03
epoch 1050:	pdl:5.21e-01 	 Rec:4.15e-03 	 Color:0.00e+00 	Time: 1.05
epoch 1100:	pdl:5.23e-01 	 Rec:4.05e-03 	 Color:0.00e+00 	Time: 1.01
epoch 1150:	pdl:4.95e-01 	 Rec:4.01e-03 	 Color:0.00e+00 	Time: 1.04
epoch 1200:	pdl:4.79e-01 	 Rec:4.00e-03 	 Color:0.00e+00 	Time: 1.04
epoch 1250:	pdl:4.69e-01 	 Rec:4.02e-03 	 Color:0.00e+00 	Time: 1.08
epoch 1300:	pdl:4.90e-01 	 Rec:4.01e-03 	 Color:0.00e+00 	Time: 1.03
epoch 1350:	pdl:4.86e-01 	 Rec:4.03e-03 	 Color:0.00e+00 	Time: 1.03
epoch 1400:	pdl:4.98e-01 	 Rec:4.00e-03 	 Color:0.00e+00 	Time: 1.02
epoch 1450:	pdl:5.32e-01 	 Rec:4.00e-03 	 Color:0.00e+00 	Time: 1.04
epoch 1500:	pdl:4.60e-01 	 Rec:3.94e-03 	 Color:0.00e+00 	Time: 1.03
epoch 1550:	pdl:4.99e-01 	 Rec:3.95e-03 	 Color:0.00e+00 	Time: 1.05
epoch 1600:	pdl:4.53e-01 	 Rec:3.81e-03 	 Color:0.00e+00 	Time: 1.01
epoch 1650:	pdl:4.86e-01 	 Rec:3.81e-03 	 Color:0.00e+00 	Time: 1.01
epoch 1700:	pdl:5.00e-01 	 Rec:3.75e-03 	 Color:0.00e+00 	Time: 1.01
epoch 1750:	pdl:4.53e-01 	 Rec:3.78e-03 	 Color:0.00e+00 	Time: 1.04
epoch 1800:	pdl:4.86e-01 	 Rec:3.76e-03 	 Color:0.00e+00 	Time: 1.01
epoch 1850:	pdl:4.67e-01 	 Rec:3.68e-03 	 Color:0.00e+00 	Time: 1.03
epoch 1900:	pdl:4.60e-01 	 Rec:3.68e-03 	 Color:0.00e+00 	Time: 1.01
epoch 1950:	pdl:4.45e-01 	 Rec:3.71e-03 	 Color:0.00e+00 	Time: 1.05
epoch 2000:	pdl:4.94e-01 	 Rec:3.65e-03 	 Color:0.00e+00 	Time: 1.01
epoch 2050:	pdl:4.78e-01 	 Rec:3.67e-03 	 Color:0.00e+00 	Time: 1.02
epoch 2100:	pdl:4.72e-01 	 Rec:3.68e-03 	 Color:0.00e+00 	Time: 1.01
epoch 2150:	pdl:4.92e-01 	 Rec:3.64e-03 	 Color:0.00e+00 	Time: 1.04
epoch 2200:	pdl:4.96e-01 	 Rec:3.60e-03 	 Color:0.00e+00 	Time: 1.06
epoch 2250:	pdl:5.24e-01 	 Rec:3.58e-03 	 Color:0.00e+00 	Time: 1.03
epoch 2300:	pdl:4.73e-01 	 Rec:3.58e-03 	 Color:0.00e+00 	Time: 1.01
epoch 2350:	pdl:4.89e-01 	 Rec:3.64e-03 	 Color:0.00e+00 	Time: 1.06
epoch 2400:	pdl:4.89e-01 	 Rec:3.58e-03 	 Color:0.00e+00 	Time: 1.04
epoch 2450:	pdl:4.82e-01 	 Rec:3.53e-03 	 Color:0.00e+00 	Time: 1.04
epoch 2500:	pdl:4.72e-01 	 Rec:3.58e-03 	 Color:0.00e+00 	Time: 1.00
epoch 2550:	pdl:4.94e-01 	 Rec:3.51e-03 	 Color:0.00e+00 	Time: 1.03
epoch 2600:	pdl:4.89e-01 	 Rec:3.51e-03 	 Color:0.00e+00 	Time: 1.00
epoch 2650:	pdl:4.79e-01 	 Rec:3.44e-03 	 Color:0.00e+00 	Time: 1.00
epoch 2700:	pdl:4.91e-01 	 Rec:3.45e-03 	 Color:0.00e+00 	Time: 1.02
epoch 2750:	pdl:4.67e-01 	 Rec:3.47e-03 	 Color:0.00e+00 	Time: 1.00
epoch 2800:	pdl:4.74e-01 	 Rec:3.45e-03 	 Color:0.00e+00 	Time: 1.00
epoch 2850:	pdl:4.91e-01 	 Rec:3.37e-03 	 Color:0.00e+00 	Time: 1.03
epoch 2900:	pdl:4.54e-01 	 Rec:3.44e-03 	 Color:0.00e+00 	Time: 1.02
epoch 2950:	pdl:4.81e-01 	 Rec:3.35e-03 	 Color:0.00e+00 	Time: 1.01
epoch 3000:	pdl:5.01e-01 	 Rec:3.44e-03 	 Color:0.00e+00 	Time: 1.00
epoch 3050:	pdl:5.12e-01 	 Rec:3.34e-03 	 Color:0.00e+00 	Time: 1.03
epoch 3100:	pdl:4.98e-01 	 Rec:3.44e-03 	 Color:0.00e+00 	Time: 1.00
epoch 3150:	pdl:4.81e-01 	 Rec:3.46e-03 	 Color:0.00e+00 	Time: 1.03
epoch 3200:	pdl:4.81e-01 	 Rec:3.30e-03 	 Color:0.00e+00 	Time: 1.00
epoch 3250:	pdl:4.75e-01 	 Rec:3.33e-03 	 Color:0.00e+00 	Time: 1.02
epoch 3300:	pdl:5.12e-01 	 Rec:3.34e-03 	 Color:0.00e+00 	Time: 1.01
epoch 3350:	pdl:4.39e-01 	 Rec:3.35e-03 	 Color:0.00e+00 	Time: 1.03
epoch 3400:	pdl:4.88e-01 	 Rec:3.29e-03 	 Color:0.00e+00 	Time: 1.01
epoch 3450:	pdl:4.96e-01 	 Rec:3.32e-03 	 Color:0.00e+00 	Time: 1.02
epoch 3500:	pdl:4.63e-01 	 Rec:3.28e-03 	 Color:0.00e+00 	Time: 1.02
epoch 3550:	pdl:5.17e-01 	 Rec:3.21e-03 	 Color:0.00e+00 	Time: 1.01
epoch 3600:	pdl:4.84e-01 	 Rec:3.30e-03 	 Color:0.00e+00 	Time: 1.01
epoch 3650:	pdl:4.83e-01 	 Rec:3.16e-03 	 Color:0.00e+00 	Time: 1.03
epoch 3700:	pdl:4.75e-01 	 Rec:3.30e-03 	 Color:0.00e+00 	Time: 1.04
