epoch 0:	pdl:1.30e+00 	 Rec:1.09e-01 	 Color:8.42e-02 	Time: 0.03
epoch 50:	pdl:4.66e-01 	 Rec:1.41e-02 	 Color:5.93e-02 	Time: 0.91
epoch 100:	pdl:4.67e-01 	 Rec:9.01e-03 	 Color:5.97e-02 	Time: 0.91
epoch 150:	pdl:4.11e-01 	 Rec:6.50e-03 	 Color:6.09e-02 	Time: 0.92
epoch 200:	pdl:3.89e-01 	 Rec:4.78e-03 	 Color:5.03e-02 	Time: 0.91
epoch 250:	pdl:4.34e-01 	 Rec:3.97e-03 	 Color:5.63e-02 	Time: 0.90
epoch 300:	pdl:3.89e-01 	 Rec:3.20e-03 	 Color:5.27e-02 	Time: 0.91
epoch 350:	pdl:4.32e-01 	 Rec:2.56e-03 	 Color:5.36e-02 	Time: 0.90
epoch 400:	pdl:4.24e-01 	 Rec:2.26e-03 	 Color:5.65e-02 	Time: 0.92
epoch 450:	pdl:4.15e-01 	 Rec:1.94e-03 	 Color:5.70e-02 	Time: 0.90
epoch 500:	pdl:4.07e-01 	 Rec:1.66e-03 	 Color:4.78e-02 	Time: 0.92
epoch 550:	pdl:4.41e-01 	 Rec:1.48e-03 	 Color:5.74e-02 	Time: 0.92
epoch 600:	pdl:4.37e-01 	 Rec:1.48e-03 	 Color:5.82e-02 	Time: 0.93
epoch 650:	pdl:4.11e-01 	 Rec:1.22e-03 	 Color:5.57e-02 	Time: 0.92
epoch 700:	pdl:4.32e-01 	 Rec:1.18e-03 	 Color:5.81e-02 	Time: 0.90
epoch 750:	pdl:4.34e-01 	 Rec:1.13e-03 	 Color:5.61e-02 	Time: 0.91
epoch 800:	pdl:4.22e-01 	 Rec:1.11e-03 	 Color:5.74e-02 	Time: 0.92
epoch 850:	pdl:4.27e-01 	 Rec:7.36e-04 	 Color:5.22e-02 	Time: 0.91
epoch 900:	pdl:4.03e-01 	 Rec:7.71e-04 	 Color:5.12e-02 	Time: 0.90
epoch 950:	pdl:3.81e-01 	 Rec:7.17e-04 	 Color:5.21e-02 	Time: 0.91
epoch 1000:	pdl:3.78e-01 	 Rec:6.80e-04 	 Color:5.23e-02 	Time: 0.91
