epoch 0:	pdl:4.05e-01 	 Rec:4.64e-03 	 Color:4.42e-02 	Time: 0.02
epoch 50:	pdl:3.68e-01 	 Rec:2.71e-03 	 Color:4.29e-02 	Time: 1.13
epoch 100:	pdl:3.35e-01 	 Rec:2.49e-03 	 Color:4.22e-02 	Time: 1.07
epoch 150:	pdl:3.56e-01 	 Rec:2.17e-03 	 Color:4.26e-02 	Time: 1.02
epoch 200:	pdl:3.47e-01 	 Rec:2.02e-03 	 Color:4.30e-02 	Time: 1.02
epoch 250:	pdl:3.76e-01 	 Rec:1.85e-03 	 Color:4.43e-02 	Time: 1.02
epoch 300:	pdl:3.37e-01 	 Rec:1.67e-03 	 Color:4.26e-02 	Time: 1.02
epoch 350:	pdl:3.87e-01 	 Rec:1.61e-03 	 Color:4.43e-02 	Time: 1.02
epoch 400:	pdl:4.02e-01 	 Rec:1.49e-03 	 Color:4.62e-02 	Time: 0.99
epoch 450:	pdl:3.35e-01 	 Rec:1.41e-03 	 Color:4.38e-02 	Time: 1.01
epoch 500:	pdl:3.54e-01 	 Rec:1.34e-03 	 Color:4.45e-02 	Time: 1.04
epoch 550:	pdl:3.61e-01 	 Rec:1.36e-03 	 Color:4.26e-02 	Time: 1.02
epoch 600:	pdl:3.38e-01 	 Rec:1.27e-03 	 Color:4.25e-02 	Time: 1.02
epoch 650:	pdl:3.53e-01 	 Rec:1.31e-03 	 Color:4.21e-02 	Time: 1.02
epoch 700:	pdl:3.76e-01 	 Rec:1.16e-03 	 Color:4.35e-02 	Time: 1.02
epoch 750:	pdl:3.44e-01 	 Rec:1.17e-03 	 Color:4.68e-02 	Time: 1.02
epoch 800:	pdl:3.61e-01 	 Rec:1.05e-03 	 Color:4.49e-02 	Time: 1.02
epoch 850:	pdl:3.58e-01 	 Rec:1.13e-03 	 Color:4.22e-02 	Time: 1.02
epoch 900:	pdl:3.71e-01 	 Rec:1.14e-03 	 Color:4.12e-02 	Time: 1.07
epoch 950:	pdl:3.46e-01 	 Rec:9.99e-04 	 Color:4.58e-02 	Time: 1.03
epoch 1000:	pdl:3.51e-01 	 Rec:1.04e-03 	 Color:4.08e-02 	Time: 1.04
epoch 1050:	pdl:3.78e-01 	 Rec:9.52e-04 	 Color:4.89e-02 	Time: 1.03
epoch 1100:	pdl:4.07e-01 	 Rec:9.86e-04 	 Color:4.37e-02 	Time: 1.02
epoch 1150:	pdl:3.72e-01 	 Rec:8.72e-04 	 Color:4.42e-02 	Time: 1.05
epoch 1200:	pdl:3.89e-01 	 Rec:8.87e-04 	 Color:4.42e-02 	Time: 1.01
epoch 1250:	pdl:3.74e-01 	 Rec:8.78e-04 	 Color:4.68e-02 	Time: 1.00
epoch 1300:	pdl:3.36e-01 	 Rec:9.65e-04 	 Color:4.05e-02 	Time: 1.08
epoch 1350:	pdl:3.41e-01 	 Rec:8.05e-04 	 Color:4.37e-02 	Time: 1.02
epoch 1400:	pdl:3.34e-01 	 Rec:8.70e-04 	 Color:4.10e-02 	Time: 1.02
epoch 1450:	pdl:3.66e-01 	 Rec:8.10e-04 	 Color:4.93e-02 	Time: 1.02
epoch 1500:	pdl:3.84e-01 	 Rec:7.70e-04 	 Color:4.70e-02 	Time: 1.03
epoch 1550:	pdl:3.60e-01 	 Rec:7.66e-04 	 Color:4.25e-02 	Time: 1.05
epoch 1600:	pdl:3.39e-01 	 Rec:8.06e-04 	 Color:4.07e-02 	Time: 1.02
epoch 1650:	pdl:3.71e-01 	 Rec:7.84e-04 	 Color:4.55e-02 	Time: 1.04
epoch 1700:	pdl:3.51e-01 	 Rec:6.95e-04 	 Color:4.53e-02 	Time: 1.04
epoch 1750:	pdl:3.61e-01 	 Rec:6.91e-04 	 Color:4.20e-02 	Time: 1.04
epoch 1800:	pdl:3.30e-01 	 Rec:7.41e-04 	 Color:4.00e-02 	Time: 1.04
epoch 1850:	pdl:3.52e-01 	 Rec:6.82e-04 	 Color:4.52e-02 	Time: 1.06
epoch 1900:	pdl:3.34e-01 	 Rec:6.75e-04 	 Color:4.62e-02 	Time: 1.09
epoch 1950:	pdl:3.77e-01 	 Rec:6.38e-04 	 Color:4.70e-02 	Time: 1.04
epoch 2000:	pdl:3.40e-01 	 Rec:6.52e-04 	 Color:4.66e-02 	Time: 1.03
epoch 2050:	pdl:3.52e-01 	 Rec:6.60e-04 	 Color:4.50e-02 	Time: 1.02
epoch 2100:	pdl:3.61e-01 	 Rec:6.11e-04 	 Color:4.61e-02 	Time: 1.02
epoch 2150:	pdl:3.44e-01 	 Rec:5.97e-04 	 Color:4.40e-02 	Time: 1.02
