epoch 0:	pdl:1.81e-01 	 Rec:5.57e-03 	 Color:8.24e-02 	Time: 0.02
epoch 50:	pdl:1.85e-01 	 Rec:2.09e-03 	 Color:8.05e-02 	Time: 1.73
epoch 100:	pdl:1.73e-01 	 Rec:1.51e-03 	 Color:8.21e-02 	Time: 1.73
epoch 150:	pdl:1.69e-01 	 Rec:1.17e-03 	 Color:7.19e-02 	Time: 1.48
epoch 200:	pdl:1.69e-01 	 Rec:9.64e-04 	 Color:7.71e-02 	Time: 1.34
epoch 250:	pdl:1.58e-01 	 Rec:7.92e-04 	 Color:7.68e-02 	Time: 1.43
epoch 300:	pdl:1.54e-01 	 Rec:6.83e-04 	 Color:6.72e-02 	Time: 0.97
epoch 350:	pdl:1.60e-01 	 Rec:6.44e-04 	 Color:7.53e-02 	Time: 0.93
epoch 400:	pdl:1.55e-01 	 Rec:5.67e-04 	 Color:7.76e-02 	Time: 0.98
epoch 450:	pdl:1.64e-01 	 Rec:5.02e-04 	 Color:7.40e-02 	Time: 0.96
epoch 500:	pdl:1.70e-01 	 Rec:4.83e-04 	 Color:8.04e-02 	Time: 1.02
epoch 550:	pdl:1.62e-01 	 Rec:4.79e-04 	 Color:7.99e-02 	Time: 1.02
epoch 600:	pdl:1.81e-01 	 Rec:4.50e-04 	 Color:7.70e-02 	Time: 0.92
epoch 650:	pdl:1.91e-01 	 Rec:5.04e-04 	 Color:7.32e-02 	Time: 0.90
epoch 700:	pdl:1.71e-01 	 Rec:4.25e-04 	 Color:7.74e-02 	Time: 1.16
epoch 750:	pdl:1.84e-01 	 Rec:4.34e-04 	 Color:7.58e-02 	Time: 0.97
epoch 800:	pdl:1.58e-01 	 Rec:3.76e-04 	 Color:7.58e-02 	Time: 0.89
epoch 850:	pdl:1.57e-01 	 Rec:3.41e-04 	 Color:7.51e-02 	Time: 0.88
epoch 900:	pdl:1.70e-01 	 Rec:3.49e-04 	 Color:8.69e-02 	Time: 0.87
epoch 950:	pdl:1.69e-01 	 Rec:3.30e-04 	 Color:7.49e-02 	Time: 0.90
epoch 1000:	pdl:1.54e-01 	 Rec:3.32e-04 	 Color:6.98e-02 	Time: 1.04
epoch 1050:	pdl:1.64e-01 	 Rec:3.16e-04 	 Color:7.42e-02 	Time: 1.14
epoch 1100:	pdl:1.62e-01 	 Rec:2.45e-04 	 Color:7.44e-02 	Time: 1.03
epoch 1150:	pdl:1.53e-01 	 Rec:2.53e-04 	 Color:7.61e-02 	Time: 1.09
epoch 1200:	pdl:1.70e-01 	 Rec:2.63e-04 	 Color:7.65e-02 	Time: 1.18
epoch 1250:	pdl:1.85e-01 	 Rec:3.11e-04 	 Color:7.67e-02 	Time: 1.11
epoch 1300:	pdl:1.65e-01 	 Rec:2.29e-04 	 Color:7.15e-02 	Time: 1.21
epoch 1350:	pdl:1.62e-01 	 Rec:2.60e-04 	 Color:7.55e-02 	Time: 1.23
epoch 1400:	pdl:1.51e-01 	 Rec:2.04e-04 	 Color:7.53e-02 	Time: 1.24
epoch 1450:	pdl:1.47e-01 	 Rec:2.23e-04 	 Color:6.86e-02 	Time: 1.22
epoch 1500:	pdl:1.48e-01 	 Rec:2.52e-04 	 Color:7.28e-02 	Time: 1.21
epoch 1550:	pdl:1.58e-01 	 Rec:2.31e-04 	 Color:7.65e-02 	Time: 1.21
epoch 1600:	pdl:1.57e-01 	 Rec:2.17e-04 	 Color:7.53e-02 	Time: 1.21
epoch 1650:	pdl:1.68e-01 	 Rec:2.60e-04 	 Color:7.49e-02 	Time: 1.23
epoch 1700:	pdl:1.49e-01 	 Rec:1.75e-04 	 Color:7.26e-02 	Time: 1.23
epoch 1750:	pdl:1.62e-01 	 Rec:1.95e-04 	 Color:7.97e-02 	Time: 1.22
epoch 1800:	pdl:1.61e-01 	 Rec:2.01e-04 	 Color:7.67e-02 	Time: 1.23
epoch 1850:	pdl:1.74e-01 	 Rec:1.91e-04 	 Color:7.84e-02 	Time: 1.23
epoch 1900:	pdl:1.68e-01 	 Rec:1.70e-04 	 Color:7.89e-02 	Time: 1.23
