epoch 0:	pdl:9.50e-02 	 Rec:7.58e-03 	 Color:0.00e+00 	Time: 0.02
epoch 50:	pdl:8.50e-02 	 Rec:3.85e-03 	 Color:0.00e+00 	Time: 1.16
epoch 100:	pdl:8.32e-02 	 Rec:3.08e-03 	 Color:0.00e+00 	Time: 1.05
epoch 150:	pdl:9.34e-02 	 Rec:2.78e-03 	 Color:0.00e+00 	Time: 1.07
epoch 200:	pdl:1.07e-01 	 Rec:2.62e-03 	 Color:0.00e+00 	Time: 1.06
epoch 250:	pdl:1.04e-01 	 Rec:2.46e-03 	 Color:0.00e+00 	Time: 1.07
epoch 300:	pdl:1.01e-01 	 Rec:2.19e-03 	 Color:0.00e+00 	Time: 1.08
epoch 350:	pdl:1.00e-01 	 Rec:1.86e-03 	 Color:0.00e+00 	Time: 1.06
epoch 400:	pdl:9.44e-02 	 Rec:1.77e-03 	 Color:0.00e+00 	Time: 1.05
epoch 450:	pdl:8.38e-02 	 Rec:1.62e-03 	 Color:0.00e+00 	Time: 1.06
epoch 500:	pdl:9.44e-02 	 Rec:1.59e-03 	 Color:0.00e+00 	Time: 1.07
epoch 550:	pdl:9.59e-02 	 Rec:1.41e-03 	 Color:0.00e+00 	Time: 1.08
epoch 600:	pdl:1.01e-01 	 Rec:1.46e-03 	 Color:0.00e+00 	Time: 1.08
epoch 650:	pdl:9.26e-02 	 Rec:1.49e-03 	 Color:0.00e+00 	Time: 1.07
epoch 700:	pdl:1.02e-01 	 Rec:1.35e-03 	 Color:0.00e+00 	Time: 1.06
epoch 750:	pdl:8.83e-02 	 Rec:1.32e-03 	 Color:0.00e+00 	Time: 1.07
epoch 800:	pdl:8.11e-02 	 Rec:1.22e-03 	 Color:0.00e+00 	Time: 1.07
epoch 850:	pdl:8.65e-02 	 Rec:1.27e-03 	 Color:0.00e+00 	Time: 1.07
epoch 900:	pdl:9.34e-02 	 Rec:1.05e-03 	 Color:0.00e+00 	Time: 1.06
epoch 950:	pdl:9.49e-02 	 Rec:1.12e-03 	 Color:0.00e+00 	Time: 1.07
epoch 1000:	pdl:9.46e-02 	 Rec:1.26e-03 	 Color:0.00e+00 	Time: 1.07
epoch 1050:	pdl:9.33e-02 	 Rec:1.25e-03 	 Color:0.00e+00 	Time: 1.08
epoch 1100:	pdl:8.56e-02 	 Rec:1.10e-03 	 Color:0.00e+00 	Time: 1.06
epoch 1150:	pdl:8.87e-02 	 Rec:9.77e-04 	 Color:0.00e+00 	Time: 1.07
epoch 1200:	pdl:8.80e-02 	 Rec:1.03e-03 	 Color:0.00e+00 	Time: 1.07
epoch 1250:	pdl:7.92e-02 	 Rec:9.83e-04 	 Color:0.00e+00 	Time: 1.07
epoch 1300:	pdl:7.96e-02 	 Rec:9.66e-04 	 Color:0.00e+00 	Time: 1.07
