epoch 0:	pdl:1083032.50 	 Rec:344546.84 	Time: 0.02
epoch 50:	pdl:513304.12 	 Rec:84487.59 	Time: 0.83
epoch 100:	pdl:372500.53 	 Rec:38281.25 	Time: 0.75
epoch 150:	pdl:357617.09 	 Rec:44490.34 	Time: 0.75
epoch 200:	pdl:218570.78 	 Rec:30090.92 	Time: 0.74
epoch 250:	pdl:247583.70 	 Rec:34697.56 	Time: 0.74
epoch 300:	pdl:289663.91 	 Rec:32903.51 	Time: 0.74
epoch 350:	pdl:255053.77 	 Rec:30932.04 	Time: 0.86
epoch 400:	pdl:337268.25 	 Rec:30592.96 	Time: 0.76
epoch 450:	pdl:293775.38 	 Rec:32827.16 	Time: 0.76
epoch 500:	pdl:277978.56 	 Rec:29832.60 	Time: 0.75
epoch 550:	pdl:242089.36 	 Rec:28162.70 	Time: 0.79
epoch 600:	pdl:258283.84 	 Rec:28954.63 	Time: 0.98
epoch 650:	pdl:230341.77 	 Rec:25947.92 	Time: 0.93
epoch 700:	pdl:211536.17 	 Rec:26778.88 	Time: 0.76
epoch 750:	pdl:215948.25 	 Rec:26427.32 	Time: 0.72
epoch 800:	pdl:204327.64 	 Rec:26144.31 	Time: 0.83
epoch 850:	pdl:289728.72 	 Rec:26293.73 	Time: 0.87
epoch 900:	pdl:237667.83 	 Rec:26367.06 	Time: 0.98
epoch 950:	pdl:190762.23 	 Rec:26641.34 	Time: 0.90
epoch 1000:	pdl:243089.95 	 Rec:26661.05 	Time: 0.94
epoch 1050:	pdl:225348.78 	 Rec:26328.73 	Time: 0.89
epoch 1100:	pdl:205281.12 	 Rec:26372.82 	Time: 0.84
epoch 1150:	pdl:245333.81 	 Rec:26331.33 	Time: 0.81
epoch 1200:	pdl:223707.12 	 Rec:26208.94 	Time: 0.88
epoch 1250:	pdl:204974.41 	 Rec:26038.27 	Time: 0.79
epoch 1300:	pdl:224544.97 	 Rec:26075.10 	Time: 0.94
epoch 1350:	pdl:222837.45 	 Rec:25785.97 	Time: 0.98
epoch 1400:	pdl:188458.23 	 Rec:25897.44 	Time: 0.91
epoch 1450:	pdl:218589.16 	 Rec:25916.19 	Time: 0.98
epoch 1500:	pdl:275307.06 	 Rec:26369.83 	Time: 0.96
epoch 1550:	pdl:253258.67 	 Rec:25890.34 	Time: 0.89
epoch 1600:	pdl:280179.72 	 Rec:25647.38 	Time: 0.87
epoch 1650:	pdl:212941.89 	 Rec:25502.69 	Time: 0.86
epoch 1700:	pdl:226011.98 	 Rec:25477.02 	Time: 0.94
epoch 1750:	pdl:213622.56 	 Rec:25671.87 	Time: 0.91
epoch 1800:	pdl:237087.70 	 Rec:25592.17 	Time: 0.92
epoch 1850:	pdl:235374.81 	 Rec:25784.75 	Time: 0.97
epoch 1900:	pdl:214069.36 	 Rec:25509.02 	Time: 0.82
epoch 1950:	pdl:241221.91 	 Rec:25457.16 	Time: 0.81
epoch 2000:	pdl:191572.31 	 Rec:25451.20 	Time: 0.84
epoch 2050:	pdl:210396.00 	 Rec:25456.91 	Time: 0.81
epoch 2100:	pdl:211940.53 	 Rec:25479.30 	Time: 0.79
epoch 2150:	pdl:218648.09 	 Rec:25478.78 	Time: 0.80
epoch 2200:	pdl:251127.25 	 Rec:25390.18 	Time: 0.79
epoch 2250:	pdl:292126.09 	 Rec:25505.37 	Time: 0.81
epoch 2300:	pdl:219215.38 	 Rec:25471.89 	Time: 0.90
epoch 2350:	pdl:204514.39 	 Rec:25514.73 	Time: 0.81
epoch 2400:	pdl:264004.69 	 Rec:25485.34 	Time: 0.77
epoch 2450:	pdl:235342.22 	 Rec:25700.11 	Time: 0.74
epoch 2500:	pdl:241474.00 	 Rec:25808.01 	Time: 0.73
epoch 2550:	pdl:248819.70 	 Rec:25526.80 	Time: 0.73
epoch 2600:	pdl:220276.03 	 Rec:25825.36 	Time: 0.72
epoch 2650:	pdl:192079.16 	 Rec:25757.55 	Time: 0.74
epoch 2700:	pdl:202672.53 	 Rec:25715.39 	Time: 0.81
epoch 2750:	pdl:340009.00 	 Rec:25665.22 	Time: 0.85
epoch 2800:	pdl:206993.05 	 Rec:25631.60 	Time: 0.75
epoch 2850:	pdl:201237.31 	 Rec:25659.25 	Time: 0.80
epoch 2900:	pdl:198928.47 	 Rec:25672.44 	Time: 0.75
epoch 2950:	pdl:224947.95 	 Rec:25633.04 	Time: 0.82
epoch 3000:	pdl:197704.09 	 Rec:25627.05 	Time: 0.76
epoch 3050:	pdl:210902.17 	 Rec:25634.40 	Time: 0.76
epoch 3100:	pdl:202725.16 	 Rec:25659.22 	Time: 0.75
epoch 3150:	pdl:213969.06 	 Rec:25631.08 	Time: 0.73
epoch 3200:	pdl:223586.38 	 Rec:25599.54 	Time: 0.73
epoch 3250:	pdl:278135.28 	 Rec:25554.88 	Time: 0.73
epoch 3300:	pdl:222320.17 	 Rec:25547.19 	Time: 0.74
epoch 3350:	pdl:222888.52 	 Rec:25529.34 	Time: 0.75
epoch 3400:	pdl:242429.45 	 Rec:25522.85 	Time: 0.74
epoch 3450:	pdl:235317.88 	 Rec:25526.79 	Time: 0.74
epoch 3500:	pdl:248136.06 	 Rec:25511.27 	Time: 0.74
epoch 3550:	pdl:209887.02 	 Rec:25478.62 	Time: 0.73
epoch 3600:	pdl:218304.89 	 Rec:25475.98 	Time: 0.74
epoch 3650:	pdl:203576.44 	 Rec:25472.89 	Time: 0.74
epoch 3700:	pdl:239980.66 	 Rec:25454.36 	Time: 0.74
epoch 3750:	pdl:246473.56 	 Rec:25439.24 	Time: 0.74
epoch 3800:	pdl:195856.28 	 Rec:25483.05 	Time: 0.74
epoch 3850:	pdl:237941.30 	 Rec:25477.71 	Time: 0.74
epoch 3900:	pdl:207035.81 	 Rec:25440.04 	Time: 0.74
epoch 3950:	pdl:220080.09 	 Rec:25457.09 	Time: 0.75
epoch 4000:	pdl:289926.94 	 Rec:25450.01 	Time: 0.74
epoch 4050:	pdl:205746.91 	 Rec:25486.47 	Time: 0.77
epoch 4100:	pdl:203471.69 	 Rec:25453.47 	Time: 0.74
epoch 4150:	pdl:255054.84 	 Rec:25514.95 	Time: 0.74
epoch 4200:	pdl:219352.56 	 Rec:25539.66 	Time: 0.74
epoch 4250:	pdl:200934.27 	 Rec:25450.21 	Time: 0.74
epoch 4300:	pdl:198286.98 	 Rec:25483.39 	Time: 0.72
epoch 4350:	pdl:205994.34 	 Rec:25535.07 	Time: 0.72
epoch 4400:	pdl:214141.73 	 Rec:25509.60 	Time: 0.72
epoch 4450:	pdl:214760.98 	 Rec:25529.75 	Time: 0.72
epoch 4500:	pdl:230822.38 	 Rec:25500.51 	Time: 0.72
epoch 4550:	pdl:205110.06 	 Rec:25460.05 	Time: 0.73
epoch 4600:	pdl:199068.47 	 Rec:25461.47 	Time: 0.72
epoch 4650:	pdl:224004.66 	 Rec:25469.04 	Time: 0.72
epoch 4700:	pdl:219825.42 	 Rec:25513.13 	Time: 0.72
epoch 4750:	pdl:203624.52 	 Rec:25525.86 	Time: 0.72
epoch 4800:	pdl:226332.58 	 Rec:25481.63 	Time: 0.77
epoch 4850:	pdl:209818.28 	 Rec:25481.91 	Time: 0.74
epoch 4900:	pdl:227036.12 	 Rec:25441.33 	Time: 0.72
epoch 4950:	pdl:217668.16 	 Rec:25464.50 	Time: 0.72
epoch 5000:	pdl:256642.38 	 Rec:25441.33 	Time: 0.72
epoch 5050:	pdl:204172.62 	 Rec:25511.85 	Time: 0.72
epoch 5100:	pdl:243540.84 	 Rec:25571.16 	Time: 0.72
epoch 5150:	pdl:241582.25 	 Rec:25585.37 	Time: 0.73
epoch 5200:	pdl:216949.33 	 Rec:25543.50 	Time: 0.72
epoch 5250:	pdl:238580.34 	 Rec:25500.15 	Time: 0.73
epoch 5300:	pdl:196871.78 	 Rec:25515.09 	Time: 0.72
epoch 5350:	pdl:196941.38 	 Rec:25571.32 	Time: 0.72
epoch 5400:	pdl:262678.50 	 Rec:25509.36 	Time: 0.72
epoch 5450:	pdl:209567.56 	 Rec:25506.55 	Time: 0.82
epoch 5500:	pdl:218182.94 	 Rec:25540.70 	Time: 0.74
epoch 5550:	pdl:209190.22 	 Rec:25537.58 	Time: 0.75
epoch 5600:	pdl:216995.31 	 Rec:25489.44 	Time: 0.91
epoch 5650:	pdl:229707.78 	 Rec:25500.58 	Time: 0.95
epoch 5700:	pdl:203944.98 	 Rec:25456.26 	Time: 0.84
epoch 5750:	pdl:229463.61 	 Rec:25443.35 	Time: 0.80
epoch 5800:	pdl:212087.78 	 Rec:25498.09 	Time: 0.89
epoch 5850:	pdl:201622.67 	 Rec:25442.99 	Time: 0.96
epoch 5900:	pdl:204591.53 	 Rec:25419.18 	Time: 0.95
epoch 5950:	pdl:219863.72 	 Rec:25363.93 	Time: 0.94
