epoch 0:	pdl:159147.47 	 Rec:150340.91 	Time: 0.01
epoch 50:	pdl:83744.47 	 Rec:9830.13 	Time: 0.61
epoch 100:	pdl:91095.40 	 Rec:9300.50 	Time: 0.52
epoch 150:	pdl:87459.18 	 Rec:9981.23 	Time: 0.46
epoch 200:	pdl:73211.49 	 Rec:7071.02 	Time: 0.48
epoch 250:	pdl:85956.91 	 Rec:6764.57 	Time: 0.45
epoch 300:	pdl:75489.61 	 Rec:6891.56 	Time: 0.51
epoch 350:	pdl:82563.07 	 Rec:6420.87 	Time: 0.45
epoch 400:	pdl:75394.20 	 Rec:7185.34 	Time: 0.45
epoch 450:	pdl:73375.92 	 Rec:5933.14 	Time: 0.47
epoch 500:	pdl:72903.02 	 Rec:5859.91 	Time: 0.44
epoch 550:	pdl:76639.33 	 Rec:5598.26 	Time: 0.44
epoch 600:	pdl:77593.08 	 Rec:5261.63 	Time: 0.44
epoch 650:	pdl:71734.53 	 Rec:4563.27 	Time: 0.44
epoch 700:	pdl:67148.66 	 Rec:4577.74 	Time: 0.44
epoch 750:	pdl:71427.88 	 Rec:4434.55 	Time: 0.44
epoch 800:	pdl:70194.55 	 Rec:4418.11 	Time: 0.44
epoch 850:	pdl:67489.14 	 Rec:4278.51 	Time: 0.45
epoch 900:	pdl:72099.02 	 Rec:4369.19 	Time: 0.45
epoch 950:	pdl:69545.62 	 Rec:4205.96 	Time: 0.45
epoch 1000:	pdl:72849.94 	 Rec:4256.50 	Time: 0.45
epoch 1050:	pdl:69127.03 	 Rec:4167.56 	Time: 0.45
epoch 1100:	pdl:70722.66 	 Rec:4278.72 	Time: 0.45
epoch 1150:	pdl:71199.11 	 Rec:4273.54 	Time: 0.45
epoch 1200:	pdl:72553.01 	 Rec:4094.87 	Time: 0.44
epoch 1250:	pdl:73240.05 	 Rec:3921.99 	Time: 0.44
epoch 1300:	pdl:69656.25 	 Rec:3853.78 	Time: 0.44
epoch 1350:	pdl:70317.10 	 Rec:4501.64 	Time: 0.44
epoch 1400:	pdl:71004.84 	 Rec:3865.57 	Time: 0.44
epoch 1450:	pdl:71589.81 	 Rec:3768.87 	Time: 0.44
epoch 1500:	pdl:68774.58 	 Rec:4044.66 	Time: 0.43
epoch 1550:	pdl:65197.41 	 Rec:3568.00 	Time: 0.44
epoch 1600:	pdl:67795.86 	 Rec:3582.00 	Time: 0.43
epoch 1650:	pdl:67147.44 	 Rec:3532.25 	Time: 0.44
epoch 1700:	pdl:66895.92 	 Rec:3509.34 	Time: 0.44
epoch 1750:	pdl:78795.25 	 Rec:3520.04 	Time: 0.44
epoch 1800:	pdl:64168.23 	 Rec:3551.36 	Time: 0.45
epoch 1850:	pdl:66513.02 	 Rec:3475.62 	Time: 0.45
epoch 1900:	pdl:66870.08 	 Rec:3475.69 	Time: 0.45
epoch 1950:	pdl:67827.88 	 Rec:3520.12 	Time: 0.45
epoch 2000:	pdl:68346.67 	 Rec:3434.44 	Time: 0.45
epoch 2050:	pdl:65698.28 	 Rec:3452.73 	Time: 0.45
epoch 2100:	pdl:67654.95 	 Rec:3423.62 	Time: 0.45
epoch 2150:	pdl:72098.68 	 Rec:3458.83 	Time: 0.45
epoch 2200:	pdl:62158.45 	 Rec:3427.34 	Time: 0.45
epoch 2250:	pdl:68091.08 	 Rec:3505.53 	Time: 0.44
epoch 2300:	pdl:76176.57 	 Rec:3435.82 	Time: 0.44
epoch 2350:	pdl:66050.74 	 Rec:3371.55 	Time: 0.44
epoch 2400:	pdl:66205.70 	 Rec:3385.07 	Time: 0.44
epoch 2450:	pdl:70023.02 	 Rec:3381.47 	Time: 0.44
epoch 2500:	pdl:65648.36 	 Rec:3378.60 	Time: 0.44
epoch 2550:	pdl:68867.66 	 Rec:3347.67 	Time: 0.44
