epoch 0:	pdl:5.30e-01 	 Rec:5.66e-02 	Time: 0.03
epoch 50:	pdl:2.22e-01 	 Rec:7.78e-03 	Time: 1.54
epoch 100:	pdl:1.65e-01 	 Rec:5.96e-03 	Time: 1.54
epoch 150:	pdl:1.80e-01 	 Rec:5.53e-03 	Time: 1.56
epoch 200:	pdl:2.52e-01 	 Rec:4.17e-03 	Time: 1.49
epoch 250:	pdl:2.57e-01 	 Rec:3.73e-03 	Time: 1.49
epoch 300:	pdl:1.96e-01 	 Rec:4.06e-03 	Time: 1.49
epoch 350:	pdl:1.22e-01 	 Rec:4.05e-03 	Time: 1.46
epoch 400:	pdl:1.27e-01 	 Rec:3.11e-03 	Time: 1.49
epoch 450:	pdl:1.59e-01 	 Rec:3.02e-03 	Time: 1.55
epoch 500:	pdl:1.65e-01 	 Rec:3.36e-03 	Time: 1.49
epoch 550:	pdl:2.87e-01 	 Rec:2.83e-03 	Time: 1.55
epoch 600:	pdl:1.64e-01 	 Rec:3.38e-03 	Time: 1.56
epoch 650:	pdl:1.00e-01 	 Rec:2.41e-03 	Time: 1.57
epoch 700:	pdl:1.68e-01 	 Rec:2.27e-03 	Time: 1.53
epoch 750:	pdl:1.84e-01 	 Rec:2.36e-03 	Time: 1.54
epoch 800:	pdl:1.59e-01 	 Rec:2.39e-03 	Time: 1.59
epoch 850:	pdl:2.06e-01 	 Rec:2.55e-03 	Time: 1.56
epoch 900:	pdl:1.16e-01 	 Rec:2.20e-03 	Time: 1.52
epoch 950:	pdl:1.66e-01 	 Rec:2.37e-03 	Time: 1.56
epoch 1000:	pdl:1.15e-01 	 Rec:2.19e-03 	Time: 1.57
epoch 1050:	pdl:1.57e-01 	 Rec:2.14e-03 	Time: 1.58
epoch 1100:	pdl:1.83e-01 	 Rec:2.09e-03 	Time: 1.59
epoch 1150:	pdl:1.12e-01 	 Rec:2.08e-03 	Time: 1.51
epoch 1200:	pdl:2.04e-01 	 Rec:1.86e-03 	Time: 1.53
epoch 1250:	pdl:1.81e-01 	 Rec:1.73e-03 	Time: 1.51
epoch 1300:	pdl:1.07e-01 	 Rec:2.52e-03 	Time: 1.51
epoch 1350:	pdl:1.28e-01 	 Rec:1.77e-03 	Time: 1.57
epoch 1400:	pdl:2.11e-01 	 Rec:2.41e-03 	Time: 1.57
epoch 1450:	pdl:1.31e-01 	 Rec:2.19e-03 	Time: 1.56
epoch 1500:	pdl:1.15e-01 	 Rec:2.24e-03 	Time: 1.55
epoch 1550:	pdl:1.12e-01 	 Rec:1.88e-03 	Time: 1.63
epoch 1600:	pdl:1.35e-01 	 Rec:2.34e-03 	Time: 1.57
epoch 1650:	pdl:1.91e-01 	 Rec:2.63e-03 	Time: 1.56
epoch 1700:	pdl:1.20e-01 	 Rec:1.80e-03 	Time: 1.55
epoch 1750:	pdl:1.54e-01 	 Rec:1.86e-03 	Time: 1.53
epoch 1800:	pdl:1.49e-01 	 Rec:2.12e-03 	Time: 1.50
epoch 1850:	pdl:1.06e-01 	 Rec:2.11e-03 	Time: 1.58
