epoch 0:	pdl:1.22e+00 	 Rec:1.27e-01 	Time: 0.03
epoch 50:	pdl:2.91e-01 	 Rec:1.24e-02 	Time: 2.10
epoch 100:	pdl:3.19e-01 	 Rec:1.02e-02 	Time: 2.09
epoch 150:	pdl:2.96e-01 	 Rec:8.86e-03 	Time: 2.08
epoch 200:	pdl:2.69e-01 	 Rec:8.69e-03 	Time: 2.09
epoch 250:	pdl:1.87e-01 	 Rec:8.24e-03 	Time: 2.11
epoch 300:	pdl:1.87e-01 	 Rec:7.51e-03 	Time: 2.08
epoch 350:	pdl:1.72e-01 	 Rec:7.02e-03 	Time: 2.11
epoch 400:	pdl:2.65e-01 	 Rec:7.14e-03 	Time: 2.07
epoch 450:	pdl:1.96e-01 	 Rec:6.67e-03 	Time: 2.09
epoch 500:	pdl:2.00e-01 	 Rec:6.72e-03 	Time: 2.11
epoch 550:	pdl:2.64e-01 	 Rec:7.12e-03 	Time: 2.11
