epoch 0:	pdl:1.13 	 Rec:1.13 	Time: 0.03
epoch 50:	pdl:0.58 	 Rec:0.53 	Time: 2.04
epoch 100:	pdl:0.53 	 Rec:0.26 	Time: 1.99
epoch 150:	pdl:0.45 	 Rec:0.17 	Time: 1.99
epoch 200:	pdl:0.35 	 Rec:0.15 	Time: 2.03
epoch 250:	pdl:0.26 	 Rec:0.13 	Time: 2.00
epoch 300:	pdl:0.21 	 Rec:0.13 	Time: 2.00
epoch 350:	pdl:0.17 	 Rec:0.13 	Time: 2.04
epoch 400:	pdl:0.17 	 Rec:0.12 	Time: 2.00
epoch 450:	pdl:0.21 	 Rec:0.12 	Time: 2.01
epoch 500:	pdl:0.17 	 Rec:0.11 	Time: 1.99
epoch 550:	pdl:0.26 	 Rec:0.11 	Time: 2.00
epoch 600:	pdl:0.21 	 Rec:0.11 	Time: 2.02
epoch 650:	pdl:0.23 	 Rec:0.10 	Time: 2.04
epoch 700:	pdl:0.24 	 Rec:0.10 	Time: 1.99
epoch 750:	pdl:0.19 	 Rec:0.10 	Time: 2.00
epoch 800:	pdl:0.17 	 Rec:0.10 	Time: 1.99
epoch 850:	pdl:0.20 	 Rec:0.12 	Time: 1.99
epoch 900:	pdl:0.31 	 Rec:0.10 	Time: 1.99
epoch 950:	pdl:0.18 	 Rec:0.09 	Time: 2.03
epoch 1000:	pdl:0.25 	 Rec:0.09 	Time: 2.00
epoch 1050:	pdl:0.24 	 Rec:0.08 	Time: 2.00
epoch 1100:	pdl:0.16 	 Rec:0.08 	Time: 2.02
epoch 1150:	pdl:0.17 	 Rec:0.08 	Time: 2.01
epoch 1200:	pdl:0.21 	 Rec:0.08 	Time: 1.99
epoch 1250:	pdl:0.19 	 Rec:0.08 	Time: 2.03
epoch 1300:	pdl:0.15 	 Rec:0.07 	Time: 1.98
epoch 1350:	pdl:0.19 	 Rec:0.07 	Time: 1.99
epoch 1400:	pdl:0.21 	 Rec:0.07 	Time: 2.01
epoch 1450:	pdl:0.18 	 Rec:0.07 	Time: 1.98
epoch 1500:	pdl:0.24 	 Rec:0.06 	Time: 2.00
