epoch 0:	pdl:3.77e+00 	 Rec:3.77e+00 	 Color:7.44e-01 	Time: 0.01
epoch 50:	pdl:1.99e+00 	 Rec:1.90e-02 	 Color:2.15e-01 	Time: 0.36
epoch 100:	pdl:1.99e+00 	 Rec:2.68e-02 	 Color:1.82e-01 	Time: 0.35
epoch 150:	pdl:1.84e+00 	 Rec:1.38e-02 	 Color:1.47e-01 	Time: 0.35
epoch 200:	pdl:1.91e+00 	 Rec:2.01e-02 	 Color:1.75e-01 	Time: 0.35
epoch 250:	pdl:1.84e+00 	 Rec:1.37e-02 	 Color:1.78e-01 	Time: 0.35
epoch 300:	pdl:1.89e+00 	 Rec:1.40e-02 	 Color:1.76e-01 	Time: 0.35
epoch 350:	pdl:1.74e+00 	 Rec:1.24e-02 	 Color:1.64e-01 	Time: 0.39
epoch 400:	pdl:1.77e+00 	 Rec:1.96e-02 	 Color:1.82e-01 	Time: 0.38
epoch 450:	pdl:1.78e+00 	 Rec:8.42e-03 	 Color:1.78e-01 	Time: 0.35
epoch 500:	pdl:1.66e+00 	 Rec:7.04e-03 	 Color:1.52e-01 	Time: 0.38
epoch 550:	pdl:1.65e+00 	 Rec:1.17e-02 	 Color:1.54e-01 	Time: 0.35
epoch 600:	pdl:1.70e+00 	 Rec:1.41e-02 	 Color:1.63e-01 	Time: 0.35
epoch 650:	pdl:1.77e+00 	 Rec:3.83e-03 	 Color:1.51e-01 	Time: 0.36
epoch 700:	pdl:1.55e+00 	 Rec:9.98e-03 	 Color:1.56e-01 	Time: 0.35
epoch 750:	pdl:1.59e+00 	 Rec:1.10e-02 	 Color:1.47e-01 	Time: 0.35
epoch 800:	pdl:1.68e+00 	 Rec:3.39e-03 	 Color:1.71e-01 	Time: 0.35
epoch 850:	pdl:1.53e+00 	 Rec:6.95e-03 	 Color:1.58e-01 	Time: 0.35
epoch 900:	pdl:1.70e+00 	 Rec:5.37e-03 	 Color:1.43e-01 	Time: 0.35
epoch 950:	pdl:1.56e+00 	 Rec:3.60e-03 	 Color:1.76e-01 	Time: 0.36
epoch 1000:	pdl:1.51e+00 	 Rec:6.63e-03 	 Color:1.57e-01 	Time: 0.35
epoch 1050:	pdl:1.41e+00 	 Rec:5.63e-03 	 Color:1.55e-01 	Time: 0.35
epoch 1100:	pdl:1.47e+00 	 Rec:5.96e-03 	 Color:1.56e-01 	Time: 0.35
epoch 1150:	pdl:1.67e+00 	 Rec:3.62e-03 	 Color:1.67e-01 	Time: 0.36
epoch 1200:	pdl:1.66e+00 	 Rec:4.59e-03 	 Color:1.60e-01 	Time: 0.35
epoch 1250:	pdl:1.75e+00 	 Rec:4.11e-03 	 Color:1.65e-01 	Time: 0.36
epoch 1300:	pdl:1.73e+00 	 Rec:9.26e-03 	 Color:1.72e-01 	Time: 0.35
epoch 1350:	pdl:1.53e+00 	 Rec:4.11e-03 	 Color:1.55e-01 	Time: 0.35
epoch 1400:	pdl:1.68e+00 	 Rec:5.14e-03 	 Color:1.52e-01 	Time: 0.35
epoch 1450:	pdl:1.51e+00 	 Rec:4.20e-03 	 Color:1.45e-01 	Time: 0.38
epoch 1500:	pdl:1.48e+00 	 Rec:3.26e-03 	 Color:1.53e-01 	Time: 0.35
epoch 1550:	pdl:1.79e+00 	 Rec:3.62e-03 	 Color:1.70e-01 	Time: 0.36
epoch 1600:	pdl:1.52e+00 	 Rec:2.72e-03 	 Color:1.46e-01 	Time: 0.35
epoch 1650:	pdl:1.69e+00 	 Rec:5.56e-03 	 Color:1.66e-01 	Time: 0.34
epoch 1700:	pdl:1.48e+00 	 Rec:4.16e-03 	 Color:1.39e-01 	Time: 0.34
epoch 1750:	pdl:1.86e+00 	 Rec:3.04e-03 	 Color:1.20e-01 	Time: 0.34
epoch 1800:	pdl:1.77e+00 	 Rec:5.66e-03 	 Color:1.60e-01 	Time: 0.34
epoch 1850:	pdl:1.43e+00 	 Rec:5.30e-03 	 Color:1.44e-01 	Time: 0.34
epoch 1900:	pdl:1.53e+00 	 Rec:2.98e-03 	 Color:1.72e-01 	Time: 0.34
epoch 1950:	pdl:1.56e+00 	 Rec:4.77e-03 	 Color:1.46e-01 	Time: 0.34
epoch 2000:	pdl:1.86e+00 	 Rec:2.48e-03 	 Color:1.74e-01 	Time: 0.34
epoch 2050:	pdl:1.60e+00 	 Rec:2.47e-03 	 Color:1.57e-01 	Time: 0.35
epoch 2100:	pdl:1.67e+00 	 Rec:6.07e-03 	 Color:1.47e-01 	Time: 0.41
epoch 2150:	pdl:1.48e+00 	 Rec:4.28e-03 	 Color:1.66e-01 	Time: 0.37
epoch 2200:	pdl:1.84e+00 	 Rec:6.04e-03 	 Color:1.57e-01 	Time: 0.37
epoch 2250:	pdl:1.61e+00 	 Rec:4.77e-03 	 Color:1.60e-01 	Time: 0.35
epoch 2300:	pdl:1.88e+00 	 Rec:4.71e-03 	 Color:1.62e-01 	Time: 0.41
epoch 2350:	pdl:1.83e+00 	 Rec:3.50e-03 	 Color:1.36e-01 	Time: 0.37
epoch 2400:	pdl:1.75e+00 	 Rec:3.60e-03 	 Color:1.60e-01 	Time: 0.37
epoch 2450:	pdl:1.64e+00 	 Rec:5.40e-03 	 Color:1.35e-01 	Time: 0.35
epoch 2500:	pdl:1.57e+00 	 Rec:1.73e-03 	 Color:1.57e-01 	Time: 0.34
epoch 2550:	pdl:1.58e+00 	 Rec:2.34e-03 	 Color:1.59e-01 	Time: 0.34
epoch 2600:	pdl:1.54e+00 	 Rec:1.90e-03 	 Color:1.41e-01 	Time: 0.34
