epoch 0:	style:8.55e-02 	 Rec:8.55e-02 	 Color:1.61e-01 	Time: 0.01
epoch 50:	style:9.87e-03 	 Rec:3.90e-03 	 Color:1.35e-01 	Time: 0.42
epoch 100:	style:9.48e-03 	 Rec:3.38e-03 	 Color:1.24e-01 	Time: 0.42
epoch 150:	style:8.21e-03 	 Rec:1.78e-03 	 Color:1.27e-01 	Time: 0.42
epoch 200:	style:9.33e-03 	 Rec:1.94e-03 	 Color:1.23e-01 	Time: 0.42
epoch 250:	style:9.52e-03 	 Rec:1.17e-03 	 Color:1.23e-01 	Time: 0.42
epoch 300:	style:8.31e-03 	 Rec:7.67e-04 	 Color:1.27e-01 	Time: 0.42
epoch 350:	style:8.58e-03 	 Rec:8.85e-04 	 Color:1.18e-01 	Time: 0.42
epoch 400:	style:9.14e-03 	 Rec:6.45e-04 	 Color:1.11e-01 	Time: 0.42
epoch 450:	style:8.26e-03 	 Rec:6.88e-04 	 Color:1.23e-01 	Time: 0.42
epoch 500:	style:8.70e-03 	 Rec:8.49e-04 	 Color:1.16e-01 	Time: 0.42
epoch 550:	style:9.20e-03 	 Rec:2.80e-04 	 Color:1.17e-01 	Time: 0.42
epoch 600:	style:9.01e-03 	 Rec:3.16e-04 	 Color:1.18e-01 	Time: 0.42
epoch 650:	style:7.62e-03 	 Rec:5.56e-04 	 Color:1.11e-01 	Time: 0.42
epoch 700:	style:9.83e-03 	 Rec:3.13e-04 	 Color:1.10e-01 	Time: 0.42
epoch 750:	style:9.80e-03 	 Rec:4.47e-04 	 Color:1.19e-01 	Time: 0.42
epoch 800:	style:8.08e-03 	 Rec:3.60e-04 	 Color:1.04e-01 	Time: 0.42
epoch 850:	style:7.84e-03 	 Rec:2.98e-04 	 Color:1.13e-01 	Time: 0.42
epoch 900:	style:8.17e-03 	 Rec:3.99e-04 	 Color:1.13e-01 	Time: 0.42
epoch 950:	style:7.72e-03 	 Rec:3.03e-04 	 Color:1.03e-01 	Time: 0.42
epoch 1000:	style:7.58e-03 	 Rec:4.79e-04 	 Color:1.03e-01 	Time: 0.42
epoch 1050:	style:7.92e-03 	 Rec:3.06e-04 	 Color:9.54e-02 	Time: 0.42
epoch 1100:	style:7.38e-03 	 Rec:2.16e-04 	 Color:9.13e-02 	Time: 0.42
epoch 1150:	style:7.26e-03 	 Rec:5.38e-04 	 Color:9.45e-02 	Time: 0.42
epoch 1200:	style:7.04e-03 	 Rec:6.52e-04 	 Color:8.34e-02 	Time: 0.42
epoch 1250:	style:7.29e-03 	 Rec:6.15e-04 	 Color:8.98e-02 	Time: 0.43
epoch 1300:	style:5.95e-03 	 Rec:5.46e-04 	 Color:9.62e-02 	Time: 0.42
epoch 1350:	style:7.26e-03 	 Rec:3.42e-04 	 Color:8.77e-02 	Time: 0.42
epoch 1400:	style:8.37e-03 	 Rec:1.67e-04 	 Color:7.74e-02 	Time: 0.42
epoch 1450:	style:7.12e-03 	 Rec:2.64e-04 	 Color:7.67e-02 	Time: 0.42
epoch 1500:	style:8.14e-03 	 Rec:1.81e-04 	 Color:8.63e-02 	Time: 0.42
epoch 1550:	style:7.19e-03 	 Rec:4.21e-04 	 Color:7.84e-02 	Time: 0.42
epoch 1600:	style:6.76e-03 	 Rec:5.59e-04 	 Color:8.16e-02 	Time: 0.42
epoch 1650:	style:6.28e-03 	 Rec:4.47e-04 	 Color:8.29e-02 	Time: 0.42
epoch 1700:	style:8.85e-03 	 Rec:2.22e-04 	 Color:7.98e-02 	Time: 0.42
epoch 1750:	style:5.72e-03 	 Rec:1.92e-04 	 Color:7.45e-02 	Time: 0.42
epoch 1800:	style:6.81e-03 	 Rec:1.02e-04 	 Color:6.48e-02 	Time: 0.42
epoch 1850:	style:6.88e-03 	 Rec:1.72e-04 	 Color:6.18e-02 	Time: 0.42
epoch 1900:	style:7.41e-03 	 Rec:1.45e-04 	 Color:6.47e-02 	Time: 0.42
epoch 1950:	style:5.67e-03 	 Rec:4.30e-04 	 Color:7.05e-02 	Time: 0.42
epoch 2000:	style:6.94e-03 	 Rec:2.93e-04 	 Color:6.76e-02 	Time: 0.42
epoch 2050:	style:6.13e-03 	 Rec:4.45e-04 	 Color:7.21e-02 	Time: 0.42
epoch 2100:	style:6.35e-03 	 Rec:1.50e-04 	 Color:6.34e-02 	Time: 0.42
epoch 2150:	style:6.26e-03 	 Rec:1.62e-04 	 Color:6.34e-02 	Time: 0.43
epoch 2200:	style:6.31e-03 	 Rec:2.87e-04 	 Color:6.19e-02 	Time: 0.46
epoch 2250:	style:6.83e-03 	 Rec:1.58e-04 	 Color:6.48e-02 	Time: 0.43
epoch 2300:	style:6.74e-03 	 Rec:2.33e-04 	 Color:6.33e-02 	Time: 0.42
epoch 2350:	style:6.85e-03 	 Rec:1.56e-04 	 Color:6.15e-02 	Time: 0.42
epoch 2400:	style:6.82e-03 	 Rec:4.11e-04 	 Color:6.31e-02 	Time: 0.42
epoch 2450:	style:6.52e-03 	 Rec:3.03e-04 	 Color:5.70e-02 	Time: 0.43
epoch 2500:	style:6.21e-03 	 Rec:3.38e-04 	 Color:4.85e-02 	Time: 0.42
epoch 2550:	style:6.60e-03 	 Rec:2.39e-04 	 Color:5.59e-02 	Time: 0.42
epoch 2600:	style:6.55e-03 	 Rec:5.86e-05 	 Color:6.07e-02 	Time: 0.42
epoch 2650:	style:5.32e-03 	 Rec:1.63e-04 	 Color:6.17e-02 	Time: 0.42
epoch 2700:	style:7.54e-03 	 Rec:1.37e-04 	 Color:5.65e-02 	Time: 0.42
epoch 2750:	style:5.89e-03 	 Rec:1.01e-04 	 Color:6.29e-02 	Time: 0.43
epoch 2800:	style:6.72e-03 	 Rec:1.59e-04 	 Color:5.55e-02 	Time: 0.42
epoch 2850:	style:6.08e-03 	 Rec:2.85e-04 	 Color:5.39e-02 	Time: 0.42
epoch 2900:	style:7.06e-03 	 Rec:2.44e-04 	 Color:5.68e-02 	Time: 0.43
epoch 2950:	style:7.82e-03 	 Rec:1.45e-04 	 Color:6.20e-02 	Time: 0.42
epoch 3000:	style:7.34e-03 	 Rec:1.19e-04 	 Color:5.64e-02 	Time: 0.42
