epoch 0:	pdl:8.31e-01 	 Rec:4.29e-02 	 Color:0.00e+00 	Time: 0.01
epoch 50:	pdl:4.62e-01 	 Rec:2.66e-03 	 Color:0.00e+00 	Time: 0.52
epoch 100:	pdl:4.79e-01 	 Rec:1.90e-03 	 Color:0.00e+00 	Time: 0.47
epoch 150:	pdl:4.80e-01 	 Rec:1.57e-03 	 Color:0.00e+00 	Time: 0.46
epoch 200:	pdl:4.48e-01 	 Rec:1.33e-03 	 Color:0.00e+00 	Time: 0.41
epoch 250:	pdl:4.28e-01 	 Rec:1.17e-03 	 Color:0.00e+00 	Time: 0.44
epoch 300:	pdl:4.47e-01 	 Rec:1.02e-03 	 Color:0.00e+00 	Time: 0.44
epoch 350:	pdl:4.53e-01 	 Rec:1.01e-03 	 Color:0.00e+00 	Time: 0.41
epoch 400:	pdl:4.79e-01 	 Rec:9.60e-04 	 Color:0.00e+00 	Time: 0.44
epoch 450:	pdl:4.57e-01 	 Rec:8.05e-04 	 Color:0.00e+00 	Time: 0.43
epoch 500:	pdl:4.19e-01 	 Rec:7.00e-04 	 Color:0.00e+00 	Time: 0.41
epoch 550:	pdl:3.98e-01 	 Rec:6.41e-04 	 Color:0.00e+00 	Time: 0.46
epoch 600:	pdl:4.33e-01 	 Rec:6.10e-04 	 Color:0.00e+00 	Time: 0.45
