epoch 0:	pdl:8.00e-01 	 Rec:8.00e-01 	 Color:0.00e+00 	Time: 0.01
epoch 50:	pdl:5.13e-01 	 Rec:3.16e-02 	 Color:0.00e+00 	Time: 0.54
epoch 100:	pdl:5.24e-01 	 Rec:3.29e-02 	 Color:0.00e+00 	Time: 0.48
epoch 150:	pdl:5.13e-01 	 Rec:1.92e-02 	 Color:0.00e+00 	Time: 0.45
epoch 200:	pdl:4.93e-01 	 Rec:1.23e-02 	 Color:0.00e+00 	Time: 0.41
epoch 250:	pdl:4.86e-01 	 Rec:9.43e-03 	 Color:0.00e+00 	Time: 0.43
epoch 300:	pdl:5.01e-01 	 Rec:1.12e-02 	 Color:0.00e+00 	Time: 0.45
epoch 350:	pdl:4.95e-01 	 Rec:7.99e-03 	 Color:0.00e+00 	Time: 0.46
epoch 400:	pdl:5.67e-01 	 Rec:9.57e-03 	 Color:0.00e+00 	Time: 0.46
epoch 450:	pdl:5.07e-01 	 Rec:3.63e-03 	 Color:0.00e+00 	Time: 0.46
epoch 500:	pdl:4.71e-01 	 Rec:2.64e-03 	 Color:0.00e+00 	Time: 0.44
epoch 550:	pdl:4.84e-01 	 Rec:4.93e-03 	 Color:0.00e+00 	Time: 0.49
epoch 600:	pdl:4.69e-01 	 Rec:2.94e-03 	 Color:0.00e+00 	Time: 0.48
epoch 650:	pdl:4.96e-01 	 Rec:3.66e-03 	 Color:0.00e+00 	Time: 0.45
epoch 700:	pdl:4.79e-01 	 Rec:1.96e-03 	 Color:0.00e+00 	Time: 0.47
epoch 750:	pdl:4.98e-01 	 Rec:4.40e-03 	 Color:0.00e+00 	Time: 0.47
epoch 800:	pdl:4.54e-01 	 Rec:4.55e-03 	 Color:0.00e+00 	Time: 0.45
epoch 850:	pdl:4.97e-01 	 Rec:2.34e-03 	 Color:0.00e+00 	Time: 0.45
epoch 900:	pdl:4.77e-01 	 Rec:5.83e-03 	 Color:0.00e+00 	Time: 0.45
epoch 950:	pdl:4.93e-01 	 Rec:3.10e-03 	 Color:0.00e+00 	Time: 0.42
