epoch 0:	pdl:1.07e+00 	 Rec:1.07e+00 	 Color:0.00e+00 	Time: 0.02
epoch 50:	pdl:8.83e-01 	 Rec:6.65e-02 	 Color:0.00e+00 	Time: 0.69
epoch 100:	pdl:7.69e-01 	 Rec:4.53e-02 	 Color:0.00e+00 	Time: 0.62
epoch 150:	pdl:8.10e-01 	 Rec:4.99e-02 	 Color:0.00e+00 	Time: 0.60
epoch 200:	pdl:7.68e-01 	 Rec:3.80e-02 	 Color:0.00e+00 	Time: 0.58
epoch 250:	pdl:7.58e-01 	 Rec:3.65e-02 	 Color:0.00e+00 	Time: 0.57
epoch 300:	pdl:8.19e-01 	 Rec:2.11e-02 	 Color:0.00e+00 	Time: 0.63
epoch 350:	pdl:7.19e-01 	 Rec:2.17e-02 	 Color:0.00e+00 	Time: 0.59
epoch 400:	pdl:7.65e-01 	 Rec:1.41e-02 	 Color:0.00e+00 	Time: 0.59
epoch 450:	pdl:7.82e-01 	 Rec:1.48e-02 	 Color:0.00e+00 	Time: 0.57
epoch 500:	pdl:7.60e-01 	 Rec:1.21e-02 	 Color:0.00e+00 	Time: 0.57
epoch 550:	pdl:7.38e-01 	 Rec:1.52e-02 	 Color:0.00e+00 	Time: 0.60
epoch 600:	pdl:7.33e-01 	 Rec:1.37e-02 	 Color:0.00e+00 	Time: 0.57
epoch 650:	pdl:7.33e-01 	 Rec:1.25e-02 	 Color:0.00e+00 	Time: 0.60
epoch 700:	pdl:7.24e-01 	 Rec:8.31e-03 	 Color:0.00e+00 	Time: 0.61
epoch 750:	pdl:6.66e-01 	 Rec:1.06e-02 	 Color:0.00e+00 	Time: 0.61
epoch 800:	pdl:7.39e-01 	 Rec:6.86e-03 	 Color:0.00e+00 	Time: 0.59
epoch 850:	pdl:7.24e-01 	 Rec:6.91e-03 	 Color:0.00e+00 	Time: 0.59
epoch 900:	pdl:6.87e-01 	 Rec:8.54e-03 	 Color:0.00e+00 	Time: 0.58
epoch 950:	pdl:7.42e-01 	 Rec:6.72e-03 	 Color:0.00e+00 	Time: 0.59
