epoch 0:	pdl:9.50e-01 	 Rec:6.56e-02 	 Color:1.61e-01 	Time: 0.01
epoch 50:	pdl:6.18e-01 	 Rec:2.05e-03 	 Color:1.42e-01 	Time: 0.63
epoch 100:	pdl:6.04e-01 	 Rec:1.32e-03 	 Color:1.43e-01 	Time: 0.62
epoch 150:	pdl:5.83e-01 	 Rec:1.23e-03 	 Color:1.19e-01 	Time: 0.63
epoch 200:	pdl:6.01e-01 	 Rec:9.54e-04 	 Color:1.37e-01 	Time: 0.63
epoch 250:	pdl:6.34e-01 	 Rec:1.10e-03 	 Color:1.61e-01 	Time: 0.63
epoch 300:	pdl:6.01e-01 	 Rec:5.90e-04 	 Color:1.19e-01 	Time: 0.63
epoch 350:	pdl:5.74e-01 	 Rec:4.04e-04 	 Color:1.57e-01 	Time: 0.63
epoch 400:	pdl:5.86e-01 	 Rec:7.05e-04 	 Color:1.50e-01 	Time: 0.62
epoch 450:	pdl:6.01e-01 	 Rec:5.11e-04 	 Color:1.16e-01 	Time: 0.62
epoch 500:	pdl:5.83e-01 	 Rec:3.21e-04 	 Color:1.55e-01 	Time: 0.62
epoch 550:	pdl:5.54e-01 	 Rec:4.81e-04 	 Color:1.20e-01 	Time: 0.62
epoch 600:	pdl:5.80e-01 	 Rec:3.56e-04 	 Color:1.36e-01 	Time: 0.62
epoch 650:	pdl:6.12e-01 	 Rec:2.75e-04 	 Color:1.34e-01 	Time: 0.62
epoch 700:	pdl:5.47e-01 	 Rec:4.31e-04 	 Color:1.48e-01 	Time: 0.61
epoch 750:	pdl:5.58e-01 	 Rec:2.59e-04 	 Color:1.51e-01 	Time: 0.62
epoch 800:	pdl:5.24e-01 	 Rec:2.02e-04 	 Color:1.25e-01 	Time: 0.62
epoch 850:	pdl:5.58e-01 	 Rec:3.84e-04 	 Color:1.47e-01 	Time: 0.63
epoch 900:	pdl:5.91e-01 	 Rec:2.26e-04 	 Color:1.27e-01 	Time: 0.63
epoch 950:	pdl:5.88e-01 	 Rec:1.43e-04 	 Color:1.34e-01 	Time: 0.63
epoch 1000:	pdl:5.66e-01 	 Rec:1.74e-04 	 Color:1.89e-01 	Time: 0.63
epoch 1050:	pdl:5.30e-01 	 Rec:1.57e-04 	 Color:1.36e-01 	Time: 0.63
epoch 1100:	pdl:5.65e-01 	 Rec:1.30e-04 	 Color:1.46e-01 	Time: 0.63
epoch 1150:	pdl:5.20e-01 	 Rec:1.65e-04 	 Color:1.16e-01 	Time: 0.62
epoch 1200:	pdl:5.64e-01 	 Rec:9.83e-05 	 Color:1.58e-01 	Time: 0.62
epoch 1250:	pdl:5.88e-01 	 Rec:1.64e-04 	 Color:1.27e-01 	Time: 0.62
epoch 1300:	pdl:5.35e-01 	 Rec:7.35e-05 	 Color:1.36e-01 	Time: 0.61
epoch 1350:	pdl:5.82e-01 	 Rec:3.11e-04 	 Color:1.43e-01 	Time: 0.62
epoch 1400:	pdl:5.37e-01 	 Rec:7.48e-05 	 Color:1.24e-01 	Time: 0.61
epoch 1450:	pdl:5.35e-01 	 Rec:1.30e-04 	 Color:1.32e-01 	Time: 0.61
epoch 1500:	pdl:5.49e-01 	 Rec:1.20e-04 	 Color:1.29e-01 	Time: 0.63
epoch 1550:	pdl:5.43e-01 	 Rec:1.30e-04 	 Color:1.16e-01 	Time: 0.61
epoch 1600:	pdl:5.47e-01 	 Rec:1.29e-04 	 Color:1.23e-01 	Time: 0.62
epoch 1650:	pdl:5.32e-01 	 Rec:7.83e-05 	 Color:1.12e-01 	Time: 0.61
epoch 1700:	pdl:5.00e-01 	 Rec:8.76e-05 	 Color:1.63e-01 	Time: 0.62
epoch 1750:	pdl:5.32e-01 	 Rec:1.14e-04 	 Color:1.53e-01 	Time: 0.62
epoch 1800:	pdl:5.30e-01 	 Rec:9.94e-05 	 Color:1.43e-01 	Time: 0.62
epoch 1850:	pdl:5.12e-01 	 Rec:8.75e-05 	 Color:1.31e-01 	Time: 0.62
epoch 1900:	pdl:5.30e-01 	 Rec:6.48e-05 	 Color:1.46e-01 	Time: 0.62
epoch 1950:	pdl:5.21e-01 	 Rec:5.86e-05 	 Color:1.15e-01 	Time: 0.62
epoch 2000:	pdl:5.75e-01 	 Rec:1.06e-04 	 Color:1.22e-01 	Time: 0.63
epoch 2050:	pdl:5.35e-01 	 Rec:5.14e-05 	 Color:1.39e-01 	Time: 0.63
epoch 2100:	pdl:5.47e-01 	 Rec:1.37e-04 	 Color:1.45e-01 	Time: 0.61
epoch 2150:	pdl:5.05e-01 	 Rec:1.18e-04 	 Color:1.22e-01 	Time: 0.61
epoch 2200:	pdl:5.18e-01 	 Rec:8.24e-05 	 Color:1.35e-01 	Time: 0.61
epoch 2250:	pdl:4.95e-01 	 Rec:1.35e-04 	 Color:1.37e-01 	Time: 0.61
epoch 2300:	pdl:5.40e-01 	 Rec:1.09e-04 	 Color:1.42e-01 	Time: 0.61
epoch 2350:	pdl:5.62e-01 	 Rec:1.21e-04 	 Color:1.53e-01 	Time: 0.62
epoch 2400:	pdl:5.49e-01 	 Rec:7.57e-05 	 Color:1.49e-01 	Time: 0.61
epoch 2450:	pdl:5.39e-01 	 Rec:7.66e-05 	 Color:1.25e-01 	Time: 0.61
epoch 2500:	pdl:5.04e-01 	 Rec:8.81e-05 	 Color:1.39e-01 	Time: 0.61
epoch 2550:	pdl:5.04e-01 	 Rec:2.19e-04 	 Color:1.08e-01 	Time: 0.60
epoch 2600:	pdl:5.19e-01 	 Rec:4.00e-05 	 Color:1.47e-01 	Time: 0.60
epoch 2650:	pdl:5.12e-01 	 Rec:6.56e-05 	 Color:1.32e-01 	Time: 0.61
epoch 2700:	pdl:4.97e-01 	 Rec:8.86e-05 	 Color:1.30e-01 	Time: 0.62
epoch 2750:	pdl:5.05e-01 	 Rec:1.54e-04 	 Color:1.31e-01 	Time: 0.60
epoch 2800:	pdl:5.16e-01 	 Rec:1.06e-04 	 Color:1.44e-01 	Time: 0.64
epoch 2850:	pdl:5.14e-01 	 Rec:1.86e-04 	 Color:1.45e-01 	Time: 0.60
epoch 2900:	pdl:5.19e-01 	 Rec:8.46e-05 	 Color:1.59e-01 	Time: 0.61
epoch 2950:	pdl:5.37e-01 	 Rec:1.73e-04 	 Color:1.23e-01 	Time: 0.61
epoch 3000:	pdl:4.98e-01 	 Rec:4.46e-05 	 Color:1.35e-01 	Time: 0.61
epoch 3050:	pdl:5.29e-01 	 Rec:7.47e-05 	 Color:1.32e-01 	Time: 0.61
epoch 3100:	pdl:5.15e-01 	 Rec:5.51e-05 	 Color:1.81e-01 	Time: 0.61
epoch 3150:	pdl:4.80e-01 	 Rec:6.34e-05 	 Color:1.33e-01 	Time: 0.60
epoch 3200:	pdl:4.80e-01 	 Rec:1.45e-04 	 Color:1.05e-01 	Time: 0.61
epoch 3250:	pdl:5.00e-01 	 Rec:1.06e-04 	 Color:1.48e-01 	Time: 0.61
epoch 3300:	pdl:5.04e-01 	 Rec:1.07e-04 	 Color:1.18e-01 	Time: 0.60
epoch 3350:	pdl:5.18e-01 	 Rec:1.09e-04 	 Color:1.32e-01 	Time: 0.61
epoch 3400:	pdl:5.26e-01 	 Rec:5.99e-05 	 Color:1.53e-01 	Time: 0.61
epoch 3450:	pdl:4.82e-01 	 Rec:4.59e-05 	 Color:1.37e-01 	Time: 0.60
epoch 3500:	pdl:5.49e-01 	 Rec:1.18e-04 	 Color:1.18e-01 	Time: 0.58
epoch 3550:	pdl:5.11e-01 	 Rec:9.27e-05 	 Color:1.06e-01 	Time: 0.63
