epoch 0:	pdl:1.14e+00 	 Rec:1.14e+00 	 Color:0.00e+00 	Time: 0.02
epoch 50:	pdl:8.76e-01 	 Rec:1.22e-01 	 Color:0.00e+00 	Time: 0.97
epoch 100:	pdl:7.77e-01 	 Rec:8.58e-02 	 Color:0.00e+00 	Time: 0.95
epoch 150:	pdl:7.80e-01 	 Rec:6.70e-02 	 Color:0.00e+00 	Time: 0.95
epoch 200:	pdl:6.82e-01 	 Rec:5.76e-02 	 Color:0.00e+00 	Time: 0.96
epoch 250:	pdl:6.40e-01 	 Rec:5.04e-02 	 Color:0.00e+00 	Time: 0.95
epoch 300:	pdl:6.33e-01 	 Rec:3.95e-02 	 Color:0.00e+00 	Time: 0.96
epoch 350:	pdl:6.96e-01 	 Rec:4.19e-02 	 Color:0.00e+00 	Time: 0.99
epoch 400:	pdl:6.40e-01 	 Rec:3.79e-02 	 Color:0.00e+00 	Time: 0.99
epoch 450:	pdl:6.97e-01 	 Rec:3.57e-02 	 Color:0.00e+00 	Time: 0.95
epoch 500:	pdl:6.88e-01 	 Rec:3.06e-02 	 Color:0.00e+00 	Time: 0.94
epoch 550:	pdl:6.81e-01 	 Rec:2.75e-02 	 Color:0.00e+00 	Time: 0.94
epoch 600:	pdl:6.97e-01 	 Rec:2.01e-02 	 Color:0.00e+00 	Time: 0.95
epoch 650:	pdl:6.99e-01 	 Rec:2.60e-02 	 Color:0.00e+00 	Time: 0.94
epoch 700:	pdl:6.48e-01 	 Rec:2.04e-02 	 Color:0.00e+00 	Time: 0.95
epoch 750:	pdl:7.11e-01 	 Rec:1.81e-02 	 Color:0.00e+00 	Time: 0.95
epoch 800:	pdl:6.47e-01 	 Rec:1.88e-02 	 Color:0.00e+00 	Time: 0.97
epoch 850:	pdl:7.32e-01 	 Rec:1.68e-02 	 Color:0.00e+00 	Time: 0.97
epoch 900:	pdl:6.87e-01 	 Rec:1.35e-02 	 Color:0.00e+00 	Time: 0.98
epoch 950:	pdl:6.91e-01 	 Rec:1.32e-02 	 Color:0.00e+00 	Time: 0.95
epoch 1000:	pdl:6.72e-01 	 Rec:1.72e-02 	 Color:0.00e+00 	Time: 0.94
epoch 1050:	pdl:6.72e-01 	 Rec:1.24e-02 	 Color:0.00e+00 	Time: 0.96
epoch 1100:	pdl:6.33e-01 	 Rec:1.36e-02 	 Color:0.00e+00 	Time: 0.95
epoch 1150:	pdl:6.64e-01 	 Rec:9.33e-03 	 Color:0.00e+00 	Time: 0.96
epoch 1200:	pdl:6.94e-01 	 Rec:1.22e-02 	 Color:0.00e+00 	Time: 0.94
epoch 1250:	pdl:6.60e-01 	 Rec:1.16e-02 	 Color:0.00e+00 	Time: 0.97
epoch 1300:	pdl:6.36e-01 	 Rec:1.17e-02 	 Color:0.00e+00 	Time: 0.96
epoch 1350:	pdl:6.87e-01 	 Rec:1.03e-02 	 Color:0.00e+00 	Time: 0.94
epoch 1400:	pdl:6.80e-01 	 Rec:8.74e-03 	 Color:0.00e+00 	Time: 0.94
epoch 1450:	pdl:6.22e-01 	 Rec:7.12e-03 	 Color:0.00e+00 	Time: 0.95
epoch 1500:	pdl:6.28e-01 	 Rec:1.16e-02 	 Color:0.00e+00 	Time: 0.95
epoch 1550:	pdl:6.98e-01 	 Rec:1.01e-02 	 Color:0.00e+00 	Time: 0.94
epoch 1600:	pdl:6.09e-01 	 Rec:6.63e-03 	 Color:0.00e+00 	Time: 0.98
epoch 1650:	pdl:6.88e-01 	 Rec:6.77e-03 	 Color:0.00e+00 	Time: 0.98
epoch 1700:	pdl:6.93e-01 	 Rec:9.07e-03 	 Color:0.00e+00 	Time: 0.97
epoch 1750:	pdl:6.45e-01 	 Rec:7.70e-03 	 Color:0.00e+00 	Time: 0.98
epoch 1800:	pdl:6.21e-01 	 Rec:7.66e-03 	 Color:0.00e+00 	Time: 0.97
epoch 1850:	pdl:6.70e-01 	 Rec:8.05e-03 	 Color:0.00e+00 	Time: 0.97
epoch 1900:	pdl:7.31e-01 	 Rec:5.88e-03 	 Color:0.00e+00 	Time: 0.97
epoch 1950:	pdl:6.48e-01 	 Rec:5.91e-03 	 Color:0.00e+00 	Time: 0.97
epoch 2000:	pdl:6.37e-01 	 Rec:5.17e-03 	 Color:0.00e+00 	Time: 0.97
epoch 2050:	pdl:6.85e-01 	 Rec:6.50e-03 	 Color:0.00e+00 	Time: 0.98
epoch 2100:	pdl:6.68e-01 	 Rec:6.70e-03 	 Color:0.00e+00 	Time: 0.98
epoch 2150:	pdl:6.83e-01 	 Rec:5.24e-03 	 Color:0.00e+00 	Time: 0.97
epoch 2200:	pdl:6.99e-01 	 Rec:6.11e-03 	 Color:0.00e+00 	Time: 0.97
epoch 2250:	pdl:6.68e-01 	 Rec:5.43e-03 	 Color:0.00e+00 	Time: 0.96
epoch 2300:	pdl:6.94e-01 	 Rec:6.53e-03 	 Color:0.00e+00 	Time: 0.96
epoch 2350:	pdl:6.26e-01 	 Rec:5.25e-03 	 Color:0.00e+00 	Time: 0.95
epoch 2400:	pdl:6.75e-01 	 Rec:6.99e-03 	 Color:0.00e+00 	Time: 0.94
epoch 2450:	pdl:6.80e-01 	 Rec:8.27e-03 	 Color:0.00e+00 	Time: 0.95
epoch 2500:	pdl:7.11e-01 	 Rec:6.92e-03 	 Color:0.00e+00 	Time: 0.96
epoch 2550:	pdl:6.53e-01 	 Rec:4.30e-03 	 Color:0.00e+00 	Time: 0.97
epoch 2600:	pdl:6.77e-01 	 Rec:6.33e-03 	 Color:0.00e+00 	Time: 0.97
epoch 2650:	pdl:6.37e-01 	 Rec:5.97e-03 	 Color:0.00e+00 	Time: 0.98
epoch 2700:	pdl:6.79e-01 	 Rec:6.47e-03 	 Color:0.00e+00 	Time: 0.98
epoch 2750:	pdl:6.76e-01 	 Rec:4.58e-03 	 Color:0.00e+00 	Time: 0.99
epoch 2800:	pdl:6.19e-01 	 Rec:5.91e-03 	 Color:0.00e+00 	Time: 0.97
epoch 2850:	pdl:7.07e-01 	 Rec:5.45e-03 	 Color:0.00e+00 	Time: 0.97
epoch 2900:	pdl:6.17e-01 	 Rec:3.62e-03 	 Color:0.00e+00 	Time: 0.98
epoch 2950:	pdl:6.91e-01 	 Rec:5.57e-03 	 Color:0.00e+00 	Time: 0.96
epoch 3000:	pdl:6.14e-01 	 Rec:6.23e-03 	 Color:0.00e+00 	Time: 0.97
epoch 3050:	pdl:6.68e-01 	 Rec:4.11e-03 	 Color:0.00e+00 	Time: 0.99
epoch 3100:	pdl:6.48e-01 	 Rec:5.47e-03 	 Color:0.00e+00 	Time: 0.98
epoch 3150:	pdl:6.18e-01 	 Rec:4.26e-03 	 Color:0.00e+00 	Time: 0.97
epoch 3200:	pdl:7.17e-01 	 Rec:3.69e-03 	 Color:0.00e+00 	Time: 0.97
epoch 3250:	pdl:6.24e-01 	 Rec:4.24e-03 	 Color:0.00e+00 	Time: 0.95
epoch 3300:	pdl:6.30e-01 	 Rec:5.13e-03 	 Color:0.00e+00 	Time: 0.96
epoch 3350:	pdl:7.14e-01 	 Rec:3.57e-03 	 Color:0.00e+00 	Time: 0.96
epoch 3400:	pdl:6.39e-01 	 Rec:4.29e-03 	 Color:0.00e+00 	Time: 0.95
epoch 3450:	pdl:6.97e-01 	 Rec:4.37e-03 	 Color:0.00e+00 	Time: 0.95
epoch 3500:	pdl:5.96e-01 	 Rec:3.77e-03 	 Color:0.00e+00 	Time: 0.98
epoch 3550:	pdl:7.00e-01 	 Rec:5.20e-03 	 Color:0.00e+00 	Time: 0.95
epoch 3600:	pdl:7.21e-01 	 Rec:5.93e-03 	 Color:0.00e+00 	Time: 0.94
epoch 3650:	pdl:6.57e-01 	 Rec:4.59e-03 	 Color:0.00e+00 	Time: 0.97
epoch 3700:	pdl:6.81e-01 	 Rec:3.81e-03 	 Color:0.00e+00 	Time: 0.96
epoch 3750:	pdl:5.89e-01 	 Rec:4.38e-03 	 Color:0.00e+00 	Time: 0.89
epoch 3800:	pdl:6.84e-01 	 Rec:4.45e-03 	 Color:0.00e+00 	Time: 1.00
epoch 3850:	pdl:7.03e-01 	 Rec:4.16e-03 	 Color:0.00e+00 	Time: 1.08
epoch 3900:	pdl:6.96e-01 	 Rec:4.68e-03 	 Color:0.00e+00 	Time: 1.07
epoch 3950:	pdl:6.94e-01 	 Rec:4.11e-03 	 Color:0.00e+00 	Time: 1.08
epoch 4000:	pdl:6.29e-01 	 Rec:2.75e-03 	 Color:0.00e+00 	Time: 1.07
epoch 4050:	pdl:6.37e-01 	 Rec:4.02e-03 	 Color:0.00e+00 	Time: 1.10
epoch 4100:	pdl:6.08e-01 	 Rec:3.76e-03 	 Color:0.00e+00 	Time: 1.08
epoch 4150:	pdl:6.28e-01 	 Rec:3.53e-03 	 Color:0.00e+00 	Time: 1.09
epoch 4200:	pdl:6.80e-01 	 Rec:3.38e-03 	 Color:0.00e+00 	Time: 1.10
epoch 4250:	pdl:6.32e-01 	 Rec:2.76e-03 	 Color:0.00e+00 	Time: 1.12
epoch 4300:	pdl:6.77e-01 	 Rec:5.73e-03 	 Color:0.00e+00 	Time: 1.12
epoch 4350:	pdl:5.99e-01 	 Rec:7.29e-03 	 Color:0.00e+00 	Time: 1.11
epoch 4400:	pdl:6.99e-01 	 Rec:3.53e-03 	 Color:0.00e+00 	Time: 1.11
epoch 4450:	pdl:6.74e-01 	 Rec:4.30e-03 	 Color:0.00e+00 	Time: 1.12
epoch 4500:	pdl:6.64e-01 	 Rec:3.73e-03 	 Color:0.00e+00 	Time: 1.10
epoch 4550:	pdl:6.24e-01 	 Rec:6.04e-03 	 Color:0.00e+00 	Time: 1.11
epoch 4600:	pdl:6.24e-01 	 Rec:2.69e-03 	 Color:0.00e+00 	Time: 1.12
epoch 4650:	pdl:6.47e-01 	 Rec:2.97e-03 	 Color:0.00e+00 	Time: 1.11
epoch 4700:	pdl:6.54e-01 	 Rec:4.06e-03 	 Color:0.00e+00 	Time: 1.12
epoch 4750:	pdl:5.88e-01 	 Rec:2.75e-03 	 Color:0.00e+00 	Time: 1.11
epoch 4800:	pdl:6.26e-01 	 Rec:2.87e-03 	 Color:0.00e+00 	Time: 1.13
epoch 4850:	pdl:6.08e-01 	 Rec:3.76e-03 	 Color:0.00e+00 	Time: 1.11
epoch 4900:	pdl:6.01e-01 	 Rec:3.85e-03 	 Color:0.00e+00 	Time: 1.11
epoch 4950:	pdl:6.74e-01 	 Rec:3.48e-03 	 Color:0.00e+00 	Time: 1.12
