epoch 0:	pdl:7.55e-01 	 Rec:6.29e-02 	 Color:0.00e+00 	Time: 0.01
epoch 50:	pdl:5.08e-01 	 Rec:5.19e-03 	 Color:0.00e+00 	Time: 0.54
epoch 100:	pdl:4.57e-01 	 Rec:2.90e-03 	 Color:0.00e+00 	Time: 0.53
epoch 150:	pdl:4.03e-01 	 Rec:2.19e-03 	 Color:0.00e+00 	Time: 0.52
epoch 200:	pdl:4.45e-01 	 Rec:1.79e-03 	 Color:0.00e+00 	Time: 0.52
epoch 250:	pdl:4.70e-01 	 Rec:1.52e-03 	 Color:0.00e+00 	Time: 0.52
epoch 300:	pdl:4.28e-01 	 Rec:1.31e-03 	 Color:0.00e+00 	Time: 0.52
epoch 350:	pdl:3.90e-01 	 Rec:1.14e-03 	 Color:0.00e+00 	Time: 0.53
epoch 400:	pdl:3.91e-01 	 Rec:1.01e-03 	 Color:0.00e+00 	Time: 0.55
epoch 450:	pdl:4.44e-01 	 Rec:8.90e-04 	 Color:0.00e+00 	Time: 0.55
epoch 500:	pdl:3.85e-01 	 Rec:7.92e-04 	 Color:0.00e+00 	Time: 0.54
epoch 550:	pdl:3.83e-01 	 Rec:7.18e-04 	 Color:0.00e+00 	Time: 0.53
epoch 600:	pdl:4.71e-01 	 Rec:6.36e-04 	 Color:0.00e+00 	Time: 0.49
epoch 650:	pdl:4.26e-01 	 Rec:5.78e-04 	 Color:0.00e+00 	Time: 0.51
epoch 700:	pdl:4.47e-01 	 Rec:5.33e-04 	 Color:0.00e+00 	Time: 0.53
epoch 750:	pdl:4.55e-01 	 Rec:4.82e-04 	 Color:0.00e+00 	Time: 0.53
epoch 800:	pdl:4.18e-01 	 Rec:4.65e-04 	 Color:0.00e+00 	Time: 0.53
epoch 850:	pdl:4.29e-01 	 Rec:3.94e-04 	 Color:0.00e+00 	Time: 0.55
epoch 900:	pdl:4.06e-01 	 Rec:3.67e-04 	 Color:0.00e+00 	Time: 0.55
epoch 950:	pdl:4.72e-01 	 Rec:3.23e-04 	 Color:0.00e+00 	Time: 0.55
epoch 1000:	pdl:4.19e-01 	 Rec:2.96e-04 	 Color:0.00e+00 	Time: 0.55
epoch 1050:	pdl:4.02e-01 	 Rec:2.72e-04 	 Color:0.00e+00 	Time: 0.55
epoch 1100:	pdl:4.73e-01 	 Rec:2.54e-04 	 Color:0.00e+00 	Time: 0.54
epoch 1150:	pdl:4.66e-01 	 Rec:2.36e-04 	 Color:0.00e+00 	Time: 0.55
epoch 1200:	pdl:4.43e-01 	 Rec:2.17e-04 	 Color:0.00e+00 	Time: 0.54
epoch 1250:	pdl:4.83e-01 	 Rec:2.14e-04 	 Color:0.00e+00 	Time: 0.54
epoch 1300:	pdl:4.47e-01 	 Rec:1.93e-04 	 Color:0.00e+00 	Time: 0.54
epoch 1350:	pdl:4.51e-01 	 Rec:1.65e-04 	 Color:0.00e+00 	Time: 0.54
epoch 1400:	pdl:4.41e-01 	 Rec:1.58e-04 	 Color:0.00e+00 	Time: 0.54
epoch 1450:	pdl:4.87e-01 	 Rec:1.48e-04 	 Color:0.00e+00 	Time: 0.54
epoch 1500:	pdl:4.17e-01 	 Rec:1.34e-04 	 Color:0.00e+00 	Time: 0.54
epoch 1550:	pdl:4.22e-01 	 Rec:1.31e-04 	 Color:0.00e+00 	Time: 0.54
epoch 1600:	pdl:3.91e-01 	 Rec:1.36e-04 	 Color:0.00e+00 	Time: 0.54
epoch 1650:	pdl:4.02e-01 	 Rec:1.24e-04 	 Color:0.00e+00 	Time: 0.54
epoch 1700:	pdl:3.89e-01 	 Rec:1.17e-04 	 Color:0.00e+00 	Time: 0.55
epoch 1750:	pdl:3.83e-01 	 Rec:1.00e-04 	 Color:0.00e+00 	Time: 0.54
epoch 1800:	pdl:4.95e-01 	 Rec:1.09e-04 	 Color:0.00e+00 	Time: 0.54
epoch 1850:	pdl:4.10e-01 	 Rec:9.06e-05 	 Color:0.00e+00 	Time: 0.55
