epoch 0:	pdl:1.36e+00 	 Rec:2.47e-01 	 Color:0.00e+00 	Time: 0.01
epoch 50:	pdl:6.26e-01 	 Rec:2.36e-02 	 Color:0.00e+00 	Time: 0.45
epoch 100:	pdl:5.11e-01 	 Rec:5.73e-03 	 Color:0.00e+00 	Time: 0.44
epoch 150:	pdl:4.66e-01 	 Rec:2.28e-03 	 Color:0.00e+00 	Time: 0.44
epoch 200:	pdl:4.46e-01 	 Rec:1.33e-03 	 Color:0.00e+00 	Time: 0.44
epoch 250:	pdl:5.21e-01 	 Rec:2.21e-03 	 Color:0.00e+00 	Time: 0.45
epoch 300:	pdl:4.86e-01 	 Rec:1.09e-03 	 Color:0.00e+00 	Time: 0.44
epoch 350:	pdl:4.78e-01 	 Rec:4.11e-04 	 Color:0.00e+00 	Time: 0.44
epoch 400:	pdl:4.53e-01 	 Rec:1.20e-04 	 Color:0.00e+00 	Time: 0.43
epoch 450:	pdl:4.62e-01 	 Rec:8.16e-05 	 Color:0.00e+00 	Time: 0.43
epoch 500:	pdl:4.58e-01 	 Rec:4.30e-04 	 Color:0.00e+00 	Time: 0.44
epoch 550:	pdl:4.68e-01 	 Rec:3.48e-05 	 Color:0.00e+00 	Time: 0.44
epoch 600:	pdl:4.73e-01 	 Rec:2.73e-05 	 Color:0.00e+00 	Time: 0.43
epoch 650:	pdl:4.41e-01 	 Rec:1.38e-04 	 Color:0.00e+00 	Time: 0.44
epoch 700:	pdl:4.23e-01 	 Rec:1.41e-05 	 Color:0.00e+00 	Time: 0.44
epoch 750:	pdl:4.32e-01 	 Rec:3.26e-04 	 Color:0.00e+00 	Time: 0.44
epoch 800:	pdl:4.44e-01 	 Rec:7.92e-06 	 Color:0.00e+00 	Time: 0.43
epoch 850:	pdl:4.30e-01 	 Rec:7.42e-05 	 Color:0.00e+00 	Time: 0.43
epoch 900:	pdl:4.34e-01 	 Rec:2.97e-04 	 Color:0.00e+00 	Time: 0.44
epoch 950:	pdl:4.47e-01 	 Rec:6.69e-06 	 Color:0.00e+00 	Time: 0.44
epoch 1000:	pdl:4.30e-01 	 Rec:3.97e-06 	 Color:0.00e+00 	Time: 0.44
epoch 1050:	pdl:4.25e-01 	 Rec:3.43e-06 	 Color:0.00e+00 	Time: 0.45
