epoch 0:	pdl:1.04e+00 	 Rec:6.42e-02 	 Color:2.05e-01 	Time: 0.01
epoch 50:	pdl:6.39e-01 	 Rec:2.20e-03 	 Color:1.75e-01 	Time: 0.62
epoch 100:	pdl:6.30e-01 	 Rec:1.50e-03 	 Color:1.94e-01 	Time: 0.61
epoch 150:	pdl:5.83e-01 	 Rec:1.12e-03 	 Color:1.62e-01 	Time: 0.61
epoch 200:	pdl:6.19e-01 	 Rec:8.63e-04 	 Color:1.86e-01 	Time: 0.61
epoch 250:	pdl:6.52e-01 	 Rec:6.33e-04 	 Color:2.00e-01 	Time: 0.63
epoch 300:	pdl:6.21e-01 	 Rec:8.36e-04 	 Color:1.82e-01 	Time: 0.62
epoch 350:	pdl:5.80e-01 	 Rec:4.58e-04 	 Color:2.03e-01 	Time: 0.62
epoch 400:	pdl:5.77e-01 	 Rec:3.36e-04 	 Color:1.71e-01 	Time: 0.62
epoch 450:	pdl:6.26e-01 	 Rec:3.27e-04 	 Color:1.49e-01 	Time: 0.61
epoch 500:	pdl:5.59e-01 	 Rec:4.29e-04 	 Color:2.03e-01 	Time: 0.61
epoch 550:	pdl:5.66e-01 	 Rec:3.18e-04 	 Color:1.58e-01 	Time: 0.61
epoch 600:	pdl:6.22e-01 	 Rec:2.38e-04 	 Color:1.57e-01 	Time: 0.61
epoch 650:	pdl:5.91e-01 	 Rec:1.96e-04 	 Color:1.69e-01 	Time: 0.61
epoch 700:	pdl:6.07e-01 	 Rec:3.01e-04 	 Color:1.89e-01 	Time: 0.61
epoch 750:	pdl:5.78e-01 	 Rec:2.15e-04 	 Color:1.78e-01 	Time: 0.61
epoch 800:	pdl:5.68e-01 	 Rec:1.49e-04 	 Color:1.78e-01 	Time: 0.63
epoch 850:	pdl:6.23e-01 	 Rec:1.92e-04 	 Color:1.87e-01 	Time: 0.62
epoch 900:	pdl:5.99e-01 	 Rec:1.05e-04 	 Color:1.94e-01 	Time: 0.63
epoch 950:	pdl:6.35e-01 	 Rec:2.09e-04 	 Color:1.79e-01 	Time: 0.62
