epoch 0:	pdl:1.56e+00 	 Rec:1.09e-01 	 Color:3.21e-01 	Time: 0.02
epoch 50:	pdl:1.16e+00 	 Rec:2.02e-02 	 Color:2.44e-01 	Time: 1.75
epoch 100:	pdl:1.00e+00 	 Rec:1.44e-02 	 Color:2.50e-01 	Time: 1.72
epoch 150:	pdl:9.15e-01 	 Rec:1.32e-02 	 Color:2.35e-01 	Time: 1.72
epoch 200:	pdl:9.09e-01 	 Rec:1.36e-02 	 Color:2.47e-01 	Time: 1.73
epoch 250:	pdl:9.11e-01 	 Rec:1.37e-02 	 Color:2.73e-01 	Time: 1.72
epoch 300:	pdl:7.79e-01 	 Rec:1.14e-02 	 Color:2.80e-01 	Time: 1.72
epoch 350:	pdl:8.06e-01 	 Rec:1.30e-02 	 Color:2.69e-01 	Time: 1.72
epoch 400:	pdl:7.47e-01 	 Rec:1.01e-02 	 Color:2.74e-01 	Time: 1.72
epoch 450:	pdl:7.63e-01 	 Rec:1.09e-02 	 Color:2.70e-01 	Time: 1.72
epoch 500:	pdl:7.03e-01 	 Rec:1.02e-02 	 Color:2.96e-01 	Time: 1.72
epoch 550:	pdl:7.27e-01 	 Rec:1.00e-02 	 Color:2.81e-01 	Time: 1.72
epoch 600:	pdl:6.21e-01 	 Rec:7.47e-03 	 Color:2.69e-01 	Time: 1.72
epoch 650:	pdl:6.20e-01 	 Rec:7.65e-03 	 Color:2.42e-01 	Time: 1.67
epoch 700:	pdl:6.55e-01 	 Rec:8.74e-03 	 Color:2.48e-01 	Time: 1.70
epoch 750:	pdl:6.46e-01 	 Rec:8.78e-03 	 Color:2.62e-01 	Time: 1.72
epoch 800:	pdl:6.56e-01 	 Rec:1.17e-02 	 Color:2.66e-01 	Time: 1.72
epoch 850:	pdl:1.23e+00 	 Rec:2.01e-02 	 Color:2.59e-01 	Time: 1.73
epoch 900:	pdl:1.17e+00 	 Rec:1.55e-02 	 Color:2.85e-01 	Time: 1.73
epoch 950:	pdl:1.08e+00 	 Rec:1.48e-02 	 Color:2.91e-01 	Time: 1.72
epoch 1000:	pdl:1.02e+00 	 Rec:1.37e-02 	 Color:2.85e-01 	Time: 1.72
epoch 1050:	pdl:9.53e-01 	 Rec:1.22e-02 	 Color:2.78e-01 	Time: 1.77
epoch 1100:	pdl:9.79e-01 	 Rec:1.30e-02 	 Color:2.70e-01 	Time: 1.71
epoch 1150:	pdl:8.61e-01 	 Rec:1.20e-02 	 Color:2.67e-01 	Time: 1.71
epoch 1200:	pdl:8.19e-01 	 Rec:1.09e-02 	 Color:3.07e-01 	Time: 1.72
epoch 1250:	pdl:8.14e-01 	 Rec:1.07e-02 	 Color:2.68e-01 	Time: 1.72
epoch 1300:	pdl:7.42e-01 	 Rec:1.01e-02 	 Color:2.47e-01 	Time: 1.70
epoch 1350:	pdl:7.13e-01 	 Rec:9.96e-03 	 Color:2.85e-01 	Time: 1.71
epoch 1400:	pdl:6.89e-01 	 Rec:9.34e-03 	 Color:2.74e-01 	Time: 1.72
epoch 1450:	pdl:6.79e-01 	 Rec:9.25e-03 	 Color:2.63e-01 	Time: 1.72
epoch 1500:	pdl:6.84e-01 	 Rec:8.98e-03 	 Color:2.56e-01 	Time: 1.72
epoch 1550:	pdl:6.73e-01 	 Rec:8.50e-03 	 Color:2.79e-01 	Time: 1.71
epoch 1600:	pdl:6.18e-01 	 Rec:8.25e-03 	 Color:2.48e-01 	Time: 1.72
epoch 1650:	pdl:6.48e-01 	 Rec:9.32e-03 	 Color:2.52e-01 	Time: 1.72
epoch 1700:	pdl:6.11e-01 	 Rec:7.80e-03 	 Color:2.72e-01 	Time: 1.73
epoch 1750:	pdl:6.29e-01 	 Rec:7.57e-03 	 Color:2.45e-01 	Time: 1.73
epoch 1800:	pdl:5.62e-01 	 Rec:8.34e-03 	 Color:2.44e-01 	Time: 1.73
epoch 1850:	pdl:5.89e-01 	 Rec:7.03e-03 	 Color:2.71e-01 	Time: 1.74
epoch 1900:	pdl:5.90e-01 	 Rec:6.99e-03 	 Color:2.88e-01 	Time: 1.74
epoch 1950:	pdl:5.79e-01 	 Rec:7.09e-03 	 Color:2.50e-01 	Time: 1.72
epoch 2000:	pdl:6.02e-01 	 Rec:6.52e-03 	 Color:2.47e-01 	Time: 1.71
epoch 2050:	pdl:5.67e-01 	 Rec:6.29e-03 	 Color:2.84e-01 	Time: 1.74
epoch 2100:	pdl:5.74e-01 	 Rec:6.31e-03 	 Color:2.74e-01 	Time: 1.72
epoch 2150:	pdl:5.73e-01 	 Rec:6.79e-03 	 Color:2.82e-01 	Time: 1.73
epoch 2200:	pdl:5.97e-01 	 Rec:6.50e-03 	 Color:2.57e-01 	Time: 1.72
epoch 2250:	pdl:5.70e-01 	 Rec:5.99e-03 	 Color:2.57e-01 	Time: 1.70
epoch 2300:	pdl:5.73e-01 	 Rec:9.05e-03 	 Color:2.91e-01 	Time: 1.70
epoch 2350:	pdl:5.84e-01 	 Rec:5.77e-03 	 Color:2.60e-01 	Time: 1.70
epoch 2400:	pdl:5.80e-01 	 Rec:5.45e-03 	 Color:2.68e-01 	Time: 1.70
epoch 2450:	pdl:5.77e-01 	 Rec:5.76e-03 	 Color:2.54e-01 	Time: 1.70
epoch 2500:	pdl:5.87e-01 	 Rec:4.92e-03 	 Color:2.49e-01 	Time: 1.70
epoch 2550:	pdl:6.24e-01 	 Rec:4.88e-03 	 Color:2.28e-01 	Time: 1.70
epoch 2600:	pdl:5.16e-01 	 Rec:4.64e-03 	 Color:2.53e-01 	Time: 1.70
epoch 2650:	pdl:5.80e-01 	 Rec:4.88e-03 	 Color:2.64e-01 	Time: 1.70
epoch 2700:	pdl:5.84e-01 	 Rec:5.81e-03 	 Color:2.66e-01 	Time: 1.71
epoch 2750:	pdl:5.88e-01 	 Rec:4.44e-03 	 Color:2.38e-01 	Time: 1.71
epoch 2800:	pdl:5.46e-01 	 Rec:4.97e-03 	 Color:2.69e-01 	Time: 1.71
epoch 2850:	pdl:5.70e-01 	 Rec:4.62e-03 	 Color:2.82e-01 	Time: 1.69
epoch 2900:	pdl:5.72e-01 	 Rec:7.63e-03 	 Color:2.34e-01 	Time: 1.69
epoch 2950:	pdl:6.12e-01 	 Rec:4.86e-03 	 Color:2.76e-01 	Time: 1.70
epoch 3000:	pdl:5.67e-01 	 Rec:4.74e-03 	 Color:2.70e-01 	Time: 1.70
epoch 3050:	pdl:5.20e-01 	 Rec:4.27e-03 	 Color:2.44e-01 	Time: 1.73
epoch 3100:	pdl:5.78e-01 	 Rec:4.23e-03 	 Color:2.75e-01 	Time: 1.71
epoch 3150:	pdl:5.46e-01 	 Rec:4.02e-03 	 Color:2.94e-01 	Time: 1.71
epoch 3200:	pdl:5.55e-01 	 Rec:4.62e-03 	 Color:2.67e-01 	Time: 1.71
epoch 3250:	pdl:5.99e-01 	 Rec:3.86e-03 	 Color:2.64e-01 	Time: 1.70
epoch 3300:	pdl:5.63e-01 	 Rec:3.97e-03 	 Color:2.55e-01 	Time: 1.71
epoch 3350:	pdl:5.48e-01 	 Rec:3.76e-03 	 Color:2.63e-01 	Time: 1.73
epoch 3400:	pdl:5.66e-01 	 Rec:4.24e-03 	 Color:2.53e-01 	Time: 1.72
epoch 3450:	pdl:5.78e-01 	 Rec:3.59e-03 	 Color:2.61e-01 	Time: 1.70
epoch 3500:	pdl:5.56e-01 	 Rec:3.69e-03 	 Color:2.80e-01 	Time: 1.70
epoch 3550:	pdl:5.72e-01 	 Rec:3.73e-03 	 Color:3.03e-01 	Time: 1.70
epoch 3600:	pdl:5.29e-01 	 Rec:3.61e-03 	 Color:2.57e-01 	Time: 1.70
epoch 3650:	pdl:5.70e-01 	 Rec:3.48e-03 	 Color:3.04e-01 	Time: 1.70
epoch 3700:	pdl:5.84e-01 	 Rec:3.63e-03 	 Color:2.81e-01 	Time: 1.71
epoch 3750:	pdl:5.86e-01 	 Rec:3.36e-03 	 Color:2.92e-01 	Time: 1.72
epoch 3800:	pdl:5.48e-01 	 Rec:3.68e-03 	 Color:2.71e-01 	Time: 1.71
epoch 3850:	pdl:6.49e-01 	 Rec:3.15e-03 	 Color:2.61e-01 	Time: 1.71
epoch 3900:	pdl:5.85e-01 	 Rec:3.28e-03 	 Color:2.64e-01 	Time: 1.70
epoch 3950:	pdl:5.43e-01 	 Rec:3.04e-03 	 Color:2.63e-01 	Time: 1.69
epoch 4000:	pdl:5.38e-01 	 Rec:2.99e-03 	 Color:2.49e-01 	Time: 1.69
epoch 4050:	pdl:5.62e-01 	 Rec:3.11e-03 	 Color:2.72e-01 	Time: 1.76
epoch 4100:	pdl:5.27e-01 	 Rec:2.87e-03 	 Color:2.70e-01 	Time: 1.71
epoch 4150:	pdl:5.61e-01 	 Rec:3.08e-03 	 Color:2.77e-01 	Time: 1.71
epoch 4200:	pdl:5.75e-01 	 Rec:3.09e-03 	 Color:2.59e-01 	Time: 1.70
epoch 4250:	pdl:5.97e-01 	 Rec:2.81e-03 	 Color:2.44e-01 	Time: 1.69
epoch 4300:	pdl:5.76e-01 	 Rec:3.38e-03 	 Color:2.86e-01 	Time: 1.69
epoch 4350:	pdl:5.70e-01 	 Rec:2.73e-03 	 Color:2.72e-01 	Time: 1.71
epoch 4400:	pdl:5.84e-01 	 Rec:2.71e-03 	 Color:2.45e-01 	Time: 1.72
epoch 4450:	pdl:5.57e-01 	 Rec:2.87e-03 	 Color:2.79e-01 	Time: 1.72
epoch 4500:	pdl:5.93e-01 	 Rec:2.80e-03 	 Color:2.50e-01 	Time: 1.71
epoch 4550:	pdl:5.53e-01 	 Rec:2.61e-03 	 Color:2.51e-01 	Time: 1.72
epoch 4600:	pdl:5.51e-01 	 Rec:2.74e-03 	 Color:2.55e-01 	Time: 1.72
epoch 4650:	pdl:5.55e-01 	 Rec:2.92e-03 	 Color:2.68e-01 	Time: 1.71
epoch 4700:	pdl:5.80e-01 	 Rec:2.36e-03 	 Color:2.55e-01 	Time: 1.62
epoch 4750:	pdl:5.70e-01 	 Rec:2.74e-03 	 Color:2.54e-01 	Time: 1.71
epoch 4800:	pdl:6.99e-01 	 Rec:1.42e-02 	 Color:2.45e-01 	Time: 1.71
epoch 4850:	pdl:5.87e-01 	 Rec:3.65e-03 	 Color:2.80e-01 	Time: 1.70
epoch 4900:	pdl:5.62e-01 	 Rec:3.38e-03 	 Color:2.26e-01 	Time: 1.71
epoch 4950:	pdl:5.93e-01 	 Rec:2.78e-03 	 Color:3.01e-01 	Time: 1.71
epoch 5000:	pdl:5.49e-01 	 Rec:2.59e-03 	 Color:2.93e-01 	Time: 1.72
epoch 5050:	pdl:5.77e-01 	 Rec:2.31e-03 	 Color:2.67e-01 	Time: 1.74
epoch 5100:	pdl:5.85e-01 	 Rec:2.66e-03 	 Color:2.56e-01 	Time: 1.72
epoch 5150:	pdl:5.33e-01 	 Rec:2.37e-03 	 Color:2.61e-01 	Time: 1.73
epoch 5200:	pdl:5.34e-01 	 Rec:2.34e-03 	 Color:2.74e-01 	Time: 1.72
epoch 5250:	pdl:5.88e-01 	 Rec:2.55e-03 	 Color:2.68e-01 	Time: 1.72
epoch 5300:	pdl:5.95e-01 	 Rec:2.44e-03 	 Color:2.77e-01 	Time: 1.72
epoch 5350:	pdl:5.68e-01 	 Rec:2.35e-03 	 Color:2.53e-01 	Time: 1.71
epoch 5400:	pdl:5.91e-01 	 Rec:2.33e-03 	 Color:2.73e-01 	Time: 1.72
epoch 5450:	pdl:6.06e-01 	 Rec:2.34e-03 	 Color:2.90e-01 	Time: 1.70
epoch 5500:	pdl:5.30e-01 	 Rec:2.31e-03 	 Color:2.82e-01 	Time: 1.71
epoch 5550:	pdl:5.95e-01 	 Rec:2.44e-03 	 Color:2.53e-01 	Time: 1.73
epoch 5600:	pdl:5.61e-01 	 Rec:2.32e-03 	 Color:2.87e-01 	Time: 1.73
epoch 5650:	pdl:5.33e-01 	 Rec:2.09e-03 	 Color:2.60e-01 	Time: 1.70
epoch 5700:	pdl:5.89e-01 	 Rec:2.03e-03 	 Color:2.69e-01 	Time: 1.70
epoch 5750:	pdl:5.92e-01 	 Rec:1.90e-03 	 Color:2.70e-01 	Time: 1.71
epoch 5800:	pdl:5.60e-01 	 Rec:2.13e-03 	 Color:2.45e-01 	Time: 1.72
epoch 5850:	pdl:5.50e-01 	 Rec:2.09e-03 	 Color:2.78e-01 	Time: 1.71
epoch 5900:	pdl:5.62e-01 	 Rec:2.03e-03 	 Color:2.52e-01 	Time: 1.70
epoch 5950:	pdl:5.72e-01 	 Rec:2.53e-03 	 Color:2.68e-01 	Time: 1.70
epoch 6000:	pdl:5.34e-01 	 Rec:2.00e-03 	 Color:2.64e-01 	Time: 1.70
epoch 6050:	pdl:5.74e-01 	 Rec:2.23e-03 	 Color:2.73e-01 	Time: 1.77
epoch 6100:	pdl:5.80e-01 	 Rec:2.09e-03 	 Color:2.51e-01 	Time: 1.74
epoch 6150:	pdl:5.68e-01 	 Rec:1.93e-03 	 Color:2.99e-01 	Time: 1.73
epoch 6200:	pdl:6.06e-01 	 Rec:2.02e-03 	 Color:2.84e-01 	Time: 1.71
epoch 6250:	pdl:5.41e-01 	 Rec:1.92e-03 	 Color:2.73e-01 	Time: 1.72
epoch 6300:	pdl:5.53e-01 	 Rec:2.12e-03 	 Color:2.71e-01 	Time: 1.72
epoch 6350:	pdl:5.53e-01 	 Rec:1.94e-03 	 Color:2.72e-01 	Time: 1.72
epoch 6400:	pdl:5.44e-01 	 Rec:2.05e-03 	 Color:2.60e-01 	Time: 1.70
epoch 6450:	pdl:6.16e-01 	 Rec:9.37e-04 	 Color:2.76e-01 	Time: 1.71
epoch 6500:	pdl:5.79e-01 	 Rec:9.16e-04 	 Color:2.53e-01 	Time: 1.71
epoch 6550:	pdl:5.61e-01 	 Rec:9.02e-04 	 Color:2.40e-01 	Time: 1.71
epoch 6600:	pdl:5.89e-01 	 Rec:8.91e-04 	 Color:2.66e-01 	Time: 1.71
epoch 6650:	pdl:5.49e-01 	 Rec:8.81e-04 	 Color:2.50e-01 	Time: 1.71
epoch 6700:	pdl:5.83e-01 	 Rec:8.72e-04 	 Color:2.65e-01 	Time: 1.71
epoch 6750:	pdl:5.75e-01 	 Rec:8.64e-04 	 Color:2.69e-01 	Time: 1.70
epoch 6800:	pdl:6.25e-01 	 Rec:8.56e-04 	 Color:2.63e-01 	Time: 1.70
epoch 6850:	pdl:6.52e-01 	 Rec:8.48e-04 	 Color:2.51e-01 	Time: 1.72
epoch 6900:	pdl:5.90e-01 	 Rec:8.41e-04 	 Color:2.68e-01 	Time: 1.74
epoch 6950:	pdl:5.87e-01 	 Rec:8.34e-04 	 Color:2.41e-01 	Time: 1.74
epoch 7000:	pdl:5.86e-01 	 Rec:8.28e-04 	 Color:2.76e-01 	Time: 1.72
epoch 7050:	pdl:5.81e-01 	 Rec:8.21e-04 	 Color:2.50e-01 	Time: 1.74
epoch 7100:	pdl:5.85e-01 	 Rec:8.15e-04 	 Color:2.55e-01 	Time: 1.71
